	WT.d_S141_L007_R1_001	Ob.DHA.e_S154_L007_R1_001	WT.1012.c_S135_L007_R1_001	Ob.DHA.b_S132_L007_R1_001
10FTHF5GLUtl_pos	0.0	0.0	0.0	0.0
10FTHF5GLUtm_pos	0.0	0.0	0.0	0.0
10FTHF6GLUtl_pos	0.0	0.0	0.0	0.0
10FTHF6GLUtm_pos	0.0	0.0	0.0	0.0
10FTHF7GLUtl_pos	0.0	0.0	0.0	0.0
10FTHF7GLUtm_pos	0.0	0.0	0.0	0.0
10FTHFtl_pos	0.0	0.0	0.0	0.0
10FTHFtl_neg	0.0	0.0	0.0	0.0
10FTHFtm_pos	0.0	0.0	0.0	0.0
10FTHFtm_neg	0.0	0.0	0.0	0.0
11DOCRTSLtm_pos	0.0	0.0	0.0	0.0
11DOCRTSLtm_neg	0.0	0.0	0.0	0.0
11DOCRTSLtr_pos	0.0	0.0	0.0	0.0
11DOCRTSLtr_neg	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_pos	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_neg	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_pos	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_neg	0.0	0.0	0.0	0.0
13DAMPPOX_pos	0.9560566524124029	1.1699250014423124	1.1953475983222193	1.4382928515791469
1a_24_25VITD2Hm_pos	0.0	0.0	0.0	0.0
1a_24_25VITD3Hm_pos	0.0	0.0	0.0	0.0
1a_25VITD2Hm_pos	0.0	0.0	0.0	0.0
1a_25VITD3Hm_pos	0.0	0.0	0.0	0.0
1MNCAMti_pos	0.0	0.0	0.0	0.0
1PPDCRp_pos	0.0	0.0	0.0	0.0
24_25DHVITD2t_pos	0.0	0.0	0.0	0.0
24_25DHVITD2tm_pos	0.0	0.0	0.0	0.0
24_25DHVITD3t_pos	0.0	0.0	0.0	0.0
24_25DHVITD3tm_pos	0.0	0.0	0.0	0.0
24_25VITD2Hm_pos	0.0	0.0	0.0	0.0
24_25VITD3Hm_pos	0.0	0.0	0.0	0.0
24NPHte_pos	0.0	0.0	0.0	0.0
24NPHte_neg	0.0	0.0	0.0	0.0
25HVITD2t_pos	0.0	0.0	0.0	0.0
25HVITD2tin_pos	0.0	0.0	0.0	0.0
25HVITD2tin_m_pos	0.0	0.0	0.0	0.0
25HVITD2tm_pos	0.0	0.0	0.0	0.0
25HVITD3t_pos	0.0	0.0	0.0	0.0
25HVITD3tin_pos	0.0	0.0	0.0	0.0
25HVITD3tin_m_pos	0.0	0.0	0.0	0.0
25HVITD3tm_pos	0.0	0.0	0.0	0.0
25VITD2Hm_pos	0.0	0.13750352374993502	0.0	0.0
25VITD3Hm_pos	0.0	0.13750352374993502	0.0	0.0
2AMACHYD_pos	7.658282901530597	9.387004890405054	7.692092375427572	8.6056647045122
2AMACSULT_pos	0.0	0.0	0.0	0.0
2AMADPTm_pos	2.424922088210688	3.2600256559614555	2.176322772640463	3.5801454844233804
2DR1PP_pos	0.0	0.0	0.0	0.0
2HBO_pos	9.409083269832513	10.41761521000159	9.627588600061285	10.490560102782343
2HBO_neg	9.409083269832513	10.41761521000159	9.627588600061285	10.490560102782343
2HBt2_pos	4.844988156682612	6.6700188442644	5.2299723851122515	6.829849559844691
2HBt2_neg	4.844988156682612	6.6700188442644	5.2299723851122515	6.829849559844691
2HCO3_NAt_pos	2.875780063068488	5.213736095922801	3.8032270364349277	5.314333993919012
2HCO3_NAt_neg	2.875780063068488	5.213736095922801	3.8032270364349277	5.314333993919012
2MCITt_pos	0.0	0.0	0.0	0.0
2MCITt_neg	0.0	0.0	0.0	0.0
2OXOADOXm_pos	6.521835962545389	7.5686908580723244	6.851998837112446	7.519033366019928
2OXOADPTm_pos	2.424922088210688	3.2600256559614555	2.176322772640463	3.5801454844233804
2OXOADPTm_neg	2.424922088210688	3.2600256559614555	2.176322772640463	3.5801454844233804
34DHOXPEGOX_pos	8.378294855911891	8.762913503746546	8.667572846803456	8.854182706501243
34DHOXPEGOX_neg	8.378294855911891	8.762913503746546	8.667572846803456	8.854182706501243
34DHOXPEGt_pos	0.0	0.0	0.0	0.0
34DHOXPEGt_neg	0.0	0.0	0.0	0.0
34DHPHAMT_pos	15.285448458346904	14.940671473280183	14.954895582571051	15.411947199606908
34DHPHEt_pos	5.067380578019059	5.002702520379824	5.287620044112067	4.664482840364682
34DHPHEt_neg	5.067380578019059	5.002702520379824	5.287620044112067	4.664482840364682
34DHPLACOX_pos	1.1699250014423124	1.9671686075326276	1.7484612330040357	2.0036022366801953
34DHPLACOX_NADP__pos	1.1176950426697545	1.7949356628035362	1.6780719051126378	1.8914191868460786
34DHPLACOX_NADP__neg	1.1176950426697545	1.7949356628035362	1.6780719051126378	1.8914191868460786
34DHXMANDACOX_pos	1.1699250014423124	1.9671686075326276	1.7484612330040357	2.0036022366801953
34DHXMANDACOX_NADP__pos	0.9927684307689242	1.7949356628035362	1.6780719051126378	1.8914191868460786
34DHXMANDACOX_NADP__neg	0.9927684307689242	1.7949356628035362	1.6780719051126378	1.8914191868460786
34HPLFM_pos	0.0	0.0	0.0	0.0
34HPPOR_pos	10.313744685477909	10.790943048069545	10.395930366988399	10.704759595268154
35CGMPtn_pos	0.0	0.0	0.0	0.0
35CGMPtn_neg	0.0	0.0	0.0	0.0
3AIBt_pos	0.0	0.0	0.0	0.0
3AIBTm_pos	6.2818836745629225	7.273049586636908	6.599317793698226	7.052024560482831
3AIBTm_neg	6.2818836745629225	7.273049586636908	6.599317793698226	7.052024560482831
3AIBtm_pos	6.2818836745629225	7.273049586636908	6.599317793698226	7.052024560482831
3DPHBH1_pos	0.0	0.0	0.0	0.0
3DPHBH2_pos	0.0	0.0	0.0	0.0
3DSPHR_pos	3.5058909297299574	4.507160349117523	3.651912744645783	4.569855608330948
3HAO_pos	8.390813832188373	8.780769399344525	8.377080356542345	8.665406984155998
3HBCDm_pos	7.756222712847288	7.467116418008168	7.338335268737193	7.375126338069091
3HBCDm_neg	7.756222712847288	7.467116418008168	7.338335268737193	7.375126338069091
3HBCOAHLm_pos	0.0	0.0	0.0	0.0
3HKYNAKGAT_pos	7.571904298611526	6.504143652285466	7.411171988999552	6.307246355226617
3HLYTCL_pos	5.405992359675837	5.61706334388818	4.913128767819739	5.644721547217978
3HPCOAHYD_pos	5.255123014847789	6.2253520607761015	5.708187236020708	5.965091624790789
3HPPD_pos	0.0	0.0	0.0	0.0
3HPPD_neg	0.0	0.0	0.0	0.0
3HXKYNDCL_pos	5.405992359675837	5.61706334388818	4.913128767819739	5.644721547217978
3HXKYNOXDA_pos	5.9752174570430245	7.558956362638926	6.498250867527825	7.4965741969354625
3M4HDXPAC_pos	1.1699250014423124	1.9671686075326276	1.7484612330040357	2.0036022366801953
3M4HDXPAC_neg	1.1699250014423124	1.9671686075326276	1.7484612330040357	2.0036022366801953
3MLDAt_pos	0.0	0.0	0.0	0.0
3MLDAt_neg	0.0	0.0	0.0	0.0
3MOBt2im_pos	0.0	0.0	0.0	0.0
3MOPt2im_pos	0.0	0.0	0.0	0.0
3MOX4HOXPGALDOX_pos	1.1699250014423124	1.9671686075326276	1.7484612330040357	2.0036022366801953
3MOX4HOXPGALDOX_NADP__pos	1.1699250014423124	1.9671686075326276	1.7484612330040357	2.0036022366801953
3MOX4HOXPGALDOX_NADP__neg	1.1699250014423124	1.9671686075326276	1.7484612330040357	2.0036022366801953
3MOXTYROX_pos	5.9752174570430245	7.558956362638926	6.498250867527825	7.4965741969354625
3NTD7l_pos	3.7484612330040354	4.153805336079036	4.0259146987507926	4.375734538583156
3SALAASPm_pos	6.306152852111439	7.001577085389535	6.681308699714331	6.978310052098406
3SALAASPm_neg	6.306152852111439	7.001577085389535	6.681308699714331	6.978310052098406
3SALACBOXL_pos	6.299757511839318	6.113742166049188	6.878847931023527	5.817623257511431
3SALAOX_pos	0.0	0.0	0.0	0.0
3SALATAi_pos	6.443606651475615	8.173377324365331	6.648465443027314	7.597382189348684
3SALATAim_pos	7.945502362372966	8.843607046490561	8.2112069285929	8.80028516794395
3SPYRSP_pos	0.0	0.0	0.0	0.0
3SPYRSPm_pos	0.0	0.0	0.0	0.0
41R1H2MAE12BOOX_pos	5.9752174570430245	7.558956362638926	6.498250867527825	7.4965741969354625
41R2A1H12BOOX_pos	5.9752174570430245	7.558956362638926	6.498250867527825	7.4965741969354625
42A12BOOX_pos	5.996614714815362	7.568488196784421	6.518692492425199	7.510170751151772
4ABUTtm_pos	0.0	0.0	0.0	0.0
4ABUTtm_neg	0.0	0.0	0.0	0.0
4HBZCOAFm_pos	0.0	0.0	0.0	0.0
4HBZFm_pos	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_pos	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_neg	0.0	0.0	0.0	0.0
4HGLSDm_pos	6.869871406177713	7.937815168803419	7.2173276682747955	7.957798547067071
4HOXPACDOX_NADP__pos	1.1699250014423124	1.9671686075326276	1.7484612330040357	2.0036022366801953
4HOXPACDOX_NADP__neg	1.1699250014423124	1.9671686075326276	1.7484612330040357	2.0036022366801953
4MOPt2im_pos	0.0	0.0	0.0	0.0
4MPTNLte_pos	0.0	0.0	0.0	0.0
4MPTNLte_neg	0.0	0.0	0.0	0.0
4MPTNLtm_pos	0.0	0.0	0.0	0.0
4MPTNLtm_neg	0.0	0.0	0.0	0.0
4MPTNLtr_pos	0.0	0.0	0.0	0.0
4MPTNLtr_neg	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_pos	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_neg	0.0	0.0	0.0	0.0
4NPHSFte_pos	0.0	0.0	0.0	0.0
4NPHSFte_neg	0.0	0.0	0.0	0.0
4NPHSULT_pos	0.0	0.0	0.0	0.0
4NPHte_pos	0.0	0.0	0.0	0.0
4NPHte_neg	0.0	0.0	0.0	0.0
4PYRDX_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCte_pos	0.765534746362977	0.7990873060740036	0.3103401206121505	0.7484612330040358
5ADTSTSTERONEGLCtr_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCtr_neg	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_neg	0.0	0.0	0.0	0.0
5ADTSTSTERONESULT_pos	0.0	4.757556688939453	0.0	4.507794640198696
5ADTSTSTERONEte_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEte_neg	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_neg	0.0	0.0	0.0	0.0
5AOPtm_pos	0.0	0.0	0.0	0.0
5AOPtm_neg	0.0	0.0	0.0	0.0
5DHFtl_pos	0.0	0.0	0.0	0.0
5FTHFt2_pos	2.114367024952	3.4489009511451276	2.298658315564515	3.039138393906958
5FTHFt2_neg	2.114367024952	3.4489009511451276	2.298658315564515	3.039138393906958
5HLTDL_pos	5.405992359675837	5.61706334388818	4.913128767819739	5.644721547217978
