	Ob.EPA.a_S122_L007_R1_001	Ob.c_S136_L007_R1_001	Ob.1012.c_S140_L007_R1_001	WT.EPA.e_S151_L007_R1_001
10FTHF5GLUtl_pos	0.0	0.0	0.0	0.0
10FTHF5GLUtm_pos	0.0	0.0	0.0	0.0
10FTHF6GLUtl_pos	0.0	0.0	0.0	0.0
10FTHF6GLUtm_pos	0.0	0.0	0.0	0.0
10FTHF7GLUtl_pos	0.0	0.0	0.0	0.0
10FTHF7GLUtm_pos	0.0	0.0	0.0	0.0
10FTHFtl_pos	0.0	0.0	0.0	0.0
10FTHFtl_neg	0.0	0.0	0.0	0.0
10FTHFtm_pos	0.0	0.0	0.0	0.0
10FTHFtm_neg	0.0	0.0	0.0	0.0
11DOCRTSLtm_pos	0.0	0.0	0.0	0.0
11DOCRTSLtm_neg	0.0	0.0	0.0	0.0
11DOCRTSLtr_pos	0.0	0.0	0.0	0.0
11DOCRTSLtr_neg	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_pos	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_neg	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_pos	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_neg	0.0	0.0	0.0	0.0
13DAMPPOX_pos	1.292781749227846	1.3448284969974411	1.6553518286125541	0.903038270112912
1a_24_25VITD2Hm_pos	0.0	0.0	0.0	0.0
1a_24_25VITD3Hm_pos	0.0	0.0	0.0	0.0
1a_25VITD2Hm_pos	0.0	0.0	0.0	0.0
1a_25VITD3Hm_pos	0.0	0.0	0.0	0.0
1MNCAMti_pos	0.0	0.0	0.0	0.0
1PPDCRp_pos	0.0	0.0	0.0	0.0
24_25DHVITD2t_pos	0.0	0.0	0.0	0.0
24_25DHVITD2tm_pos	0.0	0.0	0.0	0.0
24_25DHVITD3t_pos	0.0	0.0	0.0	0.0
24_25DHVITD3tm_pos	0.0	0.0	0.0	0.0
24_25VITD2Hm_pos	0.0	0.0	0.0	0.0
24_25VITD3Hm_pos	0.0	0.0	0.0	0.0
24NPHte_pos	0.0	0.0	0.0	0.0
24NPHte_neg	0.0	0.0	0.0	0.0
25HVITD2t_pos	0.0	0.0	0.0	0.0
25HVITD2tin_pos	0.0	0.0	0.0	0.0
25HVITD2tin_m_pos	0.0	0.0	0.0	0.0
25HVITD2tm_pos	0.0	0.0	0.0	0.0
25HVITD3t_pos	0.0	0.0	0.0	0.0
25HVITD3tin_pos	0.0	0.0	0.0	0.0
25HVITD3tin_m_pos	0.0	0.0	0.0	0.0
25HVITD3tm_pos	0.0	0.0	0.0	0.0
25VITD2Hm_pos	0.13750352374993502	0.22650852980867975	0.0	0.11103131238874395
25VITD3Hm_pos	0.13750352374993502	0.22650852980867975	0.0	0.11103131238874395
2AMACHYD_pos	8.169273637910607	7.745304570264634	8.372995614842408	8.085392786753626
2AMACSULT_pos	0.0	0.0	0.0	0.0
2AMADPTm_pos	3.4776773275653072	3.710393192170516	3.171527106038814	2.9467308601403097
2DR1PP_pos	0.0	0.0	0.0	0.0
2HBO_pos	10.513900274832777	10.951383077184722	10.398086314449989	9.737872628904244
2HBO_neg	10.513900274832777	10.951383077184722	10.398086314449989	9.737872628904244
2HBt2_pos	6.899779850048288	7.205060110544645	6.83731255552431	5.427941332509482
2HBt2_neg	6.899779850048288	7.205060110544645	6.83731255552431	5.427941332509482
2HCO3_NAt_pos	5.372255648445787	5.883376436672842	5.112283108598203	3.6971065744769747
2HCO3_NAt_neg	5.372255648445787	5.883376436672842	5.112283108598203	3.6971065744769747
2MCITt_pos	0.0	0.0	0.0	0.0
2MCITt_neg	0.0	0.0	0.0	0.0
2OXOADOXm_pos	7.5571700907809305	7.857898079236811	7.544268990480814	6.8647639325320275
2OXOADPTm_pos	3.4776773275653072	3.710393192170516	3.171527106038814	2.9467308601403097
2OXOADPTm_neg	3.4776773275653072	3.710393192170516	3.171527106038814	2.9467308601403097
34DHOXPEGOX_pos	8.833396134163229	9.131856960608793	8.627533884472792	8.903520373723376
34DHOXPEGOX_neg	8.833396134163229	9.131856960608793	8.627533884472792	8.903520373723376
34DHOXPEGt_pos	0.0	0.0	0.0	0.0
34DHOXPEGt_neg	0.0	0.0	0.0	0.0
34DHPHAMT_pos	15.563360747239111	14.758697406123918	15.055003598248689	14.890650932843487
34DHPHEt_pos	4.678635347822744	4.799087306074004	4.567423757707283	5.135452784185173
34DHPHEt_neg	4.678635347822744	4.799087306074004	4.567423757707283	5.135452784185173
34DHPLACOX_pos	1.5753123306874368	1.565597175854225	1.7004397181410922	1.7570232465074598
34DHPLACOX_NADP__pos	1.5410191531335593	1.3103401206121505	1.411426245726465	1.6599245584023783
34DHPLACOX_NADP__neg	1.5410191531335593	1.3103401206121505	1.411426245726465	1.6599245584023783
34DHXMANDACOX_pos	1.5753123306874368	1.565597175854225	1.7004397181410922	1.7570232465074598
34DHXMANDACOX_NADP__pos	1.5410191531335593	1.3103401206121505	1.411426245726465	1.6599245584023783
34DHXMANDACOX_NADP__neg	1.5410191531335593	1.3103401206121505	1.411426245726465	1.6599245584023783
34HPLFM_pos	0.0	0.0	0.0	0.0
34HPPOR_pos	10.03001874327086	10.561650721598253	10.039494855255578	10.47890104331101
35CGMPtn_pos	0.0	0.0	0.0	0.0
35CGMPtn_neg	0.0	0.0	0.0	0.0
3AIBt_pos	0.0	0.0	0.0	0.0
3AIBTm_pos	7.0133505917821335	7.780835001738229	6.855740591715029	6.549053029337288
3AIBTm_neg	7.0133505917821335	7.780835001738229	6.855740591715029	6.549053029337288
3AIBtm_pos	7.0133505917821335	7.780835001738229	6.855740591715029	6.549053029337288
3DPHBH1_pos	0.0	0.0	0.0	0.0
3DPHBH2_pos	0.0	0.0	0.0	0.0
3DSPHR_pos	4.411426245726465	4.931210274803932	4.40667271575583	3.6322682154995127
3HAO_pos	8.274680988404569	8.48333211126848	8.535625314106328	8.76463941423205
3HBCDm_pos	7.651984475909484	7.502075956045791	7.570766496527611	7.65205620360686
3HBCDm_neg	7.651984475909484	7.502075956045791	7.570766496527611	7.65205620360686
3HBCOAHLm_pos	0.0	0.0	0.0	0.0
3HKYNAKGAT_pos	6.20633064787105	6.72451385311995	6.147306698780294	7.601250804606482
3HLYTCL_pos	5.741197298571427	5.763145958149476	5.700162250106601	4.638653116466112
3HPCOAHYD_pos	6.131342539123261	6.474922700379797	6.119771161952904	5.682292371430833
3HPPD_pos	0.0	0.0	0.0	0.0
3HPPD_neg	0.0	0.0	0.0	0.0
3HXKYNDCL_pos	5.741197298571427	5.763145958149476	5.700162250106601	4.638653116466112
3HXKYNOXDA_pos	7.186758045588115	7.8343446308603335	7.100241820153314	6.7848965352083175
3M4HDXPAC_pos	1.5753123306874368	1.565597175854225	1.7004397181410922	1.7570232465074598
3M4HDXPAC_neg	1.5753123306874368	1.565597175854225	1.7004397181410922	1.7570232465074598
3MLDAt_pos	0.0	0.0	0.0	0.0
3MLDAt_neg	0.0	0.0	0.0	0.0
3MOBt2im_pos	0.0	0.0	0.0	0.0
3MOPt2im_pos	0.0	0.0	0.0	0.0
3MOX4HOXPGALDOX_pos	1.5753123306874368	1.565597175854225	1.7004397181410922	1.7570232465074598
3MOX4HOXPGALDOX_NADP__pos	1.5753123306874368	1.565597175854225	1.7004397181410922	1.7570232465074598
3MOX4HOXPGALDOX_NADP__neg	1.5753123306874368	1.565597175854225	1.7004397181410922	1.7570232465074598
3MOXTYROX_pos	7.186758045588115	7.8343446308603335	7.100241820153314	6.7848965352083175
3NTD7l_pos	4.214901910160696	4.674121632632394	4.128458384146928	4.046141781644721
3SALAASPm_pos	7.028348134189309	7.650979913520719	6.916954278953217	6.635319079720757
3SALAASPm_neg	7.028348134189309	7.650979913520719	6.916954278953217	6.635319079720757
3SALACBOXL_pos	7.542567607764219	6.333244816996384	6.787118982813345	6.971773447193373
3SALAOX_pos	0.0	0.0	0.0	0.0
3SALATAi_pos	7.020257716368323	5.870611313044545	7.30770173701787	7.121015400961366
3SALATAim_pos	8.91707366287822	9.050664938253384	8.89572673847666	8.278867570103102
3SPYRSP_pos	0.0	0.0	0.0	0.0
3SPYRSPm_pos	0.0	0.0	0.0	0.0
41R1H2MAE12BOOX_pos	7.186758045588115	7.8343446308603335	7.100241820153314	6.7848965352083175
41R2A1H12BOOX_pos	7.186758045588115	7.8343446308603335	7.100241820153314	6.7848965352083175
42A12BOOX_pos	7.201045686245058	7.844046634074706	7.122672718824139	6.796234335175764
4ABUTtm_pos	0.0	0.0	0.0	0.0
4ABUTtm_neg	0.0	0.0	0.0	0.0
4HBZCOAFm_pos	0.0	0.0	0.0	0.0
4HBZFm_pos	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_pos	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_neg	0.0	0.0	0.0	0.0
4HGLSDm_pos	7.879705766282288	8.15593133876956	7.765601045163149	7.343141289974325
4HOXPACDOX_NADP__pos	1.5753123306874368	1.565597175854225	1.7004397181410922	1.7570232465074598
4HOXPACDOX_NADP__neg	1.5753123306874368	1.565597175854225	1.7004397181410922	1.7570232465074598
4MOPt2im_pos	0.0	0.0	0.0	0.0
4MPTNLte_pos	0.0	0.0	0.0	0.0
4MPTNLte_neg	0.0	0.0	0.0	0.0
4MPTNLtm_pos	0.0	0.0	0.0	0.0
4MPTNLtm_neg	0.0	0.0	0.0	0.0
4MPTNLtr_pos	0.0	0.0	0.0	0.0
4MPTNLtr_neg	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_pos	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_neg	0.0	0.0	0.0	0.0
4NPHSFte_pos	0.0	0.0	0.0	0.0
4NPHSFte_neg	0.0	0.0	0.0	0.0
4NPHSULT_pos	0.0	0.0	0.0	0.0
4NPHte_pos	0.0	0.0	0.0	0.0
4NPHte_neg	0.0	0.0	0.0	0.0
4PYRDX_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCte_pos	0.9107326619029126	0.6959938131099002	1.2570106182060237	0.9107326619029126
5ADTSTSTERONEGLCtr_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCtr_neg	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_neg	0.0	0.0	0.0	0.0
5ADTSTSTERONESULT_pos	4.032100843167024	5.469560421711221	2.849999259466098	0.2630344058337938
5ADTSTSTERONEte_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEte_neg	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_neg	0.0	0.0	0.0	0.0
5AOPtm_pos	0.0	0.0	0.0	0.0
5AOPtm_neg	0.0	0.0	0.0	0.0
5DHFtl_pos	0.0	0.0	0.0	0.0
5FTHFt2_pos	3.203201156316611	3.9781956296816516	3.374343989038501	2.2957230245399685
5FTHFt2_neg	3.203201156316611	3.9781956296816516	3.374343989038501	2.2957230245399685
