	WT.DHA.d_S143_L007_R1_001	WT.DHA.b_S128_L007_R1_001	WT.EPA.a_S117_L007_R1_001	WT.1012.d_S145_L007_R1_001
10FTHF5GLUtl_pos	0.0	0.0	0.0	0.0
10FTHF5GLUtm_pos	0.0	0.0	0.0	0.0
10FTHF6GLUtl_pos	0.0	0.0	0.0	0.0
10FTHF6GLUtm_pos	0.0	0.0	0.0	0.0
10FTHF7GLUtl_pos	0.0	0.0	0.0	0.0
10FTHF7GLUtm_pos	0.0	0.0	0.0	0.0
10FTHFtl_pos	0.0	0.0	0.0	0.0
10FTHFtl_neg	0.0	0.0	0.0	0.0
10FTHFtm_pos	0.0	0.0	0.0	0.0
10FTHFtm_neg	0.0	0.0	0.0	0.0
11DOCRTSLtm_pos	0.0	0.0	0.0	0.0
11DOCRTSLtm_neg	0.0	0.0	0.0	0.0
11DOCRTSLtr_pos	0.0	0.0	0.0	0.0
11DOCRTSLtr_neg	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_pos	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_neg	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_pos	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_neg	0.0	0.0	0.0	0.0
13DAMPPOX_pos	1.2750070474998698	1.1243281350022019	1.5897634869849773	1.0426443374084937
1a_24_25VITD2Hm_pos	0.0	0.0	0.0	0.0
1a_24_25VITD3Hm_pos	0.0	0.0	0.0	0.0
1a_25VITD2Hm_pos	0.0	0.0	0.0	0.0
1a_25VITD3Hm_pos	0.0	0.0	0.0	0.0
1MNCAMti_pos	0.0	0.0	0.0	0.0
1PPDCRp_pos	0.0	0.0	0.0	0.0
24_25DHVITD2t_pos	0.0	0.0	0.0	0.0
24_25DHVITD2tm_pos	0.0	0.0	0.0	0.0
24_25DHVITD3t_pos	0.0	0.0	0.0	0.0
24_25DHVITD3tm_pos	0.0	0.0	0.0	0.0
24_25VITD2Hm_pos	0.0	0.0	0.0	0.0
24_25VITD3Hm_pos	0.0	0.0	0.0	0.0
24NPHte_pos	0.0	0.0	0.0	0.0
24NPHte_neg	0.0	0.0	0.0	0.0
25HVITD2t_pos	0.0	0.0	0.0	0.0
25HVITD2tin_pos	0.0	0.0	0.0	0.0
25HVITD2tin_m_pos	0.0	0.0	0.0	0.0
25HVITD2tm_pos	0.0	0.0	0.0	0.0
25HVITD3t_pos	0.0	0.0	0.0	0.0
25HVITD3tin_pos	0.0	0.0	0.0	0.0
25HVITD3tin_m_pos	0.0	0.0	0.0	0.0
25HVITD3tm_pos	0.0	0.0	0.0	0.0
25VITD2Hm_pos	0.22650852980867975	0.0	0.0	0.0
25VITD3Hm_pos	0.22650852980867975	0.0	0.0	0.0
2AMACHYD_pos	7.883987308105472	7.829912968043399	9.361702573551536	7.409051438538562
2AMACSULT_pos	0.0	0.0	0.0	0.0
2AMADPTm_pos	2.4276061727818994	2.572889668420581	2.1731274334806563	2.456806149230474
2DR1PP_pos	0.0	0.0	0.0	0.0
2HBO_pos	9.448467383886902	9.76472233870145	11.16959935643704	9.936733624786147
2HBO_neg	9.448467383886902	9.76472233870145	11.16959935643704	9.936733624786147
2HBt2_pos	4.882643049361842	5.148120631123964	6.379378367071262	5.398487190018967
2HBt2_neg	4.882643049361842	5.148120631123964	6.379378367071262	5.398487190018967
2HCO3_NAt_pos	3.3161457422933562	3.6241008946281146	5.268658955027672	4.038260575175349
2HCO3_NAt_neg	3.3161457422933562	3.6241008946281146	5.268658955027672	4.038260575175349
2MCITt_pos	0.0	0.0	0.0	0.0
2MCITt_neg	0.0	0.0	0.0	0.0
2OXOADOXm_pos	6.539055388401733	6.640967910449898	6.8097574122729085	6.903078451567632
2OXOADPTm_pos	2.4276061727818994	2.572889668420581	2.1731274334806563	2.456806149230474
2OXOADPTm_neg	2.4276061727818994	2.572889668420581	2.1731274334806563	2.456806149230474
34DHOXPEGOX_pos	8.589164236699773	8.735522177296538	8.62333283245184	8.725673000366422
34DHOXPEGOX_neg	8.589164236699773	8.735522177296538	8.62333283245184	8.725673000366422
34DHOXPEGt_pos	0.0	0.0	0.0	0.0
34DHOXPEGt_neg	0.0	0.0	0.0	0.0
34DHPHAMT_pos	16.71676039255973	14.745004600953719	14.93127769268258	14.81223196721509
34DHPHEt_pos	5.093813673402728	5.277984747299765	5.5087455542444745	5.258895755075436
34DHPHEt_neg	5.093813673402728	5.277984747299765	5.5087455542444745	5.258895755075436
34DHPLACOX_pos	1.6507645591169022	1.3504972470841332	1.5897634869849773	1.560714954474479
34DHPLACOX_NADP__pos	1.6182386555954547	1.2570106182060237	1.207892851641333	1.3161457422933565
34DHPLACOX_NADP__neg	1.6182386555954547	1.2570106182060237	1.207892851641333	1.3161457422933565
34DHXMANDACOX_pos	1.6507645591169022	1.3504972470841332	1.5897634869849773	1.560714954474479
34DHXMANDACOX_NADP__pos	1.6182386555954547	1.2570106182060237	1.207892851641333	1.3161457422933565
34DHXMANDACOX_NADP__neg	1.6182386555954547	1.2570106182060237	1.207892851641333	1.3161457422933565
34HPLFM_pos	0.0	0.0	0.0	0.0
34HPPOR_pos	10.515000000892382	10.60467368028398	10.226159277500415	10.40913632042844
35CGMPtn_pos	0.0	0.0	0.0	0.0
35CGMPtn_neg	0.0	0.0	0.0	0.0
3AIBt_pos	0.0	0.0	0.0	0.0
3AIBTm_pos	6.0802312720192635	6.4971333036711085	5.896271848807375	6.70984201927331
3AIBTm_neg	6.0802312720192635	6.4971333036711085	5.896271848807375	6.70984201927331
3AIBtm_pos	6.0802312720192635	6.4971333036711085	5.896271848807375	6.70984201927331
3DPHBH1_pos	0.0	0.0	0.0	0.0
3DPHBH2_pos	0.0	0.0	0.0	0.0
3DSPHR_pos	2.9354597478052895	2.963474123974886	3.5643781685650637	3.6678921252302343
3HAO_pos	8.803775951867634	8.688495109339474	8.492974756328	8.563196272216738
3HBCDm_pos	7.918863237274595	7.536752313400936	7.046578366620329	7.650405563658587
3HBCDm_neg	7.918863237274595	7.536752313400936	7.046578366620329	7.650405563658587
3HBCOAHLm_pos	0.0	0.0	0.0	0.0
3HKYNAKGAT_pos	7.536130629560068	7.537684337147519	6.563920775153289	7.549977142771825
3HLYTCL_pos	4.539158811108031	4.4269356196483365	3.773996325111173	5.036942844798256
3HPCOAHYD_pos	5.434628227636725	5.61559285651096	5.335926240928362	5.584361252518709
3HPPD_pos	0.0	0.0	0.0	0.0
3HPPD_neg	0.0	0.0	0.0	0.0
3HXKYNDCL_pos	4.539158811108031	4.4269356196483365	3.773996325111173	5.036942844798256
3HXKYNOXDA_pos	6.3368189425476436	6.672425341971495	6.42240121557753	6.410917687455214
3M4HDXPAC_pos	1.6507645591169022	1.3504972470841332	1.5897634869849773	1.560714954474479
3M4HDXPAC_neg	1.6507645591169022	1.3504972470841332	1.5897634869849773	1.560714954474479
3MLDAt_pos	0.0	0.0	0.0	0.0
3MLDAt_neg	0.0	0.0	0.0	0.0
3MOBt2im_pos	0.0	0.0	0.0	0.0
3MOPt2im_pos	0.0	0.0	0.0	0.0
3MOX4HOXPGALDOX_pos	1.6507645591169022	1.3504972470841332	1.5897634869849773	1.560714954474479
3MOX4HOXPGALDOX_NADP__pos	1.6507645591169022	1.3504972470841332	1.5897634869849773	1.560714954474479
3MOX4HOXPGALDOX_NADP__neg	1.6507645591169022	1.3504972470841332	1.5897634869849773	1.560714954474479
3MOXTYROX_pos	6.3368189425476436	6.672425341971495	6.42240121557753	6.410917687455214
3NTD7l_pos	3.894332742277694	4.040015678847879	3.8399595874895316	4.484782623077873
3SALAASPm_pos	6.151168794186662	6.498889086976805	6.0	6.57349571549561
3SALAASPm_neg	6.151168794186662	6.498889086976805	6.0	6.57349571549561
3SALACBOXL_pos	6.245647773636751	6.604367899893749	5.03121873061072	5.666472568842073
3SALAOX_pos	0.0	0.0	0.0	0.0
3SALATAi_pos	6.8533719408673885	6.5000052920931335	7.303141437858268	7.029784146369549
3SALATAim_pos	7.957160096532652	8.017977566454508	7.938050499534043	8.240028051916184
3SPYRSP_pos	0.0	0.0	0.0	0.0
3SPYRSPm_pos	0.0	0.0	0.0	0.0
41R1H2MAE12BOOX_pos	6.3368189425476436	6.672425341971495	6.42240121557753	6.410917687455214
41R2A1H12BOOX_pos	6.3368189425476436	6.672425341971495	6.42240121557753	6.410917687455214
42A12BOOX_pos	6.361943773735241	6.689019541377949	6.455820365084919	6.428778891337586
4ABUTtm_pos	0.0	0.0	0.0	0.0
4ABUTtm_neg	0.0	0.0	0.0	0.0
4HBZCOAFm_pos	0.0	0.0	0.0	0.0
4HBZFm_pos	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_pos	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_neg	0.0	0.0	0.0	0.0
4HGLSDm_pos	7.04799635603865	7.27015513876653	6.8740592031411465	7.304237225017136
4HOXPACDOX_NADP__pos	1.6507645591169022	1.3504972470841332	1.5897634869849773	1.560714954474479
4HOXPACDOX_NADP__neg	1.6507645591169022	1.3504972470841332	1.5897634869849773	1.560714954474479
4MOPt2im_pos	0.0	0.0	0.0	0.0
4MPTNLte_pos	0.0	0.0	0.0	0.0
4MPTNLte_neg	0.0	0.0	0.0	0.0
4MPTNLtm_pos	0.0	0.0	0.0	0.0
4MPTNLtm_neg	0.0	0.0	0.0	0.0
4MPTNLtr_pos	0.0	0.0	0.0	0.0
4MPTNLtr_neg	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_pos	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_neg	0.0	0.0	0.0	0.0
4NPHSFte_pos	0.0	0.0	0.0	0.0
4NPHSFte_neg	0.0	0.0	0.0	0.0
4NPHSULT_pos	0.0	0.0	0.0	0.0
4NPHte_pos	0.0	0.0	0.0	0.0
4NPHte_neg	0.0	0.0	0.0	0.0
4PYRDX_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCte_pos	0.6599245584023783	0.5945485495503542	0.765534746362977	0.5360529002402097
5ADTSTSTERONEGLCtr_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCtr_neg	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_neg	0.0	0.0	0.0	0.0
5ADTSTSTERONESULT_pos	0.0	0.0	0.25096157353321874	0.32192809488736235
5ADTSTSTERONEte_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEte_neg	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_neg	0.0	0.0	0.0	0.0
5AOPtm_pos	0.0	0.0	0.0	0.0
5AOPtm_neg	0.0	0.0	0.0	0.0
5DHFtl_pos	0.0	0.0	0.0	0.0
5FTHFt2_pos	2.063502942306158	1.9297909977185974	1.4005379295837286	2.1731274334806563
5FTHFt2_neg	2.063502942306158	1.9297909977185974	1.4005379295837286	2.1731274334806563
5HLTDL_pos	4.539158811108031	4.4269356196483365	3.773996325111173	5.036942844798256
