	Ob.1012.d_S149_L007_R1_001	WT.DHA.a_S118_L007_R1_001	Ob.911.c_S139_L007_R1_001	Ob.d_S146_L007_R1_001
10FTHF5GLUtl_pos	0.0	0.0	0.0	0.0
10FTHF5GLUtm_pos	0.0	0.0	0.0	0.0
10FTHF6GLUtl_pos	0.0	0.0	0.0	0.0
10FTHF6GLUtm_pos	0.0	0.0	0.0	0.0
10FTHF7GLUtl_pos	0.0	0.0	0.0	0.0
10FTHF7GLUtm_pos	0.0	0.0	0.0	0.0
10FTHFtl_pos	0.0	0.0	0.0	0.0
10FTHFtl_neg	0.0	0.0	0.0	0.0
10FTHFtm_pos	0.0	0.0	0.0	0.0
10FTHFtm_neg	0.0	0.0	0.0	0.0
11DOCRTSLtm_pos	0.0	0.0	0.0	0.0
11DOCRTSLtm_neg	0.0	0.0	0.0	0.0
11DOCRTSLtr_pos	0.0	0.0	0.0	0.0
11DOCRTSLtr_neg	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_pos	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_neg	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_pos	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_neg	0.0	0.0	0.0	0.0
13DAMPPOX_pos	1.8073549220576042	0.765534746362977	1.6553518286125541	1.9373443921502325
1a_24_25VITD2Hm_pos	0.0	0.0	0.0	0.0
1a_24_25VITD3Hm_pos	0.0	0.0	0.0	0.0
1a_25VITD2Hm_pos	0.0	0.0	0.0	0.0
1a_25VITD3Hm_pos	0.0	0.0	0.0	0.0
1MNCAMti_pos	0.0	0.0	0.0	0.0
1PPDCRp_pos	0.0	0.0	0.0	0.0
24_25DHVITD2t_pos	0.0	0.0	0.0	0.0
24_25DHVITD2tm_pos	0.0	0.0	0.0	0.0
24_25DHVITD3t_pos	0.0	0.0	0.0	0.0
24_25DHVITD3tm_pos	0.0	0.0	0.0	0.0
24_25VITD2Hm_pos	0.0	0.0	0.0	0.0
24_25VITD3Hm_pos	0.0	0.0	0.0	0.0
24NPHte_pos	0.0	0.0	0.0	0.0
24NPHte_neg	0.0	0.0	0.0	0.0
25HVITD2t_pos	0.0	0.0	0.0	0.0
25HVITD2tin_pos	0.0	0.0	0.0	0.0
25HVITD2tin_m_pos	0.0	0.0	0.0	0.0
25HVITD2tm_pos	0.0	0.0	0.0	0.0
25HVITD3t_pos	0.0	0.0	0.0	0.0
25HVITD3tin_pos	0.0	0.0	0.0	0.0
25HVITD3tin_m_pos	0.0	0.0	0.0	0.0
25HVITD3tm_pos	0.0	0.0	0.0	0.0
25VITD2Hm_pos	0.0	0.0	0.0	0.0
25VITD3Hm_pos	0.0	0.0	0.0	0.0
2AMACHYD_pos	8.482243269552928	7.5259905383289425	8.139653667567865	8.843450018458745
2AMACSULT_pos	0.0	0.0	0.0	0.0
2AMADPTm_pos	3.215678596607928	2.2539892662307865	2.7398481026993275	3.423578170981797
2DR1PP_pos	0.0	0.0	0.0	0.0
2HBO_pos	10.584253189169774	9.987114760037898	10.286234302923123	10.45929840911026
2HBO_neg	10.584253189169774	9.987114760037898	10.286234302923123	10.45929840911026
2HBt2_pos	6.797531839571962	5.22573765346606	6.766197597300844	6.721509375424886
2HBt2_neg	6.797531839571962	5.22573765346606	6.766197597300844	6.721509375424886
2HCO3_NAt_pos	4.713145902490259	3.6881803585869264	5.633721812641012	5.2265085298086795
2HCO3_NAt_neg	4.713145902490259	3.6881803585869264	5.633721812641012	5.2265085298086795
2MCITt_pos	0.0	0.0	0.0	0.0
2MCITt_neg	0.0	0.0	0.0	0.0
2OXOADOXm_pos	7.54480991902226	6.741511929471847	7.702357412399317	7.564479791855416
2OXOADPTm_pos	3.215678596607928	2.2539892662307865	2.7398481026993275	3.423578170981797
2OXOADPTm_neg	3.215678596607928	2.2539892662307865	2.7398481026993275	3.423578170981797
34DHOXPEGOX_pos	8.813909425077028	8.619669773378734	8.802774831560018	8.924782818217228
34DHOXPEGOX_neg	8.813909425077028	8.619669773378734	8.802774831560018	8.924782818217228
34DHOXPEGt_pos	0.0	0.0	0.0	0.0
34DHOXPEGt_neg	0.0	0.0	0.0	0.0
34DHPHAMT_pos	14.51452298053983	14.843055410094797	14.932989328086345	16.09900994742726
34DHPHEt_pos	4.3197624276692475	4.995032192477536	4.948600847493355	4.549053029337288
34DHPHEt_neg	4.3197624276692475	4.995032192477536	4.948600847493355	4.549053029337288
34DHPLACOX_pos	1.8875252707415875	1.4646682670034445	1.831877241191673	1.6088092426755238
34DHPLACOX_NADP__pos	1.7739963251111732	1.3895668117627256	1.4905701304462013	1.4329594072761063
34DHPLACOX_NADP__neg	1.7739963251111732	1.3895668117627256	1.4905701304462013	1.4329594072761063
34DHXMANDACOX_pos	1.8875252707415875	1.4646682670034445	1.831877241191673	1.6088092426755238
34DHXMANDACOX_NADP__pos	1.7739963251111732	1.3895668117627256	1.4905701304462013	1.3504972470841332
34DHXMANDACOX_NADP__neg	1.7739963251111732	1.3895668117627256	1.4905701304462013	1.3504972470841332
34HPLFM_pos	0.0	0.0	0.0	0.0
34HPPOR_pos	10.431591621870602	10.291285833996586	10.123681714114753	10.866266644686474
35CGMPtn_pos	0.0	0.0	0.0	0.0
35CGMPtn_neg	0.0	0.0	0.0	0.0
3AIBt_pos	0.0	0.0	0.0	0.0
3AIBTm_pos	6.8003822483033805	6.274075254506884	7.190911111630688	7.46033302137883
3AIBTm_neg	6.8003822483033805	6.274075254506884	7.190911111630688	7.46033302137883
3AIBtm_pos	6.8003822483033805	6.274075254506884	7.190911111630688	7.46033302137883
3DPHBH1_pos	0.0	0.0	0.0	0.0
3DPHBH2_pos	0.0	0.0	0.0	0.0
3DSPHR_pos	4.507160349117523	3.791814071161826	4.813524689297811	4.37364821133469
3HAO_pos	8.679304150357	8.503348735167505	8.451046222976684	8.449231200669493
3HBCDm_pos	7.665549107596257	7.5654448562594165	7.527007760637202	7.562471405261294
3HBCDm_neg	7.665549107596257	7.5654448562594165	7.527007760637202	7.562471405261294
3HBCOAHLm_pos	0.0	0.0	0.0	0.0
3HKYNAKGAT_pos	6.364922558505775	7.458611672584599	6.459595551941364	6.7090148649032715
3HLYTCL_pos	5.609104846618959	5.5530532527664125	5.666472568842073	5.766860143829545
3HPCOAHYD_pos	6.069959890459774	5.493134922305505	6.2420308019227315	6.178714641175443
3HPPD_pos	0.0	0.0	0.0	0.0
3HPPD_neg	0.0	0.0	0.0	0.0
3HXKYNDCL_pos	5.609104846618959	5.5530532527664125	5.666472568842073	5.766860143829545
3HXKYNOXDA_pos	7.2048645439128025	6.38404980679516	7.308976041868697	7.427103287152841
3M4HDXPAC_pos	1.8875252707415875	1.4646682670034445	1.831877241191673	1.6088092426755238
3M4HDXPAC_neg	1.8875252707415875	1.4646682670034445	1.831877241191673	1.6088092426755238
3MLDAt_pos	0.0	0.0	0.0	0.0
3MLDAt_neg	0.0	0.0	0.0	0.0
3MOBt2im_pos	0.0	0.0	0.0	0.0
3MOPt2im_pos	0.0	0.0	0.0	0.0
3MOX4HOXPGALDOX_pos	1.8875252707415875	1.4646682670034445	1.831877241191673	1.6088092426755238
3MOX4HOXPGALDOX_NADP__pos	1.8875252707415875	1.4646682670034445	1.831877241191673	1.6088092426755238
3MOX4HOXPGALDOX_NADP__neg	1.8875252707415875	1.4646682670034445	1.831877241191673	1.6088092426755238
3MOXTYROX_pos	7.2048645439128025	6.38404980679516	7.308976041868697	7.427103287152841
3NTD7l_pos	4.443606651475615	4.245647773636751	4.704871964456353	4.292781749227846
3SALAASPm_pos	6.811984719351674	6.400708693037901	7.1023431897490505	7.13699111208023
3SALAASPm_neg	6.811984719351674	6.400708693037901	7.1023431897490505	7.13699111208023
3SALACBOXL_pos	6.65219964830406	6.1801080687120145	7.235056862707101	5.925049964727359
3SALAOX_pos	0.0	0.0	0.0	0.0
3SALATAi_pos	7.391286558111185	6.7566230352031535	7.313790025443685	7.317503062029273
3SALATAim_pos	8.994777696541636	8.077082738064629	8.904243227203661	8.958784687942808
3SPYRSP_pos	0.0	0.0	0.0	0.0
3SPYRSPm_pos	0.0	0.0	0.0	0.0
41R1H2MAE12BOOX_pos	7.2048645439128025	6.38404980679516	7.308976041868697	7.427103287152841
41R2A1H12BOOX_pos	7.2048645439128025	6.38404980679516	7.308976041868697	7.427103287152841
42A12BOOX_pos	7.2291072006540045	6.396090970394369	7.328405658958567	7.450633918369583
4ABUTtm_pos	0.0	0.0	0.0	0.0
4ABUTtm_neg	0.0	0.0	0.0	0.0
4HBZCOAFm_pos	0.0	0.0	0.0	0.0
4HBZFm_pos	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_pos	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_neg	0.0	0.0	0.0	0.0
4HGLSDm_pos	7.685589801169943	7.066304502008189	8.120082322320958	8.092968509324141
4HOXPACDOX_NADP__pos	1.8875252707415875	1.4646682670034445	1.831877241191673	1.6088092426755238
4HOXPACDOX_NADP__neg	1.8875252707415875	1.4646682670034445	1.831877241191673	1.6088092426755238
4MOPt2im_pos	0.0	0.0	0.0	0.0
4MPTNLte_pos	0.0	0.0	0.0	0.0
4MPTNLte_neg	0.0	0.0	0.0	0.0
4MPTNLtm_pos	0.0	0.0	0.0	0.0
4MPTNLtm_neg	0.0	0.0	0.0	0.0
4MPTNLtr_pos	0.0	0.0	0.0	0.0
4MPTNLtr_neg	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_pos	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_neg	0.0	0.0	0.0	0.0
4NPHSFte_pos	0.0	0.0	0.0	0.0
4NPHSFte_neg	0.0	0.0	0.0	0.0
4NPHSULT_pos	0.0	0.0	0.0	0.0
4NPHte_pos	0.0	0.0	0.0	0.0
4NPHte_neg	0.0	0.0	0.0	0.0
4PYRDX_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCte_pos	0.8237493603082727	0.6959938131099002	0.963474123974886	0.3103401206121505
5ADTSTSTERONEGLCtr_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCtr_neg	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_neg	0.0	0.0	0.0	0.0
5ADTSTSTERONESULT_pos	3.5777309314900805	0.0	2.792855352362489	5.429281193335658
5ADTSTSTERONEte_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEte_neg	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_neg	0.0	0.0	0.0	0.0
5AOPtm_pos	0.0	0.0	0.0	0.0
5AOPtm_neg	0.0	0.0	0.0	0.0
5DHFtl_pos	0.0	0.0	0.0	0.0
5FTHFt2_pos	3.344828496997441	2.4724877714627436	3.3687683490903346	3.605257262939004
5FTHFt2_neg	3.344828496997441	2.4724877714627436	3.3687683490903346	3.605257262939004
5HLTDL_pos	5.609104846618959	5.5530532527664125	5.666472568842073	5.766860143829545
