	WT.EPA.b_S127_L007_R1_001	Ob.911.a_S124_L007_R1_001	Ob.b_S131_L007_R1_001	WT.1012.b_S130_L007_R1_001
10FTHF5GLUtl_pos	0.0	0.0	0.0	0.0
10FTHF5GLUtm_pos	0.0	0.0	0.0	0.0
10FTHF6GLUtl_pos	0.0	0.0	0.0	0.0
10FTHF6GLUtm_pos	0.0	0.0	0.0	0.0
10FTHF7GLUtl_pos	0.0	0.0	0.0	0.0
10FTHF7GLUtm_pos	0.0	0.0	0.0	0.0
10FTHFtl_pos	0.0	0.0	0.0	0.0
10FTHFtl_neg	0.0	0.0	0.0	0.0
10FTHFtm_pos	0.0	0.0	0.0	0.0
10FTHFtm_neg	0.0	0.0	0.0	0.0
11DOCRTSLtm_pos	0.0	0.0	0.0	0.0
11DOCRTSLtm_neg	0.0	0.0	0.0	0.0
11DOCRTSLtr_pos	0.0	0.0	0.0	0.0
11DOCRTSLtr_neg	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_pos	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_neg	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_pos	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_neg	0.0	0.0	0.0	0.0
13DAMPPOX_pos	1.2509615735332187	1.1243281350022019	0.7739963251111731	1.0426443374084937
1a_24_25VITD2Hm_pos	0.0	0.0	0.0	0.0
1a_24_25VITD3Hm_pos	0.0	0.0	0.0	0.0
1a_25VITD2Hm_pos	0.0	0.0	0.0	0.0
1a_25VITD3Hm_pos	0.0	0.0	0.0	0.0
1MNCAMti_pos	0.0	0.0	0.0	0.0
1PPDCRp_pos	0.0	0.0	0.0	0.0
24_25DHVITD2t_pos	0.0	0.0	0.0	0.0
24_25DHVITD2tm_pos	0.0	0.0	0.0	0.0
24_25DHVITD3t_pos	0.0	0.0	0.0	0.0
24_25DHVITD3tm_pos	0.0	0.0	0.0	0.0
24_25VITD2Hm_pos	0.0	0.0	0.0	0.0
24_25VITD3Hm_pos	0.0	0.0	0.0	0.0
24NPHte_pos	0.0	0.0	0.0	0.0
24NPHte_neg	0.0	0.0	0.0	0.0
25HVITD2t_pos	0.0	0.0	0.0	0.0
25HVITD2tin_pos	0.0	0.0	0.0	0.0
25HVITD2tin_m_pos	0.0	0.0	0.0	0.0
25HVITD2tm_pos	0.0	0.0	0.0	0.0
25HVITD3t_pos	0.0	0.0	0.0	0.0
25HVITD3tin_pos	0.0	0.0	0.0	0.0
25HVITD3tin_m_pos	0.0	0.0	0.0	0.0
25HVITD3tm_pos	0.0	0.0	0.0	0.0
25VITD2Hm_pos	0.0	0.0	0.0	0.0
25VITD3Hm_pos	0.0	0.0	0.0	0.0
2AMACHYD_pos	8.390340951317327	9.49855006804894	6.878112237463021	7.533796926299842
2AMACSULT_pos	0.0	0.0	0.0	0.0
2AMADPTm_pos	2.944858445807539	2.8698714061777126	3.626439136697315	2.6392321632492775
2DR1PP_pos	0.0	0.0	0.0	0.0
2HBO_pos	9.618357969647782	10.407639544955689	10.96475599807484	9.678978587851539
2HBO_neg	9.618357969647782	10.407639544955689	10.96475599807484	9.678978587851539
2HBt2_pos	5.383704292474052	6.671434917249007	7.136170874667252	5.2141248053528475
2HBt2_neg	5.383704292474052	6.671434917249007	7.136170874667252	5.2141248053528475
2HCO3_NAt_pos	3.9078520718459635	5.209843230525496	5.671576448130652	3.5459683691052923
2HCO3_NAt_neg	3.9078520718459635	5.209843230525496	5.671576448130652	3.5459683691052923
2MCITt_pos	0.0	0.0	0.0	0.0
2MCITt_neg	0.0	0.0	0.0	0.0
2OXOADOXm_pos	6.859182740337325	7.87909307886454	7.638556586069575	6.810657315643945
2OXOADPTm_pos	2.944858445807539	2.8698714061777126	3.626439136697315	2.6392321632492775
2OXOADPTm_neg	2.944858445807539	2.8698714061777126	3.626439136697315	2.6392321632492775
34DHOXPEGOX_pos	8.892967745764063	9.057639803001146	8.903068406308869	8.77630142370163
34DHOXPEGOX_neg	8.892967745764063	9.057639803001146	8.903068406308869	8.77630142370163
34DHOXPEGt_pos	0.0	0.0	0.0	0.0
34DHOXPEGt_neg	0.0	0.0	0.0	0.0
34DHPHAMT_pos	14.025040910132457	14.468083694699136	15.202767412497945	15.028704250046095
34DHPHEt_pos	5.112700132749362	5.054414387917307	4.625854931368057	5.2502036564992975
34DHPHEt_neg	5.112700132749362	5.054414387917307	4.625854931368057	5.2502036564992975
34DHPLACOX_pos	1.6690267655096305	2.3305584000308026	1.8439838440483265	1.3895668117627256
34DHPLACOX_NADP__pos	1.5410191531335593	2.137503523749935	1.5897634869849773	1.2509615735332187
34DHPLACOX_NADP__neg	1.5410191531335593	2.137503523749935	1.5897634869849773	1.2509615735332187
34DHXMANDACOX_pos	1.6690267655096305	2.3305584000308026	1.8439838440483265	1.3895668117627256
34DHXMANDACOX_NADP__pos	1.5410191531335593	2.137503523749935	1.5897634869849773	1.2509615735332187
34DHXMANDACOX_NADP__neg	1.5410191531335593	2.137503523749935	1.5897634869849773	1.2509615735332187
34HPLFM_pos	0.0	0.0	0.0	0.0
34HPPOR_pos	10.673476923762857	11.425305085327222	10.706487384312787	10.53685913833712
35CGMPtn_pos	0.0	0.0	0.0	0.0
35CGMPtn_neg	0.0	0.0	0.0	0.0
3AIBt_pos	0.0	0.0	0.0	0.0
3AIBTm_pos	6.826802684285827	7.798374592096839	7.705563274566321	6.611024797307352
3AIBTm_neg	6.826802684285827	7.798374592096839	7.705563274566321	6.611024797307352
3AIBtm_pos	6.826802684285827	7.798374592096839	7.705563274566321	6.611024797307352
3DPHBH1_pos	0.0	0.0	0.0	0.0
3DPHBH2_pos	0.0	0.0	0.0	0.0
3DSPHR_pos	3.8489984304000227	4.40667271575583	4.780310099043375	2.859969548221026
3HAO_pos	8.831307243802051	8.807097274938268	8.303004405924062	8.755455117702343
3HBCDm_pos	7.61772457453495	7.605034973571436	7.502632935082917	8.050392859979898
3HBCDm_neg	7.61772457453495	7.605034973571436	7.502632935082917	8.050392859979898
3HBCOAHLm_pos	0.0	0.0	0.0	0.0
3HKYNAKGAT_pos	7.668955876629638	7.19918154876397	6.70376517879341	7.650692767171383
3HLYTCL_pos	5.1440463696167065	6.167117030227439	5.169524197150003	5.345183447187665
3HPCOAHYD_pos	5.4584476274379226	6.297558281168186	6.395062799517578	5.520107901637548
3HPPD_pos	0.0	0.0	0.0	0.0
3HPPD_neg	0.0	0.0	0.0	0.0
3HXKYNDCL_pos	5.1440463696167065	6.167117030227439	5.169524197150003	5.345183447187665
3HXKYNOXDA_pos	6.798569003556882	7.662846365159479	7.687200694651894	6.286881147788161
3M4HDXPAC_pos	1.6690267655096305	2.3305584000308026	1.8439838440483265	1.3895668117627256
3M4HDXPAC_neg	1.6690267655096305	2.3305584000308026	1.8439838440483265	1.3895668117627256
3MLDAt_pos	0.0	0.0	0.0	0.0
3MLDAt_neg	0.0	0.0	0.0	0.0
3MOBt2im_pos	0.0	0.0	0.0	0.0
3MOPt2im_pos	0.0	0.0	0.0	0.0
3MOX4HOXPGALDOX_pos	1.6690267655096305	2.3305584000308026	1.8439838440483265	1.3895668117627256
3MOX4HOXPGALDOX_NADP__pos	1.6690267655096305	2.3305584000308026	1.8439838440483265	1.3895668117627256
3MOX4HOXPGALDOX_NADP__neg	1.6690267655096305	2.3305584000308026	1.8439838440483265	1.3895668117627256
3MOXTYROX_pos	6.798569003556882	7.662846365159479	7.687200694651894	6.286881147788161
3NTD7l_pos	4.302319050948834	4.565597175854225	4.787118982813345	4.269781238274379
3SALAASPm_pos	6.6700188442644	7.272396509037486	7.424334278459753	6.443606651475615
3SALAASPm_neg	6.6700188442644	7.272396509037486	7.424334278459753	6.443606651475615
3SALACBOXL_pos	7.228337711981378	7.078844629235234	5.724923070266613	5.975905273523699
3SALAOX_pos	0.0	0.0	0.0	0.0
3SALATAi_pos	7.469560421711221	9.055607818739247	5.48058827023386	6.624539603781834
3SALATAim_pos	8.273376014607148	9.134066885225876	8.931446685298667	8.052513710984531
3SPYRSP_pos	0.0	0.0	0.0	0.0
3SPYRSPm_pos	0.0	0.0	0.0	0.0
41R1H2MAE12BOOX_pos	6.798569003556882	7.662846365159479	7.687200694651894	6.286881147788161
41R2A1H12BOOX_pos	6.798569003556882	7.662846365159479	7.687200694651894	6.286881147788161
42A12BOOX_pos	6.816343705284859	7.671222594889838	7.6921621365571955	6.3063351601979765
4ABUTtm_pos	0.0	0.0	0.0	0.0
4ABUTtm_neg	0.0	0.0	0.0	0.0
4HBZCOAFm_pos	0.0	0.0	0.0	0.0
4HBZFm_pos	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_pos	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_neg	0.0	0.0	0.0	0.0
4HGLSDm_pos	7.617798025902778	8.454463811114833	8.078524445389077	7.237926946626263
4HOXPACDOX_NADP__pos	1.6690267655096305	2.3305584000308026	1.8439838440483265	1.3895668117627256
4HOXPACDOX_NADP__neg	1.6690267655096305	2.3305584000308026	1.8439838440483265	1.3895668117627256
4MOPt2im_pos	0.0	0.0	0.0	0.0
4MPTNLte_pos	0.0	0.0	0.0	0.0
4MPTNLte_neg	0.0	0.0	0.0	0.0
4MPTNLtm_pos	0.0	0.0	0.0	0.0
4MPTNLtm_neg	0.0	0.0	0.0	0.0
4MPTNLtr_pos	0.0	0.0	0.0	0.0
4MPTNLtr_neg	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_pos	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_neg	0.0	0.0	0.0	0.0
4NPHSFte_pos	0.0	0.0	0.0	0.0
4NPHSFte_neg	0.0	0.0	0.0	0.0
4NPHSULT_pos	0.0	0.0	0.0	0.0
4NPHte_pos	0.0	0.0	0.0	0.0
4NPHte_neg	0.0	0.0	0.0	0.0
4PYRDX_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCte_pos	0.7048719644563528	1.0356239097307212	1.01435529297707	0.12432813500220177
5ADTSTSTERONEGLCtr_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCtr_neg	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_neg	0.0	0.0	0.0	0.0
5ADTSTSTERONESULT_pos	0.45417589318580215	7.57106999816771	5.706254253573203	0.0
5ADTSTSTERONEte_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEte_neg	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_neg	0.0	0.0	0.0	0.0
5AOPtm_pos	0.0	0.0	0.0	0.0
5AOPtm_neg	0.0	0.0	0.0	0.0
5DHFtl_pos	0.0	0.0	0.0	0.0
5FTHFt2_pos	2.582556003014061	3.495695162624069	3.319039815562536	1.6690267655096307
5FTHFt2_neg	2.582556003014061	3.495695162624069	3.319039815562536	1.6690267655096307
5HLTDL_pos	5.1440463696167065	6.167117030227439	5.169524197150003	5.345183447187665
