	Ob.EPA.c_S137_L007_R1_001	Ob.EPA.e_S153_L007_R1_001	Ob.1012.b_S133_L007_R1_001	WT.911.b_S129_L007_R1_001
10FTHF5GLUtl_pos	0.0	0.0	0.0	0.0
10FTHF5GLUtm_pos	0.0	0.0	0.0	0.0
10FTHF6GLUtl_pos	0.0	0.0	0.0	0.0
10FTHF6GLUtm_pos	0.0	0.0	0.0	0.0
10FTHF7GLUtl_pos	0.0	0.0	0.0	0.0
10FTHF7GLUtm_pos	0.0	0.0	0.0	0.0
10FTHFtl_pos	0.0	0.0	0.0	0.0
10FTHFtl_neg	0.0	0.0	0.0	0.0
10FTHFtm_pos	0.0	0.0	0.0	0.0
10FTHFtm_neg	0.0	0.0	0.0	0.0
11DOCRTSLtm_pos	0.0	0.0	0.0	0.0
11DOCRTSLtm_neg	0.0	0.0	0.0	0.0
11DOCRTSLtr_pos	0.0	0.0	0.0	0.0
11DOCRTSLtr_neg	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_pos	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_neg	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_pos	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_neg	0.0	0.0	0.0	0.0
13DAMPPOX_pos	0.8797057662822882	1.01435529297707	1.4594316186372973	0.9411063109464314
1a_24_25VITD2Hm_pos	0.0	0.0	0.0	0.0
1a_24_25VITD3Hm_pos	0.0	0.0	0.0	0.0
1a_25VITD2Hm_pos	0.0	0.0	0.0	0.0
1a_25VITD3Hm_pos	0.0	0.0	0.0	0.0
1MNCAMti_pos	0.0	0.0	0.0	0.0
1PPDCRp_pos	0.0	0.0	0.0	0.0
24_25DHVITD2t_pos	0.0	0.0	0.0	0.0
24_25DHVITD2tm_pos	0.0	0.0	0.0	0.0
24_25DHVITD3t_pos	0.0	0.0	0.0	0.0
24_25DHVITD3tm_pos	0.0	0.0	0.0	0.0
24_25VITD2Hm_pos	0.0	0.0	0.0	0.0
24_25VITD3Hm_pos	0.0	0.0	0.0	0.0
24NPHte_pos	0.0	0.0	0.0	0.0
24NPHte_neg	0.0	0.0	0.0	0.0
25HVITD2t_pos	0.0	0.0	0.0	0.0
25HVITD2tin_pos	0.0	0.0	0.0	0.0
25HVITD2tin_m_pos	0.0	0.0	0.0	0.0
25HVITD2tm_pos	0.0	0.0	0.0	0.0
25HVITD3t_pos	0.0	0.0	0.0	0.0
25HVITD3tin_pos	0.0	0.0	0.0	0.0
25HVITD3tin_m_pos	0.0	0.0	0.0	0.0
25HVITD3tm_pos	0.0	0.0	0.0	0.0
25VITD2Hm_pos	0.0	0.0	0.0	0.0
25VITD3Hm_pos	0.0	0.0	0.0	0.0
2AMACHYD_pos	8.849561482178293	8.82889810228802	8.720107422393323	8.41265452194556
2AMACSULT_pos	0.0	0.0	0.0	0.0
2AMADPTm_pos	3.62760683812965	3.3909427728025427	3.463360885816658	2.3950627995175777
2DR1PP_pos	0.0	0.0	0.0	0.0
2HBO_pos	10.565773275340668	10.467330433696745	10.516487980909975	9.610914100346477
2HBO_neg	10.565773275340668	10.467330433696745	10.516487980909975	9.610914100346477
2HBt2_pos	6.853621455748828	6.995710628907104	6.66519377274042	5.616181231331876
2HBt2_neg	6.853621455748828	6.995710628907104	6.66519377274042	5.616181231331876
2HCO3_NAt_pos	5.067380578019059	5.674121632632394	4.6661884898727815	3.8469946869655733
2HCO3_NAt_neg	5.067380578019059	5.674121632632394	4.6661884898727815	3.8469946869655733
2MCITt_pos	0.0	0.0	0.0	0.0
2MCITt_neg	0.0	0.0	0.0	0.0
2OXOADOXm_pos	7.517984266738409	7.892937397834681	7.358079723348917	6.839707698350369
2OXOADPTm_pos	3.62760683812965	3.3909427728025427	3.463360885816658	2.3950627995175777
2OXOADPTm_neg	3.62760683812965	3.3909427728025427	3.463360885816658	2.3950627995175777
34DHOXPEGOX_pos	8.770168320103428	8.989337727648877	8.722978254208725	8.901621158346112
34DHOXPEGOX_neg	8.770168320103428	8.989337727648877	8.722978254208725	8.901621158346112
34DHOXPEGt_pos	0.0	0.0	0.0	0.0
34DHOXPEGt_neg	0.0	0.0	0.0	0.0
34DHPHAMT_pos	14.395639897090641	14.666089714938188	15.309569077271314	15.041784902899328
34DHPHEt_pos	4.524815928357506	5.016585460434449	4.354734239970604	5.1630961384360115
34DHPHEt_neg	4.524815928357506	5.016585460434449	4.354734239970604	5.1630961384360115
34DHPLACOX_pos	1.4750848829487826	2.1076878693143737	1.3840498067951599	1.726831217032493
34DHPLACOX_NADP__pos	1.2630344058337937	1.765534746362977	1.3219280948873624	1.5558161550616396
34DHPLACOX_NADP__neg	1.2630344058337937	1.765534746362977	1.3219280948873624	1.5558161550616396
34DHXMANDACOX_pos	1.4750848829487826	2.1076878693143737	1.3840498067951599	1.726831217032493
34DHXMANDACOX_NADP__pos	1.2630344058337937	1.765534746362977	1.3219280948873624	1.5558161550616396
34DHXMANDACOX_NADP__neg	1.2630344058337937	1.765534746362977	1.3219280948873624	1.5558161550616396
34HPLFM_pos	0.0	0.0	0.0	0.0
34HPPOR_pos	10.542935121636555	10.688267796239813	10.497542512324765	10.674386497976892
35CGMPtn_pos	0.0	0.0	0.0	0.0
35CGMPtn_neg	0.0	0.0	0.0	0.0
3AIBt_pos	0.0	0.0	0.0	0.0
3AIBTm_pos	6.989820220117596	7.594100623531474	6.7520795309485955	6.534808661231747
3AIBTm_neg	6.989820220117596	7.594100623531474	6.7520795309485955	6.534808661231747
3AIBtm_pos	6.989820220117596	7.594100623531474	6.7520795309485955	6.534808661231747
3DPHBH1_pos	0.0	0.0	0.0	0.0
3DPHBH2_pos	0.0	0.0	0.0	0.0
3DSPHR_pos	4.142413437873741	4.838447592548458	4.428276414392509	3.339137384919585
3HAO_pos	8.694915006448664	8.78953364497036	8.908932967244537	8.740961280358384
3HBCDm_pos	7.415741768290091	7.5530532527664125	7.704871964456353	8.010388235311854
3HBCDm_neg	7.415741768290091	7.5530532527664125	7.704871964456353	8.010388235311854
3HBCOAHLm_pos	0.0	0.0	0.0	0.0
3HKYNAKGAT_pos	6.385948657855972	6.636769607734454	6.322829497628895	7.473868069043629
3HLYTCL_pos	5.837943241891027	5.674121632632394	5.394376944957055	4.952333566369686
3HPCOAHYD_pos	6.239741717680673	6.414812060565847	6.112700132749362	5.460087240116833
3HPPD_pos	0.0	0.0	0.0	0.0
3HPPD_neg	0.0	0.0	0.0	0.0
3HXKYNDCL_pos	5.837943241891027	5.674121632632394	5.394376944957055	4.952333566369686
3HXKYNOXDA_pos	7.457955380049278	7.460742563789644	7.1656105087627315	6.980825052014211
3M4HDXPAC_pos	1.4750848829487826	2.1076878693143737	1.3840498067951599	1.726831217032493
3M4HDXPAC_neg	1.4750848829487826	2.1076878693143737	1.3840498067951599	1.726831217032493
3MLDAt_pos	0.0	0.0	0.0	0.0
3MLDAt_neg	0.0	0.0	0.0	0.0
3MOBt2im_pos	0.0	0.0	0.0	0.0
3MOPt2im_pos	0.0	0.0	0.0	0.0
3MOX4HOXPGALDOX_pos	1.4750848829487826	2.1076878693143737	1.3840498067951599	1.726831217032493
3MOX4HOXPGALDOX_NADP__pos	1.4750848829487826	2.1076878693143737	1.3840498067951599	1.726831217032493
3MOX4HOXPGALDOX_NADP__neg	1.4750848829487826	2.1076878693143737	1.3840498067951599	1.726831217032493
3MOXTYROX_pos	7.457955380049278	7.460742563789644	7.1656105087627315	6.980825052014211
3NTD7l_pos	4.444932048942182	4.444932048942182	4.166715444966422	4.032100843167024
3SALAASPm_pos	7.041001987167506	7.432625411432298	6.723695070441395	6.648609245174544
3SALAASPm_neg	7.041001987167506	7.432625411432298	6.723695070441395	6.648609245174544
3SALACBOXL_pos	6.217812330838862	6.714795011118162	6.35860724911781	5.6676083256737195
3SALAOX_pos	0.0	0.0	0.0	0.0
3SALATAi_pos	7.76593249347046	8.010052490595216	7.430452551665532	6.4961747022797685
3SALATAim_pos	8.841249829516796	9.128277932873363	8.780211658523335	8.147866326591235
3SPYRSP_pos	0.0	0.0	0.0	0.0
3SPYRSPm_pos	0.0	0.0	0.0	0.0
41R1H2MAE12BOOX_pos	7.457955380049278	7.460742563789644	7.1656105087627315	6.980825052014211
41R2A1H12BOOX_pos	7.457955380049278	7.460742563789644	7.1656105087627315	6.980825052014211
42A12BOOX_pos	7.464831606379887	7.469071952080386	7.18308946064076	6.991295078542866
4ABUTtm_pos	0.0	0.0	0.0	0.0
4ABUTtm_neg	0.0	0.0	0.0	0.0
4HBZCOAFm_pos	0.0	0.0	0.0	0.0
4HBZFm_pos	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_pos	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_neg	0.0	0.0	0.0	0.0
4HGLSDm_pos	7.902736873525256	8.223036337901874	7.72471847620247	7.236301266827087
4HOXPACDOX_NADP__pos	1.4750848829487826	2.1076878693143737	1.3840498067951599	1.726831217032493
4HOXPACDOX_NADP__neg	1.4750848829487826	2.1076878693143737	1.3840498067951599	1.726831217032493
4MOPt2im_pos	0.0	0.0	0.0	0.0
4MPTNLte_pos	0.0	0.0	0.0	0.0
4MPTNLte_neg	0.0	0.0	0.0	0.0
4MPTNLtm_pos	0.0	0.0	0.0	0.0
4MPTNLtm_neg	0.0	0.0	0.0	0.0
4MPTNLtr_pos	0.0	0.0	0.0	0.0
4MPTNLtr_neg	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_pos	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_neg	0.0	0.0	0.0	0.0
4NPHSFte_pos	0.0	0.0	0.0	0.0
4NPHSFte_neg	0.0	0.0	0.0	0.0
4NPHSULT_pos	0.0	0.0	0.0	0.0
4NPHte_pos	0.0	0.0	0.0	0.0
4NPHte_neg	0.0	0.0	0.0	0.0
4PYRDX_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCte_pos	1.2265085298086797	0.765534746362977	0.6135316529179271	0.48542682717024166
5ADTSTSTERONEGLCtr_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCtr_neg	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_neg	0.0	0.0	0.0	0.0
5ADTSTSTERONESULT_pos	6.282625134191674	5.938050499534043	3.077242998932461	0.0
5ADTSTSTERONEte_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEte_neg	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_neg	0.0	0.0	0.0	0.0
5AOPtm_pos	0.0	0.0	0.0	0.0
5AOPtm_neg	0.0	0.0	0.0	0.0
5DHFtl_pos	0.0	0.0	0.0	0.0
5FTHFt2_pos	3.5197934862411002	3.859969548221026	3.0908534304511135	2.114367024952
5FTHFt2_neg	3.5197934862411002	3.859969548221026	3.0908534304511135	2.114367024952
5HLTDL_pos	5.837943241891027	5.674121632632394	5.394376944957055	4.952333566369686
