	WT.e_S150_L007_R1_001	Ob.911.e_S155_L007_R1_001	WT.a_S116_L007_R1_001	Ob.911.d_S148_L007_R1_001
10FTHF5GLUtl_pos	0.0	0.0	0.0	0.0
10FTHF5GLUtm_pos	0.0	0.0	0.0	0.0
10FTHF6GLUtl_pos	0.0	0.0	0.0	0.0
10FTHF6GLUtm_pos	0.0	0.0	0.0	0.0
10FTHF7GLUtl_pos	0.0	0.0	0.0	0.0
10FTHF7GLUtm_pos	0.0	0.0	0.0	0.0
10FTHFtl_pos	0.0	0.0	0.0	0.0
10FTHFtl_neg	0.0	0.0	0.0	0.0
10FTHFtm_pos	0.0	0.0	0.0	0.0
10FTHFtm_neg	0.0	0.0	0.0	0.0
11DOCRTSLtm_pos	0.0	0.0	0.0	0.0
11DOCRTSLtm_neg	0.0	0.0	0.0	0.0
11DOCRTSLtr_pos	0.0	0.0	0.0	0.0
11DOCRTSLtr_neg	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_pos	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_neg	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_pos	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_neg	0.0	0.0	0.0	0.0
13DAMPPOX_pos	1.1309308698264486	1.7311832415722	1.269033146455237	0.7824085649273732
1a_24_25VITD2Hm_pos	0.0	0.0	0.0	0.0
1a_24_25VITD3Hm_pos	0.0	0.0	0.0	0.0
1a_25VITD2Hm_pos	0.0	0.0	0.0	0.0
1a_25VITD3Hm_pos	0.0	0.0	0.0	0.0
1MNCAMti_pos	0.0	0.0	0.0	0.0
1PPDCRp_pos	0.0	0.0	0.0	0.0
24_25DHVITD2t_pos	0.0	0.0	0.0	0.0
24_25DHVITD2tm_pos	0.0	0.0	0.0	0.0
24_25DHVITD3t_pos	0.0	0.0	0.0	0.0
24_25DHVITD3tm_pos	0.0	0.0	0.0	0.0
24_25VITD2Hm_pos	0.0	0.0	0.0	0.0
24_25VITD3Hm_pos	0.0	0.0	0.0	0.0
24NPHte_pos	0.0	0.0	0.0	0.0
24NPHte_neg	0.0	0.0	0.0	0.0
25HVITD2t_pos	0.0	0.0	0.0	0.0
25HVITD2tin_pos	0.0	0.0	0.0	0.0
25HVITD2tin_m_pos	0.0	0.0	0.0	0.0
25HVITD2tm_pos	0.0	0.0	0.0	0.0
25HVITD3t_pos	0.0	0.0	0.0	0.0
25HVITD3tin_pos	0.0	0.0	0.0	0.0
25HVITD3tin_m_pos	0.0	0.0	0.0	0.0
25HVITD3tm_pos	0.0	0.0	0.0	0.0
25VITD2Hm_pos	0.0	0.0	0.0	0.0
25VITD3Hm_pos	0.0	0.0	0.0	0.0
2AMACHYD_pos	8.51522674595618	9.636697115960407	8.92644426003389	8.008820757716158
2AMACSULT_pos	0.0	0.0	0.0	0.0
2AMADPTm_pos	2.7506065048355923	3.0548484769956197	2.6507645591169022	3.229587922740652
2DR1PP_pos	0.0	0.0	0.0	0.0
2HBO_pos	9.505116829227862	10.28778739774112	9.599745509604922	10.158325665171748
2HBO_neg	9.505116829227862	10.28778739774112	9.599745509604922	10.158325665171748
2HBt2_pos	5.061344188288391	6.709566353839991	5.2253520607761015	6.658497136656478
2HBt2_neg	5.061344188288391	6.709566353839991	5.2253520607761015	6.658497136656478
2HCO3_NAt_pos	3.2016338611696504	5.010779838753242	3.76659516172927	4.6690267655096305
2HCO3_NAt_neg	3.2016338611696504	5.010779838753242	3.76659516172927	4.6690267655096305
2MCITt_pos	0.0	0.0	0.0	0.0
2MCITt_neg	0.0	0.0	0.0	0.0
2OXOADOXm_pos	6.684444740132881	7.676356746361275	6.784024051712288	7.366030731258484
2OXOADPTm_pos	2.7506065048355923	3.0548484769956197	2.6507645591169022	3.229587922740652
2OXOADPTm_neg	2.7506065048355923	3.0548484769956197	2.6507645591169022	3.229587922740652
34DHOXPEGOX_pos	8.595593169744555	8.888103938579423	8.811406806564687	8.498410448860977
34DHOXPEGOX_neg	8.595593169744555	8.888103938579423	8.811406806564687	8.498410448860977
34DHOXPEGt_pos	0.0	0.0	0.0	0.0
34DHOXPEGt_neg	0.0	0.0	0.0	0.0
34DHPHAMT_pos	15.35082905585651	15.457317387806581	14.546460428851354	16.98477446004684
34DHPHEt_pos	4.979110755015785	4.95093492831454	5.049195105622275	4.211790976252541
34DHPHEt_neg	4.979110755015785	4.95093492831454	5.049195105622275	4.211790976252541
34DHPLACOX_pos	0.9486008474933557	2.298658315564515	1.495695162624069	2.5084286525318573
34DHPLACOX_NADP__pos	0.7907720378619999	1.899175630480513	1.3103401206121508	2.3673710656485296
34DHPLACOX_NADP__neg	0.7907720378619999	1.899175630480513	1.3103401206121508	2.3673710656485296
34DHXMANDACOX_pos	0.9486008474933557	2.298658315564515	1.495695162624069	2.5084286525318573
34DHXMANDACOX_NADP__pos	0.7907720378619999	1.899175630480513	1.2448870591235344	2.3673710656485296
34DHXMANDACOX_NADP__neg	0.7907720378619999	1.899175630480513	1.2448870591235344	2.3673710656485296
34HPLFM_pos	0.0	0.0	0.0	0.0
34HPPOR_pos	10.590212761408358	11.357546506531994	10.843018103222484	9.928651609283792
35CGMPtn_pos	0.0	0.0	0.0	0.0
35CGMPtn_neg	0.0	0.0	0.0	0.0
3AIBt_pos	0.0	0.0	0.0	0.0
3AIBTm_pos	6.41193462479118	7.449643906293753	6.484782623077873	6.217812330838862
3AIBTm_neg	6.41193462479118	7.449643906293753	6.484782623077873	6.217812330838862
3AIBtm_pos	6.41193462479118	7.449643906293753	6.484782623077873	6.217812330838862
3DPHBH1_pos	0.0	0.0	0.0	0.0
3DPHBH2_pos	0.0	0.0	0.0	0.0
3DSPHR_pos	3.215678596607928	4.100977647724821	3.346247774082775	4.177917792195843
3HAO_pos	8.569969500812164	8.628372628880236	9.011646582570775	8.416375316587276
3HBCDm_pos	7.758556362180206	7.567575868524113	7.737010677681807	7.47735352663456
3HBCDm_neg	7.758556362180206	7.567575868524113	7.737010677681807	7.47735352663456
3HBCOAHLm_pos	0.0	0.0	0.0	0.0
3HKYNAKGAT_pos	7.532550739284267	7.03121873061072	7.439623137557117	6.274820737040401
3HLYTCL_pos	5.41006969175638	5.608513578151302	5.459103696135399	4.744699314207836
3HPCOAHYD_pos	5.435295215647167	6.119771161952904	5.649328040984784	5.768449015180547
3HPPD_pos	0.0	0.0	0.0	0.0
3HPPD_neg	0.0	0.0	0.0	0.0
3HXKYNDCL_pos	5.41006969175638	5.608513578151302	5.459103696135399	4.744699314207836
3HXKYNOXDA_pos	6.101608058502118	7.511041012232137	6.767919585801803	6.850249358286328
3M4HDXPAC_pos	0.9486008474933557	2.298658315564515	1.495695162624069	2.5084286525318573
3M4HDXPAC_neg	0.9486008474933557	2.298658315564515	1.495695162624069	2.5084286525318573
3MLDAt_pos	0.0	0.0	0.0	0.0
3MLDAt_neg	0.0	0.0	0.0	0.0
3MOBt2im_pos	0.0	0.0	0.0	0.0
3MOPt2im_pos	0.0	0.0	0.0	0.0
3MOX4HOXPGALDOX_pos	0.9486008474933557	2.298658315564515	1.495695162624069	2.5084286525318573
3MOX4HOXPGALDOX_NADP__pos	0.9486008474933557	2.298658315564515	1.495695162624069	2.5084286525318573
3MOX4HOXPGALDOX_NADP__neg	0.9486008474933557	2.298658315564515	1.495695162624069	2.5084286525318573
3MOXTYROX_pos	6.101608058502118	7.511041012232137	6.767919585801803	6.850249358286328
3NTD7l_pos	4.097610796626422	4.548436624696042	4.121015400961366	3.8708578643637623
3SALAASPm_pos	6.460578760776026	7.174426393677253	6.552899602940303	6.421054946924242
3SALAASPm_neg	6.460578760776026	7.174426393677253	6.552899602940303	6.421054946924242
3SALACBOXL_pos	6.189824558880018	7.412781525338476	6.15562781584529	6.85872702377863
3SALAOX_pos	0.0	0.0	0.0	0.0
3SALATAi_pos	7.088311235888661	8.975618723174	7.79207446192887	7.215872702903665
3SALATAim_pos	8.032927334132907	8.999267195345116	8.192638033515818	8.761351767728966
3SPYRSP_pos	0.0	0.0	0.0	0.0
3SPYRSPm_pos	0.0	0.0	0.0	0.0
41R1H2MAE12BOOX_pos	6.101608058502118	7.511041012232137	6.767919585801803	6.850249358286328
41R2A1H12BOOX_pos	6.101608058502118	7.511041012232137	6.767919585801803	6.850249358286328
42A12BOOX_pos	6.1263947376201395	7.529274367609148	6.786465677073389	6.859224161978204
4ABUTtm_pos	0.0	0.0	0.0	0.0
4ABUTtm_neg	0.0	0.0	0.0	0.0
4HBZCOAFm_pos	0.0	0.0	0.0	0.0
4HBZFm_pos	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_pos	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_neg	0.0	0.0	0.0	0.0
4HGLSDm_pos	7.013685569928653	8.337978629456991	7.487438112928715	7.366934136894807
4HOXPACDOX_NADP__pos	0.9486008474933557	2.298658315564515	1.495695162624069	2.5084286525318573
4HOXPACDOX_NADP__neg	0.9486008474933557	2.298658315564515	1.495695162624069	2.5084286525318573
4MOPt2im_pos	0.0	0.0	0.0	0.0
4MPTNLte_pos	0.0	0.0	0.0	0.0
4MPTNLte_neg	0.0	0.0	0.0	0.0
4MPTNLtm_pos	0.0	0.0	0.0	0.0
4MPTNLtm_neg	0.0	0.0	0.0	0.0
4MPTNLtr_pos	0.0	0.0	0.0	0.0
4MPTNLtr_neg	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_pos	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_neg	0.0	0.0	0.0	0.0
4NPHSFte_pos	0.0	0.0	0.0	0.0
4NPHSFte_neg	0.0	0.0	0.0	0.0
4NPHSULT_pos	0.0	0.0	0.0	0.0
4NPHte_pos	0.0	0.0	0.0	0.0
4NPHte_neg	0.0	0.0	0.0	0.0
4PYRDX_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCte_pos	0.3103401206121505	0.7907720378619999	0.6415460290875237	1.4005379295837286
5ADTSTSTERONEGLCtr_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCtr_neg	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_neg	0.0	0.0	0.0	0.0
5ADTSTSTERONESULT_pos	0.5459683691052925	7.245837889607361	0.22650852980867975	4.581351247168778
5ADTSTSTERONEte_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEte_neg	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_neg	0.0	0.0	0.0	0.0
5AOPtm_pos	0.0	0.0	0.0	0.0
5AOPtm_neg	0.0	0.0	0.0	0.0
5DHFtl_pos	0.0	0.0	0.0	0.0
5FTHFt2_pos	2.7676547982373463	3.6016965164809576	2.720278465233327	3.102658131363739
5FTHFt2_neg	2.7676547982373463	3.6016965164809576	2.720278465233327	3.102658131363739
5HLTDL_pos	5.41006969175638	5.608513578151302	5.459103696135399	4.744699314207836
5HOMEPRAZOLEte_pos	0.0	0.0	0.0	0.0
