	WT.1012.e_S152_L007_R1_001	WT.911.d_S144_L007_R1_001	Ob.DHA.d_S147_L007_R1_001	WT.b_S126_L007_R1_001
10FTHF5GLUtl_pos	0.0	0.0	0.0	0.0
10FTHF5GLUtm_pos	0.0	0.0	0.0	0.0
10FTHF6GLUtl_pos	0.0	0.0	0.0	0.0
10FTHF6GLUtm_pos	0.0	0.0	0.0	0.0
10FTHF7GLUtl_pos	0.0	0.0	0.0	0.0
10FTHF7GLUtm_pos	0.0	0.0	0.0	0.0
10FTHFtl_pos	0.0	0.0	0.0	0.0
10FTHFtl_neg	0.0	0.0	0.0	0.0
10FTHFtm_pos	0.0	0.0	0.0	0.0
10FTHFtm_neg	0.0	0.0	0.0	0.0
11DOCRTSLtm_pos	0.0	0.0	0.0	0.0
11DOCRTSLtm_neg	0.0	0.0	0.0	0.0
11DOCRTSLtr_pos	0.0	0.0	0.0	0.0
11DOCRTSLtr_neg	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_pos	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_neg	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_pos	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_neg	0.0	0.0	0.0	0.0
13DAMPPOX_pos	1.1763227726404628	0.3895668117627256	1.7180875839605168	1.0976107966264221
1a_24_25VITD2Hm_pos	0.0	0.0	0.0	0.0
1a_24_25VITD3Hm_pos	0.0	0.0	0.0	0.0
1a_25VITD2Hm_pos	0.0	0.0	0.0	0.0
1a_25VITD3Hm_pos	0.0	0.0	0.0	0.0
1MNCAMti_pos	0.0	0.0	0.0	0.0
1PPDCRp_pos	0.0	0.0	0.0	0.0
24_25DHVITD2t_pos	0.0	0.0	0.0	0.0
24_25DHVITD2tm_pos	0.0	0.0	0.0	0.0
24_25DHVITD3t_pos	0.0	0.0	0.0	0.0
24_25DHVITD3tm_pos	0.0	0.0	0.0	0.0
24_25VITD2Hm_pos	0.0	0.0	0.0	0.0
24_25VITD3Hm_pos	0.0	0.0	0.0	0.0
24NPHte_pos	0.0	0.0	0.0	0.0
24NPHte_neg	0.0	0.0	0.0	0.0
25HVITD2t_pos	0.0	0.0	0.0	0.0
25HVITD2tin_pos	0.0	0.0	0.0	0.0
25HVITD2tin_m_pos	0.0	0.0	0.0	0.0
25HVITD2tm_pos	0.0	0.0	0.0	0.0
25HVITD3t_pos	0.0	0.0	0.0	0.0
25HVITD3tin_pos	0.0	0.0	0.0	0.0
25HVITD3tin_m_pos	0.0	0.0	0.0	0.0
25HVITD3tm_pos	0.0	0.0	0.0	0.0
25VITD2Hm_pos	0.0	0.0	0.0	0.0
25VITD3Hm_pos	0.0	0.0	0.0	0.0
2AMACHYD_pos	7.758089934201813	8.162441683725964	8.82623067805053	7.9821950244595365
2AMACSULT_pos	0.0	0.0	0.0	0.0
2AMADPTm_pos	2.835924074254375	2.521050736900963	3.5909612413425993	2.4828482830684653
2DR1PP_pos	0.0	0.0	0.0	0.0
2HBO_pos	9.705666942517423	9.174326515173915	10.463835969921812	9.752179909799978
2HBO_neg	9.705666942517423	9.174326515173915	10.463835969921812	9.752179909799978
2HBt2_pos	5.363171077119244	5.434628227636725	6.755154643177265	5.351910961103077
2HBt2_neg	5.363171077119244	5.434628227636725	6.755154643177265	5.351910961103077
2HCO3_NAt_pos	4.068670810665099	4.02945288578697	5.028127082317139	3.8747969658986654
2HCO3_NAt_neg	4.068670810665099	4.02945288578697	5.028127082317139	3.8747969658986654
2MCITt_pos	0.0	0.0	0.0	0.0
2MCITt_neg	0.0	0.0	0.0	0.0
2OXOADOXm_pos	7.008988783227255	6.816727690127002	7.56493700809841	6.727466705529458
2OXOADPTm_pos	2.835924074254375	2.521050736900963	3.5909612413425993	2.4828482830684653
2OXOADPTm_neg	2.835924074254375	2.521050736900963	3.5909612413425993	2.4828482830684653
34DHOXPEGOX_pos	8.850811922162004	8.645009884391095	8.818358486490272	8.765998773995172
34DHOXPEGOX_neg	8.850811922162004	8.645009884391095	8.818358486490272	8.765998773995172
34DHOXPEGt_pos	0.0	0.0	0.0	0.0
34DHOXPEGt_neg	0.0	0.0	0.0	0.0
34DHPHAMT_pos	14.111087568727918	15.646363228833449	15.3224295696698	14.371151114057493
34DHPHEt_pos	5.501757585738664	5.58526303088387	4.485426827170242	5.032541697270039
34DHPHEt_neg	5.501757585738664	5.58526303088387	4.485426827170242	5.032541697270039
34DHPLACOX_pos	1.7990873060740036	1.831877241191673	1.6599245584023783	0.9781956296816515
34DHPLACOX_NADP__pos	1.765534746362977	1.6369145803558778	1.531069492725954	0.9781956296816515
34DHPLACOX_NADP__neg	1.765534746362977	1.6369145803558778	1.531069492725954	0.9781956296816515
34DHXMANDACOX_pos	1.7990873060740036	1.831877241191673	1.6599245584023783	0.9781956296816515
34DHXMANDACOX_NADP__pos	1.765534746362977	1.6369145803558778	1.531069492725954	0.9781956296816515
34DHXMANDACOX_NADP__neg	1.765534746362977	1.6369145803558778	1.531069492725954	0.9781956296816515
34HPLFM_pos	0.0	0.0	0.0	0.0
34HPPOR_pos	10.648078903717328	10.942492512869162	10.629128904028171	10.439186772667702
35CGMPtn_pos	0.0	0.0	0.0	0.0
35CGMPtn_neg	0.0	0.0	0.0	0.0
3AIBt_pos	0.0	0.0	0.0	0.0
3AIBTm_pos	6.9199359173494575	6.68901954137795	6.857110140508259	6.450881315273369
3AIBTm_neg	6.9199359173494575	6.68901954137795	6.857110140508259	6.450881315273369
3AIBtm_pos	6.9199359173494575	6.68901954137795	6.857110140508259	6.450881315273369
3DPHBH1_pos	0.0	0.0	0.0	0.0
3DPHBH2_pos	0.0	0.0	0.0	0.0
3DSPHR_pos	3.599317793698226	3.305970520984386	4.38543103719352	3.3175935046234715
3HAO_pos	8.615114625218723	8.719012267761006	8.693173294047522	8.828453873930485
3HBCDm_pos	7.454998363444033	7.3671963100258955	7.642196135763589	7.69780161473751
3HBCDm_neg	7.454998363444033	7.3671963100258955	7.642196135763589	7.69780161473751
3HBCOAHLm_pos	0.0	0.0	0.0	0.0
3HKYNAKGAT_pos	7.591260524621525	7.458857705335254	6.529664802252241	7.370948898825133
3HLYTCL_pos	4.493134922305505	4.291308859828971	5.693208148910016	5.1586601753464985
3HPCOAHYD_pos	5.816087658600206	5.743353390944915	6.128045890922992	5.589763486984977
3HPPD_pos	0.0	0.0	0.0	0.0
3HPPD_neg	0.0	0.0	0.0	0.0
3HXKYNDCL_pos	4.493134922305505	4.291308859828971	5.693208148910016	5.1586601753464985
3HXKYNOXDA_pos	6.885452345084265	6.867525861162971	7.3522641732583205	6.460087240116833
3M4HDXPAC_pos	1.7990873060740036	1.831877241191673	1.6599245584023783	0.9781956296816515
3M4HDXPAC_neg	1.7990873060740036	1.831877241191673	1.6599245584023783	0.9781956296816515
3MLDAt_pos	0.0	0.0	0.0	0.0
3MLDAt_neg	0.0	0.0	0.0	0.0
3MOBt2im_pos	0.0	0.0	0.0	0.0
3MOPt2im_pos	0.0	0.0	0.0	0.0
3MOX4HOXPGALDOX_pos	1.7990873060740036	1.831877241191673	1.6599245584023783	0.9781956296816515
3MOX4HOXPGALDOX_NADP__pos	1.7990873060740036	1.831877241191673	1.6599245584023783	0.9781956296816515
3MOX4HOXPGALDOX_NADP__neg	1.7990873060740036	1.831877241191673	1.6599245584023783	0.9781956296816515
3MOXTYROX_pos	6.885452345084265	6.867525861162971	7.3522641732583205	6.460087240116833
3NTD7l_pos	4.06522762277562	4.221103725367875	4.2024177215751815	4.252476214135217
3SALAASPm_pos	6.862203399053224	6.621026189464851	6.876762490781555	6.534653055877459
3SALAASPm_neg	6.862203399053224	6.621026189464851	6.876762490781555	6.534653055877459
3SALACBOXL_pos	6.040892430646901	6.210817432089213	6.908332569782425	7.479618608469416
3SALAOX_pos	0.0	0.0	0.0	0.0
3SALATAi_pos	7.280677989331131	7.57228336665041	7.658425728482588	6.937815168803419
3SALATAim_pos	8.36649707577453	8.135452784185173	8.895878178674236	8.11332544304199
3SPYRSP_pos	0.0	0.0	0.0	0.0
3SPYRSPm_pos	0.0	0.0	0.0	0.0
41R1H2MAE12BOOX_pos	6.885452345084265	6.867525861162971	7.3522641732583205	6.460087240116833
41R2A1H12BOOX_pos	6.885452345084265	6.867525861162971	7.3522641732583205	6.460087240116833
42A12BOOX_pos	6.900746075310617	6.871350840634026	7.372342723017494	6.47864829453918
4ABUTtm_pos	0.0	0.0	0.0	0.0
4ABUTtm_neg	0.0	0.0	0.0	0.0
4HBZCOAFm_pos	0.0	0.0	0.0	0.0
4HBZFm_pos	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_pos	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_neg	0.0	0.0	0.0	0.0
4HGLSDm_pos	7.6303035332750175	7.465403148609056	7.8689459886423645	7.2252556464985975
4HOXPACDOX_NADP__pos	1.7990873060740036	1.831877241191673	1.6599245584023783	0.9781956296816515
4HOXPACDOX_NADP__neg	1.7990873060740036	1.831877241191673	1.6599245584023783	0.9781956296816515
4MOPt2im_pos	0.0	0.0	0.0	0.0
4MPTNLte_pos	0.0	0.0	0.0	0.0
4MPTNLte_neg	0.0	0.0	0.0	0.0
4MPTNLtm_pos	0.0	0.0	0.0	0.0
4MPTNLtm_neg	0.0	0.0	0.0	0.0
4MPTNLtr_pos	0.0	0.0	0.0	0.0
4MPTNLtr_neg	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_pos	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_neg	0.0	0.0	0.0	0.0
4NPHSFte_pos	0.0	0.0	0.0	0.0
4NPHSFte_neg	0.0	0.0	0.0	0.0
4NPHSULT_pos	0.0	0.0	0.0	0.0
4NPHte_pos	0.0	0.0	0.0	0.0
4NPHte_neg	0.0	0.0	0.0	0.0
4PYRDX_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCte_pos	0.34482849699744117	0.48542682717024166	0.5849625007211562	0.5360529002402097
5ADTSTSTERONEGLCtr_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCtr_neg	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_neg	0.0	0.0	0.0	0.0
5ADTSTSTERONESULT_pos	0.0	0.0	3.6971065744769747	0.0
5ADTSTSTERONEte_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEte_neg	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_neg	0.0	0.0	0.0	0.0
5AOPtm_pos	0.0	0.0	0.0	0.0
5AOPtm_neg	0.0	0.0	0.0	0.0
5DHFtl_pos	0.0	0.0	0.0	0.0
5FTHFt2_pos	2.241840183564671	2.5160151470036647	3.2883585621936606	2.01435529297707
5FTHFt2_neg	2.241840183564671	2.5160151470036647	3.2883585621936606	2.01435529297707
5HLTDL_pos	4.493134922305505	4.291308859828971	5.693208148910016	5.1586601753464985
5HOMEPRAZOLEte_pos	0.0	0.0	0.0	0.0
