	WT.d_S141_L007_R1_001
10FTHF5GLUtl_pos	3245.920241584144
10FTHF5GLUtm_pos	3831.211620638206
10FTHF6GLUtl_pos	3516.6280016961864
10FTHF6GLUtm_pos	3908.41699291149
10FTHF7GLUtl_pos	3666.318982728892
10FTHF7GLUtm_pos	3960.4870236408606
10FTHFtl_neg	3245.920241584144
10FTHFtl_pos	0.0
10FTHFtm_neg	5290.587972039054
10FTHFtm_pos	13181.904912525744
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	52539.08806184872
11DOCRTSLtr_neg	52539.088061848735
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	55075.87423476144
11DOCRTSTRNtr_neg	55075.87423476143
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	30849.157131596152
1MNCAMti_pos	47.586990365197806
1PPDCRp_pos	49.50434645787838
1a25DHVITD3TRn_pos	50981.44382789466
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	14.230385941295614
24NPHte_pos	0.0
24_25DHVITD2t_pos	11.081348607144015
24_25DHVITD2tm_pos	11.081348607144015
24_25DHVITD3t_pos	50930.52194940128
24_25DHVITD3tm_pos	52695.09025482727
24_25VITD2Hm_pos	11.081348607144015
24_25VITD3Hm_pos	52695.09025482727
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	50981.44382789466
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	7975.762769973
2AMACSULT_pos	19131.91017908625
2AMADPTm_pos	4009.978044189484
2DR1PP_pos	4453.323671048172
2HBO_neg	7779.967508187618
2HBO_pos	8.174106423307482
2HBt2_neg	511.3343341548596
2HBt2_pos	511.3343341548596
2HCO3_NAt_neg	442.7346659055803
2HCO3_NAt_pos	467.2351230751277
2MB2COAc_neg	0.0
2MB2COAc_pos	12179.030525667653
2MCITt_neg	0.0
2MCITt_pos	14741.46006132205
2OXOADOXm_pos	70.25111041149914
2OXOADPTm_neg	4009.978044189484
2OXOADPTm_pos	95.34016566735167
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	31628.010064068745
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	31628.010064068756
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	632.8859870351848
34DHPHEt_neg	632.8859870351848
34DHPHEt_pos	4.23550930966138
34DHPLACOX_NADP__neg	1111.0294241214806
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	1111.0294241214806
34DHXMANDACOX_NADP__neg	1139.1522082064682
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	1139.1522082064682
34HPLFM_pos	46391.34017658734
34HPPOR_pos	46481.56072159463
34HPPte_neg	8447.057289264267
34HPPte_pos	6887.9165424143475
35CGMPtn_neg	0.0
35CGMPtn_pos	11161.83346765689
3AIBTm_neg	0.0
3AIBTm_pos	10932.970734753268
3AIB_Dtm_neg	11754.548134619718
3AIB_Dtm_pos	19710.132418153724
3AIBt_pos	10932.970734753268
3AIBtm_pos	10932.970734753268
3DPHBH1_pos	46391.34017658734
3DPHBH2_pos	46418.98299254614
3DSPHR_pos	20022.362942922984
3HAO_pos	48.051122512077164
3HBCDm_neg	0.0
3HBCDm_pos	8780.78924676447
3HBCOAHLm_pos	12919.539312198496
3HBCOARc_neg	0.0
3HBCOARc_pos	8780.78924676447
3HCO3_NAt_neg	761.2615718614059
3HCO3_NAt_pos	761.2615718614059
3HKYNAKGAT_pos	1182.6080039820918
3HLYTCL_pos	9504.4767793159
3HPCOAHYD_pos	0.0
3HPPD_neg	0.0
3HPPD_pos	0.0
3HXKYNDCL_pos	0.0
3HXKYNOXDA_pos	0.0
3M4HDXPAC_neg	0.0
3M4HDXPAC_pos	0.0
3MLDAt_neg	0.0
3MLDAt_pos	13124.896996530679
3MOBt2im_pos	4136.8680425581515
3MOBte_neg	6.461532408008601
3MOBte_pos	7827.066919287811
3MOPt2im_pos	4136.868042558153
3MOPte_neg	23.827068797221088
3MOPte_pos	7750.873793942678
3MOX4HOXPGALDOX_NADP__neg	1100.231627463931
3MOX4HOXPGALDOX_NADP__pos	0.0
3MOX4HOXPGALDOX_pos	1100.231627463931
3MOXTYROX_pos	0.0
3NTD7l_pos	0.0
3SALAASPm_neg	14817.913223466405
3SALAASPm_pos	0.0
3SALACBOXL_pos	10101.302055224502
3SALAOX_pos	27039.56356145829
3SALATAi_pos	13920.863762256335
3SALATAim_pos	14817.913223466405
3SPYRSP_pos	13920.863762256335
3SPYRSPm_pos	14817.913223466405
41R1H2MAE12BOOX_pos	39577.052654541425
41R2A1H12BOOX_pos	31628.010064068756
42A12BOOX_pos	0.0
4ABUTtcn_pos	9664.55190482503
4ABUTtm_neg	9780.086400615926
4ABUTtm_pos	12568.85984742523
4HBZCOAFm_pos	46391.34017658737
4HBZFm_pos	46391.34017658737
