	WT.EPA.b_S127_L007_R1_001
10FTHF5GLUtl_pos	3217.482416235847
10FTHF5GLUtm_pos	3792.286173392236
10FTHF6GLUtl_pos	3472.765879685257
10FTHF6GLUtm_pos	3860.903191528593
10FTHF7GLUtl_pos	3612.4997619560563
10FTHF7GLUtm_pos	3907.853078427739
10FTHFtl_neg	3217.482416235847
10FTHFtl_pos	0.0
10FTHFtm_neg	5172.60294713798
10FTHFtm_pos	12828.886744119272
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	51977.43479624157
11DOCRTSLtr_neg	51977.43479624156
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	54537.565138408165
11DOCRTSTRNtr_neg	54537.56513840817
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	30267.305124366416
1MNCAMti_pos	46.82655652647665
1PPDCRp_pos	49.08088341790831
1a25DHVITD3TRn_pos	50386.42447821024
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	14.147792706410161
24NPHte_pos	0.0
24_25DHVITD2t_pos	10.9583396365755
24_25DHVITD2tm_pos	10.9583396365755
24_25DHVITD3t_pos	50335.59652751175
24_25DHVITD3tm_pos	52144.63406104469
24_25VITD2Hm_pos	10.9583396365755
24_25VITD3Hm_pos	52144.63406104469
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	50386.42447821025
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	7819.745980881101
2AMACSULT_pos	18990.2337344762
2AMADPTm_pos	3915.6226365954403
2DR1PP_pos	4336.030484665298
2HBO_neg	7633.274743694733
2HBO_pos	8.071992900025823
2HBt2_neg	472.5345175404923
2HBt2_pos	472.5345175404923
2HCO3_NAt_neg	356.98051000998004
