	Ob.911.a_S124_L007_R1_001
10FTHF5GLUtl_pos	3199.1468874932225
10FTHF5GLUtm_pos	3771.4681767783154
10FTHF6GLUtl_pos	3441.0626349094005
10FTHF6GLUtm_pos	3832.474947188781
10FTHF7GLUtl_pos	3574.131708775573
10FTHF7GLUtm_pos	3875.2112949747566
10FTHFtl_neg	3199.146887493223
10FTHFtl_pos	0.0
10FTHFtm_neg	4942.692432902642
10FTHFtm_pos	12426.294769227248
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	51316.799668898
11DOCRTSLtr_neg	51316.79966889799
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	53909.15775481169
11DOCRTSTRNtr_neg	53909.157754811706
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	29650.150267205394
1MNCAMti_pos	45.988937354530584
1PPDCRp_pos	48.48052916171711
1a25DHVITD3TRn_pos	49674.116682020256
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	14.0628453170148
24NPHte_pos	0.0
24_25DHVITD2t_pos	10.844216744848476
24_25DHVITD2tm_pos	10.844216744848476
24_25DHVITD3t_pos	49622.84600322178
24_25DHVITD3tm_pos	51534.707159825644
24_25VITD2Hm_pos	10.844216744848476
24_25VITD3Hm_pos	51534.707159825644
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	49674.116682020256
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	7584.729808316963
2AMACSULT_pos	18247.178471756946
2AMADPTm_pos	3854.4122332374504
2DR1PP_pos	4251.095163525589
2HBO_neg	7424.394277338998
2HBO_pos	7.925871198004056
2HBt2_neg	394.40297500894303
2HBt2_pos	394.40297500894303
2HCO3_NAt_neg	289.2321477080597
2HCO3_NAt_pos	306.64097807116127
2MB2COAc_neg	0.0
2MB2COAc_pos	11893.158506132642
2MCITt_neg	0.0
2MCITt_pos	14318.007395997729
2OXOADOXm_pos	68.11640092849053
2OXOADPTm_neg	3854.4122332374495
2OXOADPTm_pos	93.24755434845171
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	31352.880584298422
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	31352.880584298433
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	551.2392548719438
34DHPHEt_neg	551.2392548719438
34DHPHEt_pos	4.1302470751544105
34DHPLACOX_NADP__neg	785.5733578061652
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	785.5733578061652
34DHXMANDACOX_NADP__neg	785.5733578061652
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	785.5733578061652
34HPLFM_pos	44996.54277097637
34HPPOR_pos	45511.98336229521
34HPPte_neg	8131.128403758801
34HPPte_pos	6696.592819355136
35CGMPtn_neg	0.0
35CGMPtn_pos	10829.486020435277
3AIBTm_neg	0.0
3AIBTm_pos	10651.025445922613
3AIB_Dtm_neg	11495.186336314457
3AIB_Dtm_pos	18703.632304625044
3AIBt_pos	10651.025445922614
3AIBtm_pos	10651.025445922614
3DPHBH1_pos	44996.54277097638
3DPHBH2_pos	45006.31142490722
3DSPHR_pos	19093.02204557217
3HAO_pos	46.67674331552154
3HBCDm_neg	0.0
3HBCDm_pos	8582.750265020333
3HBCOAHLm_pos	12619.567936538246
3HBCOARc_neg	0.0
3HBCOARc_pos	8582.750265020331
3HCO3_NAt_neg	563.1845141720404
3HCO3_NAt_pos	563.2973471638013
3HKYNAKGAT_pos	1199.6615017470538
3HLYTCL_pos	9300.538637319873
3HPCOAHYD_pos	0.0
3HPPD_neg	0.0
3HPPD_pos	0.0
3HXKYNDCL_pos	0.0
3HXKYNOXDA_pos	0.0
3M4HDXPAC_neg	0.0
3M4HDXPAC_pos	0.0
3MLDAt_neg	0.0
3MLDAt_pos	12779.85945703696
3MOBt2im_pos	4009.155555246267
3MOBte_neg	6.286320546203611
3MOBte_pos	7565.975859418599
3MOPt2im_pos	4009.176481038882
3MOPte_neg	23.118070595078507
3MOPte_pos	7494.723640976749
