	WT.1012.c_S135_L007_R1_001
10FTHF5GLUtl_pos	3246.4672773277866
10FTHF5GLUtm_pos	3805.8721984660765
10FTHF6GLUtl_pos	3501.3436384787447
10FTHF6GLUtm_pos	3877.12074424475
10FTHF7GLUtl_pos	3647.665448921549
10FTHF7GLUtm_pos	3925.531467798877
10FTHFtl_neg	3246.467277327788
10FTHFtl_pos	0.0
10FTHFtm_neg	5239.019153295276
10FTHFtm_pos	13089.177361848353
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	52303.129109503665
11DOCRTSLtr_neg	52303.12910950365
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	54846.65679241383
11DOCRTSTRNtr_neg	54846.656792413785
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	30547.167405791708
1MNCAMti_pos	47.359972395986254
1PPDCRp_pos	49.25853462046987
1a25DHVITD3TRn_pos	50563.92928439969
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	14.214594890172316
24NPHte_pos	0.0
24_25DHVITD2t_pos	11.002971613570018
24_25DHVITD2tm_pos	11.002971613570018
24_25DHVITD3t_pos	50512.918937947456
24_25DHVITD3tm_pos	52408.13888701825
24_25VITD2Hm_pos	11.002971613570018
24_25VITD3Hm_pos	52408.13888701825
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	50563.9292843997
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	8009.689345265761
2AMACSULT_pos	19527.192390094944
2AMADPTm_pos	4067.2735807743315
2DR1PP_pos	4505.564254128793
2HBO_neg	7706.964961284019
2HBO_pos	8.097020195488934
2HBt2_neg	473.57861914866373
2HBt2_pos	473.57861914866373
2HCO3_NAt_neg	364.9988805794169
2HCO3_NAt_pos	386.92052235707075
