	Ob.EPA.e_S153_L007_R1_001
10FTHF5GLUtl_pos	3200.8809214664034
10FTHF5GLUtm_pos	3762.1814071836648
10FTHF6GLUtl_pos	3439.3339892566532
10FTHF6GLUtm_pos	3824.0228985506437
10FTHF7GLUtl_pos	3572.596988587575
10FTHF7GLUtm_pos	3867.849584779185
10FTHFtl_neg	3200.8809214664025
10FTHFtl_pos	0.0
10FTHFtm_neg	5026.8705879053605
10FTHFtm_pos	12485.579799992349
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	51351.32904460823
11DOCRTSLtr_neg	51351.32904460824
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	53943.32006349579
11DOCRTSTRNtr_neg	53943.3200634958
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	29711.04587660787
1MNCAMti_pos	45.953254557534045
1PPDCRp_pos	48.37882071540266
1a25DHVITD3TRn_pos	49663.02475496885
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	14.004385637326438
24NPHte_pos	0.0
24_25DHVITD2t_pos	10.85514369855166
24_25DHVITD2tm_pos	10.85514369855166
24_25DHVITD3t_pos	49611.6589458416
24_25DHVITD3tm_pos	51561.80510956484
24_25VITD2Hm_pos	10.85514369855166
24_25VITD3Hm_pos	51561.80510956484
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	49663.02475496885
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	7568.001161655391
2AMACSULT_pos	18818.21633854063
2AMADPTm_pos	3855.1534389245467
2DR1PP_pos	4273.4711609759315
2HBO_neg	7416.223758045188
2HBO_pos	7.918156116626206
2HBt2_neg	381.272294965861
2HBt2_pos	381.272294965861
2HCO3_NAt_neg	270.1800941214681
2HCO3_NAt_pos	286.2530961459262
2MB2COAc_neg	0.0
2MB2COAc_pos	11865.390706794482
2MCITt_neg	0.0
2MCITt_pos	14323.681784016891
2OXOADOXm_pos	68.24989693388991
2OXOADPTm_neg	3855.153438924545
2OXOADPTm_pos	93.19119361509051
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	31395.228155388282
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	31395.22815538828
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	577.2505462158556
34DHPHEt_neg	577.2505462158556
34DHPHEt_pos	4.112518185622715
34DHPLACOX_NADP__neg	852.9335896405914
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	852.9335896405914
34DHXMANDACOX_NADP__neg	852.9335896405914
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	852.9335896405914
34HPLFM_pos	44721.47348565467
34HPPOR_pos	45635.18169423897
34HPPte_neg	8351.805258508786
34HPPte_pos	6733.161452902015
35CGMPtn_neg	0.0
35CGMPtn_pos	10764.765305988774
3AIBTm_neg	0.0
3AIBTm_pos	10654.287668883875
3AIB_Dtm_neg	11495.656964074735
3AIB_Dtm_pos	18724.582897418102
3AIBt_pos	10654.287668883875
3AIBtm_pos	10654.287668883875
3DPHBH1_pos	44721.4734856547
3DPHBH2_pos	44735.11076434297
3DSPHR_pos	18983.714011023785
3HAO_pos	46.73422321220786
3HBCDm_neg	0.0
3HBCDm_pos	8563.496382862857
3HBCOAHLm_pos	12608.576496679902
3HBCOARc_neg	0.0
3HBCOARc_pos	8563.496382862853
3HCO3_NAt_neg	555.2351791719484
3HCO3_NAt_pos	555.6164370575714
3HKYNAKGAT_pos	1225.1100928184671
3HLYTCL_pos	9304.355604210456
3HPCOAHYD_pos	0.0
3HPPD_neg	0.0
3HPPD_pos	0.0
3HXKYNDCL_pos	0.0
3HXKYNOXDA_pos	0.0
3M4HDXPAC_neg	0.0
3M4HDXPAC_pos	0.0
3MLDAt_neg	0.0
3MLDAt_pos	12830.836430741958
3MOBt2im_pos	4024.0971877800075
3MOBte_neg	6.334511312508453
3MOBte_pos	7657.486318249687
3MOPt2im_pos	4024.0971877800084
3MOPte_neg	23.26128472960668
3MOPte_pos	7561.4272956787545
3MOX4HOXPGALDOX_NADP__neg	815.1130604117681
3MOX4HOXPGALDOX_NADP__pos	0.0
3MOX4HOXPGALDOX_pos	815.1130604117681
3MOXTYROX_pos	0.0
3NTD7l_pos	0.0
3SALAASPm_neg	14039.849504301057
3SALAASPm_pos	0.0
3SALACBOXL_pos	9887.198515859429
3SALAOX_pos	26427.822354380543
3SALATAi_pos	13265.432163534164
3SALATAim_pos	14039.849504301055
3SPYRSP_pos	13265.432163534164
3SPYRSPm_pos	14039.849504301055
41R1H2MAE12BOOX_pos	39206.59757727637
41R2A1H12BOOX_pos	31395.228155388282
42A12BOOX_pos	0.0
4ABUTtcn_pos	9388.302170773335
4ABUTtm_neg	9322.406969563222
4ABUTtm_pos	12410.636302705798
4HBZCOAFm_pos	44721.47348565467
4HBZFm_pos	44721.47348565467
4HDEBRISOQUINEte_neg	7.452421652686252
4HDEBRISOQUINEte_pos	0.0
4HGLSDm_pos	1308.8850990911806
4HOXPACDOX_NADP__neg	0.0
4HOXPACDOX_NADP__pos	10770.89558607473
4HPROLTASCT1_pos	1684.8509085184753
4HPRO_LTte_neg	0.0
4HPRO_LTte_pos	2850.0
4MOPt2im_pos	4024.0971877800084
4MOPte_neg	7301.209495883564
4MOPte_pos	7636.69946682852
4MPTNLte_neg	0.0
4MPTNLte_pos	60776.3114486856
4MPTNLtm_neg	60776.3114486856
4MPTNLtm_pos	0.0
4MPTNLtr_neg	0.0
4MPTNLtr_pos	0.0
4MTOLBUTAMIDEte_neg	7.452421652686253
4MTOLBUTAMIDEte_pos	0.0
4NPHSFte_neg	22.270719853561282
4NPHSFte_pos	0.0
4NPHSULT_pos	22.270719853561285
4NPHte_neg	0.0
4NPHte_pos	14.00438563732644
4OHPROIMINOtc_pos	1684.8509085184753
4PYRDX_pos	7938.985676291397
5ADTSTSTERONEGLCte_pos	68581.88348417032
5ADTSTSTERONEGLCtr_neg	68581.88348417035
5ADTSTSTERONEGLCtr_pos	0.0
5ADTSTSTERONESULT_pos	7041.6121985003165
5ADTSTSTERONESte_neg	7.991146626705784
5ADTSTSTERONESte_pos	54441.12270666822
5ADTSTSTERONEte_neg	55033.85187056983
5ADTSTSTERONEte_pos	7.178303414710359
5ADTSTSTERONEtr_neg	38.41366942371331
5ADTSTSTERONEtr_pos	55035.1483917474
5AOPtm_neg	14497.844079262923
5AOPtm_pos	0.0
5DHFtl_pos	3203.6631011147924
5FTHFt2_neg	0.0
5FTHFt2_pos	6.336615484286922
5HLTDL_pos	7.465929722653415
5HOMEPRAZOLEte_neg	7.452421652686253
5HOMEPRAZOLEte_pos	0.0
5HOXINDACTO2OX_pos	442.95653656100137
5HOXINDACTOXm_pos	0.0
5HOXINOXDA_pos	0.0
5HTRPDOX_pos	0.0
5HTRPVESSEC_pos	7.412979869791916
5HXKYNDCL_pos	0.0
5HXKYNOXDA_pos	0.0
5MTAte_neg	15011.508584620104
5MTAte_pos	15002.02496406314
5MTHFt2_neg	1248.1633495099902
5MTHFt2_pos	1248.1633495099902
5MTHFt2le_neg	2290.948951664828
5MTHFt2le_pos	2290.948951664828
5MTHFt_neg	1248.1633495099902
5MTHFt_pos	1248.1633495099902
5OXPROt_neg	10250.67111926838
5OXPROt_pos	6034.509747393165
5THFtl_pos	3201.3728563705045
5THFtm_pos	3762.1814071836657
6DHFtl_pos	3439.3339892566532
6DHFtm_pos	3824.0228985506437
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	51810.668887407366
6HTSTSTERONEtr_neg	51810.668887407366
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	3439.3339892566532
6THFtm_pos	3824.0228985506446
7DHCHSTEROLtr_neg	10861.761828895298
7DHCHSTEROLtr_pos	75701.73248090832
7DHFtl_pos	3572.596988587575
7DHFtm_pos	3867.849584779185
7THFtl_pos	3572.596988587575
7THFtm_pos	3867.849584779186
A4GALTc_pos	0.0
A4GALTg_pos	11149.354023024263
A4GNT1g_pos	0.0
A4GNT2g_pos	249.89647471795
AACOAT_pos	4071.0811457781956
AACTOOR_pos	12092.81445018395
AACTtm_pos	12092.81445018395
AASAD3m_pos	25.949170873820925
AATAi_neg	3855.153438924547
AATAi_pos	48.378820715402654
ABO1g_pos	10468.820845778086
ABO2g_pos	10100.29525169767
ABO3g_pos	10229.170389451612
ABO4g_pos	9441.604925992671
ABO5g_pos	9441.604925992671
ABO6g_pos	8834.477466652643
ABO7g_pos	8834.477466652643
ABO8g_pos	9120.836799644452
ABO9g_pos	8216.633606574744
ABTArm_neg	9322.406969563222
ABTArm_pos	12410.636302705798
ABTD_neg	5058.017790513051
ABTD_pos	7.86030217521773
ABTti_pos	5058.017790513051
ABUTD_pos	12262.613990462474
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	482.9105547482585
