	Ob.1012.b_S133_L007_R1_001
10FTHF5GLUtl_pos	3201.865430478025
10FTHF5GLUtm_pos	3768.16420604614
10FTHF6GLUtl_pos	3443.3485100543808
10FTHF6GLUtm_pos	3831.3970281023426
10FTHF7GLUtl_pos	3577.2988982118604
10FTHF7GLUtm_pos	3875.6272183574556
10FTHFtl_neg	3201.8654304780257
10FTHFtl_pos	0.0
10FTHFtm_neg	5107.191378046814
10FTHFtm_pos	12730.288051141786
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	51510.7606173439
11DOCRTSLtr_neg	51510.760617343876
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	54115.14021929109
11DOCRTSTRNtr_neg	54115.1402192911
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	29807.752607554463
1MNCAMti_pos	46.28294747793503
1PPDCRp_pos	48.582322155312866
1a25DHVITD3TRn_pos	49884.959329362624
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	14.070912800901025
24NPHte_pos	0.0
24_25DHVITD2t_pos	10.874498964309977
24_25DHVITD2tm_pos	10.874498964309977
24_25DHVITD3t_pos	49833.5044877465
24_25DHVITD3tm_pos	51736.396614914695
24_25VITD2Hm_pos	10.874498964309977
24_25VITD3Hm_pos	51736.396614914695
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	49884.9593293626
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	7671.871916405262
2AMACSULT_pos	18674.44817124228
2AMADPTm_pos	3807.95641279315
2DR1PP_pos	4270.267656960178
2HBO_neg	7474.539458032962
2HBO_pos	7.984319823337908
2HBt2_neg	403.013725072885
2HBt2_pos	403.013725072885
2HCO3_NAt_neg	312.67475733982474
2HCO3_NAt_pos	330.58611901229256
2MB2COAc_neg	0.0
2MB2COAc_pos	11933.675379870147
2MCITt_neg	0.0
2MCITt_pos	14379.104310348494
2OXOADOXm_pos	68.85750328271384
2OXOADPTm_neg	3807.95641279315
2OXOADPTm_pos	93.72485596365702
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	31482.974958495706
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	31482.9749584957
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	593.5168060656363
34DHPHEt_neg	593.5168060656363
34DHPHEt_pos	4.167757865865441
34DHPLACOX_NADP__neg	1018.1758347807543
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	1018.1758347807543
34DHXMANDACOX_NADP__neg	1018.1758347807543
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	1018.1758347807543
34HPLFM_pos	45052.14638589888
