	WT.DHA.c_S134_L007_R1_001
10FTHF5GLUtl_pos	3205.331580191169
10FTHF5GLUtm_pos	3792.7047604995023
10FTHF6GLUtl_pos	3452.7704853573077
10FTHF6GLUtm_pos	3856.7061915030545
10FTHF7GLUtl_pos	3588.9195073095807
10FTHF7GLUtm_pos	3900.9668516828838
10FTHFtl_neg	3205.3315801911685
10FTHFtl_pos	0.0
10FTHFtm_neg	5029.8640713484365
10FTHFtm_pos	12596.540416497448
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	51505.046846705925
11DOCRTSLtr_neg	51505.04684670591
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	54041.082308715
11DOCRTSTRNtr_neg	54041.08230871502
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	30063.018366115797
1MNCAMti_pos	46.45283187935581
1PPDCRp_pos	48.927994990992275
1a25DHVITD3TRn_pos	49685.80276354798
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	14.069759834401937
24NPHte_pos	0.0
24_25DHVITD2t_pos	10.889963210911917
24_25DHVITD2tm_pos	10.889963210911917
24_25DHVITD3t_pos	49843.1714616697
24_25DHVITD3tm_pos	51695.273507389626
24_25VITD2Hm_pos	10.889963210911917
24_25VITD3Hm_pos	51695.273507389626
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	49685.80276354797
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	7734.579479291231
2AMACSULT_pos	18039.26981032488
2AMADPTm_pos	4005.9580721672933
2DR1PP_pos	4306.313382222162
2HBO_neg	7527.897048711689
2HBO_pos	8.005411320578464
2HBt2_neg	423.362319750706
2HBt2_pos	423.362319750706
2HCO3_NAt_neg	307.93676610328686
2HCO3_NAt_pos	321.59620638509546
2MB2COAc_neg	0.0
2MB2COAc_pos	11996.263223130043
2MCITt_neg	0.0
2MCITt_pos	14522.55547317966
2OXOADOXm_pos	69.00131916819917
2OXOADPTm_neg	4005.9580721672937
2OXOADPTm_pos	94.09711711953464
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	31527.3766820076
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	31527.3766820076
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	485.3211895343989
34DHPHEt_neg	485.3211895343989
34DHPHEt_pos	4.136314692348859
34DHPLACOX_NADP__neg	765.8653699303429
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	765.8653699303429
34DHXMANDACOX_NADP__neg	765.8653699303429
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	765.8653699303429
34HPLFM_pos	45746.936822007316
34HPPOR_pos	45738.99653455858
34HPPte_neg	8055.558788402916
34HPPte_pos	6730.903271442702
35CGMPtn_neg	0.0
35CGMPtn_pos	10954.960500667603
3AIBTm_neg	0.0
3AIBTm_pos	10772.939284344455
3AIB_Dtm_neg	11598.138022857642
3AIB_Dtm_pos	18909.03275539544
3AIBt_pos	10772.939284344455
3AIBtm_pos	10772.939284344455
3DPHBH1_pos	45746.93682200729
3DPHBH2_pos	45767.29937276168
3DSPHR_pos	19365.194193459338
3HAO_pos	47.144822679782465
3HBCDm_neg	0.0
3HBCDm_pos	8650.82123846778
3HBCOAHLm_pos	12731.888372665942
3HBCOARc_neg	0.0
3HBCOARc_pos	8650.821238467779
3HCO3_NAt_neg	569.4896053229992
3HCO3_NAt_pos	569.6908363497898
3HKYNAKGAT_pos	1170.9300212093383
3HLYTCL_pos	9363.818526601051
3HPCOAHYD_pos	0.0
3HPPD_neg	0.0
3HPPD_pos	0.0
3HXKYNDCL_pos	0.0
3HXKYNOXDA_pos	0.0
3M4HDXPAC_neg	0.0
3M4HDXPAC_pos	0.0
3MLDAt_neg	0.0
3MLDAt_pos	12890.259108068465
3MOBt2im_pos	4160.725092304764
3MOBte_neg	6.326151855685747
3MOBte_pos	7638.114521584822
3MOPt2im_pos	4160.7258949585175
3MOPte_neg	23.37239430167996
3MOPte_pos	7563.761732907426
3MOX4HOXPGALDOX_NADP__neg	761.9478728071408
3MOX4HOXPGALDOX_NADP__pos	0.0
3MOX4HOXPGALDOX_pos	761.9478728071408
3MOXTYROX_pos	0.0
3NTD7l_pos	0.0
3SALAASPm_neg	14581.735160293552
3SALAASPm_pos	0.0
3SALACBOXL_pos	9975.411794890177
3SALAOX_pos	26404.74990196197
3SALATAi_pos	13742.012960882965
3SALATAim_pos	14581.735160293552
3SPYRSP_pos	13742.012960882965
3SPYRSPm_pos	14581.735160293552
41R1H2MAE12BOOX_pos	39275.354762107345
41R2A1H12BOOX_pos	31527.376682007598
42A12BOOX_pos	0.0
4ABUTtcn_pos	9533.334001504829
4ABUTtm_neg	9554.491664225505
4ABUTtm_pos	12584.602984588342
4HBZCOAFm_pos	45746.936822007316
4HBZFm_pos	45746.936822007316
4HDEBRISOQUINEte_neg	7.458497392293892
4HDEBRISOQUINEte_pos	0.0
4HGLSDm_pos	1339.6144953616663
4HOXPACDOX_NADP__neg	0.0
4HOXPACDOX_NADP__pos	10836.323499829534
4HPROLTASCT1_pos	1665.639851282203
4HPRO_LTte_neg	0.0
4HPRO_LTte_pos	2850.0
4MOPt2im_pos	4160.7258949585175
4MOPte_neg	7399.211362334125
4MOPte_pos	7618.221653795114
4MPTNLte_neg	0.0
4MPTNLte_pos	60862.57311937492
4MPTNLtm_neg	60862.573119374996
4MPTNLtm_pos	0.0
4MPTNLtr_neg	0.0
4MPTNLtr_pos	0.0
4MTOLBUTAMIDEte_neg	7.458497392293893
4MTOLBUTAMIDEte_pos	0.0
4NPHSFte_neg	22.4280467921094
4NPHSFte_pos	0.0
4NPHSULT_pos	22.428046792109395
4NPHte_neg	0.0
4NPHte_pos	14.069759834401937
4OHPROIMINOtc_pos	1665.639851282203
4PYRDX_pos	7984.2091062077625
5ADTSTSTERONEGLCte_pos	68832.3715999518
5ADTSTSTERONEGLCtr_neg	68832.37159995179
5ADTSTSTERONEGLCtr_pos	0.0
5ADTSTSTERONESULT_pos	7943.581929938264
5ADTSTSTERONESte_neg	8.339319951226422
5ADTSTSTERONESte_pos	54512.85407162599
5ADTSTSTERONEte_neg	55244.34270968709
5ADTSTSTERONEte_pos	7.214997690538298
5ADTSTSTERONEtr_neg	38.73637477365993
5ADTSTSTERONEtr_pos	55243.890413512025
5AOPtm_neg	14507.94243304795
5AOPtm_pos	0.0
5DHFtl_pos	3207.5662805807515
5FTHFt2_neg	0.0
5FTHFt2_pos	6.546466241766571
5HLTDL_pos	7.480402884340491
5HOMEPRAZOLEte_neg	7.458497392293893
5HOMEPRAZOLEte_pos	0.0
5HOXINDACTO2OX_pos	469.5093503981473
5HOXINDACTOXm_pos	0.0
5HOXINOXDA_pos	0.0
5HTRPDOX_pos	0.0
5HTRPVESSEC_pos	7.482636741626475
5HXKYNDCL_pos	0.0
5HXKYNOXDA_pos	0.0
5MTAte_neg	15200.28372222295
5MTAte_pos	14970.051686415703
5MTHFt2_neg	1151.3799979051437
5MTHFt2_pos	1151.3799979051437
5MTHFt2le_neg	2406.007170362699
5MTHFt2le_pos	2406.007170362699
5MTHFt_neg	1151.3799979051437
5MTHFt_pos	1151.3799979051437
5OXPROt_neg	10298.813697144979
5OXPROt_pos	6220.233818841387
5THFtl_pos	3205.9112709791407
5THFtm_pos	3792.704760499502
6DHFtl_pos	3452.7704853573077
6DHFtm_pos	3856.7061915030545
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	51991.26357747633
6HTSTSTERONEtr_neg	51991.263577476326
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	3452.7704853573073
6THFtm_pos	3856.7061915030527
7DHCHSTEROLtr_neg	10953.826135572192
7DHCHSTEROLtr_pos	76362.83192964342
7DHFtl_pos	3588.919507309581
7DHFtm_pos	3900.966851682883
7THFtl_pos	3588.9195073095807
7THFtm_pos	3900.966851682883
A4GALTc_pos	0.0
A4GALTg_pos	11241.597847146302
A4GNT1g_pos	0.0
A4GNT2g_pos	255.03623578274085
AACOAT_pos	4220.52587870078
AACTOOR_pos	12356.176809351593
AACTtm_pos	12356.176809351593
AASAD3m_pos	26.364782433044994
AATAi_neg	4005.958072167294
AATAi_pos	48.92799499099227
ABO1g_pos	10439.580159433403
ABO2g_pos	10065.009535088093
ABO3g_pos	10273.707747382497
ABO4g_pos	9464.194209818297
ABO5g_pos	9464.194209818297
ABO6g_pos	8880.539054364595
ABO7g_pos	8880.539054364595
ABO8g_pos	9178.243848108976
ABO9g_pos	8248.528512655588
ABTArm_neg	9554.491664225503
ABTArm_pos	12584.602984588348
ABTD_neg	5087.3671567307665
ABTD_pos	7.903215085534478
ABTti_pos	5087.367156730767
ABUTD_pos	12421.872384436643
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	485.94057622355945
ABUTt2r_pos	597.0066040573842
ABUTt4_2_r_neg	597.0066040573842
ABUTt4_2_r_pos	485.94057622355945
ACACT10m_neg	13609.703553105492
ACACT10m_pos	9776.646840458272
ACACT1r_neg	7393.259247810064
ACACT1r_pos	16204.332416700352
ACACT1rm_pos	5238.170861806072
ACACT1x_pos	9957.947360293054
ACACT4p_pos	24505.62630715203
ACACT5p_pos	24505.62630715203
ACACT6p_pos	24505.62630715203
ACACT7p_pos	23838.058041523203
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	423.646196003911
ACACt2_pos	423.646196003911
ACACt2m_neg	1248.086154687365
ACACt2m_pos	1248.086154687365
ACACtx_neg	5849.412203571243
ACACtx_pos	0.0
ACALDt_neg	6143.628937420851
ACALDt_pos	5.184000716451808
ACALDtm_neg	8770.280211145731
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	54262.26664060771
ACALDtx_neg	0.0
ACALDtx_pos	11.789541587887049
ACCOAC_pos	4233.752297308173
ACCOACm_pos	4294.651108757109
ACCOAL_pos	3305.5656947274792
ACCOALm_pos	4311.554776735015
ACCOAgt_neg	0.0
ACCOAgt_pos	19252.278933706068
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
ACCOAtr_neg	1563.6510418105913
ACCOAtr_pos	1563.6510418105913
ACETONEt2_neg	10623.070587432507
ACETONEt2_pos	5.568389473562531
ACETONEt2m_neg	10623.070587432509
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	11020.284976504548
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	11020.284976504547
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	9464.1942098183
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	9464.194209818306
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	8880.539054364597
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
