	Ob.a_S121_L007_R1_001
10FTHF5GLUtl_pos	3208.0052257040993
10FTHF5GLUtm_pos	3781.9576599825173
10FTHF6GLUtl_pos	3452.3506661937067
10FTHF6GLUtm_pos	3844.149634398879
10FTHF7GLUtl_pos	3587.4848738050987
10FTHF7GLUtm_pos	3887.98092084788
10FTHFtl_neg	3208.005225704099
10FTHFtl_pos	0.0
10FTHFtm_neg	5175.556436942163
10FTHFtm_pos	12757.77238310205
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	51564.844310351495
11DOCRTSLtr_neg	51564.84431035151
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	54163.79061115678
11DOCRTSTRNtr_neg	54163.790611156764
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	29820.31710437341
1MNCAMti_pos	46.2117133828996
1PPDCRp_pos	48.51281931426315
1a25DHVITD3TRn_pos	49902.41699632756
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	14.041663684094603
24NPHte_pos	0.0
24_25DHVITD2t_pos	10.877749878036434
24_25DHVITD2tm_pos	10.877749878036434
24_25DHVITD3t_pos	49852.34484863023
24_25DHVITD3tm_pos	51768.472977822064
24_25VITD2Hm_pos	10.877749878036434
24_25VITD3Hm_pos	51768.472977822064
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	49902.41699632755
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	7680.899952910443
2AMACSULT_pos	18809.798767207954
2AMADPTm_pos	3896.0376186070444
2DR1PP_pos	4311.952212532936
2HBO_neg	7451.185922361345
2HBO_pos	7.950116366995936
2HBt2_neg	384.9585905701214
2HBt2_pos	384.9585905701214
2HCO3_NAt_neg	298.0529935941669
2HCO3_NAt_pos	313.7688539991387
2MB2COAc_neg	0.0
2MB2COAc_pos	11896.42361053849
2MCITt_neg	0.0
2MCITt_pos	14408.172961831737
2OXOADOXm_pos	68.74882302967094
2OXOADPTm_neg	3896.0376186070425
2OXOADPTm_pos	93.69107315622814
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	31466.110498935555
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	31466.110498935548
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	608.8688290303471
34DHPHEt_neg	608.8688290303471
34DHPHEt_pos	4.130703883510742
