	WT.1012.a_S120_L007_R1_001
10FTHF5GLUtl_pos	3253.617491229038
10FTHF5GLUtm_pos	3819.3119235496897
10FTHF6GLUtl_pos	3521.756564531342
10FTHF6GLUtm_pos	3892.490462798232
10FTHF7GLUtl_pos	3671.6875515004717
10FTHF7GLUtm_pos	3942.222986847094
10FTHFtl_neg	3253.6174912290376
10FTHFtl_pos	0.0
10FTHFtm_neg	5253.513130078414
10FTHFtm_pos	13387.43868996382
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	52625.31173985788
11DOCRTSLtr_neg	52625.31173985788
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	55151.94902816144
11DOCRTSTRNtr_neg	55151.94902816143
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	30847.312644088604
1MNCAMti_pos	48.03742139339028
1PPDCRp_pos	49.69533418766857
1a25DHVITD3TRn_pos	50908.938858660455
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	14.351441758629187
24NPHte_pos	0.0
24_25DHVITD2t_pos	11.05380550438947
24_25DHVITD2tm_pos	11.05380550438947
24_25DHVITD3t_pos	50948.57088064464
24_25DHVITD3tm_pos	52696.44426968745
24_25VITD2Hm_pos	11.05380550438947
24_25VITD3Hm_pos	52696.44426968745
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	50908.938858660455
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	8180.570695902878
2AMACSULT_pos	19394.480710138138
2AMADPTm_pos	4035.07425106094
2DR1PP_pos	4514.6178329360555
2HBO_neg	7835.8526462347545
2HBO_pos	8.244770484270923
2HBt2_neg	514.883634036611
2HBt2_pos	514.883634036611
2HCO3_NAt_neg	486.73480065234173
2HCO3_NAt_pos	511.8765904143148
2MB2COAc_neg	0.0
2MB2COAc_pos	12296.844584306937
2MCITt_neg	0.0
2MCITt_pos	14814.707680599528
2OXOADOXm_pos	70.81972198067993
2OXOADPTm_neg	4035.0742510609384
2OXOADPTm_pos	95.89088820875475
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	32388.202398264104
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	32388.202398264104
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	660.3614973430045
34DHPHEt_neg	660.3614973430045
34DHPHEt_pos	4.322915554524388
34DHPLACOX_NADP__neg	1202.5633523753963
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	1202.5633523753963
34DHXMANDACOX_NADP__neg	1202.5633523753963
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	1202.5633523753963
34HPLFM_pos	46730.66527313481
34HPPOR_pos	46485.19059805934
34HPPte_neg	8507.185824250062
34HPPte_pos	6887.381606436111
35CGMPtn_neg	0.0
35CGMPtn_pos	11317.67855916304
3AIBTm_neg	0.0
3AIBTm_pos	10993.726304938096
3AIB_Dtm_neg	11800.925371257405
3AIB_Dtm_pos	19932.698029583044
3AIBt_pos	10993.726304938094
3AIBtm_pos	10993.726304938094
3DPHBH1_pos	46730.665273134815
3DPHBH2_pos	46755.71480696528
3DSPHR_pos	20434.714630417217
3HAO_pos	48.41880912747459
3HBCDm_neg	0.0
3HBCDm_pos	8906.764483975936
3HBCOAHLm_pos	12965.436332532703
3HBCOARc_neg	0.0
3HBCOARc_pos	8906.764483975936
3HCO3_NAt_neg	850.4242228048565
3HCO3_NAt_pos	850.8124760037579
3HKYNAKGAT_pos	1187.0634298531047
3HLYTCL_pos	9580.70642686563
3HPCOAHYD_pos	0.0
3HPPD_neg	0.0
3HPPD_pos	0.0
3HXKYNDCL_pos	0.0
3HXKYNOXDA_pos	0.0
3M4HDXPAC_neg	0.0
3M4HDXPAC_pos	0.0
3MLDAt_neg	0.0
3MLDAt_pos	13087.994683296887
