	Ob.911.e_S155_L007_R1_001
10FTHF5GLUtl_pos	3195.2387831049396
10FTHF5GLUtm_pos	3774.2809189371746
10FTHF6GLUtl_pos	3437.8326651397992
10FTHF6GLUtm_pos	3835.1089664865613
10FTHF7GLUtl_pos	3569.9924243014143
10FTHF7GLUtm_pos	3877.969540674214
10FTHFtl_neg	3195.2387831049405
10FTHFtl_pos	0.0
10FTHFtm_neg	4983.104486303617
10FTHFtm_pos	12506.987140468085
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	51349.79353460299
11DOCRTSLtr_neg	51349.793534603006
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	53932.69811935907
11DOCRTSTRNtr_neg	53932.69811935906
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	29583.25795776753
1MNCAMti_pos	46.121062949039946
1PPDCRp_pos	48.570274638605035
1a25DHVITD3TRn_pos	49718.15741421621
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	14.03702173098653
24NPHte_pos	0.0
24_25DHVITD2t_pos	10.833940356963007
24_25DHVITD2tm_pos	10.833940356963007
24_25DHVITD3t_pos	49666.83429242403
24_25DHVITD3tm_pos	51560.45766951857
24_25VITD2Hm_pos	10.833940356963007
24_25VITD3Hm_pos	51560.45766951857
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	49718.15741421622
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	7608.441239834676
2AMACSULT_pos	18191.10705698339
2AMADPTm_pos	3884.619798173719
2DR1PP_pos	4252.62094124629
2HBO_neg	7442.938405299151
2HBO_pos	7.9384488304147425
2HBt2_neg	396.5712742920549
2HBt2_pos	396.5712742920549
2HCO3_NAt_neg	297.72144488653566
2HCO3_NAt_pos	315.3127806300046
2MB2COAc_neg	0.0
2MB2COAc_pos	11923.881648204762
2MCITt_neg	0.0
2MCITt_pos	14367.875659840494
2OXOADOXm_pos	68.20201661814676
2OXOADPTm_neg	3884.6197981737196
2OXOADPTm_pos	93.24634970343536
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	31347.75918044119
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	31347.759180441186
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	547.6821992350631
34DHPHEt_neg	547.6821992350631
34DHPHEt_pos	4.122940984637442
34DHPLACOX_NADP__neg	818.1417938003897
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	818.1417938003897
34DHXMANDACOX_NADP__neg	818.1417938003897
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	818.1417938003897
34HPLFM_pos	45009.4262708269
34HPPOR_pos	45478.753376883986
34HPPte_neg	8119.640523268948
34HPPte_pos	6692.057450681261
35CGMPtn_neg	0.0
35CGMPtn_pos	10953.216507270632
3AIBTm_neg	0.0
3AIBTm_pos	10683.223684559627
3AIB_Dtm_neg	11522.960016134164
3AIB_Dtm_pos	18781.870839458985
3AIBt_pos	10683.223684559627
3AIBtm_pos	10683.223684559627
3DPHBH1_pos	45009.426270826894
3DPHBH2_pos	45025.53469949963
3DSPHR_pos	19154.38399485129
3HAO_pos	46.71442270520325
3HBCDm_neg	0.0
3HBCDm_pos	8613.8252751324
3HBCOAHLm_pos	12640.472871421925
3HBCOARc_neg	0.0
3HBCOARc_pos	8613.8252751324
3HCO3_NAt_neg	576.6922805040983
3HCO3_NAt_pos	576.754135529743
3HKYNAKGAT_pos	1202.819574390339
3HLYTCL_pos	9292.391179900002
3HPCOAHYD_pos	0.0
3HPPD_neg	0.0
3HPPD_pos	0.0
3HXKYNDCL_pos	0.0
3HXKYNOXDA_pos	0.0
3M4HDXPAC_neg	0.0
3M4HDXPAC_pos	0.0
3MLDAt_neg	0.0
3MLDAt_pos	12729.953396975336
3MOBt2im_pos	4050.6769509866817
3MOBte_neg	6.324475702804993
3MOBte_pos	7604.477323449523
3MOPt2im_pos	4050.699273554367
3MOPte_neg	23.267698714620167
3MOPte_pos	7524.5004456616025
3MOX4HOXPGALDOX_NADP__neg	778.4583176798513
3MOX4HOXPGALDOX_NADP__pos	0.0
3MOX4HOXPGALDOX_pos	778.4583176798513
3MOXTYROX_pos	0.0
3NTD7l_pos	0.0
3SALAASPm_neg	14422.430335604095
3SALAASPm_pos	0.0
3SALACBOXL_pos	9875.66452190444
3SALAOX_pos	26368.7282199188
3SALATAi_pos	13611.770651905095
3SALATAim_pos	14422.430335604096
3SPYRSP_pos	13611.770651905095
3SPYRSPm_pos	14422.430335604096
41R1H2MAE12BOOX_pos	39033.54316119008
41R2A1H12BOOX_pos	31347.75918044118
42A12BOOX_pos	0.0
4ABUTtcn_pos	9345.977982300012
4ABUTtm_neg	9382.73654769833
4ABUTtm_pos	12279.035759164013
4HBZCOAFm_pos	45009.4262708269
4HBZFm_pos	45009.4262708269
4HDEBRISOQUINEte_neg	7.451266657131697
4HDEBRISOQUINEte_pos	0.0
4HGLSDm_pos	1309.2239543073715
4HOXPACDOX_NADP__neg	0.0
4HOXPACDOX_NADP__pos	10740.26198557403
4HPROLTASCT1_pos	1698.6413726905862
4HPRO_LTte_neg	0.0
4HPRO_LTte_pos	2850.0
4MOPt2im_pos	4050.699273554367
4MOPte_neg	7330.279612473973
4MOPte_pos	7580.739482907747
4MPTNLte_neg	0.0
4MPTNLte_pos	60755.47979712366
4MPTNLtm_neg	60755.47979712366
4MPTNLtm_pos	0.0
4MPTNLtr_neg	0.0
4MPTNLtr_pos	0.0
4MTOLBUTAMIDEte_neg	7.451266657131697
4MTOLBUTAMIDEte_pos	0.0
4NPHSFte_neg	22.271005027437152
4NPHSFte_pos	0.0
4NPHSULT_pos	22.271005027437155
4NPHte_neg	0.0
