	Ob.DHA.d_S147_L007_R1_001
10FTHF5GLUtl_pos	3197.7596498015496
10FTHF5GLUtm_pos	3765.0602358035917
10FTHF6GLUtl_pos	3432.969533210344
10FTHF6GLUtm_pos	3824.961536116483
10FTHF7GLUtl_pos	3564.199145562175
10FTHF7GLUtm_pos	3867.3904120288566
10FTHFtl_neg	3197.75964980155
10FTHFtl_pos	0.0
10FTHFtm_neg	5073.006979455106
10FTHFtm_pos	12611.073137884248
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	51447.21036085473
11DOCRTSLtr_neg	51447.21036085473
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	54061.36180586477
11DOCRTSTRNtr_neg	54061.36180586476
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	29688.238091586758
1MNCAMti_pos	46.22758444964514
1PPDCRp_pos	48.492373117005386
1a25DHVITD3TRn_pos	49788.57554998175
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	14.019231304996332
24NPHte_pos	0.0
24_25DHVITD2t_pos	10.840646411981139
24_25DHVITD2tm_pos	10.840646411981139
24_25DHVITD3t_pos	49737.23498618872
24_25DHVITD3tm_pos	51668.152687456066
24_25VITD2Hm_pos	10.840646411981139
24_25VITD3Hm_pos	51668.152687456066
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	49788.575549981746
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	7630.968972220664
2AMACSULT_pos	18767.698293647205
2AMADPTm_pos	3823.832380186004
2DR1PP_pos	4281.72174456953
2HBO_neg	7445.5548359719005
2HBO_pos	7.963725155387154
2HBt2_neg	391.0269726484922
2HBt2_pos	391.0269726484922
2HCO3_NAt_neg	297.212154450467
2HCO3_NAt_pos	312.18834401092386
2MB2COAc_neg	0.0
2MB2COAc_pos	11914.019623759961
2MCITt_neg	0.0
2MCITt_pos	14353.803510540474
2OXOADOXm_pos	68.53829635378946
2OXOADPTm_neg	3823.832380186004
2OXOADPTm_pos	93.40145128626213
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	31421.041354508405
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	31421.0413545084
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	590.7973179549098
34DHPHEt_neg	590.7973179549098
34DHPHEt_pos	4.130359644289976
34DHPLACOX_NADP__neg	940.2877780263963
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	940.2877780263963
34DHXMANDACOX_NADP__neg	940.2877780263963
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	940.2877780263963
34HPLFM_pos	45146.6798615424
34HPPOR_pos	45704.47368953616
34HPPte_neg	8347.663094955125
34HPPte_pos	6774.32521257502
35CGMPtn_neg	0.0
35CGMPtn_pos	10998.971171253786
3AIBTm_neg	0.0
3AIBTm_pos	10688.776092777523
3AIB_Dtm_neg	11519.992992412212
3AIB_Dtm_pos	18875.69060297767
3AIBt_pos	10688.776092777523
3AIBtm_pos	10688.776092777523
3DPHBH1_pos	45146.67986154241
3DPHBH2_pos	45158.164226488385
3DSPHR_pos	19151.761690315143
3HAO_pos	46.912618777421926
3HBCDm_neg	0.0
3HBCDm_pos	8604.0380266494
