	WT.b_S126_L007_R1_001
10FTHF5GLUtl_pos	3240.2873181318405
10FTHF5GLUtm_pos	3795.91027936031
10FTHF6GLUtl_pos	3497.9745307800627
10FTHF6GLUtm_pos	3868.124124725165
10FTHF7GLUtl_pos	3643.083200459801
10FTHF7GLUtm_pos	3917.991078818847
10FTHFtl_neg	3240.2873181318414
10FTHFtl_pos	0.0
10FTHFtm_neg	5196.424678455203
10FTHFtm_pos	13033.204940692805
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	52233.70325070999
11DOCRTSLtr_neg	52233.70325070999
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	54783.742493643964
11DOCRTSTRNtr_neg	54783.74249364398
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	30381.4387259611
1MNCAMti_pos	47.29751821874415
1PPDCRp_pos	49.15499441746543
1a25DHVITD3TRn_pos	50554.49784459766
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	14.206882300609392
24NPHte_pos	0.0
24_25DHVITD2t_pos	10.963298774325324
24_25DHVITD2tm_pos	10.963298774325324
24_25DHVITD3t_pos	50503.682635225334
24_25DHVITD3tm_pos	52358.591307399576
24_25VITD2Hm_pos	10.963298774325324
24_25VITD3Hm_pos	52358.591307399576
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	50554.49784459764
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	7943.1123101626235
2AMACSULT_pos	19269.913915696896
2AMADPTm_pos	4019.75800469125
2DR1PP_pos	4429.383808896544
2HBO_neg	7685.403007267918
2HBO_pos	8.129007990238753
2HBt2_neg	466.75018095815216
2HBt2_pos	466.75018095815216
2HCO3_NAt_neg	360.22030851156126
2HCO3_NAt_pos	382.5702933583872
2MB2COAc_neg	0.0
2MB2COAc_pos	12104.145884852514
2MCITt_neg	0.0
2MCITt_pos	14625.460957583293
2OXOADOXm_pos	69.61723077807227
2OXOADPTm_neg	4019.7580046912476
2OXOADPTm_pos	94.71479778534552
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	31942.402569526854
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	31942.402569526854
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	611.3733499700294
34DHPHEt_neg	611.3733499700294
34DHPHEt_pos	4.2031902994149
34DHPLACOX_NADP__neg	1178.580764870076
