	Ob.EPA.a_S122_L007_R1_001
10FTHF5GLUtl_pos	3211.2709739644206
10FTHF5GLUtm_pos	3771.5810463769435
10FTHF6GLUtl_pos	3449.2876802791557
10FTHF6GLUtm_pos	3831.9358893094995
10FTHF7GLUtl_pos	3583.6918337578445
10FTHF7GLUtm_pos	3874.726076259499
10FTHFtl_neg	3211.270973964421
10FTHFtl_pos	0.0
10FTHFtm_neg	5047.637455206085
10FTHFtm_pos	12631.51274775924
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	51585.038330202915
11DOCRTSLtr_neg	51585.0383302029
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	54182.07568968043
11DOCRTSTRNtr_neg	54182.07568968043
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	30009.55307337636
1MNCAMti_pos	46.421900063965296
1PPDCRp_pos	48.573802091498784
1a25DHVITD3TRn_pos	49761.32834666465
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	14.048859276968594
24NPHte_pos	0.0
24_25DHVITD2t_pos	10.913096896165172
24_25DHVITD2tm_pos	10.913096896165172
24_25DHVITD3t_pos	49819.34907025301
24_25DHVITD3tm_pos	51777.6721734359
24_25VITD2Hm_pos	10.913096896165172
24_25VITD3Hm_pos	51777.6721734359
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	49761.32834666465
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	7652.847062861725
2AMACSULT_pos	18631.599547901827
2AMADPTm_pos	3890.1728004762062
2DR1PP_pos	4357.66378696719
2HBO_neg	7468.564053237921
2HBO_pos	7.965604977211626
2HBt2_neg	389.7757113066765
2HBt2_pos	389.7757113066765
2HCO3_NAt_neg	283.9958991621318
2HCO3_NAt_pos	298.38875104780163
2MB2COAc_neg	0.0
2MB2COAc_pos	11912.673332082202
2MCITt_neg	0.0
2MCITt_pos	14410.408368571218
2OXOADOXm_pos	68.83752127483334
2OXOADPTm_neg	3890.1728004762062
2OXOADPTm_pos	93.75236777093401
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	31535.154634694947
34DHOXPEGt_neg	0.0
