	WT.EPA.e_S151_L007_R1_001
10FTHF5GLUtl_pos	3220.727881874166
10FTHF5GLUtm_pos	3787.4313896939416
10FTHF6GLUtl_pos	3474.0716093957953
10FTHF6GLUtm_pos	3853.665862951645
10FTHF7GLUtl_pos	3614.8918156611517
10FTHF7GLUtm_pos	3899.404511991993
10FTHFtl_neg	3220.7278818741656
10FTHFtl_pos	0.0
10FTHFtm_neg	5185.59227726772
10FTHFtm_pos	12902.83692953094
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	52044.20391164921
11DOCRTSLtr_neg	52044.20391164921
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	54548.69664390609
11DOCRTSTRNtr_neg	54548.69664390607
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	30314.851026470133
1MNCAMti_pos	47.12651112679716
1PPDCRp_pos	48.95756842335254
1a25DHVITD3TRn_pos	50290.78336619281
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	14.150187268869024
24NPHte_pos	0.0
24_25DHVITD2t_pos	10.941488366156854
24_25DHVITD2tm_pos	10.941488366156854
24_25DHVITD3t_pos	50330.585180612885
24_25DHVITD3tm_pos	52160.37568581289
24_25VITD2Hm_pos	10.941488366156854
24_25VITD3Hm_pos	52160.37568581289
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	50290.78336619281
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	7902.918473104706
2AMACSULT_pos	19231.054554574723
2AMADPTm_pos	3872.723476602163
2DR1PP_pos	4376.693342690393
2HBO_neg	7634.273464656588
2HBO_pos	8.081862546109852
2HBt2_neg	464.06447811989744
2HBt2_pos	464.06447811989744
2HCO3_NAt_neg	370.78452383495886
2HCO3_NAt_pos	389.59899275340956
2MB2COAc_neg	0.0
2MB2COAc_pos	12070.395796631548
2MCITt_neg	0.0
2MCITt_pos	14572.571753242608
2OXOADOXm_pos	69.30157648109434
2OXOADPTm_neg	3872.7234766021616
2OXOADPTm_pos	94.40938708329399
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	31866.513394539506
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	31866.513394539503
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	592.3432279674358
34DHPHEt_neg	592.3432279674358
34DHPHEt_pos	4.20577076489958
34DHPLACOX_NADP__neg	913.8496991077418
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	913.8496991077418
34DHXMANDACOX_NADP__neg	913.8496991077418
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	913.8496991077418
34HPLFM_pos	45796.72011487227
34HPPOR_pos	46035.737924151275
34HPPte_neg	8495.077513855671
34HPPte_pos	6822.914423769775
35CGMPtn_neg	0.0
35CGMPtn_pos	11069.537918283324
3AIBTm_neg	0.0
3AIBTm_pos	10818.51663122804
3AIB_Dtm_neg	11644.716284634696
3AIB_Dtm_pos	19272.67121321559
3AIBt_pos	10818.516631228034
3AIBtm_pos	10818.516631228034
3DPHBH1_pos	45796.72011487225
3DPHBH2_pos	45819.00043430061
3DSPHR_pos	19656.32476896798
3HAO_pos	47.414031318291755
3HBCDm_neg	0.0
3HBCDm_pos	8714.030729380374
3HBCOAHLm_pos	12795.447684922503
3HBCOARc_neg	0.0
3HBCOARc_pos	8714.03072938037
3HCO3_NAt_neg	658.9845253932224
3HCO3_NAt_pos	659.6422983750631
3HKYNAKGAT_pos	1177.8963380770765
3HLYTCL_pos	9457.404453411973
3HPCOAHYD_pos	0.0
3HPPD_neg	0.0
3HPPD_pos	0.0
3HXKYNDCL_pos	0.0
3HXKYNOXDA_pos	0.0
3M4HDXPAC_neg	0.0
3M4HDXPAC_pos	0.0
3MLDAt_neg	0.0
3MLDAt_pos	13009.559312910997
3MOBt2im_pos	3995.475340138389
3MOBte_neg	6.2976836390862
3MOBte_pos	7649.453356726756
3MOPt2im_pos	3995.594009419895
3MOPte_neg	23.2303076803127
3MOPte_pos	7582.980538815238
3MOX4HOXPGALDOX_NADP__neg	901.271246427079
3MOX4HOXPGALDOX_NADP__pos	0.0
3MOX4HOXPGALDOX_pos	901.271246427079
3MOXTYROX_pos	0.0
3NTD7l_pos	0.0
