	WT-911-a_S119_L007_R1_001	WT-DHA-c_S134_L007_R1_001	WT-EPA-d_S142_L007_R1_001	Ob-a_S121_L007_R1_001
10FTHF5GLUtl_pos	0.0	0.0	0.0	0.0
10FTHF5GLUtm_pos	0.0	0.0	0.0	0.0
10FTHF6GLUtl_pos	0.0	0.0	0.0	0.0
10FTHF6GLUtm_pos	0.0	0.0	0.0	0.0
10FTHF7GLUtl_pos	0.0	0.0	0.0	0.0
10FTHF7GLUtm_pos	0.0	0.0	0.0	0.0
10FTHFtl_pos	0.0	0.0	0.0	0.0
10FTHFtl_neg	0.0	0.0	0.0	0.0
10FTHFtm_pos	0.0	0.0	0.0	0.0
10FTHFtm_neg	0.0	0.0	0.0	0.0
11DOCRTSLtm_pos	0.0	0.0	0.0	0.0
11DOCRTSLtm_neg	0.0	0.0	0.0	0.0
11DOCRTSLtr_pos	0.0	0.0	0.0	0.0
11DOCRTSLtr_neg	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_pos	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_neg	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_pos	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_neg	0.0	0.0	0.0	0.0
13DAMPPOX_pos	0.9560566524124029	1.2265085298086797	1.3950627995175775	1.298658315564515
1a_24_25VITD2Hm_pos	0.0	0.0	0.0	0.0
1a_24_25VITD3Hm_pos	0.0	0.0	0.0	0.0
1a_25VITD2Hm_pos	0.0	0.0	0.0	0.0
1a_25VITD3Hm_pos	0.0	0.0	0.0	0.0
1MNCAMti_pos	0.0	0.0	0.0	0.0
1PPDCRp_pos	0.0	0.0	0.0	0.0
24_25DHVITD2t_pos	0.0	0.0	0.0	0.0
24_25DHVITD2tm_pos	0.0	0.0	0.0	0.0
24_25DHVITD3t_pos	0.0	0.0	0.0	0.0
24_25DHVITD3tm_pos	0.0	0.0	0.0	0.0
24_25VITD2Hm_pos	0.0	0.0	0.0	0.0
24_25VITD3Hm_pos	0.0	0.0	0.0	0.0
24NPHte_pos	0.0	0.0	0.0	0.0
24NPHte_neg	0.0	0.0	0.0	0.0
25HVITD2t_pos	0.0	0.0	0.0	0.0
25HVITD2tin_pos	0.0	0.0	0.0	0.0
25HVITD2tin_m_pos	0.0	0.0	0.0	0.0
25HVITD2tm_pos	0.0	0.0	0.0	0.0
25HVITD3t_pos	0.0	0.0	0.0	0.0
25HVITD3tin_pos	0.0	0.0	0.0	0.0
25HVITD3tin_m_pos	0.0	0.0	0.0	0.0
25HVITD3tm_pos	0.0	0.0	0.0	0.0
25VITD2Hm_pos	0.0	0.29865831556451516	0.0	0.0
25VITD3Hm_pos	0.0	0.29865831556451516	0.0	0.0
2AMACHYD_pos	7.9120510126031505	8.259413736164632	7.904664724536998	7.640317249950884
2AMACSULT_pos	0.0	0.0	0.0	0.0
2AMADPTm_pos	2.8196681834964554	2.4356285940520905	2.8439838440483265	3.1842802944193824
2DR1PP_pos	0.0	0.0	0.0	0.0
2HBO_pos	9.662962046652273	10.185916087559614	9.34801990922869	10.84695552362996
2HBO_neg	9.662962046652273	10.185916087559614	9.34801990922869	10.84695552362996
2HBt2_pos	5.569855608330948	5.926236684413331	5.224194663970433	6.850624425243046
2HBt2_neg	5.569855608330948	5.926236684413331	5.224194663970433	6.850624425243046
2HCO3_NAt_pos	3.682573297347578	4.880685525261124	3.896271848807375	5.028569152196771
2HCO3_NAt_neg	3.682573297347578	4.880685525261124	3.896271848807375	5.028569152196771
2MCITt_pos	0.0	0.0	0.0	0.0
2MCITt_neg	0.0	0.0	0.0	0.0
2OXOADOXm_pos	6.8770079932140185	7.21091481607392	6.8496657269155685	7.509906931997541
2OXOADPTm_pos	2.8196681834964554	2.4356285940520905	2.8439838440483265	3.1842802944193824
2OXOADPTm_neg	2.8196681834964554	2.4356285940520905	2.8439838440483265	3.1842802944193824
34DHOXPEGOX_pos	8.813652945957973	8.617908195943246	8.705183095000134	9.069154350577195
34DHOXPEGOX_neg	8.813652945957973	8.617908195943246	8.705183095000134	9.069154350577195
34DHOXPEGt_pos	0.0	0.0	0.0	0.0
34DHOXPEGt_neg	0.0	0.0	0.0	0.0
34DHPHAMT_pos	14.23450087149227	14.400814076021144	16.18529901039109	14.337013450302724
34DHPHEt_pos	5.147306698780294	5.977737849242815	5.058749412335524	4.368768349090335
34DHPHEt_neg	5.147306698780294	5.977737849242815	5.058749412335524	4.368768349090335
34DHPLACOX_pos	1.560714954474479	2.4489009511451276	1.2750070474998698	1.7570232465074596
34DHPLACOX_NADP__pos	1.3950627995175775	2.400537929583729	0.9927684307689242	1.726831217032493
34DHPLACOX_NADP__neg	1.3950627995175775	2.400537929583729	0.9927684307689242	1.726831217032493
34DHXMANDACOX_pos	1.560714954474479	2.4489009511451276	1.2750070474998698	1.7570232465074596
34DHXMANDACOX_NADP__pos	1.3950627995175775	2.400537929583729	0.9927684307689242	1.726831217032493
34DHXMANDACOX_NADP__neg	1.3950627995175775	2.400537929583729	0.9927684307689242	1.726831217032493
34HPLFM_pos	0.0	0.0	0.0	0.0
34HPPOR_pos	10.940871478189196	10.264419141579932	10.748595405990962	10.23593045095164
35CGMPtn_pos	0.0	0.0	0.0	0.0
35CGMPtn_neg	0.0	0.0	0.0	0.0
3AIBt_pos	0.0	0.0	0.0	0.0
3AIBTm_pos	6.71259578044703	6.44575980445338	6.575917361118149	7.141187525004999
3AIBTm_neg	6.71259578044703	6.44575980445338	6.575917361118149	7.141187525004999
3AIBtm_pos	6.71259578044703	6.44575980445338	6.575917361118149	7.141187525004999
3DPHBH1_pos	0.0	0.0	0.0	0.0
3DPHBH2_pos	0.0	0.0	0.0	0.0
3DSPHR_pos	3.357552004618084	4.046141781644721	3.8923910259134034	4.482848283068465
3HAO_pos	9.105070402358704	8.278263591814545	8.726320353708418	8.41831646499879
3HBCDm_pos	7.597605660892834	7.56727163085093	7.677649178624028	7.572586549385767
3HBCDm_neg	7.597605660892834	7.56727163085093	7.677649178624028	7.572586549385767
3HBCOAHLm_pos	0.0	0.0	0.0	0.0
3HKYNAKGAT_pos	7.561631630375841	7.8190933409711745	7.344473459456363	6.586314393721115
3HLYTCL_pos	4.8938475581329195	5.655351828612554	4.618238655595454	5.904965718684027
3HPCOAHYD_pos	5.72137265947682	5.777945670695148	5.562242424221073	6.297925052503806
3HPPD_pos	0.0	0.0	0.0	0.0
3HPPD_neg	0.0	0.0	0.0	0.0
3HXKYNDCL_pos	4.8938475581329195	5.655351828612554	4.618238655595454	5.904965718684027
3HXKYNOXDA_pos	6.773468927905195	6.668459556915382	6.7034883496568245	7.464259837637161
3M4HDXPAC_pos	1.560714954474479	2.4489009511451276	1.2750070474998698	1.7570232465074596
3M4HDXPAC_neg	1.560714954474479	2.4489009511451276	1.2750070474998698	1.7570232465074596
3MLDAt_pos	0.0	0.0	0.0	0.0
3MLDAt_neg	0.0	0.0	0.0	0.0
3MOBt2im_pos	0.0	0.0	0.0	0.0
3MOPt2im_pos	0.0	0.0	0.0	0.0
3MOX4HOXPGALDOX_pos	1.560714954474479	2.4489009511451276	1.2750070474998698	1.7570232465074596
3MOX4HOXPGALDOX_NADP__pos	1.560714954474479	2.4489009511451276	1.2750070474998698	1.7570232465074596
3MOX4HOXPGALDOX_NADP__neg	1.560714954474479	2.4489009511451276	1.2750070474998698	1.7570232465074596
3MOXTYROX_pos	6.773468927905195	6.668459556915382	6.7034883496568245	7.464259837637161
3NTD7l_pos	4.265286857565172	4.532940288372874	4.02768487693716	4.474436043252266
3SALAASPm_pos	6.6742629002007705	6.83932978216199	6.405141463136344	7.188737187185129
3SALAASPm_neg	6.6742629002007705	6.83932978216199	6.405141463136344	7.188737187185129
3SALACBOXL_pos	6.533563348214512	7.2436500418969665	6.6018450565110385	6.512068826251856
3SALAOX_pos	0.0	0.0	0.0	0.0
3SALATAi_pos	7.731047439337348	7.183784233127527	6.803227036434928	5.704595347632403
3SALATAim_pos	8.15891258450803	8.375908263075013	8.310112863701816	8.831972218865868
3SPYRSP_pos	0.0	0.0	0.0	0.0
3SPYRSPm_pos	0.0	0.0	0.0	0.0
41R1H2MAE12BOOX_pos	6.773468927905195	6.668459556915382	6.7034883496568245	7.464259837637161
41R2A1H12BOOX_pos	6.773468927905195	6.668459556915382	6.7034883496568245	7.464259837637161
42A12BOOX_pos	6.785812075358369	6.687340687378304	6.725877459120227	7.4761386254757
4ABUTtm_pos	0.0	0.0	0.0	0.0
4ABUTtm_neg	0.0	0.0	0.0	0.0
4HBZCOAFm_pos	0.0	0.0	0.0	0.0
4HBZFm_pos	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_pos	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_neg	0.0	0.0	0.0	0.0
4HGLSDm_pos	7.473299871141315	7.372865060112588	7.352175878326325	7.720415284906329
4HOXPACDOX_NADP__pos	1.560714954474479	2.4489009511451276	1.2750070474998698	1.7570232465074596
4HOXPACDOX_NADP__neg	1.560714954474479	2.4489009511451276	1.2750070474998698	1.7570232465074596
4MOPt2im_pos	0.0	0.0	0.0	0.0
4MPTNLte_pos	0.0	0.0	0.0	0.0
4MPTNLte_neg	0.0	0.0	0.0	0.0
4MPTNLtm_pos	0.0	0.0	0.0	0.0
4MPTNLtm_neg	0.0	0.0	0.0	0.0
4MPTNLtr_pos	0.0	0.0	0.0	0.0
4MPTNLtr_neg	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_pos	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_neg	0.0	0.0	0.0	0.0
4NPHSFte_pos	0.0	0.0	0.0	0.0
4NPHSFte_neg	0.0	0.0	0.0	0.0
4NPHSULT_pos	0.0	0.0	0.0	0.0
4NPHte_pos	0.0	0.0	0.0	0.0
4NPHte_neg	0.0	0.0	0.0	0.0
4PYRDX_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCte_pos	0.5753123306874368	1.4059923596758368	0.43295940727610627	0.6415460290875237
5ADTSTSTERONEGLCtr_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCtr_neg	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_neg	0.0	0.0	0.0	0.0
5ADTSTSTERONESULT_pos	0.3895668117627256	0.0	0.0	1.899175630480513
5ADTSTSTERONEte_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEte_neg	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_neg	0.0	0.0	0.0	0.0
5AOPtm_pos	0.0	0.0	0.0	0.0
5AOPtm_neg	0.0	0.0	0.0	0.0
5DHFtl_pos	0.0	0.0	0.0	0.0
5FTHFt2_pos	2.440952198029637	2.7548875021634687	2.0669502439246266	3.2957230245399685
5FTHFt2_neg	2.440952198029637	2.7548875021634687	2.0669502439246266	3.2957230245399685
5HLTDL_pos	4.8938475581329195	5.655351828612554	4.618238655595454	5.904965718684027
