	Ob-DHA-c_S138_L007_R1_001	WT-1012-a_S120_L007_R1_001	Ob-1012-a_S125_L007_R1_001	Ob-DHA-a_S123_L007_R1_001
10FTHF5GLUtl_pos	0.0	0.0	0.0	0.0
10FTHF5GLUtm_pos	0.0	0.0	0.0	0.0
10FTHF6GLUtl_pos	0.0	0.0	0.0	0.0
10FTHF6GLUtm_pos	0.0	0.0	0.0	0.0
10FTHF7GLUtl_pos	0.0	0.0	0.0	0.0
10FTHF7GLUtm_pos	0.0	0.0	0.0	0.0
10FTHFtl_pos	0.0	0.0	0.0	0.0
10FTHFtl_neg	0.0	0.0	0.0	0.0
10FTHFtm_pos	0.0	0.0	0.0	0.0
10FTHFtm_neg	0.0	0.0	0.0	0.0
11DOCRTSLtm_pos	0.0	0.0	0.0	0.0
11DOCRTSLtm_neg	0.0	0.0	0.0	0.0
11DOCRTSLtr_pos	0.0	0.0	0.0	0.0
11DOCRTSLtr_neg	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_pos	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_neg	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_pos	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_neg	0.0	0.0	0.0	0.0
13DAMPPOX_pos	1.5008020530571577	1.4005379295837288	0.8073549220576041	1.3561438102252754
1a_24_25VITD2Hm_pos	0.0	0.0	0.0	0.0
1a_24_25VITD3Hm_pos	0.0	0.0	0.0	0.0
1a_25VITD2Hm_pos	0.0	0.0	0.0	0.0
1a_25VITD3Hm_pos	0.0	0.0	0.0	0.0
1MNCAMti_pos	0.0	0.0	0.0	0.0
1PPDCRp_pos	0.0	0.0	0.0	0.0
24_25DHVITD2t_pos	0.0	0.0	0.0	0.0
24_25DHVITD2tm_pos	0.0	0.0	0.0	0.0
24_25DHVITD3t_pos	0.0	0.0	0.0	0.0
24_25DHVITD3tm_pos	0.0	0.0	0.0	0.0
24_25VITD2Hm_pos	0.0	0.0	0.0	0.0
24_25VITD3Hm_pos	0.0	0.0	0.0	0.0
24NPHte_pos	0.0	0.0	0.0	0.0
24NPHte_neg	0.0	0.0	0.0	0.0
25HVITD2t_pos	0.0	0.0	0.0	0.0
25HVITD2tin_pos	0.0	0.0	0.0	0.0
25HVITD2tin_m_pos	0.0	0.0	0.0	0.0
25HVITD2tm_pos	0.0	0.0	0.0	0.0
25HVITD3t_pos	0.0	0.0	0.0	0.0
25HVITD3tin_pos	0.0	0.0	0.0	0.0
25HVITD3tin_m_pos	0.0	0.0	0.0	0.0
25HVITD3tm_pos	0.0	0.0	0.0	0.0
25VITD2Hm_pos	0.0	0.11103131238874395	0.15055967657538138	0.0
25VITD3Hm_pos	0.0	0.11103131238874395	0.15055967657538138	0.0
2AMACHYD_pos	8.249682357472528	7.595816918555854	9.348108458870632	8.412739192116423
2AMACSULT_pos	0.0	0.0	0.0	0.0
2AMADPTm_pos	3.29130885982897	2.538538163629804	3.1259816538547156	3.5372960670908418
2DR1PP_pos	0.0	0.0	0.0	0.0
2HBO_pos	10.488442705296366	9.480537783101841	10.582607747330297	10.399491562157941
2HBO_neg	10.488442705296366	9.480537783101841	10.582607747330297	10.399491562157941
2HBt2_pos	6.92350576833181	4.793895882548878	6.664625054869297	6.7051485282530185
2HBt2_neg	6.92350576833181	4.793895882548878	6.664625054869297	6.7051485282530185
2HCO3_NAt_pos	5.459103696135399	2.4828482830684653	5.247547806890298	4.9354597478052895
2HCO3_NAt_neg	5.459103696135399	2.4828482830684653	5.247547806890298	4.9354597478052895
2MCITt_pos	0.0	0.0	0.0	0.0
2MCITt_neg	0.0	0.0	0.0	0.0
2OXOADOXm_pos	7.627849990345837	6.195544459213688	7.795715006501729	7.480184323698704
2OXOADPTm_pos	3.29130885982897	2.538538163629804	3.1259816538547156	3.5372960670908418
2OXOADPTm_neg	3.29130885982897	2.538538163629804	3.1259816538547156	3.5372960670908418
34DHOXPEGOX_pos	8.696758928739037	8.413458688007978	8.885818371989917	8.763112752670658
34DHOXPEGOX_neg	8.696758928739037	8.413458688007978	8.885818371989917	8.763112752670658
34DHOXPEGt_pos	0.0	0.0	0.0	0.0
34DHOXPEGt_neg	0.0	0.0	0.0	0.0
34DHPHAMT_pos	15.39961572450463	15.646464769919081	14.244921983515244	15.945527052315052
34DHPHEt_pos	4.750606504835592	4.3554391972486854	4.7230123963923685	4.33699741660501
34DHPHEt_neg	4.750606504835592	4.3554391972486854	4.7230123963923685	4.33699741660501
34DHPLACOX_pos	1.9597701552114672	0.9855004303048849	2.521050736900963	2.0461417816447205
34DHPLACOX_NADP__pos	1.9068905956085185	0.9411063109464314	2.37851162325373	1.922197848396367
34DHPLACOX_NADP__neg	1.9068905956085185	0.9411063109464314	2.37851162325373	1.922197848396367
34DHXMANDACOX_pos	1.9597701552114672	0.9855004303048849	2.521050736900963	2.0461417816447205
34DHXMANDACOX_NADP__pos	1.9068905956085185	0.9411063109464314	2.37851162325373	1.922197848396367
34DHXMANDACOX_NADP__neg	1.9068905956085185	0.9411063109464314	2.37851162325373	1.922197848396367
34HPLFM_pos	0.0	0.0	0.0	0.0
34HPPOR_pos	10.235679198937996	10.216042524491892	11.261142916578097	10.541938748499385
35CGMPtn_pos	0.0	0.0	0.0	0.0
35CGMPtn_neg	0.0	0.0	0.0	0.0
3AIBt_pos	0.0	0.0	0.0	0.0
3AIBTm_pos	7.148629105749778	5.581049900945041	7.553821256532693	6.994805976084931
3AIBTm_neg	7.148629105749778	5.581049900945041	7.553821256532693	6.994805976084931
3AIBtm_pos	7.148629105749778	5.581049900945041	7.553821256532693	6.994805976084931
3DPHBH1_pos	0.0	0.0	0.0	0.0
3DPHBH2_pos	0.0	0.0	0.0	0.0
3DSPHR_pos	4.77663042305105	2.8579809951275723	4.394376944957055	4.001802242633985
3HAO_pos	8.542025837671952	8.553898034427972	8.667643803671506	8.578750063855995
3HBCDm_pos	7.366322214245816	8.047123912114026	7.604219619402238	7.301038849903148
3HBCDm_neg	7.366322214245816	8.047123912114026	7.604219619402238	7.301038849903148
3HBCOAHLm_pos	0.0	0.0	0.0	0.0
3HKYNAKGAT_pos	6.459267666703387	7.330468766590315	6.960812857956555	6.214901910160696
3HLYTCL_pos	5.636334602442182	4.369466483650723	6.035403969942067	5.674969030624974
3HPCOAHYD_pos	6.043956872790206	5.1626934322112366	6.1039172107520665	6.166916251569974
3HPPD_pos	0.0	0.0	0.0	0.0
3HPPD_neg	0.0	0.0	0.0	0.0
3HXKYNDCL_pos	5.636334602442182	4.369466483650723	6.035403969942067	5.674969030624974
3HXKYNOXDA_pos	7.277054876148728	5.651625783920642	7.392317422778761	7.220523436411514
3M4HDXPAC_pos	1.9597701552114672	0.9855004303048849	2.521050736900963	2.0461417816447205
3M4HDXPAC_neg	1.9597701552114672	0.9855004303048849	2.521050736900963	2.0461417816447205
3MLDAt_pos	0.0	0.0	0.0	0.0
3MLDAt_neg	0.0	0.0	0.0	0.0
3MOBt2im_pos	0.0	0.0	0.0	0.0
3MOPt2im_pos	0.0	0.0	0.0	0.0
3MOX4HOXPGALDOX_pos	1.9597701552114672	0.9855004303048849	2.521050736900963	2.0461417816447205
3MOX4HOXPGALDOX_NADP__pos	1.9597701552114672	0.9855004303048849	2.521050736900963	2.0461417816447205
3MOX4HOXPGALDOX_NADP__neg	1.9597701552114672	0.9855004303048849	2.521050736900963	2.0461417816447205
3MOXTYROX_pos	7.277054876148728	5.651625783920642	7.392317422778761	7.220523436411514
3NTD7l_pos	4.409390936137702	3.7420062108667365	4.646738698307846	4.046141781644721
3SALAASPm_pos	7.067057839482785	5.737686761409861	7.195741293246449	6.913727173005177
3SALAASPm_neg	7.067057839482785	5.737686761409861	7.195741293246449	6.913727173005177
3SALACBOXL_pos	6.512226886513957	5.833396134163228	7.116135990206275	6.511436411977229
3SALAOX_pos	0.0	0.0	0.0	0.0
3SALATAi_pos	7.318859105968651	6.4015622072560685	8.685729950290016	7.612721087968251
3SALATAim_pos	8.912739671305205	7.530367318449972	9.0649852141317	8.804098745765451
3SPYRSP_pos	0.0	0.0	0.0	0.0
3SPYRSPm_pos	0.0	0.0	0.0	0.0
41R1H2MAE12BOOX_pos	7.277054876148728	5.651625783920642	7.392317422778761	7.220523436411514
41R2A1H12BOOX_pos	7.277054876148728	5.651625783920642	7.392317422778761	7.220523436411514
42A12BOOX_pos	7.2939773656244276	5.697940582617104	7.3987436919381935	7.235535606710462
4ABUTtm_pos	0.0	0.0	0.0	0.0
4ABUTtm_neg	0.0	0.0	0.0	0.0
4HBZCOAFm_pos	0.0	0.0	0.0	0.0
4HBZFm_pos	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_pos	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_neg	0.0	0.0	0.0	0.0
4HGLSDm_pos	7.969127460570684	6.478324711485028	8.269874722482472	7.832067190287761
4HOXPACDOX_NADP__pos	1.9597701552114672	0.9855004303048849	2.521050736900963	2.0461417816447205
4HOXPACDOX_NADP__neg	1.9597701552114672	0.9855004303048849	2.521050736900963	2.0461417816447205
4MOPt2im_pos	0.0	0.0	0.0	0.0
4MPTNLte_pos	0.0	0.0	0.0	0.0
4MPTNLte_neg	0.0	0.0	0.0	0.0
4MPTNLtm_pos	0.0	0.0	0.0	0.0
4MPTNLtm_neg	0.0	0.0	0.0	0.0
4MPTNLtr_pos	0.0	0.0	0.0	0.0
4MPTNLtr_neg	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_pos	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_neg	0.0	0.0	0.0	0.0
4NPHSFte_pos	0.0	0.0	0.0	0.0
4NPHSFte_neg	0.0	0.0	0.0	0.0
4NPHSULT_pos	0.0	0.0	0.0	0.0
4NPHte_pos	0.0	0.0	0.0	0.0
4NPHte_neg	0.0	0.0	0.0	0.0
4PYRDX_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCte_pos	1.232660756790275	0.46466826700344427	0.6040713236688608	0.6507645591169021
5ADTSTSTERONEGLCtr_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCtr_neg	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_neg	0.0	0.0	0.0	0.0
5ADTSTSTERONESULT_pos	4.36737106564853	0.0	6.454833906898869	5.537296067090842
5ADTSTSTERONEte_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEte_neg	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_neg	0.0	0.0	0.0	0.0
5AOPtm_pos	0.0	0.0	0.0	0.0
5AOPtm_neg	0.0	0.0	0.0	0.0
5DHFtl_pos	0.0	0.0	0.0	0.0
5FTHFt2_pos	3.150559676575381	1.584962500721156	3.343407822297814	2.957914598632985
5FTHFt2_neg	3.150559676575381	1.584962500721156	3.343407822297814	2.957914598632985
5HLTDL_pos	5.636334602442182	4.369466483650723	6.035403969942067	5.674969030624974
