	Ob-DHA-e_S154_L007_R1_001
10FTHF5GLUtl_pos	3187.432059739467
10FTHF5GLUtm_pos	3766.5207291703086
10FTHF6GLUtl_pos	3429.344934885608
10FTHF6GLUtm_pos	3829.3600338685815
10FTHF7GLUtl_pos	3560.664847444499
10FTHF7GLUtm_pos	3873.2590453057405
10FTHFtl_neg	3187.432059739467
10FTHFtl_pos	0.0
10FTHFtm_neg	5093.538902921202
10FTHFtm_pos	12602.356234547642
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	51377.806547051325
11DOCRTSLtr_neg	51377.806547051325
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	54008.872719604384
11DOCRTSTRNtr_neg	54008.87271960437
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	29683.198853040965
1MNCAMti_pos	45.93290366117396
1PPDCRp_pos	48.49029774505459
1a25DHVITD3TRn_pos	49693.81073429647
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	14.029604027350304
24NPHte_pos	0.0
24_25DHVITD2t_pos	10.822271649114349
24_25DHVITD2tm_pos	10.822271649114349
24_25DHVITD3t_pos	49752.70612983276
24_25DHVITD3tm_pos	51625.42641748325
24_25VITD2Hm_pos	10.822271649114349
24_25VITD3Hm_pos	51625.42641748325
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	49693.81073429651
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	7632.984277349542
2AMACSULT_pos	18686.64504661204
2AMADPTm_pos	3775.8170345232757
2DR1PP_pos	4214.923110861963
2HBO_neg	7468.397218149216
2HBO_pos	7.9676183734584205
2HBt2_neg	398.41225557871314
2HBt2_pos	398.41225557871314
2HCO3_NAt_neg	288.39523321974553
2HCO3_NAt_pos	303.67468152050185
2MB2COAc_neg	0.0
2MB2COAc_pos	11895.49193257771
2MCITt_neg	0.0
