	Ob-1012-d_S149_L007_R1_001
10FTHF5GLUtl_pos	3195.2751327734645
10FTHF5GLUtm_pos	3766.3596830622587
10FTHF6GLUtl_pos	3434.798425413378
10FTHF6GLUtm_pos	3826.151226741293
10FTHF7GLUtl_pos	3566.4949768413903
10FTHF7GLUtm_pos	3868.4587668953177
10FTHFtl_neg	3195.275132773466
10FTHFtl_pos	0.0
10FTHFtm_neg	5102.883690297769
10FTHFtm_pos	12673.00663623449
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	51445.76167646365
11DOCRTSLtr_neg	51445.76167646363
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	54051.04480909734
11DOCRTSTRNtr_neg	54051.04480909734
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	29685.86418283231
1MNCAMti_pos	46.16808972394587
1PPDCRp_pos	48.504356636938425
1a25DHVITD3TRn_pos	49807.924337766046
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	14.031966341459674
24NPHte_pos	0.0
24_25DHVITD2t_pos	10.862010445667863
24_25DHVITD2tm_pos	10.862010445667863
24_25DHVITD3t_pos	49756.35671230373
24_25DHVITD3tm_pos	51666.98715621564
24_25VITD2Hm_pos	10.862010445667863
24_25VITD3Hm_pos	51666.98715621564
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	49807.92433776605
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	7629.511626265565
2AMACSULT_pos	18556.639260327076
2AMADPTm_pos	3888.1556328502743
2DR1PP_pos	4269.793222143836
2HBO_neg	7453.111181353516
2HBO_pos	7.954631332098638
2HBt2_neg	391.06948750288234
2HBt2_pos	391.06948750288234
2HCO3_NAt_neg	311.07882707076004
2HCO3_NAt_pos	326.7217714950396
2MB2COAc_neg	0.0
2MB2COAc_pos	11899.880351964392
2MCITt_neg	0.0
2MCITt_pos	14366.682377551297
2OXOADOXm_pos	68.68743376739678
2OXOADPTm_neg	3888.1556328502743
2OXOADPTm_pos	93.5590965527336
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	31417.081912408554
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	31417.08191240856
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	609.0770722783222
34DHPHEt_neg	609.0770722783222
34DHPHEt_pos	4.151362486581603
34DHPLACOX_NADP__neg	879.809772531658
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	879.809772531658
34DHXMANDACOX_NADP__neg	879.809772531658
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	879.809772531658
34HPLFM_pos	45042.41268377453
34HPPOR_pos	45640.45625718325
34HPPte_neg	8265.272779600906
34HPPte_pos	6782.98542926108
35CGMPtn_neg	0.0
35CGMPtn_pos	10869.205885503146
3AIBTm_neg	0.0
3AIBTm_pos	10702.794937382816
3AIB_Dtm_neg	11533.102596455863
3AIB_Dtm_pos	18892.585676863364
3AIBt_pos	10702.794937382814
3AIBtm_pos	10702.794937382814
3DPHBH1_pos	45042.41268377455
3DPHBH2_pos	45053.254479332216
3DSPHR_pos	19129.121747197118
3HAO_pos	47.002297274248946
3HBCDm_neg	0.0
3HBCDm_pos	8566.329682126543
3HBCOAHLm_pos	12652.74863773495
3HBCOARc_neg	0.0
3HBCOARc_pos	8566.329682126541
3HCO3_NAt_neg	632.5241979151365
3HCO3_NAt_pos	633.1814107897294
3HKYNAKGAT_pos	1233.0125685575304
3HLYTCL_pos	9312.651540216233
3HPCOAHYD_pos	0.0
3HPPD_neg	0.0
3HPPD_pos	0.0
3HXKYNDCL_pos	0.0
3HXKYNOXDA_pos	0.0
3M4HDXPAC_neg	0.0
3M4HDXPAC_pos	0.0
3MLDAt_neg	0.0
3MLDAt_pos	12723.022037466217
3MOBt2im_pos	4055.61124049547
3MOBte_neg	6.372791128791715
3MOBte_pos	7694.918889542908
3MOPt2im_pos	4055.6541743681523
3MOPte_neg	23.422021591382496
3MOPte_pos	7594.054819851873
3MOX4HOXPGALDOX_NADP__neg	866.3450150795627
3MOX4HOXPGALDOX_NADP__pos	0.0
3MOX4HOXPGALDOX_pos	866.3450150795627
3MOXTYROX_pos	0.0
3NTD7l_pos	0.0
3SALAASPm_neg	14300.24922322627
3SALAASPm_pos	0.0
3SALACBOXL_pos	9928.421943616326
3SALAOX_pos	26452.668050508262
3SALATAi_pos	13517.955849636497
3SALATAim_pos	14300.249223226267
3SPYRSP_pos	13517.955849636497
3SPYRSPm_pos	14300.249223226267
41R1H2MAE12BOOX_pos	39115.783598373506
41R2A1H12BOOX_pos	31417.08191240856
42A12BOOX_pos	0.0
4ABUTtcn_pos	9293.945338830215
4ABUTtm_neg	9396.806610034671
4ABUTtm_pos	12264.889951071154
4HBZCOAFm_pos	45042.41268377454
4HBZFm_pos	45042.41268377454
4HDEBRISOQUINEte_neg	7.4532691779378615
4HDEBRISOQUINEte_pos	0.0
4HGLSDm_pos	1323.624307084021
4HOXPACDOX_NADP__neg	0.0
4HOXPACDOX_NADP__pos	10812.318087708987
4HPROLTASCT1_pos	1682.30088492472
4HPRO_LTte_neg	0.0
4HPRO_LTte_pos	2850.0
4MOPt2im_pos	4055.6541743681523
4MOPte_neg	7333.002779954106
4MOPte_pos	7670.006656885462
4MPTNLte_neg	0.0
4MPTNLte_pos	60890.33638911327
4MPTNLtm_neg	60890.33638911327
4MPTNLtm_pos	0.0
4MPTNLtr_neg	0.0
4MPTNLtr_pos	0.0
4MTOLBUTAMIDEte_neg	7.4532691779378615
4MTOLBUTAMIDEte_pos	0.0
4NPHSFte_neg	22.34005530969901
4NPHSFte_pos	0.0
4NPHSULT_pos	22.34005530969901
4NPHte_neg	0.0
4NPHte_pos	14.031966341459672
4OHPROIMINOtc_pos	1682.30088492472
4PYRDX_pos	7923.843805387066
5ADTSTSTERONEGLCte_pos	68652.17921740643
5ADTSTSTERONEGLCtr_neg	68652.1792174064
5ADTSTSTERONEGLCtr_pos	0.0
5ADTSTSTERONESULT_pos	7130.706691394868
5ADTSTSTERONESte_neg	8.194414446959302
5ADTSTSTERONESte_pos	54480.902401336316
5ADTSTSTERONEte_neg	55091.810922949226
5ADTSTSTERONEte_pos	7.182827101816653
5ADTSTSTERONEtr_neg	38.64726418601903
5ADTSTSTERONEtr_pos	55091.25063414659
5AOPtm_neg	14482.346775151553
5AOPtm_pos	0.0
5DHFtl_pos	3196.949647125571
5FTHFt2_neg	0.0
5FTHFt2_pos	6.403816919199869
5HLTDL_pos	7.4983321398721925
5HOMEPRAZOLEte_neg	7.4532691779378615
5HOMEPRAZOLEte_pos	0.0
5HOXINDACTO2OX_pos	440.09861642458407
5HOXINDACTOXm_pos	0.0
5HOXINOXDA_pos	0.0
5HTRPDOX_pos	0.0
5HTRPVESSEC_pos	7.481532927018109
5HXKYNDCL_pos	0.0
5HXKYNOXDA_pos	0.0
5MTAte_neg	15088.173352621166
5MTAte_pos	14967.596725514697
