	WT-DHA-a_S118_L007_R1_001
10FTHF5GLUtl_pos	3237.250694845033
10FTHF5GLUtm_pos	3809.122389045767
10FTHF6GLUtl_pos	3494.8035271913277
10FTHF6GLUtm_pos	3879.23105595954
10FTHF7GLUtl_pos	3638.2755948279196
10FTHF7GLUtm_pos	3927.261419428818
10FTHFtl_neg	3237.2506948450336
10FTHFtl_pos	0.0
10FTHFtm_neg	5215.918537754528
10FTHFtm_pos	12965.88474194949
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	52074.53880304955
11DOCRTSLtr_neg	52074.53880304957
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	54643.71800747536
11DOCRTSTRNtr_neg	54643.71800747537
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	30566.16327767452
1MNCAMti_pos	47.19096701919824
1PPDCRp_pos	49.24726122222913
1a25DHVITD3TRn_pos	50414.59570465908
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	14.179581804085421
24NPHte_pos	0.0
24_25DHVITD2t_pos	10.97184934367481
24_25DHVITD2tm_pos	10.97184934367481
24_25DHVITD3t_pos	50363.581968927836
24_25DHVITD3tm_pos	52181.82182621476
24_25VITD2Hm_pos	10.97184934367481
24_25VITD3Hm_pos	52181.82182621476
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	50414.5957046591
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	7894.797204060377
2AMACSULT_pos	19264.873406851468
2AMADPTm_pos	4037.6239957420116
2DR1PP_pos	4419.120011085563
2HBO_neg	7686.45928864426
2HBO_pos	8.105623094189893
2HBt2_neg	475.72709851801835
2HBt2_pos	475.72709851801835
2HCO3_NAt_neg	372.9271570010894
2HCO3_NAt_pos	394.5547885593669
2MB2COAc_neg	0.0
2MB2COAc_pos	12129.068885599905
2MCITt_neg	0.0
2MCITt_pos	14637.962406089973
2OXOADOXm_pos	69.76623375745817
2OXOADPTm_neg	4037.6239957420107
2OXOADPTm_pos	94.8972385383497
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	31945.994379965774
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	31945.994379965774
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	618.7164558797733
34DHPHEt_neg	618.7164558797733
34DHPHEt_pos	4.18987548278148
34DHPLACOX_NADP__neg	999.276420190322
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	999.276420190322
