	Ob-911-c_S139_L007_R1_001
10FTHF5GLUtl_pos	3210.009525472767
10FTHF5GLUtm_pos	3763.821638494908
10FTHF6GLUtl_pos	3444.8649470993914
10FTHF6GLUtm_pos	3826.989589572613
10FTHF7GLUtl_pos	3579.1507958982575
10FTHF7GLUtm_pos	3871.511436710319
10FTHFtl_neg	3210.009525472766
10FTHFtl_pos	0.0
10FTHFtm_neg	5056.362683641027
10FTHFtm_pos	12567.44823632104
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	51417.58038072227
11DOCRTSLtr_neg	51417.580380722255
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	54016.197241720125
11DOCRTSTRNtr_neg	54016.19724172015
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	29669.17357471295
1MNCAMti_pos	46.26256195261842
1PPDCRp_pos	48.4980933657204
1a25DHVITD3TRn_pos	49685.317790927955
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	13.982874628628187
24NPHte_pos	0.0
24_25DHVITD2t_pos	10.827197087093664
24_25DHVITD2tm_pos	10.827197087093664
24_25DHVITD3t_pos	49634.03578569445
24_25DHVITD3tm_pos	51601.11791334236
24_25VITD2Hm_pos	10.827197087093664
24_25VITD3Hm_pos	51601.11791334236
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	49685.317790927955
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	7615.233507325751
2AMACSULT_pos	18871.219740429264
2AMADPTm_pos	3951.2924196672175
2DR1PP_pos	4320.812286021674
2HBO_neg	7442.841228061461
2HBO_pos	7.94775465162973
2HBt2_neg	389.64776769166485
2HBt2_pos	389.64776769166485
2HCO3_NAt_neg	273.8838578984445
2HCO3_NAt_pos	289.4393741063016
2MB2COAc_neg	0.0
2MB2COAc_pos	11881.57497299765
2MCITt_neg	0.0
2MCITt_pos	14363.315363199925
2OXOADOXm_pos	68.56555008988119
2OXOADPTm_neg	3951.292419667219
2OXOADPTm_pos	93.51601051935533
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	31475.181614872894
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	31475.181614872894
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	570.7501504577838
34DHPHEt_neg	570.7501504577838
34DHPHEt_pos	4.1137692545857805
