	Ob-d_S146_L007_R1_001
10FTHF5GLUtl_pos	3213.3058386046096
10FTHF5GLUtm_pos	3787.0842956550982
10FTHF6GLUtl_pos	3459.009978183113
10FTHF6GLUtm_pos	3848.5560911525886
10FTHF7GLUtl_pos	3594.9478643020047
10FTHF7GLUtm_pos	3891.3368029857297
10FTHFtl_neg	3213.305838604609
10FTHFtl_pos	0.0
10FTHFtm_neg	5126.350722786012
10FTHFtm_pos	12742.582846317508
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	51684.09302842662
11DOCRTSLtr_neg	51684.09302842665
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	54264.11325442189
11DOCRTSTRNtr_neg	54264.11325442188
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	29760.365324619164
1MNCAMti_pos	46.56502105553777
1PPDCRp_pos	48.60841713929819
1a25DHVITD3TRn_pos	50005.301599405364
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	14.040987569217807
24NPHte_pos	0.0
24_25DHVITD2t_pos	10.882478440120382
24_25DHVITD2tm_pos	10.882478440120382
24_25DHVITD3t_pos	49953.8284796356
24_25DHVITD3tm_pos	51871.313688618924
24_25VITD2Hm_pos	10.882478440120382
24_25VITD3Hm_pos	51871.313688618924
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	50005.30159940537
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	7691.543571540565
2AMACSULT_pos	18920.316108218347
2AMADPTm_pos	3768.019335296968
2DR1PP_pos	4338.908061333936
2HBO_neg	7485.106318619916
2HBO_pos	7.960662684416752
2HBt2_neg	407.423998526393
2HBt2_pos	407.423998526393
2HCO3_NAt_neg	288.94595067647003
2HCO3_NAt_pos	305.5370358603486
2MB2COAc_neg	0.0
2MB2COAc_pos	11943.934396649616
2MCITt_neg	0.0
2MCITt_pos	14428.643167656845
2OXOADOXm_pos	68.66040963656341
2OXOADPTm_neg	3768.019335296969
2OXOADPTm_pos	93.60219936688985
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	31603.1380866254
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	31603.138086625397
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	598.6494648262951
34DHPHEt_neg	598.6494648262951
34DHPHEt_pos	4.139589863929787
34DHPLACOX_NADP__neg	960.389428162201
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	960.389428162201
34DHXMANDACOX_NADP__neg	974.0882653123763
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	974.0882653123763
34HPLFM_pos	45626.87151070874
34HPPOR_pos	45862.74302669779
34HPPte_neg	8386.577063463646
34HPPte_pos	6777.814152869539
35CGMPtn_neg	0.0
35CGMPtn_pos	11168.443004378238
3AIBTm_neg	0.0
3AIBTm_pos	10716.589230982929
3AIB_Dtm_neg	11556.252724288352
3AIB_Dtm_pos	19064.231731213084
3AIBt_pos	10716.589230982929
3AIBtm_pos	10716.589230982929
3DPHBH1_pos	45626.87151070874
3DPHBH2_pos	45637.264629968726
3DSPHR_pos	19400.35393992878
3HAO_pos	47.082970992626535
3HBCDm_neg	0.0
3HBCDm_pos	8566.191433470343
3HBCOAHLm_pos	12656.428520622028
3HBCOARc_neg	0.0
3HBCOARc_pos	8566.191433470343
3HCO3_NAt_neg	594.6213017161598
3HCO3_NAt_pos	595.0414163466603
3HKYNAKGAT_pos	1224.3317795017608
3HLYTCL_pos	9320.371841917779
3HPCOAHYD_pos	0.0
3HPPD_neg	0.0
3HPPD_pos	0.0
3HXKYNDCL_pos	0.0
3HXKYNOXDA_pos	0.0
3M4HDXPAC_neg	0.0
3M4HDXPAC_pos	0.0
3MLDAt_neg	0.0
3MLDAt_pos	12762.942443943968
