	WT-911-b_S129_L007_R1_001
10FTHF5GLUtl_pos	3223.1876492960896
10FTHF5GLUtm_pos	3801.780879857891
10FTHF6GLUtl_pos	3480.2804041860786
10FTHF6GLUtm_pos	3870.9477000298293
10FTHF7GLUtl_pos	3621.9393768444115
10FTHF7GLUtm_pos	3918.1118714858385
10FTHFtl_neg	3223.18764929609
10FTHFtl_pos	0.0
10FTHFtm_neg	5226.671681747587
10FTHFtm_pos	13071.078799555511
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	52053.23149244755
11DOCRTSLtr_neg	52053.231492447565
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	54601.80715546047
11DOCRTSTRNtr_neg	54601.80715546046
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	30359.363635998434
1MNCAMti_pos	47.01683978273932
1PPDCRp_pos	49.09032212950128
1a25DHVITD3TRn_pos	50436.41920612242
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	14.148085783986858
24NPHte_pos	0.0
24_25DHVITD2t_pos	10.967852610419712
24_25DHVITD2tm_pos	10.967852610419712
24_25DHVITD3t_pos	50385.55506660678
24_25DHVITD3tm_pos	52196.6567921794
24_25VITD2Hm_pos	10.967852610419712
24_25VITD3Hm_pos	52196.6567921794
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	50436.4192061224
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	7998.161012402835
2AMACSULT_pos	19343.460106721435
2AMADPTm_pos	3959.8619933117725
2DR1PP_pos	4356.730769315977
2HBO_neg	7645.9339911291345
2HBO_pos	8.113030924727857
2HBt2_neg	457.82885166471
2HBt2_pos	457.82885166471
2HCO3_NAt_neg	361.3682664514374
2HCO3_NAt_pos	381.5104859683863
2MB2COAc_neg	0.0
2MB2COAc_pos	12079.040638617167
2MCITt_neg	0.0
2MCITt_pos	14570.85427319935
2OXOADOXm_pos	69.52674817723799
2OXOADPTm_neg	3959.8619933117734
2OXOADPTm_pos	94.66262454530867
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	31658.637583872685
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	31658.63758387271
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	558.5978766567251
34DHPHEt_neg	558.5978766567251
34DHPHEt_pos	4.211584463283151
34DHPLACOX_NADP__neg	932.0965367548752
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	932.0965367548752
34DHXMANDACOX_NADP__neg	932.0965367548752
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	932.0965367548752
34HPLFM_pos	45792.86319285026
34HPPOR_pos	46036.92609713666
34HPPte_neg	8547.48296921603
34HPPte_pos	6843.219134824525
35CGMPtn_neg	0.0
35CGMPtn_pos	10981.465766272448
3AIBTm_neg	0.0
3AIBTm_pos	10814.709093093594
3AIB_Dtm_neg	11640.783044113521
3AIB_Dtm_pos	19329.417854367497
3AIBt_pos	10814.709093093596
3AIBtm_pos	10814.709093093596
3DPHBH1_pos	45792.863192850265
3DPHBH2_pos	45814.38937159204
3DSPHR_pos	19779.040764500034
3HAO_pos	47.57808904056443
3HBCDm_neg	0.0
3HBCDm_pos	8720.637140263498
3HBCOAHLm_pos	12806.393075457287
3HBCOARc_neg	0.0
3HBCOARc_pos	8720.637140263498
3HCO3_NAt_neg	657.8571086063762
3HCO3_NAt_pos	658.0623881716331
3HKYNAKGAT_pos	1181.8875372780058
3HLYTCL_pos	9433.354211413242
3HPCOAHYD_pos	0.0
3HPPD_neg	0.0
3HPPD_pos	0.0
3HXKYNDCL_pos	0.0
3HXKYNOXDA_pos	0.0
3M4HDXPAC_neg	0.0
3M4HDXPAC_pos	0.0
3MLDAt_neg	0.0
3MLDAt_pos	13014.055429588752
3MOBt2im_pos	4087.11659353722
