	WT-911-a_S119_L007_R1_001
10FTHF5GLUtl_pos	3223.701708803817
10FTHF5GLUtm_pos	3785.1754122309712
10FTHF6GLUtl_pos	3478.359597250048
10FTHF6GLUtm_pos	3851.575268982013
10FTHF7GLUtl_pos	3619.95406928169
10FTHF7GLUtm_pos	3897.4886919921087
10FTHFtl_neg	3223.701708803816
10FTHFtl_pos	0.0
10FTHFtm_neg	5278.915047651832
10FTHFtm_pos	13056.514561881915
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	52025.67282107575
11DOCRTSLtr_neg	52025.67282107573
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	54584.85011963936
11DOCRTSTRNtr_neg	54584.850119639355
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	30281.388233450445
1MNCAMti_pos	47.00335509212215
1PPDCRp_pos	49.00803674583157
1a25DHVITD3TRn_pos	50380.09107670738
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	14.207661057529897
24NPHte_pos	0.0
24_25DHVITD2t_pos	10.960902454148588
24_25DHVITD2tm_pos	10.960902454148588
24_25DHVITD3t_pos	50329.262276730544
24_25DHVITD3tm_pos	52153.072872817254
24_25VITD2Hm_pos	10.960902454148588
24_25VITD3Hm_pos	52153.07287281723
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	50380.09107670738
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	7891.491389298913
2AMACSULT_pos	19115.52813934942
2AMADPTm_pos	3951.105310556485
2DR1PP_pos	4377.590896047739
2HBO_neg	7638.740252298908
2HBO_pos	8.074124549913625
2HBt2_neg	454.05714042749037
2HBt2_pos	454.05714042749037
2HCO3_NAt_neg	371.0729713523116
2HCO3_NAt_pos	392.75607305817874
2MB2COAc_neg	0.0
2MB2COAc_pos	12088.278950167483
2MCITt_neg	0.0
2MCITt_pos	14564.749354611073
2OXOADOXm_pos	69.27129228838955
2OXOADPTm_neg	3951.105310556486
2OXOADPTm_pos	94.36552008505763
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	31920.46595454086
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	31920.46595454082
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	583.2366168255378
34DHPHEt_neg	583.2366168255378
34DHPHEt_pos	4.209022666074504
34DHPLACOX_NADP__neg	981.3666133957915
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	981.3666133957915
34DHXMANDACOX_NADP__neg	981.3666133957915
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	981.3666133957915
34HPLFM_pos	45990.829154406536
34HPPOR_pos	46017.74166135875
34HPPte_neg	8451.526922671304
34HPPte_pos	6828.954112455729
35CGMPtn_neg	0.0
35CGMPtn_pos	10973.022561749574
3AIBTm_neg	0.0
3AIBTm_pos	10807.53876483836
3AIB_Dtm_neg	11636.155185984404
3AIB_Dtm_pos	19240.687183908874
3AIBt_pos	10807.538764838358
3AIBtm_pos	10807.538764838358
3DPHBH1_pos	45990.82915440656
3DPHBH2_pos	45997.119804318776
3DSPHR_pos	19689.598774130667
3HAO_pos	47.44574835288707
3HBCDm_neg	0.0
3HBCDm_pos	8730.176288367538
3HBCOAHLm_pos	12800.648923889032
3HBCOARc_neg	0.0
3HBCOARc_pos	8730.176288367538
3HCO3_NAt_neg	668.1361763000384
3HCO3_NAt_pos	668.5492493442317
3HKYNAKGAT_pos	1179.1288014677443
3HLYTCL_pos	9475.423414789488
3HPCOAHYD_pos	0.0
3HPPD_neg	0.0
3HPPD_pos	0.0
3HXKYNDCL_pos	0.0
3HXKYNOXDA_pos	0.0
3M4HDXPAC_neg	0.0
3M4HDXPAC_pos	0.0
3MLDAt_neg	0.0
3MLDAt_pos	13019.653653994897
3MOBt2im_pos	4086.4669429035216
3MOBte_neg	6.389488021177263
3MOBte_pos	7726.834196688413
3MOPt2im_pos	4086.5583397330606
3MOPte_neg	23.469988612156023
3MOPte_pos	7650.550109649137
3MOX4HOXPGALDOX_NADP__neg	955.7074464603626
3MOX4HOXPGALDOX_NADP__pos	0.0
3MOX4HOXPGALDOX_pos	955.7074464603626
3MOXTYROX_pos	0.0
3NTD7l_pos	0.0
3SALAASPm_neg	14540.724378572158
3SALAASPm_pos	0.0
3SALACBOXL_pos	10001.308369182145
3SALAOX_pos	26800.92407355839
3SALATAi_pos	13661.211376622297
3SALATAim_pos	14540.72437857215
3SPYRSP_pos	13661.211376622297
