	Ob-DHA-c_S138_L007_R1_001
10FTHF5GLUtl_pos	3203.582895796185
10FTHF5GLUtm_pos	3770.161747827132
10FTHF6GLUtl_pos	3442.9733066532217
10FTHF6GLUtm_pos	3833.806183577265
10FTHF7GLUtl_pos	3576.836857981081
10FTHF7GLUtm_pos	3878.9247181487412
10FTHFtl_neg	3203.5828957961844
10FTHFtl_pos	0.0
10FTHFtm_neg	5087.674356781533
10FTHFtm_pos	12619.190940794884
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	51383.89473847692
11DOCRTSLtr_neg	51383.894738476905
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	54009.52410649915
11DOCRTSTRNtr_neg	54009.52410649915
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	29680.00904545601
1MNCAMti_pos	46.30344183177211
1PPDCRp_pos	48.54243009026629
1a25DHVITD3TRn_pos	49716.93705193636
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	13.97708309151037
24NPHte_pos	0.0
24_25DHVITD2t_pos	10.81441583031598
24_25DHVITD2tm_pos	10.81441583031598
24_25DHVITD3t_pos	49665.493798842035
24_25DHVITD3tm_pos	51587.297440282666
24_25VITD2Hm_pos	10.81441583031598
24_25VITD3Hm_pos	51587.297440282666
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	49716.93705193634
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	7642.0664729275795
2AMACSULT_pos	18828.44374673461
2AMADPTm_pos	3878.2969634001747
2DR1PP_pos	4272.241933085657
2HBO_neg	7436.962951361285
2HBO_pos	7.977303065541626
2HBt2_neg	384.40604935848035
2HBt2_pos	384.40604935848035
2HCO3_NAt_neg	279.8792905639383
2HCO3_NAt_pos	294.8126412701355
2MB2COAc_neg	0.0
2MB2COAc_pos	11898.614147245706
2MCITt_neg	0.0
2MCITt_pos	14370.86760902357
2OXOADOXm_pos	68.55656447471561
2OXOADPTm_neg	3878.296963400175
2OXOADPTm_pos	93.4386036225705
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	31274.936181381887
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	31274.936181381887
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	562.9463023919348
34DHPHEt_neg	562.9463023919348
34DHPHEt_pos	4.109192921403906
34DHPLACOX_NADP__neg	855.7369716693208
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	855.7369716693208
34DHXMANDACOX_NADP__neg	855.7369716693208
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	855.7369716693208
34HPLFM_pos	45061.318777118606
34HPPOR_pos	45598.28182064535
34HPPte_neg	8373.085170180271
34HPPte_pos	6710.265706525796
35CGMPtn_neg	0.0
35CGMPtn_pos	10962.580854781296
3AIBTm_neg	0.0
3AIBTm_pos	10696.465489583557
3AIB_Dtm_neg	11531.971932065744
3AIB_Dtm_pos	18846.78199286565
3AIBt_pos	10696.465489583556
3AIBtm_pos	10696.465489583556
3DPHBH1_pos	45061.31877711857
3DPHBH2_pos	45067.91849457676
3DSPHR_pos	19093.534007714792
3HAO_pos	46.90554358121191
3HBCDm_neg	0.0
3HBCDm_pos	8564.87491262269
3HBCOAHLm_pos	12623.361286898313
3HBCOARc_neg	0.0
3HBCOARc_pos	8564.874912622692
3HCO3_NAt_neg	563.6246252586564
3HCO3_NAt_pos	564.0943982476908
3HKYNAKGAT_pos	1226.030216022596
3HLYTCL_pos	9277.72041967152
3HPCOAHYD_pos	0.0
3HPPD_neg	0.0
3HPPD_pos	0.0
3HXKYNDCL_pos	0.0
3HXKYNOXDA_pos	0.0
3M4HDXPAC_neg	0.0
3M4HDXPAC_pos	0.0
3MLDAt_neg	0.0
3MLDAt_pos	12791.911410964396
3MOBt2im_pos	4047.2340244737647
3MOBte_neg	6.336557266065757
3MOBte_pos	7616.694285396971
3MOPt2im_pos	4047.2340244737666
3MOPte_neg	23.23085080614814
3MOPte_pos	7524.373111022609
3MOX4HOXPGALDOX_NADP__neg	849.8981560475985
3MOX4HOXPGALDOX_NADP__pos	0.0
3MOX4HOXPGALDOX_pos	849.8981560475985
3MOXTYROX_pos	0.0
3NTD7l_pos	0.0
3SALAASPm_neg	14251.94746482382
3SALAASPm_pos	0.0
3SALACBOXL_pos	9924.173250944621
3SALAOX_pos	26450.556003410104
3SALATAi_pos	13468.29206999134
3SALATAim_pos	14251.94746482382
3SPYRSP_pos	13468.29206999134
3SPYRSPm_pos	14251.94746482382
41R1H2MAE12BOOX_pos	38996.37757495502
41R2A1H12BOOX_pos	31274.936181381887
42A12BOOX_pos	0.0
4ABUTtcn_pos	9331.573138561653
4ABUTtm_neg	9374.392581803562
4ABUTtm_pos	12295.295875293403
4HBZCOAFm_pos	45061.318777118606
4HBZFm_pos	45061.318777118606
4HDEBRISOQUINEte_neg	7.405421772738609
4HDEBRISOQUINEte_pos	0.0
4HGLSDm_pos	1316.609894541964
4HOXPACDOX_NADP__neg	0.0
4HOXPACDOX_NADP__pos	10814.89661072687
4HPROLTASCT1_pos	1696.0595430119436
4HPRO_LTte_neg	0.0
4HPRO_LTte_pos	2850.0
4MOPt2im_pos	4047.2340244737666
4MOPte_neg	7328.300928077868
4MOPte_pos	7585.333447307737
4MPTNLte_neg	0.0
4MPTNLte_pos	60674.462408483996
4MPTNLtm_neg	60674.462408483996
4MPTNLtm_pos	0.0
4MPTNLtr_neg	0.0
4MPTNLtr_pos	0.0
4MTOLBUTAMIDEte_neg	7.40542177273861
4MTOLBUTAMIDEte_pos	0.0
4NPHSFte_neg	22.355220093475165
4NPHSFte_pos	0.0
4NPHSULT_pos	22.355220093475165
4NPHte_neg	0.0
4NPHte_pos	13.97708309151037
4OHPROIMINOtc_pos	1696.0595430119436
4PYRDX_pos	7929.11974737621
5ADTSTSTERONEGLCte_pos	68609.7406622287
5ADTSTSTERONEGLCtr_neg	68609.7406622287
5ADTSTSTERONEGLCtr_pos	0.0
5ADTSTSTERONESULT_pos	7086.055149723948
5ADTSTSTERONESte_neg	8.142390938711944
5ADTSTSTERONESte_pos	54458.11217773265
