	Ob-DHA-b_S132_L007_R1_001
10FTHF5GLUtl_pos	3188.6770925225715
10FTHF5GLUtm_pos	3769.508179529249
10FTHF6GLUtl_pos	3426.899974042845
10FTHF6GLUtm_pos	3832.002189869172
10FTHF7GLUtl_pos	3557.4174220032373
10FTHF7GLUtm_pos	3876.407800927223
10FTHFtl_neg	3188.677092522571
10FTHFtl_pos	0.0
10FTHFtm_neg	5077.026287633873
10FTHFtm_pos	12596.70504803793
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	51353.268546104846
11DOCRTSLtr_neg	51353.26854610486
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	53983.05995812427
11DOCRTSTRNtr_neg	53983.05995812427
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	29718.39322571966
1MNCAMti_pos	45.91200316142171
1PPDCRp_pos	48.47659250307842
1a25DHVITD3TRn_pos	49745.62084205334
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	14.01298491194098
24NPHte_pos	0.0
24_25DHVITD2t_pos	10.844713609651677
24_25DHVITD2tm_pos	10.844713609651677
24_25DHVITD3t_pos	49694.64300340311
24_25DHVITD3tm_pos	51592.76376342044
24_25VITD2Hm_pos	10.844713609651677
24_25VITD3Hm_pos	51592.76376342044
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	49745.62084205334
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	7644.455349040531
2AMACSULT_pos	18341.32082634721
2AMADPTm_pos	3846.58580946503
2DR1PP_pos	4217.838432159258
2HBO_neg	7433.570418586264
2HBO_pos	7.985438557657657
2HBt2_neg	389.6955788020489
2HBt2_pos	389.6955788020489
2HCO3_NAt_neg	285.6267143339905
2HCO3_NAt_pos	299.4177470583655
2MB2COAc_neg	0.0
2MB2COAc_pos	11894.412897539778
2MCITt_neg	0.0
2MCITt_pos	14351.491431282599
2OXOADOXm_pos	68.48653456574452
2OXOADPTm_neg	3846.5858094650303
2OXOADPTm_pos	93.39869833870372
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	31317.93781472286
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	31317.937814722853
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	572.187261338315
34DHPHEt_neg	572.187261338315
34DHPHEt_pos	4.1112229649340115
34DHPLACOX_NADP__neg	849.2949134239109
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	849.2949134239109
34DHXMANDACOX_NADP__neg	849.2949134239109
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	849.2949134239109
34HPLFM_pos	44877.02217059372
34HPPOR_pos	45518.55652193618
