	Ob-1012-a_S125_L007_R1_001
10FTHF5GLUtl_pos	3204.5017382619985
10FTHF5GLUtm_pos	3770.401727527378
10FTHF6GLUtl_pos	3442.1629763290507
10FTHF6GLUtm_pos	3830.5415753116044
10FTHF7GLUtl_pos	3575.3621784245647
10FTHF7GLUtm_pos	3872.7654858777537
10FTHFtl_neg	3204.5017382619976
10FTHFtl_pos	0.0
10FTHFtm_neg	5001.745871803889
10FTHFtm_pos	12486.493907051925
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	51433.14193449579
11DOCRTSLtr_neg	51433.14193449581
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	54024.828776884046
11DOCRTSTRNtr_neg	54024.828776884046
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	29796.569059364072
1MNCAMti_pos	46.153491034642094
1PPDCRp_pos	48.49935690427952
1a25DHVITD3TRn_pos	49630.38417019484
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	14.052303098778536
24NPHte_pos	0.0
24_25DHVITD2t_pos	10.85731588118767
24_25DHVITD2tm_pos	10.85731588118767
24_25DHVITD3t_pos	49697.66302469023
24_25DHVITD3tm_pos	51635.39589989615
24_25VITD2Hm_pos	10.85731588118767
24_25VITD3Hm_pos	51635.39589989615
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	49630.38417019482
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	7592.783541859041
2AMACSULT_pos	18140.839562897934
2AMADPTm_pos	3876.9108610958724
2DR1PP_pos	4324.0145462586515
2HBO_neg	7430.274105076374
2HBO_pos	7.9425844369691125
2HBt2_neg	395.9634413056079
2HBt2_pos	395.9634413056079
2HCO3_NAt_neg	288.4720744057323
2HCO3_NAt_pos	303.32033919704827
2MB2COAc_neg	0.0
2MB2COAc_pos	11895.955999610816
2MCITt_neg	0.0
2MCITt_pos	14362.723069878883
2OXOADOXm_pos	68.1722422671351
2OXOADPTm_neg	3876.9108610958733
2OXOADPTm_pos	93.29137207507387
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	31438.602490111294
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	31438.602490111294
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	556.071313855935
34DHPHEt_neg	556.071313855935
34DHPHEt_pos	4.128688511804829
34DHPLACOX_NADP__neg	750.8774691296862
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	750.8774691296862
34DHXMANDACOX_NADP__neg	750.8774691296862
34DHXMANDACOX_NADP__pos	0.0
