	Ob-DHA-a_S123_L007_R1_001
10FTHF5GLUtl_pos	3197.9343145251914
10FTHF5GLUtm_pos	3772.7180641500227
10FTHF6GLUtl_pos	3441.209949668617
10FTHF6GLUtm_pos	3835.9535759525356
10FTHF7GLUtl_pos	3576.470934874802
10FTHF7GLUtm_pos	3880.312020744718
10FTHFtl_neg	3197.9343145251905
10FTHFtl_pos	0.0
10FTHFtm_neg	5083.757630117633
10FTHFtm_pos	12720.39316514594
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	51504.67679479491
11DOCRTSLtr_neg	51504.67679479492
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	54125.28070089254
11DOCRTSTRNtr_neg	54125.28070089254
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	29913.758245141365
1MNCAMti_pos	46.25808728512703
1PPDCRp_pos	48.700011696448016
1a25DHVITD3TRn_pos	49889.17621822632
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	14.132838886052053
24NPHte_pos	0.0
24_25DHVITD2t_pos	10.91945250554285
24_25DHVITD2tm_pos	10.91945250554285
24_25DHVITD3t_pos	49837.65095933099
24_25DHVITD3tm_pos	51744.00037530876
24_25VITD2Hm_pos	10.91945250554285
24_25VITD3Hm_pos	51744.00037530876
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	49889.17621822631
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	7700.094756455759
2AMACSULT_pos	18563.198869596254
2AMADPTm_pos	3881.165037356064
2DR1PP_pos	4294.800863560412
2HBO_neg	7496.464583996121
2HBO_pos	7.983036937184324
2HBt2_neg	395.4935660149028
2HBt2_pos	395.4935660149028
2HCO3_NAt_neg	300.7492371529635
2HCO3_NAt_pos	318.55132600149966
2MB2COAc_neg	0.0
2MB2COAc_pos	11957.417821787345
2MCITt_neg	0.0
2MCITt_pos	14401.344139424895
2OXOADOXm_pos	68.7657964749819
2OXOADPTm_neg	3881.1650373560637
2OXOADPTm_pos	93.71421886447696
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	31449.952280830443
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	31449.95228083044
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	614.998262640489
34DHPHEt_neg	614.998262640489
34DHPHEt_pos	4.1677107633992065
34DHPLACOX_NADP__neg	846.6983941843525
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	846.6983941843525
34DHXMANDACOX_NADP__neg	846.6983941843525
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	846.6983941843525
34HPLFM_pos	45091.147142380265
34HPPOR_pos	45716.6194337695
34HPPte_neg	8291.11938869178
34HPPte_pos	6758.310553417599
35CGMPtn_neg	0.0
35CGMPtn_pos	10901.115147473618
3AIBTm_neg	0.0
3AIBTm_pos	10720.586776181037
3AIB_Dtm_neg	11554.009898985165
3AIB_Dtm_pos	18982.58996085363
3AIBt_pos	10720.586776181037
3AIBtm_pos	10720.586776181037
3DPHBH1_pos	45091.147142380294
3DPHBH2_pos	45114.77361982877
3DSPHR_pos	19216.893731571898
3HAO_pos	47.04446008885397
3HBCDm_neg	0.0
3HBCDm_pos	8657.410159573632
3HBCOAHLm_pos	12688.283693100806
3HBCOARc_neg	0.0
3HBCOARc_pos	8657.410159573628
3HCO3_NAt_neg	607.3804804923425
3HCO3_NAt_pos	607.7979590228568
3HKYNAKGAT_pos	1239.4637374131694
3HLYTCL_pos	9339.735320397402
3HPCOAHYD_pos	0.0
3HPPD_neg	0.0
3HPPD_pos	0.0
3HXKYNDCL_pos	0.0
3HXKYNOXDA_pos	0.0
3M4HDXPAC_neg	0.0
3M4HDXPAC_pos	0.0
3MLDAt_neg	0.0
3MLDAt_pos	12876.777769908624
3MOBt2im_pos	4050.268443630446
3MOBte_neg	6.374314699953359
3MOBte_pos	7662.5550120619555
3MOPt2im_pos	4050.304137359558
3MOPte_neg	23.349501948593485
3MOPte_pos	7573.868227731431
3MOX4HOXPGALDOX_NADP__neg	833.4705476091594
3MOX4HOXPGALDOX_NADP__pos	0.0
3MOX4HOXPGALDOX_pos	833.4705476091594
3MOXTYROX_pos	0.0
3NTD7l_pos	0.0
3SALAASPm_neg	14448.015142688462
3SALAASPm_pos	0.0
3SALACBOXL_pos	9942.285226152813
3SALAOX_pos	26467.06490985456
3SALATAi_pos	13631.492680822874
3SALATAim_pos	14448.015142688464
3SPYRSP_pos	13631.492680822874
3SPYRSPm_pos	14448.015142688464
41R1H2MAE12BOOX_pos	39210.31724900418
41R2A1H12BOOX_pos	31449.952280830432
42A12BOOX_pos	0.0
4ABUTtcn_pos	9393.502462414997
4ABUTtm_neg	9429.880494711855
4ABUTtm_pos	12418.323146031276
4HBZCOAFm_pos	45091.147142380265
4HBZFm_pos	45091.147142380265
4HDEBRISOQUINEte_neg	7.542103324167914
4HDEBRISOQUINEte_pos	0.0
4HGLSDm_pos	1321.2642240629866
4HOXPACDOX_NADP__neg	0.0
4HOXPACDOX_NADP__pos	10826.093824815694
4HPROLTASCT1_pos	1714.5926214850533
4HPRO_LTte_neg	0.0
4HPRO_LTte_pos	2850.0
4MOPt2im_pos	4050.304137359558
4MOPte_neg	7350.856277780743
4MOPte_pos	7634.293269695741
4MPTNLte_neg	0.0
4MPTNLte_pos	60945.36056492035
4MPTNLtm_neg	60945.36056492037
4MPTNLtm_pos	0.0
4MPTNLtr_neg	0.0
4MPTNLtr_pos	0.0
4MTOLBUTAMIDEte_neg	7.542103324167915
4MTOLBUTAMIDEte_pos	0.0
4NPHSFte_neg	22.35453354251796
4NPHSFte_pos	0.0
4NPHSULT_pos	22.354533542517963
4NPHte_neg	0.0
4NPHte_pos	14.132838886052049
4OHPROIMINOtc_pos	1714.5926214850533
4PYRDX_pos	7926.388046605351
5ADTSTSTERONEGLCte_pos	68756.85257552682
5ADTSTSTERONEGLCtr_neg	68756.85257552683
5ADTSTSTERONEGLCtr_pos	0.0
5ADTSTSTERONESULT_pos	7063.662402377379
5ADTSTSTERONESte_neg	8.311111583972396
5ADTSTSTERONESte_pos	54489.76375413542
5ADTSTSTERONEte_neg	55121.05769653425
5ADTSTSTERONEte_pos	7.237230199968437
5ADTSTSTERONEtr_neg	38.92970328153601
5ADTSTSTERONEtr_pos	55119.38197434744
5AOPtm_neg	14542.442846715927
5AOPtm_pos	0.0
5DHFtl_pos	3199.9099414647512
5FTHFt2_neg	0.0
5FTHFt2_pos	6.472729994217881
5HLTDL_pos	7.498583816945932
5HOMEPRAZOLEte_neg	7.542103324167915
5HOMEPRAZOLEte_pos	0.0
5HOXINDACTO2OX_pos	444.242772183887
5HOXINDACTOXm_pos	0.0
5HOXINOXDA_pos	0.0
5HTRPDOX_pos	0.0
5HTRPVESSEC_pos	7.4833167353580885
5HXKYNDCL_pos	0.0
