	WT-e_S150_L007_R1_001
10FTHF5GLUtl_pos	3227.8501440756554
10FTHF5GLUtm_pos	3810.6566048193863
10FTHF6GLUtl_pos	3489.6026346597055
10FTHF6GLUtm_pos	3879.699625501852
10FTHF7GLUtl_pos	3633.5348147993286
10FTHF7GLUtm_pos	3926.277268436717
10FTHFtl_neg	3227.850144075655
10FTHFtl_pos	0.0
10FTHFtm_neg	5185.880433002159
10FTHFtm_pos	12876.4625865543
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	52152.61748123215
11DOCRTSLtr_neg	52152.617481232155
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	54696.85043415222
11DOCRTSTRNtr_neg	54696.85043415224
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	30420.418552971027
1MNCAMti_pos	47.188430018552324
1PPDCRp_pos	49.27834210094875
1a25DHVITD3TRn_pos	50572.45880893424
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	14.229977869553608
24NPHte_pos	0.0
24_25DHVITD2t_pos	11.017163369855796
24_25DHVITD2tm_pos	11.017163369855796
24_25DHVITD3t_pos	50521.62806857487
24_25DHVITD3tm_pos	52291.95348700485
24_25VITD2Hm_pos	11.017163369855796
24_25VITD3Hm_pos	52291.95348700485
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	50572.45880893426
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	7821.203923202775
2AMACSULT_pos	19432.78639761818
2AMADPTm_pos	3955.5362180911793
2DR1PP_pos	4421.393412207439
2HBO_neg	7710.356998937944
2HBO_pos	8.08276419369499
2HBt2_neg	490.99195483211827
2HBt2_pos	490.99195483211827
2HCO3_NAt_neg	410.1058272059893
2HCO3_NAt_pos	433.9107253697593
2MB2COAc_neg	0.0
2MB2COAc_pos	12180.416001338794
2MCITt_neg	0.0
2MCITt_pos	14659.127178989442
2OXOADOXm_pos	69.72570458136926
2OXOADPTm_neg	3955.5362180911784
2OXOADPTm_pos	94.73348858969798
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	31781.64339288377
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	31781.643392883787
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	612.6984246324763
34DHPHEt_neg	612.6984246324763
34DHPHEt_pos	4.218063043381892
34DHPLACOX_NADP__neg	1237.7774122797136
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	1237.7774122797136
34DHXMANDACOX_NADP__neg	1237.7774122797136
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	1237.7774122797136
34HPLFM_pos	46168.7110421079
34HPPOR_pos	46109.579727787816
34HPPte_neg	8579.16195640223
34HPPte_pos	6798.906719831896
35CGMPtn_neg	0.0
35CGMPtn_pos	11009.164121561309
3AIBTm_neg	0.0
3AIBTm_pos	10869.143467199843
3AIB_Dtm_neg	11693.001455229734
3AIB_Dtm_pos	19279.813378668638
3AIBt_pos	10869.143467199841
3AIBtm_pos	10869.143467199841
3DPHBH1_pos	46168.71104210793
3DPHBH2_pos	46193.560648395534
3DSPHR_pos	19833.537500419592
3HAO_pos	47.65236376754893
3HBCDm_neg	0.0
3HBCDm_pos	8805.63115430282
3HBCOAHLm_pos	12877.267882809008
3HBCOARc_neg	0.0
3HBCOARc_pos	8805.63115430282
3HCO3_NAt_neg	726.9943307276766
3HCO3_NAt_pos	727.1310381801757
3HKYNAKGAT_pos	1182.8228987759928
3HLYTCL_pos	9452.6432762337
3HPCOAHYD_pos	0.0
3HPPD_neg	0.0
3HPPD_pos	0.0
3HXKYNDCL_pos	0.0
3HXKYNOXDA_pos	0.0
3M4HDXPAC_neg	0.0
3M4HDXPAC_pos	0.0
3MLDAt_neg	0.0
3MLDAt_pos	13010.915814313017
3MOBt2im_pos	4089.8610338915714
3MOBte_neg	6.44046533477696
3MOBte_pos	7734.415876137421
3MOPt2im_pos	4089.8610338915705
3MOPte_neg	23.707649515440423
3MOPte_pos	7665.265422447186
3MOX4HOXPGALDOX_NADP__neg	1194.8092583925682
3MOX4HOXPGALDOX_NADP__pos	0.0
3MOX4HOXPGALDOX_pos	1194.8092583925682
3MOXTYROX_pos	0.0
3NTD7l_pos	0.0
3SALAASPm_neg	14587.590165341195
3SALAASPm_pos	0.0
3SALACBOXL_pos	10063.018299634246
3SALAOX_pos	26805.321461149484
3SALATAi_pos	13694.23307054311
3SALATAim_pos	14587.590165341198
3SPYRSP_pos	13694.23307054311
3SPYRSPm_pos	14587.590165341198
41R1H2MAE12BOOX_pos	39648.42734395846
41R2A1H12BOOX_pos	31781.643392883794
42A12BOOX_pos	0.0
4ABUTtcn_pos	9667.038936503262
4ABUTtm_neg	9701.107531777865
4ABUTtm_pos	12578.07860958924
4HBZCOAFm_pos	46168.71104210789
4HBZFm_pos	46168.71104210789
4HDEBRISOQUINEte_neg	7.55344549044086
4HDEBRISOQUINEte_pos	0.0
4HGLSDm_pos	1353.4780513982705
4HOXPACDOX_NADP__neg	0.0
4HOXPACDOX_NADP__pos	11068.83283061269
4HPROLTASCT1_pos	1904.4811505757875
4HPRO_LTte_neg	0.0
4HPRO_LTte_pos	2850.0
4MOPt2im_pos	4089.8610338915705
4MOPte_neg	7449.74966803632
4MOPte_pos	7717.431268546754
4MPTNLte_neg	0.0
4MPTNLte_pos	61618.78692186524
4MPTNLtm_neg	61618.78692186524
4MPTNLtm_pos	0.0
4MPTNLtr_neg	0.0
4MPTNLtr_pos	0.0
4MTOLBUTAMIDEte_neg	7.553445490440861
4MTOLBUTAMIDEte_pos	0.0
4NPHSFte_neg	22.82875274051921
4NPHSFte_pos	0.0
4NPHSULT_pos	22.82875274051921
4NPHte_neg	0.0
4NPHte_pos	14.229977869553608
4OHPROIMINOtc_pos	1904.4811505757875
4PYRDX_pos	8077.325011447219
5ADTSTSTERONEGLCte_pos	69936.24448644702
5ADTSTSTERONEGLCtr_neg	69936.24448644702
5ADTSTSTERONEGLCtr_pos	0.0
5ADTSTSTERONESULT_pos	7771.262781125227
5ADTSTSTERONESte_neg	8.201082021607553
5ADTSTSTERONESte_pos	55348.519614129626
5ADTSTSTERONEte_neg	56016.336294265384
5ADTSTSTERONEte_pos	7.284202951694037
5ADTSTSTERONEtr_neg	39.63526341794962
5ADTSTSTERONEtr_pos	56013.954049263535
5AOPtm_neg	14751.61986972528
5AOPtm_pos	0.0
5DHFtl_pos	3229.088644874523
5FTHFt2_neg	0.0
5FTHFt2_pos	6.643530549876854
5HLTDL_pos	7.5662837803602665
5HOMEPRAZOLEte_neg	7.553445490440859
5HOMEPRAZOLEte_pos	0.0
5HOXINDACTO2OX_pos	529.2219326990373
5HOXINDACTOXm_pos	0.0
5HOXINOXDA_pos	0.0
5HTRPDOX_pos	0.0
5HTRPVESSEC_pos	7.702132741235331
5HXKYNDCL_pos	0.0
5HXKYNOXDA_pos	0.0
5MTAte_neg	15412.631182559993
5MTAte_pos	15266.072088905765
5MTHFt2_neg	1329.818074532009
5MTHFt2_pos	1329.818074532009
5MTHFt2le_neg	2404.2924847809554
5MTHFt2le_pos	2404.2924847809554
5MTHFt_neg	1329.818074532009
5MTHFt_pos	1329.818074532009
5OXPROt_neg	10414.560236667725
5OXPROt_pos	6286.349643116097
5THFtl_pos	3228.6705477947453
5THFtm_pos	3810.6566048193868
6DHFtl_pos	3489.6026346597055
6DHFtm_pos	3879.6996255018516
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	52692.654700525134
6HTSTSTERONEtr_neg	52692.654700525105
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	3489.602634659705
6THFtm_pos	3879.699625501852
7DHCHSTEROLtr_neg	11020.484386249696
7DHCHSTEROLtr_pos	77208.95091131181
7DHFtl_pos	3633.534814799328
7DHFtm_pos	3926.2772684367164
7THFtl_pos	3633.5348147993277
7THFtm_pos	3926.277268436716
A4GALTc_pos	0.0
A4GALTg_pos	11569.350142411764
A4GNT1g_pos	0.0
A4GNT2g_pos	258.45312400620656
AACOAT_pos	4345.432710092557
AACTOOR_pos	12345.157121441353
AACTtm_pos	12345.157121441353
AASAD3m_pos	26.842123061526113
AATAi_neg	3955.5362180911798
AATAi_pos	49.27834210094875
ABO1g_pos	10768.41547170482
ABO2g_pos	10392.231950178277
ABO3g_pos	10582.343798063837
ABO4g_pos	9739.113299340272
ABO5g_pos	9739.113299340272
ABO6g_pos	9121.346972782965
ABO7g_pos	9121.346972782965
ABO8g_pos	9437.389433332293
ABO9g_pos	8483.248308140037
ABTArm_neg	9701.107531777865
ABTArm_pos	12578.078609589244
ABTD_neg	5080.498033990808
ABTD_pos	8.08120863784473
ABTti_pos	5080.498033990807
ABUTD_pos	12566.097103476246
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	529.5943839409161
ABUTt2r_pos	662.9253848001703
ABUTt4_2_r_neg	662.9253848001703
ABUTt4_2_r_pos	529.5943839409161
ACACT10m_neg	13818.247390305072
ACACT10m_pos	9946.876909695753
ACACT1r_neg	7692.770878439382
ACACT1r_pos	16667.87936823886
ACACT1rm_pos	5445.888720254783
ACACT1x_pos	10222.670034081077
ACACT4p_pos	24993.099884107854
ACACT5p_pos	24993.099884107854
ACACT6p_pos	24993.099884107854
ACACT7p_pos	24314.26182778738
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	491.1039257242529
ACACt2_pos	491.1039257242529
ACACt2m_neg	1305.0602633644135
ACACt2m_pos	1305.0602633644135
ACACtx_neg	5974.861550726214
ACACtx_pos	0.0
ACALDt_neg	6395.988597722933
ACALDt_pos	5.248755525223841
ACALDtm_neg	9181.908210858292
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	54990.35369956524
ACALDtx_neg	0.0
ACALDtx_pos	11.851092849511383
ACCOAC_pos	4318.147728900667
ACCOACm_pos	4307.988695975892
ACCOAL_pos	3340.221270155939
ACCOALm_pos	4593.193992341956
ACCOAgt_neg	0.0
ACCOAgt_pos	19727.91830865097
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
