	WT-a_S116_L007_R1_001
10FTHF5GLUtl_pos	3224.651509614475
10FTHF5GLUtm_pos	3788.361283790902
10FTHF6GLUtl_pos	3478.8497243227616
10FTHF6GLUtm_pos	3856.0050721251555
10FTHF7GLUtl_pos	3619.658953193072
10FTHF7GLUtm_pos	3902.1066257739867
10FTHFtl_neg	3224.651509614475
10FTHFtl_pos	0.0
10FTHFtm_neg	5223.115166078515
10FTHFtm_pos	12932.962830093573
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	52090.99668648876
11DOCRTSLtr_neg	52090.99668648878
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	54657.1604369759
11DOCRTSTRNtr_neg	54657.16043697588
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	30260.477623428626
1MNCAMti_pos	46.94415303812296
1PPDCRp_pos	49.22434495358458
1a25DHVITD3TRn_pos	50474.653765307456
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	14.170649691141476
24NPHte_pos	0.0
24_25DHVITD2t_pos	10.955199292197607
24_25DHVITD2tm_pos	10.955199292197607
24_25DHVITD3t_pos	50423.82896346123
24_25DHVITD3tm_pos	52230.0884451067
24_25VITD2Hm_pos	10.955199292197607
24_25VITD3Hm_pos	52230.0884451067
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	50474.65376530743
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	7808.124250086537
2AMACSULT_pos	19179.60487154854
2AMADPTm_pos	3981.6095907036515
2DR1PP_pos	4380.479436151581
2HBO_neg	7672.39065897436
2HBO_pos	8.062057785454506
2HBt2_neg	484.81841368386074
2HBt2_pos	484.81841368386074
2HCO3_NAt_neg	366.3283935423848
2HCO3_NAt_pos	384.96810355953824
2MB2COAc_neg	0.0
2MB2COAc_pos	12131.816621513164
2MCITt_neg	0.0
2MCITt_pos	14590.021211649228
2OXOADOXm_pos	69.48118322938608
2OXOADPTm_neg	3981.6095907036515
2OXOADPTm_pos	94.59295675432075
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	31870.95817711633
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	31870.958177116332
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	614.7194235622494
34DHPHEt_neg	614.7194235622494
34DHPHEt_pos	4.227074971093944
34DHPLACOX_NADP__neg	1005.763882152607
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	1005.763882152607
34DHXMANDACOX_NADP__neg	1017.7528874984537
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	1017.7528874984537
34HPLFM_pos	46055.75167392781
34HPPOR_pos	46042.55383293697
34HPPte_neg	8479.913926497535
34HPPte_pos	6816.753298657846
35CGMPtn_neg	0.0
35CGMPtn_pos	10940.369385942668
3AIBTm_neg	0.0
3AIBTm_pos	10811.487745100167
3AIB_Dtm_neg	11636.395758690132
3AIB_Dtm_pos	19214.1761457201
3AIBt_pos	10811.487745100168
3AIBtm_pos	10811.487745100168
3DPHBH1_pos	46055.751673927785
3DPHBH2_pos	46065.92948042935
3DSPHR_pos	19707.828745824114
3HAO_pos	47.53430481427094
3HBCDm_neg	0.0
3HBCDm_pos	8777.858624417026
3HBCOAHLm_pos	12830.14156963079
3HBCOARc_neg	0.0
3HBCOARc_pos	8777.858624417022
3HCO3_NAt_neg	662.0172287426835
3HCO3_NAt_pos	662.798477384674
3HKYNAKGAT_pos	1182.235686629652
3HLYTCL_pos	9449.222177655975
3HPCOAHYD_pos	0.0
3HPPD_neg	0.0
3HPPD_pos	0.0
3HXKYNDCL_pos	0.0
3HXKYNOXDA_pos	0.0
3M4HDXPAC_neg	0.0
3M4HDXPAC_pos	0.0
3MLDAt_neg	0.0
3MLDAt_pos	12963.526888983855
3MOBt2im_pos	4117.816602416901
3MOBte_neg	6.447114670036276
3MOBte_pos	7772.93561023398
3MOPt2im_pos	4117.934573670244
3MOPte_neg	23.775853077382955
3MOPte_pos	7696.898541450173
3MOX4HOXPGALDOX_NADP__neg	975.2244785026605
3MOX4HOXPGALDOX_NADP__pos	0.0
3MOX4HOXPGALDOX_pos	975.2244785026605
3MOXTYROX_pos	0.0
3NTD7l_pos	0.0
3SALAASPm_neg	14594.687688252996
3SALAASPm_pos	0.0
3SALACBOXL_pos	9997.825566745463
3SALAOX_pos	26809.94836537681
3SALATAi_pos	13738.108773837173
3SALATAim_pos	14594.687688252994
3SPYRSP_pos	13738.108773837173
3SPYRSPm_pos	14594.687688252994
41R1H2MAE12BOOX_pos	39735.34052140083
41R2A1H12BOOX_pos	31870.95817711632
42A12BOOX_pos	0.0
4ABUTtcn_pos	9631.836005991685
4ABUTtm_neg	9609.996519734841
4ABUTtm_pos	12487.777954839185
4HBZCOAFm_pos	46055.75167392781
4HBZFm_pos	46055.75167392781
4HDEBRISOQUINEte_neg	7.490667243139098
4HDEBRISOQUINEte_pos	0.0
4HGLSDm_pos	1338.228014882217
4HOXPACDOX_NADP__neg	0.0
4HOXPACDOX_NADP__pos	10925.812752409855
4HPROLTASCT1_pos	1951.8375764449918
4HPRO_LTte_neg	0.0
4HPRO_LTte_pos	2850.0
4MOPt2im_pos	4117.934573670244
4MOPte_neg	7430.169129982317
4MOPte_pos	7755.00329421687
4MPTNLte_neg	0.0
4MPTNLte_pos	61619.095455163784
4MPTNLtm_neg	61619.09545516377
4MPTNLtm_pos	0.0
4MPTNLtr_neg	0.0
4MPTNLtr_pos	0.0
4MTOLBUTAMIDEte_neg	7.4906672431390975
4MTOLBUTAMIDEte_pos	0.0
4NPHSFte_neg	22.815517471386688
4NPHSFte_pos	0.0
4NPHSULT_pos	22.815517471386688
4NPHte_neg	0.0
4NPHte_pos	14.170649691141477
4OHPROIMINOtc_pos	1951.8375764449918
4PYRDX_pos	8067.157363132071
5ADTSTSTERONEGLCte_pos	69741.6854240997
5ADTSTSTERONEGLCtr_neg	69741.68542409969
5ADTSTSTERONEGLCtr_pos	0.0
5ADTSTSTERONESULT_pos	7903.166816468567
5ADTSTSTERONESte_neg	8.280630510027844
5ADTSTSTERONESte_pos	55305.44718897872
5ADTSTSTERONEte_neg	55926.331237086364
5ADTSTSTERONEte_pos	7.246563428537895
5ADTSTSTERONEtr_neg	39.343468022188524
5ADTSTSTERONEtr_pos	55922.35177916444
5AOPtm_neg	14730.557089209533
5AOPtm_pos	0.0
5DHFtl_pos	3226.4946534776045
5FTHFt2_neg	0.0
5FTHFt2_pos	6.613836308375333
5HLTDL_pos	7.544029683318364
5HOMEPRAZOLEte_neg	7.4906672431390975
5HOMEPRAZOLEte_pos	0.0
5HOXINDACTO2OX_pos	521.672250362827
5HOXINDACTOXm_pos	0.0
5HOXINOXDA_pos	0.0
5HTRPDOX_pos	0.0
5HTRPVESSEC_pos	7.655755328495514
5HXKYNDCL_pos	0.0
5HXKYNOXDA_pos	0.0
5MTAte_neg	15328.307979718653
5MTAte_pos	15183.295553325413
5MTHFt2_neg	1315.0398925094244
5MTHFt2_pos	1315.0398925094244
5MTHFt2le_neg	2410.714458005185
5MTHFt2le_pos	2410.714458005185
5MTHFt_neg	1315.0398925094244
5MTHFt_pos	1315.0398925094244
5OXPROt_neg	10352.41457111561
5OXPROt_pos	6238.970273351829
5THFtl_pos	3225.1123568126554
5THFtm_pos	3788.3612837909013
6DHFtl_pos	3478.849724322762
6DHFtm_pos	3856.005072125153
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	52622.980277623385
6HTSTSTERONEtr_neg	52622.980277623385
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	3478.849724322762
6THFtm_pos	3856.0050721251546
7DHCHSTEROLtr_neg	10978.00050896934
7DHCHSTEROLtr_pos	77194.85019005273
7DHFtl_pos	3619.6589531930717
