	WT-1012-e_S152_L007_R1_001
10FTHF5GLUtl_pos	3223.552183310131
10FTHF5GLUtm_pos	3804.0229934567715
10FTHF6GLUtl_pos	3478.882900273652
10FTHF6GLUtm_pos	3873.8451942908446
10FTHF7GLUtl_pos	3620.052687883536
10FTHF7GLUtm_pos	3921.7523731848496
10FTHFtl_neg	3223.55218331013
10FTHFtl_pos	0.0
10FTHFtm_neg	5208.706450761193
10FTHFtm_pos	13073.954333525162
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	52059.46503651119
11DOCRTSLtr_neg	52059.46503651118
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	54578.38607966295
11DOCRTSTRNtr_neg	54578.38607966292
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	30352.81470083109
1MNCAMti_pos	47.13434233805693
1PPDCRp_pos	49.10961507181681
1a25DHVITD3TRn_pos	50443.71199083145
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	14.227088448290393
24NPHte_pos	0.0
24_25DHVITD2t_pos	10.960039569406247
24_25DHVITD2tm_pos	10.960039569406247
24_25DHVITD3t_pos	50392.79090293819
24_25DHVITD3tm_pos	52210.56386352468
24_25VITD2Hm_pos	10.960039569406247
24_25VITD3Hm_pos	52210.56386352468
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	50443.711990831456
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	7959.625052324629
2AMACSULT_pos	18866.407919312398
2AMADPTm_pos	3951.360237240064
2DR1PP_pos	4379.26923037237
2HBO_neg	7648.656081570018
2HBO_pos	8.118526301343827
2HBt2_neg	473.0674306614379
2HBt2_pos	473.0674306614379
2HCO3_NAt_neg	345.80808596700547
2HCO3_NAt_pos	365.7130108649763
2MB2COAc_neg	0.0
2MB2COAc_pos	12070.831006437636
2MCITt_neg	0.0
2MCITt_pos	14569.595441835942
2OXOADOXm_pos	69.3528131411532
2OXOADPTm_neg	3951.3602372400637
2OXOADPTm_pos	94.51534743839122
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	31867.26213254634
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	31867.262132546337
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	558.5248162094649
34DHPHEt_neg	558.5248162094649
34DHPHEt_pos	4.196846950576533
34DHPLACOX_NADP__neg	897.0621330120779
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	897.0621330120779
34DHXMANDACOX_NADP__neg	897.0621330120779
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	897.0621330120779
34HPLFM_pos	46095.49509199286
34HPPOR_pos	46099.42928715939
34HPPte_neg	8382.06911196528
34HPPte_pos	6773.338447780513
35CGMPtn_neg	0.0
35CGMPtn_pos	10957.495742918089
3AIBTm_neg	0.0
3AIBTm_pos	10810.905252130748
3AIB_Dtm_neg	11643.155226147981
3AIB_Dtm_pos	19391.29029028789
3AIBt_pos	10810.90525213075
3AIBtm_pos	10810.90525213075
3DPHBH1_pos	46095.49509199286
3DPHBH2_pos	46122.72853937939
3DSPHR_pos	19738.474104493744
3HAO_pos	47.478576845315516
3HBCDm_neg	0.0
3HBCDm_pos	8700.063981298144
3HBCOAHLm_pos	12789.117376174987
3HBCOARc_neg	0.0
3HBCOARc_pos	8700.063981298144
3HCO3_NAt_neg	623.3557616950959
3HCO3_NAt_pos	623.544201524114
3HKYNAKGAT_pos	1178.1654527745568
3HLYTCL_pos	9449.418136310236
3HPCOAHYD_pos	0.0
3HPPD_neg	0.0
3HPPD_pos	0.0
