	WT-911-d_S144_L007_R1_001
10FTHF5GLUtl_pos	3221.42150338021
10FTHF5GLUtm_pos	3799.2145536267767
10FTHF6GLUtl_pos	3478.6504786812416
10FTHF6GLUtm_pos	3869.6009346551673
10FTHF7GLUtl_pos	3620.7828403275544
10FTHF7GLUtm_pos	3917.8995929553116
10FTHFtl_neg	3221.42150338021
10FTHFtl_pos	0.0
10FTHFtm_neg	5298.02465687649
10FTHFtm_pos	13073.89339665869
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	52098.23022337385
11DOCRTSLtr_neg	52098.23022337385
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	54635.33949573
11DOCRTSTRNtr_neg	54635.33949573002
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	30585.938930309567
1MNCAMti_pos	47.219071102609405
1PPDCRp_pos	49.31911358948012
1a25DHVITD3TRn_pos	50513.68679170652
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	14.170192213347752
24NPHte_pos	0.0
24_25DHVITD2t_pos	10.958905773943375
24_25DHVITD2tm_pos	10.958905773943375
24_25DHVITD3t_pos	50462.79360127865
24_25DHVITD3tm_pos	52234.38631812492
24_25VITD2Hm_pos	10.958905773943375
24_25VITD3Hm_pos	52234.38631812492
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	50513.686791706525
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	7906.990666020104
2AMACSULT_pos	19117.079521904503
2AMADPTm_pos	4005.998686951635
2DR1PP_pos	4360.981943132825
2HBO_neg	7680.34602833108
2HBO_pos	8.093028448949234
2HBt2_neg	473.0901720545319
2HBt2_pos	473.0901720545319
2HCO3_NAt_neg	349.26500875100845
2HCO3_NAt_pos	371.9940108449715
2MB2COAc_neg	0.0
2MB2COAc_pos	12139.77119984763
2MCITt_neg	0.0
2MCITt_pos	14622.916067323367
2OXOADOXm_pos	69.60140262404438
2OXOADPTm_neg	4005.998686951635
2OXOADPTm_pos	94.74215629552702
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	31902.944218609613
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	31902.94421860962
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	553.7727540216524
34DHPHEt_neg	553.7727540216524
34DHPHEt_pos	4.229945532225372
34DHPLACOX_NADP__neg	908.6200200626669
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	908.6200200626669
34DHXMANDACOX_NADP__neg	908.6200200626669
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	908.6200200626669
34HPLFM_pos	46217.58255212967
34HPPOR_pos	46012.46423638236
34HPPte_neg	8486.841437344516
34HPPte_pos	6825.366762631556
35CGMPtn_neg	0.0
35CGMPtn_pos	11076.105965782397
3AIBTm_neg	0.0
3AIBTm_pos	10831.613009148365
3AIB_Dtm_neg	11660.195835244887
3AIB_Dtm_pos	19332.08251565869
3AIBt_pos	10831.61300914837
3AIBtm_pos	10831.61300914837
3DPHBH1_pos	46217.58255212968
3DPHBH2_pos	46243.70784611801
3DSPHR_pos	19751.750007243347
3HAO_pos	47.61051105351103
3HBCDm_neg	0.0
3HBCDm_pos	8772.390146146343
3HBCOAHLm_pos	12820.14219251287
3HBCOARc_neg	0.0
3HBCOARc_pos	8772.39014614634
3HCO3_NAt_neg	638.2988323175873
3HCO3_NAt_pos	638.2988323175873
3HKYNAKGAT_pos	1181.3197881376614
3HLYTCL_pos	9485.50991063479
3HPCOAHYD_pos	0.0
3HPPD_neg	0.0
3HPPD_pos	0.0
3HXKYNDCL_pos	0.0
3HXKYNOXDA_pos	0.0
3M4HDXPAC_neg	0.0
3M4HDXPAC_pos	0.0
3MLDAt_neg	0.0
3MLDAt_pos	13272.602548349994
3MOBt2im_pos	4145.174004312048
3MOBte_neg	6.360373547838407
3MOBte_pos	7723.330126626005
3MOPt2im_pos	4145.212575759694
3MOPte_neg	23.543140689155514
3MOPte_pos	7653.163850519698
3MOX4HOXPGALDOX_NADP__neg	883.8170000370912
3MOX4HOXPGALDOX_NADP__pos	0.0
3MOX4HOXPGALDOX_pos	883.8170000370912
3MOXTYROX_pos	0.0
3NTD7l_pos	0.0
3SALAASPm_neg	14607.112151011268
3SALAASPm_pos	0.0
3SALACBOXL_pos	9999.604192290699
3SALAOX_pos	26793.855935853422
3SALATAi_pos	13742.707330948202
3SALATAim_pos	14607.112151011268
3SPYRSP_pos	13742.707330948202
3SPYRSPm_pos	14607.112151011268
41R1H2MAE12BOOX_pos	39933.980889380735
41R2A1H12BOOX_pos	31902.94421860966
42A12BOOX_pos	0.0
4ABUTtcn_pos	9602.60961834352
4ABUTtm_neg	9634.193225999285
4ABUTtm_pos	12519.448787930478
4HBZCOAFm_pos	46217.58255212967
4HBZFm_pos	46217.58255212967
4HDEBRISOQUINEte_neg	7.368251242467885
4HDEBRISOQUINEte_pos	0.0
4HGLSDm_pos	1338.2648651311652
4HOXPACDOX_NADP__neg	0.0
4HOXPACDOX_NADP__pos	10930.105408254654
4HPROLTASCT1_pos	1948.4839180234997
4HPRO_LTte_neg	0.0
4HPRO_LTte_pos	2850.0
4MOPt2im_pos	4145.212575759694
4MOPte_neg	7427.2874602394095
4MOPte_pos	7704.390701956536
4MPTNLte_neg	0.0
4MPTNLte_pos	61514.8237806547
4MPTNLtm_neg	61514.823780654675
4MPTNLtm_pos	0.0
4MPTNLtr_neg	0.0
4MPTNLtr_pos	0.0
4MTOLBUTAMIDEte_neg	7.510649772790002
4MTOLBUTAMIDEte_pos	0.0
4NPHSFte_neg	22.77419076998619
4NPHSFte_pos	0.0
4NPHSULT_pos	22.77419076998619
4NPHte_neg	0.0
4NPHte_pos	14.170192213347752
4OHPROIMINOtc_pos	1948.4839180234997
4PYRDX_pos	8041.082781033966
5ADTSTSTERONEGLCte_pos	69755.77566221307
5ADTSTSTERONEGLCtr_neg	69755.77566221308
5ADTSTSTERONEGLCtr_pos	0.0
5ADTSTSTERONESULT_pos	8046.39687879073
5ADTSTSTERONESte_neg	8.272744796005082
5ADTSTSTERONESte_pos	55246.76225400211
5ADTSTSTERONEte_neg	55911.10675075681
5ADTSTSTERONEte_pos	7.250920382139167
5ADTSTSTERONEtr_neg	39.44540036141394
5ADTSTSTERONEtr_pos	55910.085529017175
