	Ob-c_S136_L007_R1_001
10FTHF5GLUtl_pos	3190.9121641687484
10FTHF5GLUtm_pos	3770.4137803893877
10FTHF6GLUtl_pos	3429.2812877324936
10FTHF6GLUtm_pos	3828.132916556324
10FTHF7GLUtl_pos	3559.5528578259537
10FTHF7GLUtm_pos	3869.365461498863
10FTHFtl_neg	3190.912164168749
10FTHFtl_pos	0.0
10FTHFtm_neg	5045.158985393389
10FTHFtm_pos	12518.487665704568
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	51273.44751087056
11DOCRTSLtr_neg	51273.447510870545
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	53863.4101689533
11DOCRTSTRNtr_neg	53863.41016895329
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	29701.754243588814
1MNCAMti_pos	46.18965695487132
1PPDCRp_pos	48.22147982216195
1a25DHVITD3TRn_pos	49470.93394233472
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	13.981693055301115
24NPHte_pos	0.0
24_25DHVITD2t_pos	10.845090427786904
24_25DHVITD2tm_pos	10.845090427786904
24_25DHVITD3t_pos	49587.766502689665
24_25DHVITD3tm_pos	51501.71791351554
24_25VITD2Hm_pos	10.845090427786904
24_25VITD3Hm_pos	51501.71791351554
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	49470.933942334705
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	7594.697300231755
2AMACSULT_pos	18733.948264789797
2AMADPTm_pos	3819.6446288845473
2DR1PP_pos	4261.021910787205
2HBO_neg	7389.3278496007315
