	WT-DHA-d_S143_L007_R1_001
10FTHF5GLUtl_pos	3216.444713066961
10FTHF5GLUtm_pos	3800.195908712255
10FTHF6GLUtl_pos	3470.9253829377753
10FTHF6GLUtm_pos	3868.7957780310644
10FTHF7GLUtl_pos	3609.436010483848
10FTHF7GLUtm_pos	3915.119565254092
10FTHFtl_neg	3216.444713066961
10FTHFtl_pos	0.0
10FTHFtm_neg	5259.327787713351
10FTHFtm_pos	13122.936681557752
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	52230.38808200793
11DOCRTSLtr_neg	52230.38808200792
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	54761.96403880927
11DOCRTSTRNtr_neg	54761.964038809245
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	30490.842336192265
1MNCAMti_pos	47.27675398118753
1PPDCRp_pos	49.50529283144993
1a25DHVITD3TRn_pos	50478.0501677436
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	14.215604101393673
24NPHte_pos	0.0
24_25DHVITD2t_pos	10.963758100661666
24_25DHVITD2tm_pos	10.963758100661666
24_25DHVITD3t_pos	50594.52537918824
24_25DHVITD3tm_pos	52360.91814995512
24_25VITD2Hm_pos	10.963758100661666
24_25VITD3Hm_pos	52360.9181499551
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	50478.0501677436
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	7983.851613702761
2AMACSULT_pos	19342.944481283816
2AMADPTm_pos	4003.887645203523
2DR1PP_pos	4360.298840746997
2HBO_neg	7734.4578796214
2HBO_pos	8.156397270988638
2HBt2_neg	513.5018626666047
2HBt2_pos	513.5018626666047
2HCO3_NAt_neg	400.6858324935532
2HCO3_NAt_pos	424.76196655061915
2MB2COAc_neg	0.0
2MB2COAc_pos	12185.933871654162
2MCITt_neg	0.0
2MCITt_pos	14654.667234069799
2OXOADOXm_pos	70.13981976354752
2OXOADPTm_neg	4003.887645203521
2OXOADPTm_pos	95.30598939124333
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	31978.98362775785
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	31978.983627757843
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	579.4894460426668
34DHPHEt_neg	579.4894460426668
34DHPHEt_pos	4.248748614967056
34DHPLACOX_NADP__neg	941.6873149522789
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	941.6873149522789
34DHXMANDACOX_NADP__neg	941.6873149522789
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	941.6873149522789
34HPLFM_pos	46184.953271535815
34HPPOR_pos	46108.371364678176
34HPPte_neg	8551.8135288755
34HPPte_pos	6861.3159283699915
35CGMPtn_neg	0.0
35CGMPtn_pos	11050.07287363007
3AIBTm_neg	0.0
3AIBTm_pos	10903.24871709949
