	WT-DHA-b_S128_L007_R1_001
10FTHF5GLUtl_pos	3250.974570871875
10FTHF5GLUtm_pos	3826.672746856029
10FTHF6GLUtl_pos	3517.7081949501385
10FTHF6GLUtm_pos	3901.498740603326
10FTHF7GLUtl_pos	3666.7017119213447
10FTHF7GLUtm_pos	3951.983152409099
10FTHFtl_neg	3250.974570871875
10FTHFtl_pos	0.0
10FTHFtm_neg	5299.6578729173725
10FTHFtm_pos	13274.146643180471
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	52364.67125194105
11DOCRTSLtr_neg	52364.67125194105
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	54889.4498707936
11DOCRTSTRNtr_neg	54889.44987079362
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	30609.902211075576
1MNCAMti_pos	47.5048678017761
1PPDCRp_pos	49.42622603723298
1a25DHVITD3TRn_pos	50723.95056867312
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	14.270396863398192
24NPHte_pos	0.0
24_25DHVITD2t_pos	11.035215874571747
24_25DHVITD2tm_pos	11.035215874571747
24_25DHVITD3t_pos	50672.99257402127
24_25DHVITD3tm_pos	52507.78715782498
24_25VITD2Hm_pos	11.035215874571747
24_25VITD3Hm_pos	52507.78715782498
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	50723.95056867312
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	8050.321900332457
2AMACSULT_pos	19314.898554949792
2AMADPTm_pos	4006.2194822861966
2DR1PP_pos	4460.488392417398
2HBO_neg	7720.532275990029
2HBO_pos	8.154674115531535
2HBt2_neg	495.2763363631251
2HBt2_pos	495.2763363631251
2HCO3_NAt_neg	377.62143182010016
2HCO3_NAt_pos	398.8081741077001
2MB2COAc_neg	0.0
2MB2COAc_pos	12183.79638754788
2MCITt_neg	0.0
2MCITt_pos	14681.779402628104
2OXOADOXm_pos	69.84960396888165
2OXOADPTm_neg	4006.2194822861948
2OXOADPTm_pos	94.98846598059248
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	32135.62033126947
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	32135.620331269478
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	624.0805068295613
34DHPHEt_neg	624.0805068295613
34DHPHEt_pos	4.229358113916821
34DHPLACOX_NADP__neg	1042.2299592483193
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	1042.2299592483193
34DHXMANDACOX_NADP__neg	1042.2299592483193
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	1042.2299592483193
34HPLFM_pos	46400.63426804302
34HPPOR_pos	46438.06370058888
34HPPte_neg	8538.6217772919
34HPPte_pos	6868.847191083727
35CGMPtn_neg	0.0
35CGMPtn_pos	11138.288224046664
3AIBTm_neg	0.0
3AIBTm_pos	10892.313889603198
3AIB_Dtm_neg	11717.503214628452
3AIB_Dtm_pos	19527.788657209334
3AIBt_pos	10892.3138896032
3AIBtm_pos	10892.3138896032
3DPHBH1_pos	46400.63426804303
3DPHBH2_pos	46422.94838147424
3DSPHR_pos	20081.30935533579
3HAO_pos	47.82105675814901
3HBCDm_neg	0.0
3HBCDm_pos	8797.685507876347
3HBCOAHLm_pos	12851.107222562707
3HBCOARc_neg	0.0
3HBCOARc_pos	8797.685507876346
3HCO3_NAt_neg	678.2899807269273
3HCO3_NAt_pos	678.444417718911
3HKYNAKGAT_pos	1179.5419282629055
3HLYTCL_pos	9524.384350846733
3HPCOAHYD_pos	0.0
3HPPD_neg	0.0
3HPPD_pos	0.0
3HXKYNDCL_pos	0.0
3HXKYNOXDA_pos	0.0
3M4HDXPAC_neg	0.0
3M4HDXPAC_pos	0.0
3MLDAt_neg	0.0
3MLDAt_pos	13115.619740820752
3MOBt2im_pos	4133.006663837254
3MOBte_neg	6.4363799019450925
3MOBte_pos	7799.7225635285085
3MOPt2im_pos	4133.006663837254
3MOPte_neg	23.848292291375223
3MOPte_pos	7715.914467684253
3MOX4HOXPGALDOX_NADP__neg	1025.4890224968997
3MOX4HOXPGALDOX_NADP__pos	0.0
3MOX4HOXPGALDOX_pos	1025.4890224968997
3MOXTYROX_pos	0.0
3NTD7l_pos	0.0
3SALAASPm_neg	14747.98501363055
3SALAASPm_pos	0.0
3SALACBOXL_pos	10058.153975338877
3SALAOX_pos	26997.09760543304
3SALATAi_pos	13855.621084875183
3SALATAim_pos	14747.985013630554
3SPYRSP_pos	13855.621084875183
3SPYRSPm_pos	14747.985013630554
41R1H2MAE12BOOX_pos	39979.13375837944
41R2A1H12BOOX_pos	32135.620331269478
42A12BOOX_pos	0.0
4ABUTtcn_pos	9658.263882544263
4ABUTtm_neg	9718.08013503128
4ABUTtm_pos	12600.550234309925
4HBZCOAFm_pos	46400.63426804302
4HBZFm_pos	46400.63426804302
4HDEBRISOQUINEte_neg	7.564370813277712
4HDEBRISOQUINEte_pos	0.0
4HGLSDm_pos	1345.643675431822
4HOXPACDOX_NADP__neg	0.0
4HOXPACDOX_NADP__pos	11068.590226012899
4HPROLTASCT1_pos	1944.0475271108012
4HPRO_LTte_neg	0.0
4HPRO_LTte_pos	2850.0
4MOPt2im_pos	4133.006663837254
4MOPte_neg	7462.525719365345
4MOPte_pos	7774.842913634909
4MPTNLte_neg	0.0
4MPTNLte_pos	61815.008394449666
4MPTNLtm_neg	61815.008394449666
4MPTNLtm_pos	0.0
4MPTNLtr_neg	0.0
4MPTNLtr_pos	0.0
4MTOLBUTAMIDEte_neg	7.564370813277713
4MTOLBUTAMIDEte_pos	0.0
4NPHSFte_neg	23.05607137144982
4NPHSFte_pos	0.0
4NPHSULT_pos	23.056071371449825
4NPHte_neg	0.0
4NPHte_pos	14.27039686339819
4OHPROIMINOtc_pos	1944.0475271108012
4PYRDX_pos	8134.396115125928
5ADTSTSTERONEGLCte_pos	70138.03161217866
5ADTSTSTERONEGLCtr_neg	70138.03161217866
5ADTSTSTERONEGLCtr_pos	0.0
5ADTSTSTERONESULT_pos	8167.319169828421
5ADTSTSTERONESte_neg	8.327965201393203
5ADTSTSTERONESte_pos	55583.7990157806
5ADTSTSTERONEte_neg	56257.0873843795
5ADTSTSTERONEte_pos	7.3042421593653915
5ADTSTSTERONEtr_neg	39.60653024835837
5ADTSTSTERONEtr_pos	56253.85869125583
5AOPtm_neg	14805.050642891267
5AOPtm_pos	0.0
5DHFtl_pos	3252.9333358700906
5FTHFt2_neg	0.0
5FTHFt2_pos	6.797945090217054
5HLTDL_pos	7.574993237828031
5HOMEPRAZOLEte_neg	7.564370813277713
5HOMEPRAZOLEte_pos	0.0
5HOXINDACTO2OX_pos	522.6738948983631
5HOXINDACTOXm_pos	0.0
5HOXINOXDA_pos	0.0
5HTRPDOX_pos	0.0
5HTRPVESSEC_pos	7.672729985968101
5HXKYNDCL_pos	0.0
5HXKYNOXDA_pos	0.0
5MTAte_neg	15442.146795756425
5MTAte_pos	15292.272429937952
5MTHFt2_neg	1404.8493122780894
5MTHFt2_pos	1404.8493122780894
5MTHFt2le_neg	2548.510423262108
5MTHFt2le_pos	2548.510423262108
5MTHFt_neg	1404.8493122780894
5MTHFt_pos	1404.8493122780894
5OXPROt_neg	10458.35934375828
5OXPROt_pos	6295.860464616119
5THFtl_pos	3251.4495813979943
5THFtm_pos	3826.672746856026
6DHFtl_pos	3517.7081949501385
6DHFtm_pos	3901.498740603326
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	52936.724970347444
6HTSTSTERONEtr_neg	52936.72497034744
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	3517.7081949501385
6THFtm_pos	3901.4987406033265
7DHCHSTEROLtr_neg	11040.255552102368
7DHCHSTEROLtr_pos	77595.04764739616
7DHFtl_pos	3666.7017119213438
7DHFtm_pos	3951.9831524091
7THFtl_pos	3666.701711921345
7THFtm_pos	3951.9831524090982
A4GALTc_pos	0.0
A4GALTg_pos	11644.656345423999
A4GNT1g_pos	0.0
A4GNT2g_pos	261.4161049706568
AACOAT_pos	4380.73679882531
AACTOOR_pos	12442.517886697944
AACTtm_pos	12442.517886697944
AASAD3m_pos	26.86250695401122
AATAi_neg	4006.219482286196
