Sample,Cell type,Replicate,Lane,Donor
AF-TR7_S59_L002,Tregs,1,2,Tregs_7
AF-TR7_S59_L001,Tregs,1,1,Tregs_7
AF-TR6_S55_L001,Tregs,2,1,Tregs_6
AF-TR6_S55_L002,Tregs,2,2,Tregs_6
AF-TR5_S51_L002,Tregs,3,2,Tregs_5
AF-TR5_S51_L001,Tregs,3,1,Tregs_5
AF-TR4_S47_L002,Tregs,4,2,Tregs_4
AF-TR4_S47_L001,Tregs,4,1,Tregs_4
AF-TR3_S43_L002,Tregs,5,2,Tregs_3
AF-TR3_S43_L001,Tregs,5,1,Tregs_3
AF-TR2_S39_L002,Tregs,6,2,Tregs_2
AF-TR2_S39_L001,Tregs,6,1,Tregs_2
AF-TR1_S35_L002,Tregs,7,2,Tregs_1
AF-TR1_S35_L001,Tregs,7,1,Tregs_1
AF-TN7_S58_L002,Tn,1,2,Tn_7
AF-TN7_S58_L001,Tn,1,1,Tn_7
AF-TN6_S54_L002,Tn,2,2,Tn_6
AF-TN6_S54_L001,Tn,2,1,Tn_6
AF-TN5_S50_L002,Tn,3,2,Tn_5
AF-TN5_S50_L001,Tn,3,1,Tn_5
AF-TN4_S46_L002,Tn,4,2,Tn_4
AF-TN4_S46_L001,Tn,4,1,Tn_4
AF-TN3_S42_L002,Tn,5,2,Tn_3
AF-TN3_S42_L001,Tn,5,1,Tn_3
AF-TN2_S38_L002,Tn,6,2,Tn_2
AF-TN2_S38_L001,Tn,6,1,Tn_2
AF-TN1_S34_L002,Tn,7,2,Tn_1
AF-TN1_S34_L001,Tn,7,1,Tn_1
AF-TH7_S60_L002,Th1,1,2,TH_7
AF-TH7_S60_L001,Th1,1,1,TH_7
AF-TH6_S56_L002,Th1,2,2,TH_6
AF-TH6_S56_L001,Th1,2,1,TH_6
AF-TH5_S52_L002,Th1,3,2,TH_5
AF-TH5_S52_L001,Th1,3,1,TH_5
AF-TH4_S48_L002,Th1,4,2,TH_4
AF-TH4_S48_L001,Th1,4,1,TH_4
AF-TH3_S44_L002,Th1,5,2,TH_3
AF-TH3_S44_L001,Th1,5,1,TH_3
AF-TH2_S40_L002,Th1,6,2,TH_2
AF-TH2_S40_L001,Th1,6,1,TH_2
AF-TH1_S36_L002,Th1,7,2,TH_1
AF-TH1_S36_L001,Th1,7,1,TH_1
AF-EXT7_S61_L002,exTregs,1,2,exTregs_7
AF-EXT7_S61_L001,exTregs,1,1,exTregs_7
AF-EXT6_S57_L002,exTregs,2,2,exTregs_6
AF-EXT6_S57_L001,exTregs,2,1,exTregs_6
AF-EXT5_S53_L002,exTregs,3,2,exTregs_5
AF-EXT5_S53_L001,exTregs,3,1,exTregs_5
AF-EXT4_S49_L002,exTregs,4,2,exTregs_4
AF-EXT4_S49_L001,exTregs,4,1,exTregs_4
AF-EXT3_S45_L002,exTregs,5,2,exTregs_3
AF-EXT3_S45_L001,exTregs,5,1,exTregs_3
AF-EXT2_S41_L002,exTregs,6,2,exTregs_2
AF-EXT2_S41_L001,exTregs,6,1,exTregs_2
AF-EXT1_S37_L002,exTregs,7,2,exTregs_1
AF-EXT1_S37_L001,exTregs,7,1,exTregs_1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Sample,,,,
AF-TR7_S59_L002,,,,
AF-TR7_S59_L001,,,,
AF-TR6_S55_L001,,,,
AF-TR6_S55_L002,,,,
AF-TR5_S51_L002,,,,
AF-TR5_S51_L001,,,,
AF-TR4_S47_L002,,,,
AF-TR4_S47_L001,,,,
AF-TR3_S43_L002,,,,
AF-TR3_S43_L001,,,,
AF-TR2_S39_L002,,,,
AF-TR2_S39_L001,,,,
AF-TR1_S35_L002,,,,
AF-TR1_S35_L001,,,,
AF-TN7_S58_L002,,,,
AF-TN7_S58_L001,,,,
AF-TN6_S54_L002,,,,
AF-TN6_S54_L001,,,,
AF-TN5_S50_L002,,,,
AF-TN5_S50_L001,,,,
AF-TN4_S46_L002,,,,
AF-TN4_S46_L001,,,,
AF-TN3_S42_L002,,,,
AF-TN3_S42_L001,,,,
AF-TN2_S38_L002,,,,
AF-TN2_S38_L001,,,,
AF-TN1_S34_L002,,,,
AF-TN1_S34_L001,,,,
AF-TH7_S60_L002,,,,
AF-TH7_S60_L001,,,,
AF-TH6_S56_L002,,,,
AF-TH6_S56_L001,,,,
AF-TH5_S52_L002,,,,
AF-TH5_S52_L001,,,,
AF-TH4_S48_L002,,,,
AF-TH4_S48_L001,,,,
AF-TH3_S44_L002,,,,
AF-TH3_S44_L001,,,,
AF-TH2_S40_L002,,,,
AF-TH2_S40_L001,,,,
AF-TH1_S36_L002,,,,
AF-TH1_S36_L001,,,,
AF-EXT7_S61_L002,,,,
AF-EXT7_S61_L001,,,,
AF-EXT6_S57_L002,,,,
AF-EXT6_S57_L001,,,,
AF-EXT5_S53_L002,,,,
AF-EXT5_S53_L001,,,,
AF-EXT4_S49_L002,,,,
AF-EXT4_S49_L001,,,,
AF-EXT3_S45_L002,,,,
AF-EXT3_S45_L001,,,,
AF-EXT2_S41_L002,,,,
AF-EXT2_S41_L001,,,,
AF-EXT1_S37_L002,,,,
AF-EXT1_S37_L001,,,,
