Unnamed: 0,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval,metadata_r_id,reaction_name,formula,associated_genes,subsystem,EC_number,confidence
2HBO_neg,33.0,0.0030403818975488,-1.297676778487454,0.0050857297195362,2HBO,2-Hydroxybutyrate:NAD+ oxidoreductase,"1.00 * 2-Hydroxybutyrate [c] + 1.00 * Nicotinamide adenine dinucleotide [c] --> 1.00 * proton [c] + 1.00 * 2-Oxobutanoate [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c]
LDHA; LDHAL6B; LDHB; LDHC; UEVLD",LDHA; LDHAL6B; LDHB; LDHC; UEVLD,Propanoate metabolism,1.1.1.27,4.0
2HBO_pos,0.0,7.4678435688707155e-06,-2.216860356789038,6.0371230435474645e-05,2HBO,2-Hydroxybutyrate:NAD+ oxidoreductase,"1.00 * 2-Hydroxybutyrate [c] + 1.00 * Nicotinamide adenine dinucleotide [c] --> 1.00 * proton [c] + 1.00 * 2-Oxobutanoate [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c]
LDHA; LDHAL6B; LDHB; LDHC; UEVLD",LDHA; LDHAL6B; LDHB; LDHC; UEVLD,Propanoate metabolism,1.1.1.27,4.0
34DHOXPEGOX_pos,19.0,0.0003098855075425,-1.952565973899608,0.0007200896959329,34DHOXPEGOX,"3,4-Dihydroxyphenylethyleneglycol:NAD+ oxidoreductase","1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * 3,4-Dihydroxymandelaldehyde [c] --> 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * 3,4-Dihydroxyphenylethyleneglycol [c]
ADH1; ADH4; ADH5; ADH6A; ADH7; ADHFE1",ADH1; ADH4; ADH5; ADH6A; ADH7; ADHFE1,Tyrosine metabolism,1.1.1.1,4.0
34HPPOR_pos,4.0,1.7382285453626134e-05,-3.152182162569932,8.891236380821136e-05,34HPPOR,4-Hydroxyphenylpyruvate:oxygen oxidoreductase,"1.00 * O2 [c] + 1.00 * 3-(4-hydroxyphenyl)pyruvate [c] --> 1.00 * carbon dioxide [c] + 1.00 * homogentisate [c]
HPD",HPD,Tyrosine metabolism,1.13.11.27,4.0
3DSPHR_pos,6.0,2.619924518513761e-05,-2.1343363910883983,0.0001215436573503,3DSPHR,3-Dehydrosphinganine reductase,"1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * (2S)-1-hydroxy-3-oxooctadecan-2-aminium [c] --> 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * sphinganine(1+) [c]
KDSR",KDSR,Sphingolipid metabolism,1.1.1.102,4.0
3HAO_pos,21.0,0.0004397580867796,-1.6147537080301362,0.0009773731959321,3HAO,"3-hydroxyanthranilate 3,4-dioxygenase","1.00 * O2 [c] + 1.00 * 3-hydroxyanthranilate [c] --> 1.00 * proton [c] + 1.00 * cis,cis-2-amino-3-(3-oxoprop-1-enyl)but-2-enedioate [c]
HAAO",HAAO,Tryptophan metabolism,1.13.11.6,4.0
3HLYTCL_pos,7.0,3.2067382868739144e-05,-2.385626015540414,0.0001413388292163,3HLYTCL,3-Hydroxy-L-tyrosine carboxy-lyase,"1.00 * proton [c] + 1.00 * L-dopa [c] --> 1.00 * carbon dioxide [c] + 1.00 * dopaminium(1+) [c]
DDC",DDC,Tyrosine metabolism,4.1.1.28,4.0
3SALACBOXL_pos,3.0,1.4115569156153118e-05,-1.6982836433804842,8.261908398565607e-05,3SALACBOXL,3-Sulfino-L-alanine carboxy-lyase,"2.00 * proton [c] + 1.00 * 3-Sulfino-L-alanine [c] --> 1.00 * carbon dioxide [c] + 1.00 * Hypotaurine [c]
CSAD; GAD1; GAD2",CSAD; GAD1; GAD2,Taurine and hypotaurine metabolism,4.1.1.15,4.0
41R1H2MAE12BOOX_pos,6.0,2.619924518513761e-05,-2.7061688354739597,0.0001215436573503,41R1H2MAE12BOOX,"4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)","1.00 * Water [c] + 1.00 * O2 [c] + 1.00 * Adrenaline [c] --> 1.00 * Hydrogen peroxide [c] + 1.00 * 3,4-Dihydroxymandelaldehyde [c] + 1.00 * methylammonium [c]
MAOA; MAOB",MAOA; MAOB,Tyrosine metabolism,1.4.3.4,4.0
41R2A1H12BOOX_pos,19.0,0.0003098855075425,-1.952565973899604,0.0007200896959329,41R2A1H12BOOX,"4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)","1.00 * Water [c] + 1.00 * O2 [c] + 1.00 * Norepinephrine [c] --> 1.00 * Hydrogen peroxide [c] + 1.00 * Ammonium [c] + 1.00 * 3,4-Dihydroxymandelaldehyde [c]
MAOA; MAOB",MAOA; MAOB,Tyrosine metabolism,1.4.3.4,4.0
