subsystem
Propanoate metabolism
Tyrosine metabolism
Sphingolipid metabolism
Tryptophan metabolism
Taurine and hypotaurine metabolism
Cytochrome metabolism
Steroid metabolism
"Glycine, serine, alanine and threonine metabolism"
Lysine metabolism
Glutamate metabolism
beta-Alanine metabolism
"Valine, leucine, and isoleucine metabolism"
Cholesterol metabolism
Fatty acid oxidation
Aminosugar metabolism
Phosphatidylinositol phosphate metabolism
Glycerophospholipid metabolism
Other
Butanoate metabolism
Pyruvate metabolism
Bile acid synthesis
Glycolysis/gluconeogenesis
Purine catabolism
Nucleotide interconversion
Arginine and Proline Metabolism
Nucleotide salvage pathway
Purine synthesis
Keratan sulfate synthesis
Triacylglycerol synthesis
Alanine and aspartate metabolism
Methionine and cysteine metabolism
N-glycan degradation
Citric acid cycle
Miscellaneous
Eicosanoid metabolism
Glutathione metabolism
Starch and sucrose metabolism
Pentose phosphate pathway
Urea cycle
Pyrimidine synthesis
Oxidative phosphorylation
"Transport, lysosomal"
Biotin metabolism
N-glycan synthesis
Heme degradation
Pyrimidine catabolism
"Transport, extracellular"
ROS detoxification
O-glycan synthesis
D-alanine metabolism
Fatty acid synthesis
Ubiquinone synthesis
Tetrahydrobiopterin metabolism
Keratan sulfate degradation
Fructose and mannose metabolism
Glyoxylate and dicarboxylate metabolism
Galactose metabolism
Folate metabolism
Blood group synthesis
Heparan sulfate degradation
Chondroitin sulfate degradation
Hyaluronan metabolism
Histidine metabolism
Inositol phosphate metabolism
NAD metabolism
Limonene and pinene degradation
"Transport, mitochondrial"
Vitamin B6 metabolism
Heme synthesis
CoA synthesis
Vitamin A metabolism
Glycosphingolipid metabolism
Androgen and estrogen synthesis and metabolism
Vitamin B2 metabolism
Thiamine metabolism
Cysteine Metabolism
Unassigned
Phenylalanine metabolism
CoA catabolism
"Transport, peroxisomal"
"Transport, nuclear"
