Unnamed: 0,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval,metadata_r_id,reaction_name,formula,associated_genes,subsystem,EC_number,confidence
2HBO_neg,162.0,0.0035264866506158,1.510854150707874,0.0198406639119919,2HBO,2-Hydroxybutyrate:NAD+ oxidoreductase,"1.00 * 2-Hydroxybutyrate [c] + 1.00 * Nicotinamide adenine dinucleotide [c] --> 1.00 * proton [c] + 1.00 * 2-Oxobutanoate [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c]
LDHA; LDHAL6B; LDHB; LDHC; UEVLD",LDHA; LDHAL6B; LDHB; LDHC; UEVLD,Propanoate metabolism,1.1.1.27,4.0
41R1H2MAE12BOOX_pos,29.0,0.0016472037920134,-1.6956254631045264,0.0127031111799668,41R1H2MAE12BOOX,"4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)","1.00 * Water [c] + 1.00 * O2 [c] + 1.00 * Adrenaline [c] --> 1.00 * Hydrogen peroxide [c] + 1.00 * 3,4-Dihydroxymandelaldehyde [c] + 1.00 * methylammonium [c]
MAOA; MAOB",MAOA; MAOB,Tyrosine metabolism,1.4.3.4,4.0
ACNAM9PL2_pos,33.0,0.0030403818975488,-0.9230376993568096,0.0179563965233174,ACNAM9PL2,N-Acetylneuraminate 9-phosphate pyruvate-lyase (pyruvate-phosphorylating),"1.00 * Water [c] + 1.00 * Phosphoenolpyruvate [c] + 1.00 * D-Mannose 6-phosphate [c] --> 1.00 * hydrogenphosphate [c] + 1.00 * 2-keto-3-deoxy-D-glycero-D-galactononic acid 9-phosphate [c]
NANS",NANS,Aminosugar metabolism,2.5.1.56,4.0
ACOAD8m_pos,171.0,0.0008647033653458,1.4345882185799763,0.0084935975675779,ACOAD8m,"acyl-CoA dehydrogenase (isovaleryl-CoA), mitochondrial","1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * Isovaleryl-CoA [m] --> 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * 3-methylbut-2-enoyl-CoA(4-) [m]
IVD",IVD,"Valine, leucine, and isoleucine metabolism",1.3.99.10,4.0
ACONTm_neg,32.0,0.0026161516350141,-1.0760557898713974,0.0162904694756073,ACONTm,Aconitate hydratase,"1.00 * Citrate [m] --> 1.00 * Isocitrate [m]
ACO1; ACO2",ACO1; ACO2,Citric acid cycle,4.2.1.3,0.0
ACONTm_pos,32.0,0.0026161516350141,-1.0760557898713974,0.0162904694756073,ACONTm,Aconitate hydratase,"1.00 * Citrate [m] --> 1.00 * Isocitrate [m]
ACO1; ACO2",ACO1; ACO2,Citric acid cycle,4.2.1.3,0.0
ACOX2x_pos,38.0,0.0062591527766153,-1.1797852210650484,0.0305338207146016,ACOX2x,"acyl-Coenzyme A oxidase 2, branched chain","1.00 * O2 [x] + 1.00 * Flavin adenine dinucleotide reduced [x] + 1.00 * 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoyl-CoA(S) [x] --> 1.00 * Flavin adenine dinucleotide oxidized [x] + 2.00 * Water [x] + 1.00 * 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-CoA [x]
ACOX2",ACOX2,Bile acid synthesis,1.3.3.6,4.0
ALOX52_pos,4.0,1.7382285453626134e-05,-2.902075823446021,0.0004831535684386,ALOX52,Arachidonate 5-lipoxygenase,"1.00 * 5(S)-HPETE(1-) [c] --> 1.00 * Water [c] + 1.00 * leukotriene A4(1-) [c]
ALOX5",ALOX5,Eicosanoid metabolism,1.13.11.34,4.0
ALOX5_pos,0.0,7.4678435688707155e-06,-2.867794441400776,0.0002886387822003,ALOX5,Arachidonate 5-lipoxygenase,"1.00 * O2 [c] + 1.00 * arachidonate [c] --> 1.00 * 5(S)-HPETE(1-) [c]
ALOX5",ALOX5,Eicosanoid metabolism,1.13.11.34,4.0
AMACRp_pos,38.0,0.0062591527766153,-1.1797852210650484,0.0305338207146016,AMACRp,alpha-methylacyl-CoA racemase,"1.00 * (25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-oyl-CoA(4-) [x] --> 1.00 * 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoyl-CoA(S) [x]
AMACR",AMACR,Bile acid synthesis,5.1.99.4,4.0
