,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval,metadata_r_id,reaction_name,formula,associated_genes,subsystem,EC_number,confidence
2HBO_neg,162.0,0.00352648665061584,1.5108541507078739,0.019840663911991963,2HBO,2-Hydroxybutyrate:NAD+ oxidoreductase,"1.00 * 2-Hydroxybutyrate [c] + 1.00 * Nicotinamide adenine dinucleotide [c] --> 1.00 * proton [c] + 1.00 * 2-Oxobutanoate [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c]
LDHA; LDHAL6B; LDHB; LDHC; UEVLD",LDHA; LDHAL6B; LDHB; LDHC; UEVLD,Propanoate metabolism,1.1.1.27,4.0
2HBO_pos,80.0,0.42134823269748845,-0.251379943359007,0.5958533569993493,2HBO,2-Hydroxybutyrate:NAD+ oxidoreductase,"1.00 * 2-Hydroxybutyrate [c] + 1.00 * Nicotinamide adenine dinucleotide [c] --> 1.00 * proton [c] + 1.00 * 2-Oxobutanoate [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c]
LDHA; LDHAL6B; LDHB; LDHC; UEVLD",LDHA; LDHAL6B; LDHB; LDHC; UEVLD,Propanoate metabolism,1.1.1.27,4.0
34DHOXPEGOX_pos,59.0,0.07689626394376972,-0.9135271954626905,0.19651267452296706,34DHOXPEGOX,"3,4-Dihydroxyphenylethyleneglycol:NAD+ oxidoreductase","1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * 3,4-Dihydroxymandelaldehyde [c] --> 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * 3,4-Dihydroxyphenylethyleneglycol [c]
ADH1; ADH4; ADH5; ADH6A; ADH7; ADHFE1",ADH1; ADH4; ADH5; ADH6A; ADH7; ADHFE1,Tyrosine metabolism,1.1.1.1,4.0
34DHPLACOX_NADP__neg,106.0,0.7303893910726622,1.0023897015444612,0.8603973854800053,34DHPLACOX_NADP_,"3,4-Dihydroxyphenylacetaldehyde:NADP+ oxidoreductase","1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * 3,4-Dihydroxyphenylacetaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * (3,4-dihydroxyphenyl)acetate [c]
ALDH3A1; ALDH3B1; ALDH3B3",ALDH3A1; ALDH3B1; ALDH3B3,Tyrosine metabolism,1.2.1.5,4.0
34DHPLACOX_pos,106.0,0.7303893910726622,1.0023897015444612,0.8603973854800053,34DHPLACOX,"3,4-Dihydroxyphenylacetaldehyde:NAD+ oxidoreductase","1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * 3,4-Dihydroxyphenylacetaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * (3,4-dihydroxyphenyl)acetate [c]
ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3",ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3,Tyrosine metabolism,1.2.1.5,4.0
34DHXMANDACOX_NADP__neg,106.0,0.7303893910726622,0.9312559814103604,0.8603973854800053,34DHXMANDACOX_NADP_,"3,4-Dihydroxymandelaldehyde:NADP+ oxidoreductase","1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * 3,4-Dihydroxymandelaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * 3,4-Dihydroxymandelate [c]
ALDH3B1; ALDH3B3",ALDH3B1; ALDH3B3,Tyrosine metabolism,1.2.1.5,4.0
34DHXMANDACOX_pos,106.0,0.7303893910726622,0.9312559814103604,0.8603973854800053,34DHXMANDACOX,"3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase","1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * 3,4-Dihydroxymandelaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * 3,4-Dihydroxymandelate [c]
ALDH1A3; ALDH3A1; ALDH3B1",ALDH1A3; ALDH3A1; ALDH3B1,Tyrosine metabolism,1.2.1.5,4.0
34HPPOR_pos,48.0,0.02294133695494204,-1.121514812961548,0.08381029809266297,34HPPOR,4-Hydroxyphenylpyruvate:oxygen oxidoreductase,"1.00 * O2 [c] + 1.00 * 3-(4-hydroxyphenyl)pyruvate [c] --> 1.00 * carbon dioxide [c] + 1.00 * homogentisate [c]
HPD",HPD,Tyrosine metabolism,1.13.11.27,4.0
3DSPHR_pos,61.0,0.09352482094264832,-0.43259737977018875,0.2196706689670546,3DSPHR,3-Dehydrosphinganine reductase,"1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * (2S)-1-hydroxy-3-oxooctadecan-2-aminium [c] --> 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * sphinganine(1+) [c]
KDSR",KDSR,Sphingolipid metabolism,1.1.1.102,4.0
3HAO_pos,84.0,0.5350644544782063,-0.26550679070448585,0.70507182099085,3HAO,"3-hydroxyanthranilate 3,4-dioxygenase","1.00 * O2 [c] + 1.00 * 3-hydroxyanthranilate [c] --> 1.00 * proton [c] + 1.00 * cis,cis-2-amino-3-(3-oxoprop-1-enyl)but-2-enedioate [c]
HAAO",HAAO,Tryptophan metabolism,1.13.11.6,4.0
3HLYTCL_pos,73.0,0.2602848338696484,-0.4094388614431427,0.4307526057351263,3HLYTCL,3-Hydroxy-L-tyrosine carboxy-lyase,"1.00 * proton [c] + 1.00 * L-dopa [c] --> 1.00 * carbon dioxide [c] + 1.00 * dopaminium(1+) [c]
DDC",DDC,Tyrosine metabolism,4.1.1.28,4.0
3SALACBOXL_pos,96.0,0.9450520886884962,-0.11479032658874576,0.9773717927981724,3SALACBOXL,3-Sulfino-L-alanine carboxy-lyase,"2.00 * proton [c] + 1.00 * 3-Sulfino-L-alanine [c] --> 1.00 * carbon dioxide [c] + 1.00 * Hypotaurine [c]
CSAD; GAD1; GAD2",CSAD; GAD1; GAD2,Taurine and hypotaurine metabolism,4.1.1.15,4.0
41R1H2MAE12BOOX_pos,29.0,0.0016472037920134592,-1.6956254631045264,0.012703111179966841,41R1H2MAE12BOOX,"4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)","1.00 * Water [c] + 1.00 * O2 [c] + 1.00 * Adrenaline [c] --> 1.00 * Hydrogen peroxide [c] + 1.00 * 3,4-Dihydroxymandelaldehyde [c] + 1.00 * methylammonium [c]
MAOA; MAOB",MAOA; MAOB,Tyrosine metabolism,1.4.3.4,4.0
41R2A1H12BOOX_pos,59.0,0.07689626394376972,-0.9135271954627183,0.19651267452296706,41R2A1H12BOOX,"4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)","1.00 * Water [c] + 1.00 * O2 [c] + 1.00 * Norepinephrine [c] --> 1.00 * Hydrogen peroxide [c] + 1.00 * Ammonium [c] + 1.00 * 3,4-Dihydroxymandelaldehyde [c]
MAOA; MAOB",MAOA; MAOB,Tyrosine metabolism,1.4.3.4,4.0
