subsystem,p<0.05_Pos_d<0,p<0.05_Pos_d>0,p<0.05_Neg_d<0,p<0.05_Neg_d>0,p≥0.05_Pos_d<0,p≥0.05_Pos_d>0,p≥0.05_Neg_d<0,p≥0.05_Neg_d>0
Alanine and aspartate metabolism,0,2,0,0,2,6,0,2
Aminosugar metabolism,3,0,0,0,5,7,0,1
Androgen and estrogen synthesis and metabolism,1,0,0,0,0,0,0,1
Arachidonic acid metabolism,0,0,0,0,0,1,0,1
Arginine and Proline Metabolism,0,0,0,0,9,4,2,3
Bile acid synthesis,4,3,2,2,28,10,9,2
Biotin metabolism,0,0,0,0,5,0,0,0
Blood group synthesis,15,0,0,0,10,0,0,0
Butanoate metabolism,0,0,0,0,2,0,0,1
Cholesterol metabolism,1,1,0,2,21,6,5,1
Chondroitin sulfate degradation,0,0,0,0,0,28,0,0
Citric acid cycle,1,3,1,3,3,5,2,2
CoA catabolism,0,1,0,1,1,0,1,0
CoA synthesis,0,3,0,2,5,2,1,0
Cysteine Metabolism,0,0,0,0,1,2,0,1
Cytochrome metabolism,1,0,0,0,1,1,0,0
D-alanine metabolism,0,0,0,0,0,1,0,0
Eicosanoid metabolism,5,0,0,0,8,4,5,3
Fatty acid oxidation,8,6,6,3,125,70,20,15
Fatty acid synthesis,12,0,0,0,13,2,2,0
Folate metabolism,0,5,0,2,4,24,0,4
Fructose and mannose metabolism,4,3,0,0,6,4,1,2
Galactose metabolism,0,2,0,0,7,1,4,0
Glutamate metabolism,0,1,0,0,9,2,6,1
Glutathione metabolism,1,1,0,1,3,7,0,3
Glycerophospholipid metabolism,3,1,2,2,17,9,2,2
"Glycine, serine, alanine and threonine metabolism",0,0,0,0,0,22,0,3
Glycolysis/gluconeogenesis,1,6,1,4,7,16,2,3
Glycosphingolipid metabolism,0,0,0,0,2,0,0,0
Glyoxylate and dicarboxylate metabolism,0,0,0,0,3,3,0,0
Heme degradation,0,0,0,0,2,0,0,0
Heme synthesis,0,0,0,0,0,3,0,0
Heparan sulfate degradation,0,0,0,0,0,24,0,0
Histidine metabolism,0,0,0,0,1,5,0,0
Hyaluronan metabolism,0,0,0,0,2,3,0,0
Inositol phosphate metabolism,5,0,0,0,14,4,0,0
Keratan sulfate degradation,0,0,0,0,2,58,0,0
Keratan sulfate synthesis,0,0,0,0,0,41,0,0
Limonene and pinene degradation,0,0,0,0,3,0,0,0
Lysine metabolism,0,0,0,0,7,1,1,1
Methionine and cysteine metabolism,0,1,0,0,3,6,0,3
Miscellaneous,0,0,0,0,1,19,0,6
N-glycan degradation,0,0,0,0,7,5,0,0
N-glycan synthesis,0,0,0,0,7,54,0,0
NAD metabolism,0,0,0,0,8,4,4,0
Nucleotide interconversion,45,10,44,5,28,23,4,9
Nucleotide salvage pathway,0,0,0,0,0,3,0,0
O-glycan synthesis,0,0,0,0,4,5,0,0
Other,0,0,0,0,4,3,1,2
Oxidative phosphorylation,0,1,0,0,1,2,0,0
Pentose phosphate pathway,0,1,0,0,18,3,7,7
Phenylalanine metabolism,0,1,0,0,0,2,0,1
Phosphatidylinositol phosphate metabolism,4,0,5,0,11,2,2,0
Propanoate metabolism,0,0,0,1,5,3,0,1
Purine catabolism,4,3,2,1,10,5,4,0
Purine synthesis,0,0,0,0,5,1,1,1
Pyrimidine catabolism,1,4,1,5,7,9,2,3
Pyrimidine synthesis,0,2,0,3,6,3,3,4
Pyruvate metabolism,0,3,0,1,10,4,1,0
ROS detoxification,0,0,0,0,1,5,0,0
Sphingolipid metabolism,2,0,2,0,36,1,0,0
Starch and sucrose metabolism,1,0,0,0,6,12,0,5
Steroid metabolism,23,0,0,0,7,9,4,0
Taurine and hypotaurine metabolism,0,0,0,0,3,2,0,1
Tetrahydrobiopterin metabolism,0,5,0,4,1,2,0,1
Thiamine metabolism,0,0,0,0,2,0,0,0
"Transport, extracellular",1,0,0,0,3,3,0,1
"Transport, lysosomal",0,0,0,0,0,1,0,0
"Transport, mitochondrial",2,1,0,1,1,2,2,0
"Transport, nuclear",0,0,0,0,1,0,0,1
"Transport, peroxisomal",0,0,0,0,1,0,1,0
Triacylglycerol synthesis,0,0,0,0,1,6,0,0
Tryptophan metabolism,4,0,0,0,9,4,4,1
Tyrosine metabolism,2,2,0,1,21,8,0,3
Ubiquinone synthesis,0,0,0,0,1,0,0,0
Unassigned,2,9,6,7,30,28,7,14
Urea cycle,0,1,0,0,13,11,3,4
"Valine, leucine, and isoleucine metabolism",0,2,0,2,9,18,10,4
Vitamin A metabolism,0,0,0,0,2,9,0,3
Vitamin B2 metabolism,1,0,0,0,0,0,1,0
Vitamin B6 metabolism,0,0,0,0,5,0,2,0
Vitamin C metabolism,0,0,0,0,1,0,0,0
beta-Alanine metabolism,0,0,0,0,2,0,0,0
