subsystem,p<0.05_Pos,p<0.05_Neg,p≥0.05_Pos,p≥0.05_Neg,Number_of_Unique_Reactions
Alanine and aspartate metabolism,2,0,8,2,15.0
Aminosugar metabolism,3,0,13,1,27.0
Androgen and estrogen synthesis and metabolism,1,0,0,1,25.0
Arachidonic acid metabolism,0,0,1,1,29.0
Arginine and Proline Metabolism,0,0,13,5,37.0
Bile acid synthesis,7,4,38,12,71.0
Biotin metabolism,0,0,5,0,12.0
Blood group synthesis,15,0,10,0,11.0
Butanoate metabolism,0,0,2,1,3.0
Cholesterol metabolism,2,2,27,6,45.0
Chondroitin sulfate degradation,0,0,28,0,8.0
Citric acid cycle,4,4,8,4,19.0
CoA catabolism,1,1,1,1,4.0
CoA synthesis,3,2,7,1,18.0
Cysteine Metabolism,0,0,3,1,3.0
Cytochrome metabolism,1,0,2,0,12.0
D-alanine metabolism,0,0,1,0,3.0
Eicosanoid metabolism,5,0,12,8,149.0
Fatty acid oxidation,14,9,195,35,571.0
Fatty acid synthesis,12,0,15,2,86.0
Folate metabolism,5,2,28,4,49.0
Fructose and mannose metabolism,7,0,10,3,23.0
Galactose metabolism,2,0,8,4,12.0
Glutamate metabolism,1,0,11,7,14.0
Glutathione metabolism,2,1,10,3,14.0
Glycerophospholipid metabolism,4,4,28,6,52.0
"Glycine, serine, alanine and threonine metabolism",0,0,22,3,35.0
Glycolysis/gluconeogenesis,7,5,23,5,36.0
Glycosphingolipid metabolism,0,0,2,0,6.0
Glyoxylate and dicarboxylate metabolism,0,0,6,0,14.0
Heme degradation,0,0,2,0,3.0
Heme synthesis,0,0,3,0,14.0
Heparan sulfate degradation,0,0,24,0,9.0
Histidine metabolism,0,0,6,0,16.0
Hyaluronan metabolism,0,0,5,0,1.0
Inositol phosphate metabolism,5,0,18,0,64.0
Keratan sulfate degradation,0,0,60,0,9.0
Keratan sulfate synthesis,0,0,41,0,6.0
Limonene and pinene degradation,0,0,3,0,6.0
Lysine metabolism,0,0,8,2,22.0
Methionine and cysteine metabolism,1,0,9,4,37.0
Miscellaneous,0,0,20,6,51.0
N-glycan degradation,0,0,12,0,8.0
N-glycan synthesis,0,0,61,0,78.0
NAD metabolism,0,0,12,4,21.0
Nucleotide interconversion,55,49,51,13,166.0
Nucleotide salvage pathway,0,0,3,0,3.0
O-glycan synthesis,0,0,9,0,13.0
Other,0,0,7,3,
Oxidative phosphorylation,1,0,3,0,8.0
Pentose phosphate pathway,1,0,21,14,34.0
Phenylalanine metabolism,1,0,2,1,10.0
Phosphatidylinositol phosphate metabolism,4,5,13,2,37.0
Propanoate metabolism,0,1,8,1,13.0
Purine catabolism,7,3,15,4,34.0
Purine synthesis,0,0,6,2,10.0
Pyrimidine catabolism,5,6,16,5,33.0
Pyrimidine synthesis,2,3,9,7,14.0
Pyruvate metabolism,3,1,14,1,29.0
ROS detoxification,0,0,6,0,6.0
Sphingolipid metabolism,2,2,37,0,44.0
Starch and sucrose metabolism,1,0,18,5,27.0
Steroid metabolism,23,0,16,4,32.0
Taurine and hypotaurine metabolism,0,0,5,1,8.0
Tetrahydrobiopterin metabolism,5,4,3,1,23.0
Thiamine metabolism,0,0,2,0,6.0
"Transport, extracellular",1,0,6,1,598.0
"Transport, lysosomal",0,0,1,0,66.0
"Transport, mitochondrial",3,1,3,2,204.0
"Transport, nuclear",0,0,1,1,64.0
"Transport, peroxisomal",0,0,1,1,78.0
Triacylglycerol synthesis,0,0,7,0,8.0
Tryptophan metabolism,4,0,13,5,65.0
Tyrosine metabolism,4,1,29,3,95.0
Ubiquinone synthesis,0,0,1,0,14.0
Unassigned,11,13,60,21,119.0
Urea cycle,1,0,24,7,52.0
"Valine, leucine, and isoleucine metabolism",2,2,27,14,41.0
Vitamin A metabolism,0,0,11,3,65.0
Vitamin B2 metabolism,1,0,0,1,6.0
Vitamin B6 metabolism,0,0,5,2,11.0
Vitamin C metabolism,0,0,1,0,15.0
beta-Alanine metabolism,0,0,2,0,12.0
