subsystem
Propanoate metabolism
Tyrosine metabolism
Sphingolipid metabolism
Tryptophan metabolism
Taurine and hypotaurine metabolism
Cytochrome metabolism
Steroid metabolism
Lysine metabolism
Glutamate metabolism
beta-Alanine metabolism
"Valine, leucine, and isoleucine metabolism"
Cholesterol metabolism
Fatty acid oxidation
Phosphatidylinositol phosphate metabolism
Glycerophospholipid metabolism
Butanoate metabolism
Bile acid synthesis
Purine catabolism
Nucleotide interconversion
Arginine and Proline Metabolism
Nucleotide salvage pathway
Keratan sulfate synthesis
Alanine and aspartate metabolism
N-glycan degradation
Purine synthesis
Citric acid cycle
Miscellaneous
Glycolysis/gluconeogenesis
Eicosanoid metabolism
Pyruvate metabolism
Glutathione metabolism
Starch and sucrose metabolism
Pentose phosphate pathway
Urea cycle
Pyrimidine synthesis
Oxidative phosphorylation
"Transport, lysosomal"
Vitamin A metabolism
N-glycan synthesis
"Glycine, serine, alanine and threonine metabolism"
Heme degradation
Biotin metabolism
Pyrimidine catabolism
"Transport, extracellular"
ROS detoxification
Other
O-glycan synthesis
Methionine and cysteine metabolism
D-alanine metabolism
Vitamin C metabolism
Fatty acid synthesis
Ubiquinone synthesis
Tetrahydrobiopterin metabolism
Keratan sulfate degradation
Fructose and mannose metabolism
Glyoxylate and dicarboxylate metabolism
Galactose metabolism
Folate metabolism
Aminosugar metabolism
Heparan sulfate degradation
Chondroitin sulfate degradation
Hyaluronan metabolism
Histidine metabolism
Inositol phosphate metabolism
Triacylglycerol synthesis
NAD metabolism
"Transport, mitochondrial"
Phenylalanine metabolism
Heme synthesis
CoA synthesis
Glycosphingolipid metabolism
Androgen and estrogen synthesis and metabolism
Vitamin B2 metabolism
Arachidonic acid metabolism
Cysteine Metabolism
Unassigned
CoA catabolism
"Transport, peroxisomal"
"Transport, nuclear"
