,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval,metadata_r_id
10FTHF5GLUtl_pos,196.0,7.4678435688707155e-06,3.4522597187078015,1.1799698643411591e-05,10FTHF5GLUtl
10FTHF5GLUtm_pos,196.0,7.4678435688707155e-06,3.4281623400025447,1.1799698643411591e-05,10FTHF5GLUtm
10FTHF6GLUtl_pos,196.0,7.4678435688707155e-06,3.4758006066235314,1.1799698643411591e-05,10FTHF6GLUtl
10FTHF6GLUtm_pos,196.0,7.4678435688707155e-06,3.495035303046124,1.1799698643411591e-05,10FTHF6GLUtm
10FTHF7GLUtl_pos,194.0,1.1439596363811544e-05,3.4529151436338523,1.752015086715522e-05,10FTHF7GLUtl
10FTHF7GLUtm_pos,196.0,7.4678435688707155e-06,3.519918028959309,1.1799698643411591e-05,10FTHF7GLUtm
10FTHFtl_neg,196.0,7.4678435688707155e-06,3.452259718707797,1.1799698643411591e-05,10FTHFtl
10FTHFtm_neg,174.0,0.0005223025411715536,2.318287896079622,0.0007275922795761544,10FTHFtm
10FTHFtm_pos,196.0,7.4678435688707155e-06,5.208522482868881,1.1799698643411591e-05,10FTHFtm
11DOCRTSLtm_pos,196.0,7.4678435688707155e-06,6.47780376145607,1.1799698643411591e-05,11DOCRTSLtm
11DOCRTSLtr_neg,196.0,7.4678435688707155e-06,6.477803761456045,1.1799698643411591e-05,11DOCRTSLtr
11DOCRTSTRNtm_pos,196.0,7.4678435688707155e-06,6.350065482676722,1.1799698643411591e-05,11DOCRTSTRNtm
11DOCRTSTRNtr_neg,196.0,7.4678435688707155e-06,6.350065482676752,1.1799698643411591e-05,11DOCRTSTRNtr
13DAMPPOX_pos,196.0,7.4678435688707155e-06,6.016953019162909,1.1799698643411591e-05,13DAMPPOX
1MNCAMti_pos,192.0,1.7382285453626134e-05,3.002431651197925,2.6143469625393946e-05,1MNCAMti
1PPDCRp_pos,196.0,7.4678435688707155e-06,3.5945278004031676,1.1799698643411591e-05,1PPDCRp
1a25DHVITD3TRn_pos,196.0,7.4678435688707155e-06,6.067313553145714,1.1799698643411591e-05,1a25DHVITD3TRn
24NPHte_neg,196.0,7.4678435688707155e-06,3.309462331804513,1.1799698643411591e-05,24NPHte
24_25DHVITD2t_pos,196.0,7.4678435688707155e-06,2.533157601911599,1.1799698643411591e-05,24_25DHVITD2t
24_25DHVITD2tm_pos,196.0,7.4678435688707155e-06,2.533157601911599,1.1799698643411591e-05,24_25DHVITD2tm
24_25DHVITD3t_pos,196.0,7.4678435688707155e-06,5.727855174993551,1.1799698643411591e-05,24_25DHVITD3t
24_25DHVITD3tm_pos,196.0,7.4678435688707155e-06,5.770532598763921,1.1799698643411591e-05,24_25DHVITD3tm
24_25VITD2Hm_pos,196.0,7.4678435688707155e-06,2.533157601911599,1.1799698643411591e-05,24_25VITD2Hm
24_25VITD3Hm_pos,196.0,7.4678435688707155e-06,5.770532598763911,1.1799698643411591e-05,24_25VITD3Hm
25HVITD3c_pos,196.0,7.4678435688707155e-06,6.067313553145678,1.1799698643411591e-05,25HVITD3c
2AMACHYD_pos,196.0,7.4678435688707155e-06,5.0386866231976155,1.1799698643411591e-05,2AMACHYD
2AMACSULT_pos,196.0,7.4678435688707155e-06,5.696013695467067,1.1799698643411591e-05,2AMACSULT
2AMADPTm_pos,196.0,7.4678435688707155e-06,2.9336688914624456,1.1799698643411591e-05,2AMADPTm
2DR1PP_pos,196.0,7.4678435688707155e-06,4.054033088671065,1.1799698643411591e-05,2DR1PP
2HBO_neg,196.0,7.4678435688707155e-06,2.9566959843093517,1.1799698643411591e-05,2HBO
2HBO_pos,196.0,7.4678435688707155e-06,2.683139594318295,1.1799698643411591e-05,2HBO
2HBt2_neg,136.0,0.08488165299571686,1.152716144509194,0.0930904898200172,2HBt2
2HBt2_pos,136.0,0.08488165299571686,1.153008800285674,0.0930904898200172,2HBt2
2HCO3_NAt_neg,72.0,0.24133124222644808,-1.0375962262184029,0.25619627404894507,2HCO3_NAt
2HCO3_NAt_pos,63.0,0.11292204477606509,-1.0690376328094737,0.12139677361376845,2HCO3_NAt
2MB2COAc_pos,196.0,7.4678435688707155e-06,3.4704642767403167,1.1799698643411591e-05,2MB2COAc
2MCITt_pos,196.0,7.4678435688707155e-06,4.996030681906124,1.1799698643411591e-05,2MCITt
2OXOADOXm_pos,196.0,7.4678435688707155e-06,3.0136107645342154,1.1799698643411591e-05,2OXOADOXm
2OXOADPTm_neg,196.0,7.4678435688707155e-06,2.9336688914624465,1.1799698643411591e-05,2OXOADPTm
2OXOADPTm_pos,195.0,9.252160889820901e-06,3.171918697017638,1.446854559068952e-05,2OXOADPTm
34DHOXPEGOX_pos,196.0,7.4678435688707155e-06,5.278373387255621,1.1799698643411591e-05,34DHOXPEGOX
34DHOXPEGt_pos,196.0,7.4678435688707155e-06,5.278373387255619,1.1799698643411591e-05,34DHOXPEGt
34DHPHELAT1tc_pos,176.0,0.00036952219864219997,1.7177976196711662,0.0005191910091483868,34DHPHELAT1tc
34DHPHEt_neg,176.0,0.00036952219864219997,1.7177976196711662,0.0005191910091483868,34DHPHEt
34DHPHEt_pos,137.0,0.07689626394376972,0.9340677651613414,0.0860079445343671,34DHPHEt
34DHPLACOX_NADP__neg,131.0,0.13535877970324323,0.6053420850850558,0.14520669223543844,34DHPLACOX_NADP_
34DHPLACOX_pos,131.0,0.13535877970324323,0.6053420850850558,0.14520669223543844,34DHPLACOX
34DHXMANDACOX_NADP__neg,135.0,0.09352482094264832,0.6734194283373526,0.10236329262690663,34DHXMANDACOX_NADP_
34DHXMANDACOX_pos,135.0,0.09352482094264832,0.6734194283373526,0.10236329262690663,34DHXMANDACOX
34HPLFM_pos,196.0,7.4678435688707155e-06,5.184577249080091,1.1799698643411591e-05,34HPLFM
34HPPOR_pos,196.0,7.4678435688707155e-06,5.840465663518534,1.1799698643411591e-05,34HPPOR
34HPPte_neg,196.0,7.4678435688707155e-06,5.761886233914811,1.1799698643411591e-05,34HPPte
34HPPte_pos,196.0,7.4678435688707155e-06,3.0023064512670947,1.1799698643411591e-05,34HPPte
35CGMPtn_pos,196.0,7.4678435688707155e-06,5.102650516934508,1.1799698643411591e-05,35CGMPtn
3AIBTm_pos,193.0,1.4115569156153118e-05,3.701639951481566,2.158307531085959e-05,3AIBTm
3AIB_Dtm_neg,196.0,7.4678435688707155e-06,3.594027306401606,1.1799698643411591e-05,3AIB_Dtm
3AIB_Dtm_pos,196.0,7.4678435688707155e-06,6.290749052799003,1.1799698643411591e-05,3AIB_Dtm
3AIBt_pos,193.0,1.4115569156153118e-05,3.7016399514815785,2.158307531085959e-05,3AIBt
3AIBtm_pos,193.0,1.4115569156153118e-05,3.7016399514815785,2.158307531085959e-05,3AIBtm
3DPHBH1_pos,196.0,7.4678435688707155e-06,5.184577249080069,1.1799698643411591e-05,3DPHBH1
3DPHBH2_pos,196.0,7.4678435688707155e-06,5.198594525078269,1.1799698643411591e-05,3DPHBH2
3DSPHR_pos,196.0,7.4678435688707155e-06,8.735727974504133,1.1799698643411591e-05,3DSPHR
3HAO_pos,196.0,7.4678435688707155e-06,3.560730597276363,1.1799698643411591e-05,3HAO
3HBCDm_pos,196.0,7.4678435688707155e-06,2.109389937298886,1.1799698643411591e-05,3HBCDm
3HBCOAHLm_pos,196.0,7.4678435688707155e-06,3.63271578603659,1.1799698643411591e-05,3HBCOAHLm
3HBCOARc_pos,196.0,7.4678435688707155e-06,2.109389937298877,1.1799698643411591e-05,3HBCOARc
3HCO3_NAt_neg,87.0,0.6294858543167832,-0.8050578639342394,0.6492660035365905,3HCO3_NAt
3HCO3_NAt_pos,60.0,0.08488165299571686,-0.9169757552579626,0.0930904898200172,3HCO3_NAt
3HKYNAKGAT_pos,97.5,1.0,-0.053584554000281774,1.0,3HKYNAKGAT
3HLYTCL_pos,196.0,7.4678435688707155e-06,3.1613951680615844,1.1799698643411591e-05,3HLYTCL
3MLDAt_pos,196.0,7.4678435688707155e-06,4.003290905730712,1.1799698643411591e-05,3MLDAt
3MOBt2im_pos,196.0,7.4678435688707155e-06,5.218263755033521,1.1799698643411591e-05,3MOBt2im
3MOBte_neg,196.0,7.4678435688707155e-06,4.021180239701921,1.1799698643411591e-05,3MOBte
3MOBte_pos,196.0,7.4678435688707155e-06,4.6899863229298,1.1799698643411591e-05,3MOBte
3MOPt2im_pos,196.0,7.4678435688707155e-06,5.219846858411003,1.1799698643411591e-05,3MOPt2im
3MOPte_neg,196.0,7.4678435688707155e-06,4.491425137034458,1.1799698643411591e-05,3MOPte
3MOPte_pos,196.0,7.4678435688707155e-06,4.013616450442072,1.1799698643411591e-05,3MOPte
3MOX4HOXPGALDOX_NADP__neg,127.0,0.1903620311330284,0.5470009910884376,0.20287890151100368,3MOX4HOXPGALDOX_NADP_
3MOX4HOXPGALDOX_pos,127.0,0.1903620311330284,0.5470009910884376,0.20287890151100368,3MOX4HOXPGALDOX
3SALAASPm_neg,196.0,7.4678435688707155e-06,4.491622069865082,1.1799698643411591e-05,3SALAASPm
3SALACBOXL_pos,196.0,7.4678435688707155e-06,3.3888209027279674,1.1799698643411591e-05,3SALACBOXL
3SALAOX_pos,196.0,7.4678435688707155e-06,4.766750883911171,1.1799698643411591e-05,3SALAOX
3SALATAi_pos,196.0,7.4678435688707155e-06,3.9643376585256034,1.1799698643411591e-05,3SALATAi
3SALATAim_pos,196.0,7.4678435688707155e-06,4.491622069865068,1.1799698643411591e-05,3SALATAim
3SPYRSP_pos,196.0,7.4678435688707155e-06,3.9643376585256034,1.1799698643411591e-05,3SPYRSP
3SPYRSPm_pos,196.0,7.4678435688707155e-06,4.491622069865068,1.1799698643411591e-05,3SPYRSPm
41R1H2MAE12BOOX_pos,196.0,7.4678435688707155e-06,5.475648258978813,1.1799698643411591e-05,41R1H2MAE12BOOX
41R2A1H12BOOX_pos,196.0,7.4678435688707155e-06,5.278373387255614,1.1799698643411591e-05,41R2A1H12BOOX
4ABUTtcn_pos,196.0,7.4678435688707155e-06,5.489922695748427,1.1799698643411591e-05,4ABUTtcn
4ABUTtm_neg,196.0,7.4678435688707155e-06,4.200881984400454,1.1799698643411591e-05,4ABUTtm
4ABUTtm_pos,196.0,7.4678435688707155e-06,3.693904462739429,1.1799698643411591e-05,4ABUTtm
4HBZCOAFm_pos,196.0,7.4678435688707155e-06,5.184577249080094,1.1799698643411591e-05,4HBZCOAFm
