,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval,metadata_r_id,reaction_name,formula,associated_genes,subsystem,EC_number,confidence
2HBO_neg,33.0,0.0030403818975488573,-1.297676778487454,0.005085729719536271,2HBO,2-Hydroxybutyrate:NAD+ oxidoreductase,"1.00 * 2-Hydroxybutyrate [c] + 1.00 * Nicotinamide adenine dinucleotide [c] --> 1.00 * proton [c] + 1.00 * 2-Oxobutanoate [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c]
LDHA; LDHAL6B; LDHB; LDHC; UEVLD",LDHA; LDHAL6B; LDHB; LDHC; UEVLD,Propanoate metabolism,1.1.1.27,4.0
2HBO_pos,0.0,7.4678435688707155e-06,-2.216860356789038,6.0371230435474645e-05,2HBO,2-Hydroxybutyrate:NAD+ oxidoreductase,"1.00 * 2-Hydroxybutyrate [c] + 1.00 * Nicotinamide adenine dinucleotide [c] --> 1.00 * proton [c] + 1.00 * 2-Oxobutanoate [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c]
LDHA; LDHAL6B; LDHB; LDHC; UEVLD",LDHA; LDHAL6B; LDHB; LDHC; UEVLD,Propanoate metabolism,1.1.1.27,4.0
34DHOXPEGOX_pos,19.0,0.00030988550754250263,-1.952565973899608,0.0007200896959329872,34DHOXPEGOX,"3,4-Dihydroxyphenylethyleneglycol:NAD+ oxidoreductase","1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * 3,4-Dihydroxymandelaldehyde [c] --> 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * 3,4-Dihydroxyphenylethyleneglycol [c]
ADH1; ADH4; ADH5; ADH6A; ADH7; ADHFE1",ADH1; ADH4; ADH5; ADH6A; ADH7; ADHFE1,Tyrosine metabolism,1.1.1.1,4.0
34DHPLACOX_NADP__neg,116.0,0.42134823269748845,0.30208245546437973,0.4492730421123073,34DHPLACOX_NADP_,"3,4-Dihydroxyphenylacetaldehyde:NADP+ oxidoreductase","1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * 3,4-Dihydroxyphenylacetaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * (3,4-dihydroxyphenyl)acetate [c]
ALDH3A1; ALDH3B1; ALDH3B3",ALDH3A1; ALDH3B1; ALDH3B3,Tyrosine metabolism,1.2.1.5,4.0
34DHPLACOX_pos,116.0,0.42134823269748845,0.30208245546437973,0.4492730421123073,34DHPLACOX,"3,4-Dihydroxyphenylacetaldehyde:NAD+ oxidoreductase","1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * 3,4-Dihydroxyphenylacetaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * (3,4-dihydroxyphenyl)acetate [c]
ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3",ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3,Tyrosine metabolism,1.2.1.5,4.0
34DHXMANDACOX_NADP__neg,116.0,0.42134823269748845,0.30208245546437973,0.4492730421123073,34DHXMANDACOX_NADP_,"3,4-Dihydroxymandelaldehyde:NADP+ oxidoreductase","1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * 3,4-Dihydroxymandelaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * 3,4-Dihydroxymandelate [c]
ALDH3B1; ALDH3B3",ALDH3B1; ALDH3B3,Tyrosine metabolism,1.2.1.5,4.0
34DHXMANDACOX_pos,116.0,0.42134823269748845,0.30208245546437973,0.4492730421123073,34DHXMANDACOX,"3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase","1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * 3,4-Dihydroxymandelaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * 3,4-Dihydroxymandelate [c]
ALDH1A3; ALDH3A1; ALDH3B1",ALDH1A3; ALDH3A1; ALDH3B1,Tyrosine metabolism,1.2.1.5,4.0
34HPPOR_pos,4.0,1.7382285453626134e-05,-3.1521821625699316,8.891236380821136e-05,34HPPOR,4-Hydroxyphenylpyruvate:oxygen oxidoreductase,"1.00 * O2 [c] + 1.00 * 3-(4-hydroxyphenyl)pyruvate [c] --> 1.00 * carbon dioxide [c] + 1.00 * homogentisate [c]
HPD",HPD,Tyrosine metabolism,1.13.11.27,4.0
3DSPHR_pos,6.0,2.6199245185137612e-05,-2.1343363910883983,0.00012154365735036851,3DSPHR,3-Dehydrosphinganine reductase,"1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * (2S)-1-hydroxy-3-oxooctadecan-2-aminium [c] --> 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * sphinganine(1+) [c]
KDSR",KDSR,Sphingolipid metabolism,1.1.1.102,4.0
3HAO_pos,21.0,0.00043975808677961485,-1.6147537080301362,0.0009773731959321008,3HAO,"3-hydroxyanthranilate 3,4-dioxygenase","1.00 * O2 [c] + 1.00 * 3-hydroxyanthranilate [c] --> 1.00 * proton [c] + 1.00 * cis,cis-2-amino-3-(3-oxoprop-1-enyl)but-2-enedioate [c]
HAAO",HAAO,Tryptophan metabolism,1.13.11.6,4.0
