,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval,metadata_r_id
10FTHF5GLUtl_pos,76.0,0.3232138110799865,-0.5870160738399175,0.3536995500040998,10FTHF5GLUtl
10FTHF5GLUtm_pos,81.0,0.44836913851604354,-0.5780043108229178,0.4759868702725169,10FTHF5GLUtm
10FTHF6GLUtl_pos,77.0,0.3462297896371177,-0.5704993757662545,0.37674046075456485,10FTHF6GLUtl
10FTHF6GLUtm_pos,76.0,0.3232138110799865,-0.6029124389464374,0.3536995500040998,10FTHF6GLUtm
10FTHF7GLUtl_pos,84.0,0.5350644544782063,-0.5116560315250892,0.5601925014668446,10FTHF7GLUtl
10FTHF7GLUtm_pos,78.0,0.3702635725474709,-0.6047023763439158,0.39831384319500657,10FTHF7GLUtm
10FTHFtl_neg,76.0,0.3232138110799865,-0.5870160738399192,0.3536995500040998,10FTHFtl
10FTHFtm_neg,1.0,9.252160889820901e-06,-3.6285705032812587,6.243296997139476e-05,10FTHFtm
10FTHFtm_pos,80.0,0.42134823269748845,-0.6411979479013977,0.4492730421123073,10FTHFtm
11DOCRTSLtm_pos,1.0,9.252160889820901e-06,-3.790501021822277,6.243296997139476e-05,11DOCRTSLtm
11DOCRTSLtr_neg,1.0,9.252160889820901e-06,-3.7905010218222284,6.243296997139476e-05,11DOCRTSLtr
11DOCRTSTRNtm_pos,1.0,9.252160889820901e-06,-3.9049389274472226,6.243296997139476e-05,11DOCRTSTRNtm
11DOCRTSTRNtr_neg,1.0,9.252160889820901e-06,-3.9049389274471946,6.243296997139476e-05,11DOCRTSTRNtr
13DAMPPOX_pos,8.0,3.917073187670034e-05,-2.344336747112279,0.00015697130099301022,13DAMPPOX
1MNCAMti_pos,30.0,0.0019256342103893915,-1.483488244151761,0.00350466499366495,1MNCAMti
1PPDCRp_pos,28.0,0.001406256754328124,-1.3889251381521945,0.0026609701967761604,1PPDCRp
1a25DHVITD3TRn_pos,0.0,7.4678435688707155e-06,-4.2728580486668735,6.0371230435474645e-05,1a25DHVITD3TRn
24NPHte_neg,2.0,1.1439596363811544e-05,-2.3563048751096574,7.130099565688646e-05,24NPHte
24_25DHVITD2t_pos,16.0,0.00018058361507983846,-1.6134734207624215,0.00045403085977733056,24_25DHVITD2t
24_25DHVITD2tm_pos,16.0,0.00018058361507983846,-1.6134734207624215,0.00045403085977733056,24_25DHVITD2tm
24_25DHVITD3t_pos,3.0,1.4115569156153118e-05,-3.7087558277196275,8.261908398565607e-05,24_25DHVITD3t
24_25DHVITD3tm_pos,0.0,7.4678435688707155e-06,-3.912005404812696,6.0371230435474645e-05,24_25DHVITD3tm
24_25VITD2Hm_pos,16.0,0.00018058361507983846,-1.6134734207624215,0.00045403085977733056,24_25VITD2Hm
24_25VITD3Hm_pos,0.0,7.4678435688707155e-06,-3.9120054048125934,6.0371230435474645e-05,24_25VITD3Hm
25HVITD3c_pos,0.0,7.4678435688707155e-06,-4.272858048666842,6.0371230435474645e-05,25HVITD3c
2AMACHYD_pos,133.0,0.11292204477606509,0.579916848812243,0.13242491857760452,2AMACHYD
2AMACSULT_pos,53.0,0.04088722927074104,-0.9177090025332274,0.051419981054385916,2AMACSULT
2AMADPTm_pos,7.0,3.2067382868739144e-05,-2.7299273819176495,0.00014133882921633204,2AMADPTm
2DR1PP_pos,80.0,0.42134823269748845,-0.46091781345124855,0.4492730421123073,2DR1PP
2HBO_neg,33.0,0.0030403818975488573,-1.297676778487454,0.005085729719536271,2HBO
2HBO_pos,0.0,7.4678435688707155e-06,-2.216860356789038,6.0371230435474645e-05,2HBO
2HBt2_neg,31.0,0.002246700753422747,-1.211610246833384,0.0040085903636594864,2HBt2
2HBt2_pos,31.0,0.002246700753422747,-1.211610246833384,0.0040085903636594864,2HBt2
2HCO3_NAt_neg,19.0,0.00030988550754250263,-1.7911342512129755,0.0007200896959329872,2HCO3_NAt
2HCO3_NAt_pos,18.0,0.0002593552766640716,-1.9224112779996636,0.0006196447209838023,2HCO3_NAt
2MB2COAc_pos,21.0,0.00043975808677961485,-2.1258069369941737,0.0009773731959321008,2MB2COAc
2MCITt_pos,35.0,0.004082315868979593,-1.280284376120983,0.006639862364585334,2MCITt
2OXOADOXm_pos,3.0,1.4115569156153118e-05,-2.592209228522499,8.261908398565607e-05,2OXOADOXm
2OXOADPTm_neg,7.0,3.2067382868739144e-05,-2.7299273819176895,0.00014133882921633204,2OXOADPTm
2OXOADPTm_pos,22.0,0.0005223025411715536,-1.6109562488098128,0.0011193176505684345,2OXOADPTm
34DHOXPEGOX_pos,19.0,0.00030988550754250263,-1.952565973899608,0.0007200896959329872,34DHOXPEGOX
34DHOXPEGt_pos,19.0,0.00030988550754250263,-1.9525659738995544,0.0007200896959329872,34DHOXPEGt
34DHPHELAT1tc_pos,182.0,0.00012473352843465045,2.513914430361066,0.0003456764564001429,34DHPHELAT1tc
34DHPHEt_neg,182.0,0.00012473352843465045,2.513914430361066,0.0003456764564001429,34DHPHEt
34DHPHEt_pos,140.0,0.05654277060892085,0.6073709606466198,0.06946349024214236,34DHPHEt
34DHPLACOX_NADP__neg,116.0,0.42134823269748845,0.30208245546437973,0.4492730421123073,34DHPLACOX_NADP_
34DHPLACOX_pos,116.0,0.42134823269748845,0.30208245546437973,0.4492730421123073,34DHPLACOX
34DHXMANDACOX_NADP__neg,116.0,0.42134823269748845,0.30208245546437973,0.4492730421123073,34DHXMANDACOX_NADP_
34DHXMANDACOX_pos,116.0,0.42134823269748845,0.30208245546437973,0.4492730421123073,34DHXMANDACOX
34HPLFM_pos,0.0,7.4678435688707155e-06,-3.386021685031633,6.0371230435474645e-05,34HPLFM
34HPPOR_pos,4.0,1.7382285453626134e-05,-3.1521821625699316,8.891236380821136e-05,34HPPOR
34HPPte_neg,70.0,0.20638756667458324,-0.5245859290607225,0.23437475408873049,34HPPte
34HPPte_pos,14.0,0.00012473352843465045,-2.108238642732683,0.0003456764564001429,34HPPte
35CGMPtn_pos,72.0,0.24133124222644808,-0.3572904702451959,0.2714612836616426,35CGMPtn
3AIBTm_pos,15.0,0.00015023322950336317,-1.920131428297286,0.0004035047101628159,3AIBTm
3AIB_Dtm_neg,23.0,0.0006191080355573777,-1.3690426799938487,0.001311288485168869,3AIB_Dtm
3AIB_Dtm_pos,0.0,7.4678435688707155e-06,-4.009782711560658,6.0371230435474645e-05,3AIB_Dtm
3AIBt_pos,15.0,0.00015023322950336317,-1.920131428297297,0.0004035047101628159,3AIBt
3AIBtm_pos,15.0,0.00015023322950336317,-1.920131428297297,0.0004035047101628159,3AIBtm
3DPHBH1_pos,0.0,7.4678435688707155e-06,-3.38602168503171,6.0371230435474645e-05,3DPHBH1
3DPHBH2_pos,0.0,7.4678435688707155e-06,-3.4071486807017206,6.0371230435474645e-05,3DPHBH2
3DSPHR_pos,6.0,2.6199245185137612e-05,-2.1343363910883983,0.00012154365735036851,3DSPHR
3HAO_pos,21.0,0.00043975808677961485,-1.6147537080301362,0.0009773731959321008,3HAO
3HBCDm_pos,2.0,1.1439596363811544e-05,-2.4612927182449695,7.130099565688646e-05,3HBCDm
3HBCOAHLm_pos,16.0,0.00018058361507983846,-1.5128829795097636,0.00045403085977733056,3HBCOAHLm
3HBCOARc_pos,2.0,1.1439596363811544e-05,-2.461292718244932,7.130099565688646e-05,3HBCOARc
3HCO3_NAt_neg,2.0,1.1439596363811544e-05,-2.67339666175151,7.130099565688646e-05,3HCO3_NAt
3HCO3_NAt_pos,1.0,9.252160889820901e-06,-2.865510392582891,6.243296997139476e-05,3HCO3_NAt
3HKYNAKGAT_pos,91.0,0.35311123450600557,-0.3779644730088852,0.3820643670354859,3HKYNAKGAT
3HLYTCL_pos,7.0,3.2067382868739144e-05,-2.385626015540414,0.00014133882921633204,3HLYTCL
3MLDAt_pos,30.0,0.0019256342103893915,-1.4366422937532581,0.00350466499366495,3MLDAt
3MOBt2im_pos,8.0,3.917073187670034e-05,-2.6253328442758668,0.00015697130099301022,3MOBt2im
3MOBte_neg,1.0,9.252160889820901e-06,-2.9481449023481,6.243296997139476e-05,3MOBte
3MOBte_pos,5.0,2.1361748059114528e-05,-3.0166359461055685,0.00010467737308487329,3MOBte
3MOPt2im_pos,8.0,3.917073187670034e-05,-2.6254645372089658,0.00015697130099301022,3MOPt2im
3MOPte_neg,0.0,7.4678435688707155e-06,-3.3032208028009915,6.0371230435474645e-05,3MOPte
3MOPte_pos,3.0,1.4115569156153118e-05,-3.2732583414032588,8.261908398565607e-05,3MOPte
