,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval,metadata_r_id
10FTHF5GLUtl_pos,194.0,1.1439596363811544e-05,3.6032936307116414,1.87798024873143e-05,10FTHF5GLUtl
10FTHF5GLUtm_pos,196.0,7.4678435688707155e-06,3.719828967022895,1.2606044633104588e-05,10FTHF5GLUtm
10FTHF6GLUtl_pos,194.0,1.1439596363811544e-05,3.6032936307116414,1.87798024873143e-05,10FTHF6GLUtl
10FTHF6GLUtm_pos,196.0,7.4678435688707155e-06,3.719828967022895,1.2606044633104588e-05,10FTHF6GLUtm
10FTHF7GLUtl_pos,196.0,7.4678435688707155e-06,3.705931389417303,1.2606044633104588e-05,10FTHF7GLUtl
10FTHF7GLUtm_pos,196.0,7.4678435688707155e-06,3.719828967022895,1.2606044633104588e-05,10FTHF7GLUtm
10FTHFtl_neg,194.0,1.1439596363811544e-05,3.6032936307116414,1.87798024873143e-05,10FTHFtl
10FTHFtm_neg,184.0,8.546788222763506e-05,2.5662031947714197,0.00012233329133596061,10FTHFtm
10FTHFtm_pos,196.0,7.4678435688707155e-06,5.425184433350969,1.2606044633104588e-05,10FTHFtm
11DOCRTSLtm_pos,196.0,7.4678435688707155e-06,5.724718847900492,1.2606044633104588e-05,11DOCRTSLtm
11DOCRTSLtr_neg,196.0,7.4678435688707155e-06,5.724718847900492,1.2606044633104588e-05,11DOCRTSLtr
11DOCRTSTRNtm_pos,196.0,7.4678435688707155e-06,5.724718847900492,1.2606044633104588e-05,11DOCRTSTRNtm
11DOCRTSTRNtr_neg,196.0,7.4678435688707155e-06,5.724718847900492,1.2606044633104588e-05,11DOCRTSTRNtr
13DAMPPOX_pos,196.0,7.4678435688707155e-06,5.1914620059297,1.2606044633104588e-05,13DAMPPOX
1MNCAMti_pos,196.0,7.4678435688707155e-06,3.1591002577704024,1.2606044633104588e-05,1MNCAMti
1PPDCRp_pos,196.0,7.4678435688707155e-06,3.458233272661737,1.2606044633104588e-05,1PPDCRp
1a25DHVITD3TRn_pos,196.0,7.4678435688707155e-06,5.5827078654834565,1.2606044633104588e-05,1a25DHVITD3TRn
24NPHte_neg,181.0,0.00015023322950336317,2.2514984147698045,0.00021114226734726064,24NPHte
24_25DHVITD2t_pos,196.0,7.4678435688707155e-06,2.5286095243426607,1.2606044633104588e-05,24_25DHVITD2t
24_25DHVITD2tm_pos,196.0,7.4678435688707155e-06,2.5286095243426607,1.2606044633104588e-05,24_25DHVITD2tm
24_25DHVITD3t_pos,196.0,7.4678435688707155e-06,5.724718847900492,1.2606044633104588e-05,24_25DHVITD3t
24_25DHVITD3tm_pos,196.0,7.4678435688707155e-06,5.164322672568216,1.2606044633104588e-05,24_25DHVITD3tm
24_25VITD2Hm_pos,196.0,7.4678435688707155e-06,2.5286095243426607,1.2606044633104588e-05,24_25VITD2Hm
24_25VITD3Hm_pos,196.0,7.4678435688707155e-06,5.164322672568216,1.2606044633104588e-05,24_25VITD3Hm
25HVITD3c_pos,196.0,7.4678435688707155e-06,5.5827078654834565,1.2606044633104588e-05,25HVITD3c
2AMACHYD_pos,196.0,7.4678435688707155e-06,4.746194120079258,1.2606044633104588e-05,2AMACHYD
2AMACSULT_pos,196.0,7.4678435688707155e-06,5.858258322313715,1.2606044633104588e-05,2AMACSULT
2AMADPTm_pos,196.0,7.4678435688707155e-06,4.271684400811164,1.2606044633104588e-05,2AMADPTm
2DR1PP_pos,196.0,7.4678435688707155e-06,3.607542492837836,1.2606044633104588e-05,2DR1PP
2HBO_neg,196.0,7.4678435688707155e-06,3.2332659809822673,1.2606044633104588e-05,2HBO
2HBO_pos,196.0,7.4678435688707155e-06,2.570025736216105,1.2606044633104588e-05,2HBO
2HBt2_neg,166.0,0.0019256342103893915,1.5270345522539932,0.0023640394693555137,2HBt2
2HBt2_pos,166.0,0.0019256342103893915,1.5270345522539932,0.0023640394693555137,2HBt2
2HCO3_NAt_neg,59.0,0.07689626394376972,-1.1242960992927906,0.08457499851605835,2HCO3_NAt
2HCO3_NAt_pos,59.0,0.07689626394376972,-1.1242960992927906,0.08457499851605835,2HCO3_NAt
2MB2COAc_pos,196.0,7.4678435688707155e-06,3.3270011611390724,1.2606044633104588e-05,2MB2COAc
2MCITt_pos,196.0,7.4678435688707155e-06,5.165258871435117,1.2606044633104588e-05,2MCITt
2OXOADOXm_pos,196.0,7.4678435688707155e-06,3.2019454750174896,1.2606044633104588e-05,2OXOADOXm
2OXOADPTm_neg,196.0,7.4678435688707155e-06,4.271684400811164,1.2606044633104588e-05,2OXOADPTm
2OXOADPTm_pos,192.0,1.7382285453626134e-05,3.125660911523801,2.6595753014267374e-05,2OXOADPTm
34DHOXPEGOX_pos,196.0,7.4678435688707155e-06,4.8020767174660115,1.2606044633104588e-05,34DHOXPEGOX
34DHOXPEGt_pos,196.0,7.4678435688707155e-06,4.8020767174660115,1.2606044633104588e-05,34DHOXPEGt
34DHPHELAT1tc_pos,196.0,7.4678435688707155e-06,4.56176106132306,1.2606044633104588e-05,34DHPHELAT1tc
34DHPHEt_neg,196.0,7.4678435688707155e-06,4.56176106132306,1.2606044633104588e-05,34DHPHEt
34DHPHEt_pos,192.0,1.7382285453626134e-05,2.1891820277786556,2.6595753014267374e-05,34DHPHEt
34DHPLACOX_NADP__neg,139.0,0.06276097745480774,1.107133066252236,0.06927348826390649,34DHPLACOX_NADP_
34DHPLACOX_pos,139.0,0.06276097745480774,1.107133066252236,0.06927348826390649,34DHPLACOX
34DHXMANDACOX_NADP__neg,139.0,0.06276097745480774,1.107133066252236,0.06927348826390649,34DHXMANDACOX_NADP_
34DHXMANDACOX_pos,139.0,0.06276097745480774,1.107133066252236,0.06927348826390649,34DHXMANDACOX
34HPLFM_pos,196.0,7.4678435688707155e-06,5.440696055255173,1.2606044633104588e-05,34HPLFM
34HPPOR_pos,196.0,7.4678435688707155e-06,4.755329516940214,1.2606044633104588e-05,34HPPOR
34HPPte_neg,196.0,7.4678435688707155e-06,6.113615477190665,1.2606044633104588e-05,34HPPte
34HPPte_pos,196.0,7.4678435688707155e-06,3.643036878944674,1.2606044633104588e-05,34HPPte
35CGMPtn_pos,196.0,7.4678435688707155e-06,5.906033906430996,1.2606044633104588e-05,35CGMPtn
3AIBTm_pos,196.0,7.4678435688707155e-06,3.8993094558759394,1.2606044633104588e-05,3AIBTm
3AIB_Dtm_neg,196.0,7.4678435688707155e-06,3.809590481152782,1.2606044633104588e-05,3AIB_Dtm
3AIB_Dtm_pos,196.0,7.4678435688707155e-06,6.800255043469992,1.2606044633104588e-05,3AIB_Dtm
3AIBt_pos,196.0,7.4678435688707155e-06,3.8993094558759394,1.2606044633104588e-05,3AIBt
3AIBtm_pos,196.0,7.4678435688707155e-06,3.8993094558759394,1.2606044633104588e-05,3AIBtm
3DPHBH1_pos,196.0,7.4678435688707155e-06,5.440696055255173,1.2606044633104588e-05,3DPHBH1
3DPHBH2_pos,196.0,7.4678435688707155e-06,5.440696055255173,1.2606044633104588e-05,3DPHBH2
3DSPHR_pos,196.0,7.4678435688707155e-06,7.912370185763845,1.2606044633104588e-05,3DSPHR
3HAO_pos,194.0,1.1439596363811544e-05,3.3587262416821635,1.87798024873143e-05,3HAO
3HBCDm_pos,188.0,3.917073187670034e-05,1.8334555938645845,5.7715509112443676e-05,3HBCDm
3HBCOAHLm_pos,196.0,7.4678435688707155e-06,3.827215812865742,1.2606044633104588e-05,3HBCOAHLm
3HBCOARc_pos,188.0,3.917073187670034e-05,1.8334555938645845,5.7715509112443676e-05,3HBCOARc
3HCO3_NAt_neg,78.0,0.3702635725474709,-0.8322896876870122,0.38826423238772606,3HCO3_NAt
3HCO3_NAt_pos,68.0,0.17527213921127915,-0.9189773567549936,0.18928903490620064,3HCO3_NAt
3HKYNAKGAT_pos,91.0,0.35311123450600557,-0.3779644730094135,0.3710295989092196,3HKYNAKGAT
3HLYTCL_pos,196.0,7.4678435688707155e-06,3.0585779725967748,1.2606044633104588e-05,3HLYTCL
3MLDAt_pos,196.0,7.4678435688707155e-06,4.061531871076617,1.2606044633104588e-05,3MLDAt
3MOBt2im_pos,196.0,7.4678435688707155e-06,4.271684400811164,1.2606044633104588e-05,3MOBt2im
3MOBte_neg,196.0,7.4678435688707155e-06,4.12682813612196,1.2606044633104588e-05,3MOBte
3MOBte_pos,196.0,7.4678435688707155e-06,3.9734475882111444,1.2606044633104588e-05,3MOBte
3MOPt2im_pos,196.0,7.4678435688707155e-06,4.271684400811164,1.2606044633104588e-05,3MOPt2im
3MOPte_neg,196.0,7.4678435688707155e-06,4.12682813612196,1.2606044633104588e-05,3MOPte
3MOPte_pos,196.0,7.4678435688707155e-06,3.9734475882111444,1.2606044633104588e-05,3MOPte
3MOX4HOXPGALDOX_NADP__neg,139.0,0.06276097745480774,1.107133066252236,0.06927348826390649,3MOX4HOXPGALDOX_NADP_
3MOX4HOXPGALDOX_pos,139.0,0.06276097745480774,1.107133066252236,0.06927348826390649,3MOX4HOXPGALDOX
3SALAASPm_neg,196.0,7.4678435688707155e-06,4.855872352940982,1.2606044633104588e-05,3SALAASPm
3SALACBOXL_pos,192.0,1.7382285453626134e-05,2.876764021191193,2.6595753014267374e-05,3SALACBOXL
3SALAOX_pos,196.0,7.4678435688707155e-06,4.021745740867668,1.2606044633104588e-05,3SALAOX
3SALATAi_pos,196.0,7.4678435688707155e-06,4.855872352940982,1.2606044633104588e-05,3SALATAi
3SALATAim_pos,196.0,7.4678435688707155e-06,4.855872352940982,1.2606044633104588e-05,3SALATAim
3SPYRSP_pos,196.0,7.4678435688707155e-06,4.855872352940982,1.2606044633104588e-05,3SPYRSP
3SPYRSPm_pos,196.0,7.4678435688707155e-06,4.855872352940982,1.2606044633104588e-05,3SPYRSPm
41R1H2MAE12BOOX_pos,196.0,7.4678435688707155e-06,4.709826924514319,1.2606044633104588e-05,41R1H2MAE12BOOX
41R2A1H12BOOX_pos,196.0,7.4678435688707155e-06,4.8020767174660115,1.2606044633104588e-05,41R2A1H12BOOX
4ABUTtcn_pos,196.0,7.4678435688707155e-06,5.033773791169323,1.2606044633104588e-05,4ABUTtcn
4ABUTtm_neg,196.0,7.4678435688707155e-06,3.8370026227966556,1.2606044633104588e-05,4ABUTtm
4ABUTtm_pos,196.0,7.4678435688707155e-06,3.63123686828869,1.2606044633104588e-05,4ABUTtm
4HBZCOAFm_pos,196.0,7.4678435688707155e-06,5.440696055255173,1.2606044633104588e-05,4HBZCOAFm
4HBZFm_pos,196.0,7.4678435688707155e-06,5.440696055255173,1.2606044633104588e-05,4HBZFm
4HDEBRISOQUINEte_neg,192.0,1.7382285453626134e-05,2.380592379152743,2.6595753014267374e-05,4HDEBRISOQUINEte
4HGLSDm_pos,192.0,1.7382285453626134e-05,2.895884122472626,2.6595753014267374e-05,4HGLSDm
4HOXPACDOX_NADP__pos,196.0,7.4678435688707155e-06,5.088826650337297,1.2606044633104588e-05,4HOXPACDOX_NADP_
4HPROLTASCT1_pos,172.0,0.0007323990319616075,1.9307999148695754,0.0009746492687543928,4HPROLTASCT1
4MOPt2im_pos,196.0,7.4678435688707155e-06,4.271684400811164,1.2606044633104588e-05,4MOPt2im
4MOPte_neg,196.0,7.4678435688707155e-06,3.750851209448561,1.2606044633104588e-05,4MOPte
4MOPte_pos,196.0,7.4678435688707155e-06,3.9734475882111444,1.2606044633104588e-05,4MOPte
4MPTNLte_pos,196.0,7.4678435688707155e-06,5.5827078654834565,1.2606044633104588e-05,4MPTNLte
4MPTNLtm_neg,196.0,7.4678435688707155e-06,5.5827078654834565,1.2606044633104588e-05,4MPTNLtm
4MTOLBUTAMIDEte_neg,192.0,1.7382285453626134e-05,2.380592379152743,2.6595753014267374e-05,4MTOLBUTAMIDEte
4NPHSFte_neg,196.0,7.4678435688707155e-06,2.7234205533991047,1.2606044633104588e-05,4NPHSFte
4NPHSULT_pos,196.0,7.4678435688707155e-06,2.7234205533991047,1.2606044633104588e-05,4NPHSULT
4NPHte_pos,181.0,0.00015023322950336317,2.2514984147698045,0.00021114226734726064,4NPHte
4OHPROIMINOtc_pos,172.0,0.0007323990319616075,1.9307999148695754,0.0009746492687543928,4OHPROIMINOtc
4PYRDX_pos,196.0,7.4678435688707155e-06,3.407733672911457,1.2606044633104588e-05,4PYRDX
5ADTSTSTERONEGLCte_pos,196.0,7.4678435688707155e-06,4.955339585357058,1.2606044633104588e-05,5ADTSTSTERONEGLCte
5ADTSTSTERONEGLCtr_neg,196.0,7.4678435688707155e-06,4.955339585357058,1.2606044633104588e-05,5ADTSTSTERONEGLCtr
5ADTSTSTERONESULT_pos,196.0,7.4678435688707155e-06,4.248929392697258,1.2606044633104588e-05,5ADTSTSTERONESULT
5ADTSTSTERONESte_neg,115.0,0.44836913851604354,0.38551703009629246,0.46701359632153966,5ADTSTSTERONESte
5ADTSTSTERONESte_pos,196.0,7.4678435688707155e-06,5.5827078654834565,1.2606044633104588e-05,5ADTSTSTERONESte
5ADTSTSTERONEte_neg,196.0,7.4678435688707155e-06,5.5827078654834565,1.2606044633104588e-05,5ADTSTSTERONEte
5ADTSTSTERONEte_pos,196.0,7.4678435688707155e-06,3.611770269347718,1.2606044633104588e-05,5ADTSTSTERONEte
5ADTSTSTERONEtr_neg,196.0,7.4678435688707155e-06,3.785960954440637,1.2606044633104588e-05,5ADTSTSTERONEtr
5ADTSTSTERONEtr_pos,196.0,7.4678435688707155e-06,5.5827078654834565,1.2606044633104588e-05,5ADTSTSTERONEtr
5AOPtm_neg,196.0,7.4678435688707155e-06,8.94620339290649,1.2606044633104588e-05,5AOPtm
5DHFtl_pos,194.0,1.1439596363811544e-05,3.6032936307116414,1.87798024873143e-05,5DHFtl
5FTHFt2_pos,196.0,7.4678435688707155e-06,7.1340061922428175,1.2606044633104588e-05,5FTHFt2
5HLTDL_pos,163.0,0.0030403818975488573,1.34188510405433,0.003671627594784895,5HLTDL
5HOMEPRAZOLEte_neg,192.0,1.7382285453626134e-05,2.380592379152743,2.6595753014267374e-05,5HOMEPRAZOLEte
5HOXINDACTO2OX_pos,168.0,0.001406256754328124,1.2725533073508635,0.0017569724372257256,5HOXINDACTO2OX
5HTRPVESSEC_pos,185.0,7.053487010253718e-05,2.003264785938185,0.00010208821367123975,5HTRPVESSEC
5MTAte_neg,196.0,7.4678435688707155e-06,5.007339328638972,1.2606044633104588e-05,5MTAte
5MTAte_pos,192.0,1.7382285453626134e-05,3.06634479731466,2.6595753014267374e-05,5MTAte
5MTHFt2_neg,196.0,7.0487990041463245e-06,4.541873354932442,1.2606044633104588e-05,5MTHFt2
5MTHFt2_pos,196.0,7.0487990041463245e-06,4.541873354932442,1.2606044633104588e-05,5MTHFt2
5MTHFt2le_neg,196.0,7.0487990041463245e-06,10.348233782560927,1.2606044633104588e-05,5MTHFt2le
5MTHFt2le_pos,196.0,7.0487990041463245e-06,10.348233782560927,1.2606044633104588e-05,5MTHFt2le
5MTHFt_neg,196.0,7.0487990041463245e-06,4.541873354932442,1.2606044633104588e-05,5MTHFt
5MTHFt_pos,96.0,0.9098547683332389,-0.35814364143523797,0.9145659904346407,5MTHFt
5OXPROt_neg,196.0,7.4678435688707155e-06,5.332474887086146,1.2606044633104588e-05,5OXPROt
5OXPROt_pos,196.0,7.4678435688707155e-06,4.313012791150689,1.2606044633104588e-05,5OXPROt
5THFtl_pos,194.0,1.1439596363811544e-05,3.6032936307116414,1.87798024873143e-05,5THFtl
5THFtm_pos,196.0,7.4678435688707155e-06,3.719828967022895,1.2606044633104588e-05,5THFtm
6DHFtl_pos,194.0,1.1439596363811544e-05,3.6032936307116414,1.87798024873143e-05,6DHFtl
6DHFtm_pos,196.0,7.4678435688707155e-06,3.719828967022895,1.2606044633104588e-05,6DHFtm
6HTSTSTERONEte_pos,196.0,7.4678435688707155e-06,5.5827078654834565,1.2606044633104588e-05,6HTSTSTERONEte
6HTSTSTERONEtr_neg,196.0,7.4678435688707155e-06,5.5827078654834565,1.2606044633104588e-05,6HTSTSTERONEtr
6THFtl_pos,194.0,1.1439596363811544e-05,3.6032936307116414,1.87798024873143e-05,6THFtl
6THFtm_pos,196.0,7.4678435688707155e-06,3.719828967022895,1.2606044633104588e-05,6THFtm
7DHCHSTEROLtr_neg,196.0,7.4678435688707155e-06,3.8528227624761415,1.2606044633104588e-05,7DHCHSTEROLtr
7DHCHSTEROLtr_pos,196.0,7.4678435688707155e-06,5.440696055255173,1.2606044633104588e-05,7DHCHSTEROLtr
7DHFtl_pos,196.0,7.4678435688707155e-06,3.705931389417303,1.2606044633104588e-05,7DHFtl
7DHFtm_pos,196.0,7.4678435688707155e-06,3.719828967022895,1.2606044633104588e-05,7DHFtm
7THFtl_pos,196.0,7.4678435688707155e-06,3.705931389417303,1.2606044633104588e-05,7THFtl
7THFtm_pos,196.0,7.4678435688707155e-06,3.719828967022895,1.2606044633104588e-05,7THFtm
A4GALTg_pos,196.0,7.4678435688707155e-06,4.602909755309811,1.2606044633104588e-05,A4GALTg
A4GNT2g_pos,196.0,7.4678435688707155e-06,4.252925182507829,1.2606044633104588e-05,A4GNT2g
AACOAT_pos,196.0,7.4678435688707155e-06,2.794908530849462,1.2606044633104588e-05,AACOAT
AACTOOR_pos,196.0,7.4678435688707155e-06,10.886831149320596,1.2606044633104588e-05,AACTOOR
AACTtm_pos,196.0,7.4678435688707155e-06,10.886831149320596,1.2606044633104588e-05,AACTtm
AASAD3m_pos,191.0,2.1361748059114528e-05,2.620015188473316,3.2524308564514566e-05,AASAD3m
AATAi_neg,196.0,7.4678435688707155e-06,4.271684400811164,1.2606044633104588e-05,AATAi
AATAi_pos,196.0,7.4678435688707155e-06,3.458233272661737,1.2606044633104588e-05,AATAi
ABO1g_pos,196.0,7.4678435688707155e-06,4.182165416679549,1.2606044633104588e-05,ABO1g
ABO2g_pos,196.0,7.4678435688707155e-06,4.182165416679549,1.2606044633104588e-05,ABO2g
ABO3g_pos,196.0,7.4678435688707155e-06,4.120329078311708,1.2606044633104588e-05,ABO3g
ABO4g_pos,196.0,7.4678435688707155e-06,4.120329078311708,1.2606044633104588e-05,ABO4g
ABO5g_pos,196.0,7.4678435688707155e-06,4.120329078311708,1.2606044633104588e-05,ABO5g
ABO6g_pos,196.0,7.4678435688707155e-06,4.120329078311708,1.2606044633104588e-05,ABO6g
ABO7g_pos,196.0,7.4678435688707155e-06,4.120329078311708,1.2606044633104588e-05,ABO7g
ABO8g_pos,196.0,7.4678435688707155e-06,4.126500371497959,1.2606044633104588e-05,ABO8g
ABO9g_pos,196.0,7.4678435688707155e-06,4.126500371497959,1.2606044633104588e-05,ABO9g
ABTArm_neg,196.0,7.4678435688707155e-06,3.8370026227966556,1.2606044633104588e-05,ABTArm
ABTArm_pos,196.0,7.4678435688707155e-06,3.63123686828869,1.2606044633104588e-05,ABTArm
ABTD_neg,186.0,5.809398076871835e-05,2.3922316094685048,8.447561061219063e-05,ABTD
ABTD_pos,196.0,7.4678435688707155e-06,5.98531902684327,1.2606044633104588e-05,ABTD
ABTti_pos,186.0,5.809398076871835e-05,2.3922316094685048,8.447561061219063e-05,ABTti
ABUTD_pos,196.0,7.4678435688707155e-06,3.8895347378513505,1.2606044633104588e-05,ABUTD
ABUTt2r_neg,146.0,0.02907155995483803,0.7646006061243139,0.03305134158847984,ABUTt2r
ABUTt2r_pos,146.0,0.02907155995483803,0.7646006061243139,0.03305134158847984,ABUTt2r
ABUTt4_2_r_neg,146.0,0.02907155995483803,0.7646006061243139,0.03305134158847984,ABUTt4_2_r
ABUTt4_2_r_pos,146.0,0.02907155995483803,0.7646006061243139,0.03305134158847984,ABUTt4_2_r
ACACT10m_neg,196.0,7.4678435688707155e-06,5.147136683050395,1.2606044633104588e-05,ACACT10m
ACACT10m_pos,196.0,7.4678435688707155e-06,2.572478130403617,1.2606044633104588e-05,ACACT10m
ACACT1r_neg,196.0,7.4678435688707155e-06,3.2786056651334854,1.2606044633104588e-05,ACACT1r
ACACT1r_pos,196.0,7.4678435688707155e-06,3.3057893444457354,1.2606044633104588e-05,ACACT1r
ACACT1rm_pos,196.0,7.4678435688707155e-06,3.4233218048590954,1.2606044633104588e-05,ACACT1rm
ACACT1x_pos,196.0,7.4678435688707155e-06,3.4105546357054,1.2606044633104588e-05,ACACT1x
ACACT4p_pos,196.0,7.4678435688707155e-06,3.991164786134344,1.2606044633104588e-05,ACACT4p
ACACT5p_pos,196.0,7.4678435688707155e-06,3.991164786134344,1.2606044633104588e-05,ACACT5p
ACACT6p_pos,196.0,7.4678435688707155e-06,3.991164786134344,1.2606044633104588e-05,ACACT6p
ACACT7p_pos,196.0,7.4678435688707155e-06,3.991164786134344,1.2606044633104588e-05,ACACT7p
ACACt2_neg,166.0,0.0019256342103893915,1.5270345522539932,0.0023640394693555137,ACACt2
