,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval,metadata_r_id
10FTHF5GLUtl_pos,188.0,3.917073187670034e-05,3.025894960130873,6.705011022500174e-05,10FTHF5GLUtl
10FTHF5GLUtm_pos,192.0,1.7382285453626134e-05,2.9758662825348687,3.146053992327124e-05,10FTHF5GLUtm
10FTHF6GLUtl_pos,189.0,3.2067382868739144e-05,3.0476379502447912,5.665786986708253e-05,10FTHF6GLUtl
10FTHF6GLUtm_pos,192.0,1.7382285453626134e-05,3.0678721762613765,3.146053992327124e-05,10FTHF6GLUtm
10FTHF7GLUtl_pos,188.0,3.917073187670034e-05,3.0263581569855735,6.705011022500174e-05,10FTHF7GLUtl
10FTHF7GLUtm_pos,192.0,1.7382285453626134e-05,3.0996248174077583,3.146053992327124e-05,10FTHF7GLUtm
10FTHFtl_neg,188.0,3.917073187670034e-05,3.0258949601308682,6.705011022500174e-05,10FTHFtl
10FTHFtm_neg,168.0,0.001406256754328124,1.2198162936045573,0.0020232751364033714,10FTHFtm
10FTHFtm_pos,196.0,7.4678435688707155e-06,5.339458557036926,1.493111545511586e-05,10FTHFtm
11DOCRTSLtm_pos,196.0,7.4678435688707155e-06,5.0195029633143955,1.493111545511586e-05,11DOCRTSLtm
11DOCRTSLtr_neg,196.0,7.4678435688707155e-06,5.019502963314381,1.493111545511586e-05,11DOCRTSLtr
11DOCRTSTRNtm_pos,196.0,7.4678435688707155e-06,4.89619891753528,1.493111545511586e-05,11DOCRTSTRNtm
11DOCRTSTRNtr_neg,196.0,7.4678435688707155e-06,4.89619891753529,1.493111545511586e-05,11DOCRTSTRNtr
13DAMPPOX_pos,196.0,7.4678435688707155e-06,4.91352287674909,1.493111545511586e-05,13DAMPPOX
1MNCAMti_pos,184.0,8.546788222763506e-05,2.217490804601473,0.00013988379020569086,1MNCAMti
1PPDCRp_pos,192.0,1.7382285453626134e-05,2.8984680274324393,3.146053992327124e-05,1PPDCRp
1a25DHVITD3TRn_pos,196.0,7.4678435688707155e-06,4.469933380395689,1.493111545511586e-05,1a25DHVITD3TRn
24NPHte_neg,164.0,0.0026161516350141035,1.4824808179260174,0.003681323239963835,24NPHte
24_25DHVITD2t_pos,174.0,0.0005223025411715536,1.7763351866693473,0.0007961914116528794,24_25DHVITD2t
24_25DHVITD2tm_pos,174.0,0.0005223025411715536,1.7763351866693473,0.0007961914116528794,24_25DHVITD2tm
24_25DHVITD3t_pos,196.0,7.4678435688707155e-06,4.47205218199093,1.493111545511586e-05,24_25DHVITD3t
24_25DHVITD3tm_pos,196.0,7.4678435688707155e-06,4.395508655117908,1.493111545511586e-05,24_25DHVITD3tm
24_25VITD2Hm_pos,174.0,0.0005223025411715536,1.7763351866693473,0.0007961914116528794,24_25VITD2Hm
24_25VITD3Hm_pos,196.0,7.4678435688707155e-06,4.395508655117918,1.493111545511586e-05,24_25VITD3Hm
25HVITD3c_pos,196.0,7.4678435688707155e-06,4.469933380395652,1.493111545511586e-05,25HVITD3c
2AMACHYD_pos,196.0,7.4678435688707155e-06,4.899211838411222,1.493111545511586e-05,2AMACHYD
2AMACSULT_pos,196.0,7.4678435688707155e-06,5.286853348463007,1.493111545511586e-05,2AMACSULT
2AMADPTm_pos,196.0,7.4678435688707155e-06,2.161829514983203,1.493111545511586e-05,2AMADPTm
2DR1PP_pos,196.0,7.4678435688707155e-06,3.8340787277947475,1.493111545511586e-05,2DR1PP
2HBO_neg,196.0,7.4678435688707155e-06,2.67626809599494,1.493111545511586e-05,2HBO
2HBO_pos,164.0,0.0026161516350141035,1.2359141685410897,0.003681323239963835,2HBO
2HBt2_neg,120.0,0.3232138110799865,0.7948024040258869,0.3526950574631593,2HBt2
2HBt2_pos,120.0,0.3232138110799865,0.7931402990353239,0.3526950574631593,2HBt2
2HCO3_NAt_neg,23.0,0.0006191080355573777,-1.313939191508541,0.0009417824145926389,2HCO3_NAt
2HCO3_NAt_pos,20.0,0.00036952219864219997,-1.3798489786887738,0.0005686028272157479,2HCO3_NAt
2MB2COAc_pos,196.0,7.4678435688707155e-06,2.5245978110243743,1.493111545511586e-05,2MB2COAc
2MCITt_pos,196.0,7.4678435688707155e-06,4.357134783233643,1.493111545511586e-05,2MCITt
2OXOADOXm_pos,188.0,3.917073187670034e-05,2.0716128843755133,6.705011022500174e-05,2OXOADOXm
2OXOADPTm_neg,196.0,7.4678435688707155e-06,2.1618295149832036,1.493111545511586e-05,2OXOADPTm
2OXOADPTm_pos,186.0,5.809398076871835e-05,2.582466217191053,9.790244643479573e-05,2OXOADPTm
34DHOXPEGOX_pos,196.0,7.4678435688707155e-06,4.5377843960351045,1.493111545511586e-05,34DHOXPEGOX
34DHOXPEGt_pos,196.0,7.4678435688707155e-06,4.537784396035123,1.493111545511586e-05,34DHOXPEGt
34DHPHELAT1tc_pos,192.0,1.7382285453626134e-05,2.866399302592644,3.146053992327124e-05,34DHPHELAT1tc
34DHPHEt_neg,192.0,1.7382285453626134e-05,2.866399302592644,3.146053992327124e-05,34DHPHEt
34DHPHEt_pos,162.0,0.00352648665061584,1.1536737212884416,0.004931494498356384,34DHPHEt
34DHPLACOX_NADP__neg,133.0,0.11292204477606509,0.6504995114119243,0.12997476589907614,34DHPLACOX_NADP_
34DHPLACOX_pos,133.0,0.11292204477606509,0.6504995114119243,0.12997476589907614,34DHPLACOX
34DHXMANDACOX_NADP__neg,135.0,0.09352482094264832,0.6853101547853537,0.10833554360655769,34DHXMANDACOX_NADP_
34DHXMANDACOX_pos,135.0,0.09352482094264832,0.6853101547853537,0.10833554360655769,34DHXMANDACOX
34HPLFM_pos,196.0,7.4678435688707155e-06,4.301176583883998,1.493111545511586e-05,34HPLFM
34HPPOR_pos,196.0,7.4678435688707155e-06,4.73673055096765,1.493111545511586e-05,34HPPOR
34HPPte_neg,196.0,7.4678435688707155e-06,5.625852001408,1.493111545511586e-05,34HPPte
34HPPte_pos,196.0,7.4678435688707155e-06,2.2467434066494194,1.493111545511586e-05,34HPPte
35CGMPtn_pos,196.0,7.4678435688707155e-06,4.298485959862099,1.493111545511586e-05,35CGMPtn
3AIBTm_pos,180.0,0.00018058361507983846,2.7173126738674673,0.0002872101713419783,3AIBTm
3AIB_Dtm_neg,196.0,7.4678435688707155e-06,3.1167517530032742,1.493111545511586e-05,3AIB_Dtm
3AIB_Dtm_pos,196.0,7.4678435688707155e-06,3.978474728777679,1.493111545511586e-05,3AIB_Dtm
3AIBt_pos,180.0,0.00018058361507983846,2.717312673867474,0.0002872101713419783,3AIBt
3AIBtm_pos,180.0,0.00018058361507983846,2.717312673867474,0.0002872101713419783,3AIBtm
3DPHBH1_pos,196.0,7.4678435688707155e-06,4.301176583883991,1.493111545511586e-05,3DPHBH1
3DPHBH2_pos,196.0,7.4678435688707155e-06,4.313166032814107,1.493111545511586e-05,3DPHBH2
3DSPHR_pos,196.0,7.4678435688707155e-06,7.10737416409536,1.493111545511586e-05,3DSPHR
3HAO_pos,192.0,1.7382285453626134e-05,2.761240118728737,3.146053992327124e-05,3HAO
3HBCDm_pos,175.0,0.00043975808677961485,1.3578354955730925,0.0006746124525233547,3HBCDm
3HBCOAHLm_pos,196.0,7.4678435688707155e-06,2.8236553509967623,1.493111545511586e-05,3HBCOAHLm
