,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval,metadata_r_id
10FTHF5GLUtl_pos,143.0,0.04088722927074104,0.7798560804900223,0.12580093339447973,10FTHF5GLUtl
10FTHF5GLUtm_pos,138.0,0.0695341507334379,0.8247236195245574,0.18299640313892682,10FTHF5GLUtm
10FTHF6GLUtl_pos,143.0,0.04088722927074104,0.7593254666372995,0.12580093339447973,10FTHF6GLUtl
10FTHF6GLUtm_pos,149.0,0.020321527411057402,0.9892779299855232,0.07677282651765585,10FTHF6GLUtm
10FTHF7GLUtl_pos,152.0,0.013963504288693081,1.0312557396158641,0.05761819962965459,10FTHF7GLUtl
10FTHF7GLUtm_pos,154.0,0.010769318472118442,1.0969405109480699,0.04775640750840303,10FTHF7GLUtm
10FTHFtl_neg,143.0,0.04088722927074104,0.7798560804900284,0.12580093339447973,10FTHFtl
10FTHFtm_neg,144.0,0.036562191434190316,0.8690187473147135,0.11678446672280252,10FTHFtm
10FTHFtm_pos,128.0,0.17527213921127915,0.32806281837613704,0.3152196071938534,10FTHFtm
11DOCRTSLtm_pos,33.0,0.0030403818975488573,-1.372079513730241,0.017956396523317483,11DOCRTSLtm
11DOCRTSLtr_neg,33.0,0.0030403818975488573,-1.3720795137301995,0.017956396523317483,11DOCRTSLtr
11DOCRTSTRNtm_pos,37.0,0.00543865843998806,-1.3276781493454568,0.02753900537209458,11DOCRTSTRNtm
11DOCRTSTRNtr_neg,37.0,0.00543865843998806,-1.3276781493454386,0.02753900537209458,11DOCRTSTRNtr
13DAMPPOX_pos,97.0,0.9816711400706458,-0.23563298730319218,0.9958496485388194,13DAMPPOX
1MNCAMti_pos,116.0,0.42134823269748845,0.4622993186054584,0.5958533569993493,1MNCAMti
1PPDCRp_pos,97.0,0.9816711400706458,-0.2668032227631732,0.9958496485388194,1PPDCRp
1a25DHVITD3TRn_pos,31.0,0.002246700753422747,-1.5122643667928857,0.014868742980098664,1a25DHVITD3TRn
24NPHte_neg,14.0,0.00012473352843465045,-1.7568656225158612,0.0024176837024781506,24NPHte
24_25DHVITD2t_pos,101.0,0.9085487981709219,-0.2878550941877805,0.9604532690811558,24_25DHVITD2t
24_25DHVITD2tm_pos,101.0,0.9085487981709219,-0.2878550941877805,0.9604532690811558,24_25DHVITD2tm
24_25DHVITD3t_pos,43.0,0.012274648109661161,-1.1711468000587004,0.05254128535537792,24_25DHVITD3t
24_25DHVITD3tm_pos,30.0,0.0019256342103893915,-1.5003376646496036,0.013198575721157927,24_25DHVITD3tm
24_25VITD2Hm_pos,101.0,0.9085487981709219,-0.2878550941877805,0.9604532690811558,24_25VITD2Hm
24_25VITD3Hm_pos,30.0,0.0019256342103893915,-1.500337664649544,0.013198575721157927,24_25VITD3Hm
25HVITD3c_pos,31.0,0.002246700753422747,-1.512264366792934,0.014868742980098664,25HVITD3c
2AMACHYD_pos,81.0,0.44836913851604354,-0.4490166101595022,0.6244663566709587,2AMACHYD
2AMACSULT_pos,120.0,0.3232138110799865,0.38688306441450765,0.5018380351733948,2AMACSULT
2AMADPTm_pos,77.0,0.3462297896371177,-0.5061273442579298,0.5229070487652376,2AMADPTm
2DR1PP_pos,96.0,0.9450520886884962,-0.2880931300843549,0.9773717927981724,2DR1PP
2HBO_neg,162.0,0.00352648665061584,1.5108541507078739,0.019840663911991963,2HBO
2HBO_pos,80.0,0.42134823269748845,-0.251379943359007,0.5958533569993493,2HBO
2HBt2_neg,191.0,2.1361748059114528e-05,2.1103256112489945,0.0005672151964314475,2HBt2
2HBt2_pos,191.0,2.1361748059114528e-05,2.1103256112489945,0.0005672151964314475,2HBt2
2HCO3_NAt_neg,73.0,0.2602848338696484,-0.40565842184320294,0.4307526057351263,2HCO3_NAt
