,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval,metadata_r_id,reaction_name,formula,associated_genes,subsystem,EC_number,confidence
2HBO_neg,188.0,3.917073187670034e-05,2.426339756105927,0.0001728805544720315,2HBO,2-Hydroxybutyrate:NAD+ oxidoreductase,"1.00 * 2-Hydroxybutyrate [c] + 1.00 * Nicotinamide adenine dinucleotide [c] --> 1.00 * proton [c] + 1.00 * 2-Oxobutanoate [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c]
LDHA; LDHAL6B; LDHB; LDHC; UEVLD",LDHA; LDHAL6B; LDHB; LDHC; UEVLD,Propanoate metabolism,1.1.1.27,4.0
2HBO_pos,191.0,2.1361748059114528e-05,2.053500126656408,0.00012872226782484878,2HBO,2-Hydroxybutyrate:NAD+ oxidoreductase,"1.00 * 2-Hydroxybutyrate [c] + 1.00 * Nicotinamide adenine dinucleotide [c] --> 1.00 * proton [c] + 1.00 * 2-Oxobutanoate [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c]
LDHA; LDHAL6B; LDHB; LDHC; UEVLD",LDHA; LDHAL6B; LDHB; LDHC; UEVLD,Propanoate metabolism,1.1.1.27,4.0
34DHOXPEGOX_pos,143.0,0.04088722927074104,0.7458169385347884,0.057671211746162916,34DHOXPEGOX,"3,4-Dihydroxyphenylethyleneglycol:NAD+ oxidoreductase","1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * 3,4-Dihydroxymandelaldehyde [c] --> 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * 3,4-Dihydroxyphenylethyleneglycol [c]
ADH1; ADH4; ADH5; ADH6A; ADH7; ADHFE1",ADH1; ADH4; ADH5; ADH6A; ADH7; ADHFE1,Tyrosine metabolism,1.1.1.1,4.0
34DHPLACOX_NADP__neg,96.0,0.9450520886884962,0.8653300239429158,0.958255238018202,34DHPLACOX_NADP_,"3,4-Dihydroxyphenylacetaldehyde:NADP+ oxidoreductase","1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * 3,4-Dihydroxyphenylacetaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * (3,4-dihydroxyphenyl)acetate [c]
ALDH3A1; ALDH3B1; ALDH3B3",ALDH3A1; ALDH3B1; ALDH3B3,Tyrosine metabolism,1.2.1.5,4.0
34DHPLACOX_pos,96.0,0.9450520886884962,0.8653300239429158,0.958255238018202,34DHPLACOX,"3,4-Dihydroxyphenylacetaldehyde:NAD+ oxidoreductase","1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * 3,4-Dihydroxyphenylacetaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * (3,4-dihydroxyphenyl)acetate [c]
ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3",ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3,Tyrosine metabolism,1.2.1.5,4.0
34DHXMANDACOX_NADP__neg,96.0,0.9450520886884962,0.782511671641661,0.958255238018202,34DHXMANDACOX_NADP_,"3,4-Dihydroxymandelaldehyde:NADP+ oxidoreductase","1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * 3,4-Dihydroxymandelaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * 3,4-Dihydroxymandelate [c]
ALDH3B1; ALDH3B3",ALDH3B1; ALDH3B3,Tyrosine metabolism,1.2.1.5,4.0
34DHXMANDACOX_pos,96.0,0.9450520886884962,0.782511671641661,0.958255238018202,34DHXMANDACOX,"3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase","1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * 3,4-Dihydroxymandelaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * 3,4-Dihydroxymandelate [c]
ALDH1A3; ALDH3A1; ALDH3B1",ALDH1A3; ALDH3A1; ALDH3B1,Tyrosine metabolism,1.2.1.5,4.0
34HPPOR_pos,162.0,0.00352648665061584,1.2722608190625428,0.006784981090374865,34HPPOR,4-Hydroxyphenylpyruvate:oxygen oxidoreductase,"1.00 * O2 [c] + 1.00 * 3-(4-hydroxyphenyl)pyruvate [c] --> 1.00 * carbon dioxide [c] + 1.00 * homogentisate [c]
HPD",HPD,Tyrosine metabolism,1.13.11.27,4.0
3DSPHR_pos,163.0,0.0030403818975488573,1.2951664566901675,0.006038240971355772,3DSPHR,3-Dehydrosphinganine reductase,"1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * (2S)-1-hydroxy-3-oxooctadecan-2-aminium [c] --> 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * sphinganine(1+) [c]
KDSR",KDSR,Sphingolipid metabolism,1.1.1.102,4.0
3HAO_pos,160.0,0.004716530360235347,1.2406668480821745,0.008560260159226809,3HAO,"3-hydroxyanthranilate 3,4-dioxygenase","1.00 * O2 [c] + 1.00 * 3-hydroxyanthranilate [c] --> 1.00 * proton [c] + 1.00 * cis,cis-2-amino-3-(3-oxoprop-1-enyl)but-2-enedioate [c]
HAAO",HAAO,Tryptophan metabolism,1.13.11.6,4.0
3HLYTCL_pos,186.0,5.809398076871835e-05,2.184996901369956,0.00023896088311162986,3HLYTCL,3-Hydroxy-L-tyrosine carboxy-lyase,"1.00 * proton [c] + 1.00 * L-dopa [c] --> 1.00 * carbon dioxide [c] + 1.00 * dopaminium(1+) [c]
DDC",DDC,Tyrosine metabolism,4.1.1.28,4.0
3SALACBOXL_pos,150.0,0.01796661080755547,1.205866263630005,0.027368913664867617,3SALACBOXL,3-Sulfino-L-alanine carboxy-lyase,"2.00 * proton [c] + 1.00 * 3-Sulfino-L-alanine [c] --> 1.00 * carbon dioxide [c] + 1.00 * Hypotaurine [c]
CSAD; GAD1; GAD2",CSAD; GAD1; GAD2,Taurine and hypotaurine metabolism,4.1.1.15,4.0
41R1H2MAE12BOOX_pos,156.0,0.008242009906200226,1.090540219872672,0.01336232531826753,41R1H2MAE12BOOX,"4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)","1.00 * Water [c] + 1.00 * O2 [c] + 1.00 * Adrenaline [c] --> 1.00 * Hydrogen peroxide [c] + 1.00 * 3,4-Dihydroxymandelaldehyde [c] + 1.00 * methylammonium [c]
MAOA; MAOB",MAOA; MAOB,Tyrosine metabolism,1.4.3.4,4.0
41R2A1H12BOOX_pos,143.0,0.04088722927074104,0.7458169385347764,0.057671211746162916,41R2A1H12BOOX,"4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)","1.00 * Water [c] + 1.00 * O2 [c] + 1.00 * Norepinephrine [c] --> 1.00 * Hydrogen peroxide [c] + 1.00 * Ammonium [c] + 1.00 * 3,4-Dihydroxymandelaldehyde [c]
MAOA; MAOB",MAOA; MAOB,Tyrosine metabolism,1.4.3.4,4.0
4NPHSULT_pos,188.0,3.917073187670034e-05,2.169281625317397,0.0001728805544720315,4NPHSULT,4-Nitrophenol Sulfotransferase,"1.00 * (2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-({[(sulfonatooxy)phosphinato]oxy}methyl)oxolan-3-yl phosphate [c] + 1.00 * 4-nitrophenolate [c] --> 1.00 * proton [c] + 1.00 * adenosine 3',5'-bismonophosphate(4-) [c] + 1.00 * 4-Nitrophenyl sulfate [c]
SULT1A1",SULT1A1,Cytochrome metabolism,2.8.2.1,4.0
5ADTSTSTERONESULT_pos,148.0,0.02294133695494204,1.0188769591154718,0.03418175478779229,5ADTSTSTERONESULT,5alpha-Dihydrotestosterone sulfotransferase,"1.00 * (2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-({[(sulfonatooxy)phosphinato]oxy}methyl)oxolan-3-yl phosphate [c] + 1.00 * 17beta-hydroxy-5alpha-androstan-3-one [c] --> 1.00 * proton [c] + 1.00 * adenosine 3',5'-bismonophosphate(4-) [c] + 1.00 * 5alpha-Dihydrotestosterone sulfate [c]
SULT1A1; SULT2A1",SULT1A1; SULT2A1,Steroid metabolism,2.8.2.2,4.0
5HLTDL_pos,126.0,0.20638756667458324,0.6510731976564788,0.2501156930460812,5HLTDL,5-Hydroxy-L-tryptophan decarboxy-lyase,"1.00 * proton [c] + 1.00 * 5-hydroxy-L-tryptophan [c] --> 1.00 * carbon dioxide [c] + 1.00 * serotonin(1+) [c]
DDC",DDC,Tryptophan metabolism,4.1.1.28,4.0
A4GALTg_pos,71.0,0.22337087356959373,-0.43218703957068233,0.2687527253926296,A4GALTg,Lactosylceramide 4-alpha-galactosyltransferase,"1.00 * galactosyl glucosyl ceramide [g] + 1.00 * UDP-D-galactose(2-) [g] --> 1.00 * proton [g] + 1.00 * trihexosyl ceramide [g] + 1.00 * UDP [g]
A4GALT",A4GALT,Sphingolipid metabolism,2.4.1.228,4.0
AACOAT_pos,187.0,4.775116665910044e-05,1.6556658184624655,0.00020267096856221186,AACOAT,Acetoacetyl-CoA:acetate CoA-transferase,"1.00 * ATP [c] + 1.00 * Coenzyme A [c] + 1.00 * acetoacetate [c] --> 1.00 * Acetoacetyl-CoA [c] + 1.00 * AMP [c] + 1.00 * Diphosphate [c]
AACS",AACS,Propanoate metabolism,6.2.1.16,4.0
AACTOOR_pos,118.0,0.3702635725474709,0.5717089110720223,0.41634733273886726,AACTOOR,Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing),"1.00 * Water [c] + 1.00 * O2 [c] + 1.00 * ammonioacetone [c] --> 1.00 * Hydrogen peroxide [c] + 1.00 * Ammonium [c] + 1.00 * methylglyoxal [c]
AOC3",AOC3,"Glycine, serine, alanine and threonine metabolism",1.4.3.6,4.0
AATAi_neg,171.0,0.0008647033653458835,1.4896492311474099,0.0021122821175913655,AATAi,"2-aminoadipate transaminase, irreversible","1.00 * L-2-aminoadipate(1-) [c] + 1.00 * 2-Oxoglutarate [c] --> 1.00 * 2-oxoadipate(2-) [c] + 1.00 * L-glutamate(1-) [c]
AADAT",AADAT,Lysine metabolism,2.6.1.39,4.0
AATAi_pos,148.0,0.02294133695494204,1.1038953545081946,0.03418175478779229,AATAi,"2-aminoadipate transaminase, irreversible","1.00 * L-2-aminoadipate(1-) [c] + 1.00 * 2-Oxoglutarate [c] --> 1.00 * 2-oxoadipate(2-) [c] + 1.00 * L-glutamate(1-) [c]
AADAT",AADAT,Lysine metabolism,2.6.1.39,4.0
ABTArm_neg,168.0,0.001406256754328124,1.5144405832113093,0.0031555029609314006,ABTArm,"4-aminobutyrate transaminase, reversible (mitochondrial)","1.00 * 2-Oxoglutarate [m] + 1.00 * 4-Aminobutanoate [m] --> 1.00 * L-glutamate(1-) [m] + 1.00 * Succinic semialdehyde [m]
ABAT",ABAT,Glutamate metabolism,2.6.19.4,4.0
