,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval,metadata_r_id
10FTHF5GLUtl_pos,143.0,0.04088722927074104,0.7663174861560469,0.14333604301909894,10FTHF5GLUtl
10FTHF5GLUtm_pos,149.0,0.020321527411057402,0.9821112734779408,0.09420696140111089,10FTHF5GLUtm
10FTHF6GLUtl_pos,143.0,0.04088722927074104,0.7663174861560469,0.14333604301909894,10FTHF6GLUtl
10FTHF6GLUtm_pos,149.0,0.020321527411057402,0.9821112734779408,0.09420696140111089,10FTHF6GLUtm
10FTHF7GLUtl_pos,152.0,0.013963504288693081,1.0312557396158013,0.07252616107137243,10FTHF7GLUtl
10FTHF7GLUtm_pos,149.0,0.020321527411057402,0.9821112734779408,0.09420696140111089,10FTHF7GLUtm
10FTHFtl_neg,143.0,0.04088722927074104,0.7663174861560469,0.14333604301909894,10FTHFtl
10FTHFtm_neg,144.0,0.036562191434190316,0.8690577037719637,0.13455233008838285,10FTHFtm
10FTHFtm_pos,128.0,0.17527213921127915,0.3295700005219189,0.36438772716883067,10FTHFtm
11DOCRTSLtm_pos,36.0,0.004716530360235347,-1.3280332927310436,0.0337547080619608,11DOCRTSLtm
11DOCRTSLtr_neg,36.0,0.004716530360235347,-1.3280332927310436,0.0337547080619608,11DOCRTSLtr
11DOCRTSTRNtm_pos,36.0,0.004716530360235347,-1.3280332927310436,0.0337547080619608,11DOCRTSTRNtm
11DOCRTSTRNtr_neg,36.0,0.004716530360235347,-1.3280332927310436,0.0337547080619608,11DOCRTSTRNtr
13DAMPPOX_pos,106.0,0.7303893910726622,-0.05758508556073983,0.8560714900647882,13DAMPPOX
1MNCAMti_pos,116.0,0.42134823269748845,0.4622993186051924,0.6328373359566727,1MNCAMti
1PPDCRp_pos,97.0,0.9816711400706458,-0.2668032227631752,0.996428287927917,1PPDCRp
1a25DHVITD3TRn_pos,37.0,0.00543865843998806,-1.2823620875658228,0.037538829143562026,1a25DHVITD3TRn
24NPHte_neg,14.0,0.00012473352843465045,-1.7568656225158612,0.0028912114874479426,24NPHte
24_25DHVITD2t_pos,101.0,0.9085487981709219,-0.28785509418764504,0.9624667691401376,24_25DHVITD2t
24_25DHVITD2tm_pos,101.0,0.9085487981709219,-0.28785509418764504,0.9624667691401376,24_25DHVITD2tm
24_25DHVITD3t_pos,36.0,0.004716530360235347,-1.3280332927310436,0.0337547080619608,24_25DHVITD3t
24_25DHVITD3tm_pos,41.0,0.009430400901824192,-1.0984397274378128,0.05765910472650775,24_25DHVITD3tm
24_25VITD2Hm_pos,101.0,0.9085487981709219,-0.28785509418764504,0.9624667691401376,24_25VITD2Hm
