,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval,metadata_r_id
10FTHF5GLUtl_pos,194.0,1.1439596363811544e-05,3.5916674650250187,1.8831512965830897e-05,10FTHF5GLUtl
10FTHF5GLUtm_pos,196.0,7.4678435688707155e-06,3.650585320290575,1.265040305805589e-05,10FTHF5GLUtm
10FTHF6GLUtl_pos,194.0,1.1439596363811544e-05,3.6108800010693836,1.8831512965830897e-05,10FTHF6GLUtl
10FTHF6GLUtm_pos,196.0,7.4678435688707155e-06,3.725573969243201,1.265040305805589e-05,10FTHF6GLUtm
10FTHF7GLUtl_pos,196.0,7.4678435688707155e-06,3.7059313894173203,1.265040305805589e-05,10FTHF7GLUtl
10FTHF7GLUtm_pos,196.0,7.4678435688707155e-06,3.7488905486075286,1.265040305805589e-05,10FTHF7GLUtm
10FTHFtl_neg,194.0,1.1439596363811544e-05,3.5916674650250133,1.8831512965830897e-05,10FTHFtl
10FTHFtm_neg,184.0,8.546788222763506e-05,2.5658910811076763,0.00012464304682092257,10FTHFtm
10FTHFtm_pos,196.0,7.4678435688707155e-06,5.47699785693673,1.265040305805589e-05,10FTHFtm
11DOCRTSLtm_pos,196.0,7.4678435688707155e-06,5.471352225755295,1.265040305805589e-05,11DOCRTSLtm
11DOCRTSLtr_neg,196.0,7.4678435688707155e-06,5.471352225755284,1.265040305805589e-05,11DOCRTSLtr
11DOCRTSTRNtm_pos,196.0,7.4678435688707155e-06,5.354322826717383,1.265040305805589e-05,11DOCRTSTRNtm
11DOCRTSTRNtr_neg,196.0,7.4678435688707155e-06,5.354322826717405,1.265040305805589e-05,11DOCRTSTRNtr
13DAMPPOX_pos,196.0,7.4678435688707155e-06,5.631459484807369,1.265040305805589e-05,13DAMPPOX
1MNCAMti_pos,196.0,7.4678435688707155e-06,3.159100257770562,1.265040305805589e-05,1MNCAMti
1PPDCRp_pos,196.0,7.4678435688707155e-06,3.458233272661737,1.265040305805589e-05,1PPDCRp
1a25DHVITD3TRn_pos,196.0,7.4678435688707155e-06,4.981932895439242,1.265040305805589e-05,1a25DHVITD3TRn
24NPHte_neg,181.0,0.00015023322950336317,2.2514984147697064,0.00021610294100770053,24NPHte
24_25DHVITD2t_pos,196.0,7.4678435688707155e-06,2.5286095243426607,1.265040305805589e-05,24_25DHVITD2t
24_25DHVITD2tm_pos,196.0,7.4678435688707155e-06,2.5286095243426607,1.265040305805589e-05,24_25DHVITD2tm
24_25DHVITD3t_pos,196.0,7.4678435688707155e-06,4.958445347021398,1.265040305805589e-05,24_25DHVITD3t
24_25DHVITD3tm_pos,196.0,7.4678435688707155e-06,5.061885098534211,1.265040305805589e-05,24_25DHVITD3tm
24_25VITD2Hm_pos,196.0,7.4678435688707155e-06,2.5286095243426607,1.265040305805589e-05,24_25VITD2Hm
24_25VITD3Hm_pos,196.0,7.4678435688707155e-06,5.061885098534228,1.265040305805589e-05,24_25VITD3Hm
25HVITD3c_pos,196.0,7.4678435688707155e-06,4.9819328954392175,1.265040305805589e-05,25HVITD3c
2AMACHYD_pos,196.0,7.4678435688707155e-06,4.73294565333026,1.265040305805589e-05,2AMACHYD
2AMACSULT_pos,196.0,7.4678435688707155e-06,5.858258322313715,1.265040305805589e-05,2AMACSULT
2AMADPTm_pos,196.0,7.4678435688707155e-06,2.6425022048862754,1.265040305805589e-05,2AMADPTm
2DR1PP_pos,196.0,7.4678435688707155e-06,3.6077912704714383,1.265040305805589e-05,2DR1PP
2HBO_neg,196.0,7.4678435688707155e-06,3.2332659809822646,1.265040305805589e-05,2HBO
2HBO_pos,196.0,7.4678435688707155e-06,2.5700257362160475,1.265040305805589e-05,2HBO
2HBt2_neg,166.0,0.0019256342103893915,1.5643752011279606,0.002358125733457725,2HBt2
2HBt2_pos,166.0,0.0019256342103893915,1.5669302366877138,0.002358125733457725,2HBt2
2HCO3_NAt_neg,67.0,0.16109322449890162,-1.1074505867053395,0.17378380552053269,2HCO3_NAt
2HCO3_NAt_pos,56.0,0.05654277060892085,-1.1412953519036673,0.061731134483949686,2HCO3_NAt
2MB2COAc_pos,196.0,7.4678435688707155e-06,3.327001161139081,1.265040305805589e-05,2MB2COAc
2MCITt_pos,196.0,7.4678435688707155e-06,5.165258871435073,1.265040305805589e-05,2MCITt
2OXOADOXm_pos,196.0,7.4678435688707155e-06,2.7965650941108136,1.265040305805589e-05,2OXOADOXm
2OXOADPTm_neg,196.0,7.4678435688707155e-06,2.6425022048862745,1.265040305805589e-05,2OXOADPTm
2OXOADPTm_pos,192.0,1.7382285453626134e-05,3.1256609115238008,2.6930998240769903e-05,2OXOADPTm
