subsystem,p<0.05_Pos_d<0,p<0.05_Pos_d>0,p<0.05_Neg_d<0,p<0.05_Neg_d>0,p≥0.05_Pos_d<0,p≥0.05_Pos_d>0,p≥0.05_Neg_d<0,p≥0.05_Neg_d>0
Alanine and aspartate metabolism,0,2,0,0,6,2,1,1
Aminosugar metabolism,0,8,0,0,1,7,0,1
Androgen and estrogen synthesis and metabolism,0,1,0,0,0,0,0,1
Arachidonic acid metabolism,0,0,0,0,0,1,0,1
Arginine and Proline Metabolism,0,7,0,1,3,2,3,0
Bile acid synthesis,2,33,2,10,8,1,3,0
Biotin metabolism,1,0,0,0,0,4,0,0
Blood group synthesis,0,7,0,0,0,18,0,0
Butanoate metabolism,1,0,0,0,0,1,0,1
Cholesterol metabolism,3,22,2,6,2,2,0,0
Chondroitin sulfate degradation,0,28,0,0,0,0,0,0
Citric acid cycle,1,3,0,0,2,1,2,1
CoA catabolism,0,2,0,2,0,0,0,0
CoA synthesis,0,8,0,3,1,1,0,0
Cysteine Metabolism,0,3,0,1,0,0,0,0
Cytochrome metabolism,0,1,0,0,2,0,0,0
D-alanine metabolism,0,0,0,0,0,1,0,0
Eicosanoid metabolism,2,7,0,3,4,4,2,3
Fatty acid oxidation,0,125,0,30,7,63,6,2
Fatty acid synthesis,0,15,0,2,3,9,0,0
Folate metabolism,0,16,0,2,10,6,3,1
Fructose and mannose metabolism,1,13,0,2,0,3,0,1
Galactose metabolism,1,8,0,4,0,1,0,0
Glutamate metabolism,0,4,0,1,2,2,3,0
Glutathione metabolism,0,9,0,2,2,1,1,1
Glycerophospholipid metabolism,0,21,0,4,2,7,1,3
"Glycine, serine, alanine and threonine metabolism",0,13,0,2,1,1,1,0
Glycolysis/gluconeogenesis,2,11,0,5,6,11,1,4
Glycosphingolipid metabolism,0,1,0,0,0,1,0,0
Glyoxylate and dicarboxylate metabolism,0,4,0,0,0,2,0,0
Heme degradation,0,2,0,0,0,0,0,0
Heme synthesis,0,3,0,0,0,0,0,0
Heparan sulfate degradation,0,24,0,0,0,0,0,0
Histidine metabolism,0,2,0,0,0,4,0,0
Hyaluronan metabolism,0,3,0,0,0,2,0,0
Inositol phosphate metabolism,0,21,0,0,0,2,0,0
Keratan sulfate degradation,0,59,0,0,0,1,0,0
Keratan sulfate synthesis,0,41,0,0,0,0,0,0
Limonene and pinene degradation,0,0,0,0,3,0,0,0
Lysine metabolism,0,3,0,0,1,3,1,0
Methionine and cysteine metabolism,0,5,0,3,0,3,0,1
Miscellaneous,1,8,0,1,6,2,2,1
N-glycan degradation,0,12,0,0,0,0,0,0
N-glycan synthesis,0,53,0,0,0,8,0,0
NAD metabolism,2,1,0,0,1,8,0,4
Nucleotide interconversion,1,78,0,55,6,19,3,3
Nucleotide salvage pathway,0,0,0,0,3,0,0,0
O-glycan synthesis,0,9,0,0,0,0,0,0
Other,1,1,1,0,3,0,0,0
Oxidative phosphorylation,0,1,0,0,2,1,0,0
Pentose phosphate pathway,1,8,2,4,8,5,3,5
Phenylalanine metabolism,0,0,0,0,1,2,0,1
Phosphatidylinositol phosphate metabolism,0,17,0,7,0,0,0,0
Propanoate metabolism,0,3,0,2,3,2,0,0
Purine catabolism,1,4,2,1,7,10,3,1
Purine synthesis,0,1,0,1,1,4,1,0
Pyrimidine catabolism,4,5,4,2,7,5,3,2
Pyrimidine synthesis,0,10,0,6,0,1,1,3
Pyruvate metabolism,3,3,1,1,2,9,0,0
ROS detoxification,0,4,0,0,1,1,0,0
Sphingolipid metabolism,0,21,0,2,0,18,0,0
Starch and sucrose metabolism,7,2,0,0,4,6,0,5
Steroid metabolism,0,30,0,4,0,9,0,0
Taurine and hypotaurine metabolism,0,5,0,0,0,0,0,1
Tetrahydrobiopterin metabolism,0,1,0,0,4,3,5,0
Thiamine metabolism,0,2,0,0,0,0,0,0
"Transport, extracellular",1,4,0,0,0,2,1,0
"Transport, lysosomal",0,1,0,0,0,0,0,0
"Transport, mitochondrial",0,3,0,0,1,1,0,0
"Transport, nuclear",0,0,0,0,0,1,0,1
"Transport, peroxisomal",0,0,0,1,0,0,0,0
Triacylglycerol synthesis,1,2,0,0,0,4,0,0
Tryptophan metabolism,1,11,0,1,2,2,1,0
Tyrosine metabolism,3,14,0,0,0,15,0,3
Ubiquinone synthesis,0,1,0,0,0,0,0,0
Unassigned,3,30,3,7,8,21,12,5
Urea cycle,0,15,0,1,3,7,2,3
"Valine, leucine, and isoleucine metabolism",0,8,0,6,5,11,6,1
Vitamin A metabolism,0,8,0,3,1,2,0,0
Vitamin B2 metabolism,0,1,0,1,0,0,0,0
Vitamin B6 metabolism,0,5,0,2,0,0,0,0
Vitamin C metabolism,0,1,0,0,0,0,0,0
beta-Alanine metabolism,0,1,0,0,0,1,0,0
