subsystem,p<0.05_Pos,p<0.05_Neg,p≥0.05_Pos,p≥0.05_Neg,Number_of_Unique_Reactions
Alanine and aspartate metabolism,1,0,9,2,15.0
Aminosugar metabolism,4,1,12,0,27.0
Androgen and estrogen synthesis and metabolism,0,0,1,1,25.0
Arachidonic acid metabolism,0,0,1,1,29.0
Arginine and Proline Metabolism,2,1,10,3,37.0
Bile acid synthesis,6,2,38,13,71.0
Biotin metabolism,0,0,5,0,12.0
Blood group synthesis,0,0,25,0,11.0
Butanoate metabolism,0,0,2,1,3.0
Cholesterol metabolism,5,0,24,8,45.0
Chondroitin sulfate degradation,0,0,28,0,8.0
Citric acid cycle,0,0,7,3,19.0
CoA catabolism,1,1,1,1,4.0
CoA synthesis,3,2,7,1,18.0
Cysteine Metabolism,1,0,2,1,3.0
Cytochrome metabolism,0,0,3,0,12.0
D-alanine metabolism,1,0,0,0,3.0
Eicosanoid metabolism,0,0,17,8,149.0
Fatty acid oxidation,52,13,143,25,571.0
Fatty acid synthesis,0,0,27,2,86.0
Folate metabolism,5,1,27,5,49.0
Fructose and mannose metabolism,4,0,13,3,23.0
Galactose metabolism,3,3,7,1,12.0
Glutamate metabolism,0,0,8,4,14.0
Glutathione metabolism,1,0,11,4,14.0
Glycerophospholipid metabolism,2,1,28,7,52.0
"Glycine, serine, alanine and threonine metabolism",3,1,12,2,35.0
Glycolysis/gluconeogenesis,2,1,28,9,36.0
Glycosphingolipid metabolism,0,0,2,0,6.0
Glyoxylate and dicarboxylate metabolism,1,0,5,0,14.0
Heme degradation,0,0,2,0,3.0
Heme synthesis,0,0,3,0,14.0
Heparan sulfate degradation,0,0,24,0,9.0
Histidine metabolism,1,0,5,0,16.0
Hyaluronan metabolism,0,0,5,0,1.0
Inositol phosphate metabolism,2,0,21,0,64.0
Keratan sulfate degradation,0,0,60,0,9.0
Keratan sulfate synthesis,0,0,41,0,6.0
Limonene and pinene degradation,0,0,3,0,6.0
Lysine metabolism,3,0,4,1,22.0
Methionine and cysteine metabolism,0,2,8,2,37.0
Miscellaneous,5,0,12,4,51.0
N-glycan degradation,0,0,12,0,8.0
N-glycan synthesis,0,0,61,0,78.0
NAD metabolism,2,0,10,4,21.0
Nucleotide interconversion,18,9,86,52,166.0
Nucleotide salvage pathway,0,0,3,0,3.0
O-glycan synthesis,0,0,9,0,13.0
Other,1,0,4,1,
Oxidative phosphorylation,1,0,3,0,8.0
Pentose phosphate pathway,5,2,17,12,34.0
Phenylalanine metabolism,0,0,3,1,10.0
Phosphatidylinositol phosphate metabolism,6,3,11,4,37.0
Propanoate metabolism,0,1,8,1,13.0
Purine catabolism,6,3,16,4,34.0
Purine synthesis,0,0,6,2,10.0
Pyrimidine catabolism,6,6,15,5,33.0
Pyrimidine synthesis,0,2,11,8,14.0
Pyruvate metabolism,2,1,15,1,29.0
ROS detoxification,0,0,6,0,6.0
Sphingolipid metabolism,0,0,39,2,44.0
Starch and sucrose metabolism,0,0,19,5,27.0
Steroid metabolism,1,1,38,3,32.0
Taurine and hypotaurine metabolism,1,0,4,1,8.0
Tetrahydrobiopterin metabolism,3,1,5,4,23.0
Thiamine metabolism,0,0,2,0,6.0
"Transport, extracellular",0,0,7,1,598.0
"Transport, lysosomal",0,0,1,0,66.0
"Transport, mitochondrial",0,0,5,0,204.0
"Transport, nuclear",0,0,1,1,64.0
"Transport, peroxisomal",0,0,0,1,78.0
Triacylglycerol synthesis,0,0,7,0,8.0
Tryptophan metabolism,2,0,14,2,65.0
Tyrosine metabolism,0,0,32,3,95.0
Ubiquinone synthesis,0,0,1,0,14.0
Unassigned,12,7,50,20,119.0
Urea cycle,2,0,23,6,52.0
"Valine, leucine, and isoleucine metabolism",13,1,11,12,41.0
Vitamin A metabolism,6,3,5,0,65.0
Vitamin B2 metabolism,0,1,1,0,6.0
Vitamin B6 metabolism,0,0,5,2,11.0
Vitamin C metabolism,0,0,1,0,15.0
beta-Alanine metabolism,0,0,2,0,12.0
