subsystem,p<0.05_Pos,p<0.05_Neg,p≥0.05_Pos,p≥0.05_Neg
Alanine and aspartate metabolism,10,2,0,0
Aminosugar metabolism,15,1,1,0
Androgen and estrogen synthesis and metabolism,1,1,0,0
Arachidonic acid metabolism,1,1,0,0
Arginine and Proline Metabolism,9,2,3,2
Bile acid synthesis,33,9,11,6
Biotin metabolism,5,0,0,0
Blood group synthesis,25,0,0,0
Butanoate metabolism,2,1,0,0
Cholesterol metabolism,24,6,5,2
Chondroitin sulfate degradation,28,0,0,0
Citric acid cycle,5,2,2,1
CoA catabolism,1,1,1,1
CoA synthesis,7,1,3,2
Cysteine Metabolism,3,1,0,0
Cytochrome metabolism,3,0,0,0
D-alanine metabolism,1,0,0,0
Eicosanoid metabolism,17,8,0,0
Fatty acid oxidation,184,36,11,2
Fatty acid synthesis,27,2,0,0
Folate metabolism,29,5,3,1
Fructose and mannose metabolism,17,3,0,0
Galactose metabolism,9,4,1,0
Glutamate metabolism,7,2,1,2
Glutathione metabolism,8,1,4,3
Glycerophospholipid metabolism,29,5,1,3
"Glycine, serine, alanine and threonine metabolism",9,2,6,1
Glycolysis/gluconeogenesis,23,9,7,1
Glycosphingolipid metabolism,2,0,0,0
Glyoxylate and dicarboxylate metabolism,5,0,1,0
Heme degradation,2,0,0,0
Heme synthesis,3,0,0,0
Heparan sulfate degradation,24,0,0,0
Histidine metabolism,6,0,0,0
Hyaluronan metabolism,5,0,0,0
Inositol phosphate metabolism,23,0,0,0
Keratan sulfate degradation,60,0,0,0
Keratan sulfate synthesis,41,0,0,0
Limonene and pinene degradation,3,0,0,0
Lysine metabolism,7,1,0,0
Methionine and cysteine metabolism,6,4,2,0
Miscellaneous,15,2,2,2
N-glycan degradation,12,0,0,0
N-glycan synthesis,61,0,0,0
NAD metabolism,12,4,0,0
Nucleotide interconversion,95,53,9,8
Nucleotide salvage pathway,3,0,0,0
O-glycan synthesis,9,0,0,0
Other,5,1,0,0
Oxidative phosphorylation,4,0,0,0
Pentose phosphate pathway,17,8,5,6
Phenylalanine metabolism,3,1,0,0
Phosphatidylinositol phosphate metabolism,17,7,0,0
Propanoate metabolism,8,2,0,0
Purine catabolism,21,6,1,1
Purine synthesis,6,2,0,0
Pyrimidine catabolism,16,8,5,3
Pyrimidine synthesis,11,8,0,2
Pyruvate metabolism,17,2,0,0
ROS detoxification,6,0,0,0
Sphingolipid metabolism,39,2,0,0
Starch and sucrose metabolism,7,0,12,5
Steroid metabolism,34,0,5,4
Taurine and hypotaurine metabolism,5,1,0,0
Tetrahydrobiopterin metabolism,8,5,0,0
Thiamine metabolism,2,0,0,0
"Transport, extracellular",7,1,0,0
"Transport, lysosomal",1,0,0,0
"Transport, mitochondrial",5,0,0,0
"Transport, nuclear",1,1,0,0
"Transport, peroxisomal",0,1,0,0
Triacylglycerol synthesis,7,0,0,0
Tryptophan metabolism,14,1,2,1
Tyrosine metabolism,31,3,1,0
Ubiquinone synthesis,1,0,0,0
Unassigned,55,14,7,13
Urea cycle,22,3,3,3
"Valine, leucine, and isoleucine metabolism",21,10,3,3
Vitamin A metabolism,8,3,3,0
Vitamin B2 metabolism,0,1,1,0
Vitamin B6 metabolism,5,2,0,0
Vitamin C metabolism,0,0,1,0
beta-Alanine metabolism,2,0,0,0
