subsystem,p<0.05_Pos,p<0.05_Neg,p≥0.05_Pos,p≥0.05_Neg
Alanine and aspartate metabolism,12,0,0,0
Aminosugar metabolism,16,0,1,0
Androgen and estrogen synthesis and metabolism,2,0,0,0
Arachidonic acid metabolism,2,0,0,0
Arginine and Proline Metabolism,11,0,2,3
Bile acid synthesis,43,6,7,3
Biotin metabolism,4,1,0,0
Blood group synthesis,25,0,0,0
Butanoate metabolism,3,0,0,0
Cholesterol metabolism,32,2,0,3
Chondroitin sulfate degradation,28,0,0,0
Citric acid cycle,7,0,1,2
CoA catabolism,4,0,0,0
CoA synthesis,13,0,0,0
Cysteine Metabolism,4,0,0,0
Cytochrome metabolism,1,0,0,2
D-alanine metabolism,1,0,0,0
Eicosanoid metabolism,15,2,8,0
Fatty acid oxidation,228,0,2,3
Fatty acid synthesis,29,0,0,0
Folate metabolism,33,0,4,1
Fructose and mannose metabolism,19,1,0,0
Galactose metabolism,14,0,0,0
Glutamate metabolism,11,0,0,1
Glutathione metabolism,15,0,1,0
Glycerophospholipid metabolism,37,0,0,1
"Glycine, serine, alanine and threonine metabolism",15,0,3,0
Glycolysis/gluconeogenesis,32,1,5,2
Glycosphingolipid metabolism,2,0,0,0
Glyoxylate and dicarboxylate metabolism,6,0,0,0
Heme degradation,2,0,0,0
Heme synthesis,3,0,0,0
Heparan sulfate degradation,24,0,0,0
Histidine metabolism,6,0,0,0
Hyaluronan metabolism,5,0,0,0
Inositol phosphate metabolism,23,0,0,0
Keratan sulfate degradation,60,0,0,0
Keratan sulfate synthesis,41,0,0,0
Limonene and pinene degradation,0,0,0,3
Lysine metabolism,8,0,0,0
Methionine and cysteine metabolism,12,0,0,0
Miscellaneous,14,1,5,1
N-glycan degradation,12,0,0,0
N-glycan synthesis,61,0,0,0
NAD metabolism,16,0,0,0
Nucleotide interconversion,165,0,0,0
Nucleotide salvage pathway,3,0,0,0
O-glycan synthesis,9,0,0,0
Other,4,0,2,0
Oxidative phosphorylation,4,0,0,0
Pentose phosphate pathway,24,1,9,2
Phenylalanine metabolism,3,0,1,0
Phosphatidylinositol phosphate metabolism,24,0,0,0
Propanoate metabolism,10,0,0,0
Purine catabolism,28,1,0,0
Purine synthesis,8,0,0,0
Pyrimidine catabolism,23,1,2,6
Pyrimidine synthesis,20,0,1,0
Pyruvate metabolism,12,4,3,0
ROS detoxification,6,0,0,0
Sphingolipid metabolism,41,0,0,0
Starch and sucrose metabolism,21,1,0,2
Steroid metabolism,37,0,6,0
Taurine and hypotaurine metabolism,6,0,0,0
Tetrahydrobiopterin metabolism,6,0,7,0
Thiamine metabolism,2,0,0,0
"Transport, extracellular",7,0,0,1
"Transport, lysosomal",1,0,0,0
"Transport, mitochondrial",5,0,0,0
"Transport, nuclear",2,0,0,0
"Transport, peroxisomal",1,0,0,0
Triacylglycerol synthesis,7,0,0,0
Tryptophan metabolism,16,0,0,2
Tyrosine metabolism,35,0,0,0
Ubiquinone synthesis,1,0,0,0
Unassigned,78,3,3,5
Urea cycle,29,0,0,2
"Valine, leucine, and isoleucine metabolism",31,0,0,6
Vitamin A metabolism,14,0,0,0
Vitamin B2 metabolism,2,0,0,0
Vitamin B6 metabolism,7,0,0,0
Vitamin C metabolism,1,0,0,0
beta-Alanine metabolism,2,0,0,0
