,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval,metadata_r_id
10FTHF5GLUtl_pos,302.0,6.644944579423332e-06,2.2192695334650026,1.5935209953321858e-05,10FTHF5GLUtl
10FTHF5GLUtm_pos,316.0,7.403996756761338e-07,3.344044576464954,4.396996187152134e-06,10FTHF5GLUtm
10FTHF6GLUtl_pos,302.0,6.644944579423332e-06,2.2192695334650026,1.5935209953321858e-05,10FTHF6GLUtl
10FTHF6GLUtm_pos,316.0,7.403996756761338e-07,3.344044576464954,4.396996187152134e-06,10FTHF6GLUtm
10FTHF7GLUtl_pos,302.0,6.644944579423332e-06,2.2192695334650026,1.5935209953321858e-05,10FTHF7GLUtl
10FTHF7GLUtm_pos,316.0,7.403996756761338e-07,3.344044576464954,4.396996187152134e-06,10FTHF7GLUtm
10FTHFtl_neg,302.0,6.644944579423332e-06,2.2192695334650026,1.5935209953321858e-05,10FTHFtl
10FTHFtm_neg,182.0,0.4936796070723848,0.16972292596671104,0.51367159116044,10FTHFtm
10FTHFtm_pos,311.0,1.657232153123406e-06,2.8020801783198137,5.639068326438833e-06,10FTHFtm
11DOCRTSLtm_pos,303.0,5.717080058297835e-06,2.357254886549591,1.4030806614808917e-05,11DOCRTSLtm
11DOCRTSLtr_neg,303.0,5.717080058297835e-06,2.357254886549591,1.4030806614808917e-05,11DOCRTSLtr
11DOCRTSTRNtm_pos,302.0,6.644944579423332e-06,2.2449148687826854,1.5935209953321858e-05,11DOCRTSTRNtm
11DOCRTSTRNtr_neg,302.0,6.644944579423332e-06,2.2449148687826854,1.5935209953321858e-05,11DOCRTSTRNtr
13DAMPPOX_pos,286.0,6.458954806893046e-05,1.8316534431798137,0.00011247336240495638,13DAMPPOX
1MNCAMti_pos,311.0,1.657232153123406e-06,2.716907952295413,5.639068326438833e-06,1MNCAMti
1PPDCRp_pos,245.0,0.007142655849520817,1.105081565664549,0.009194891323667392,1PPDCRp
1a25DHVITD3TRn_pos,306.0,3.6197823930798668e-06,2.478821322282651,9.800658135242048e-06,1a25DHVITD3TRn
24NPHte_neg,257.0,0.0021252456961388107,1.2870467193984634,0.002892631709663527,24NPHte
24_25DHVITD2t_pos,298.0,1.2009657071041804e-05,2.1708955197275124,2.5935091342095422e-05,24_25DHVITD2t
24_25DHVITD2tm_pos,298.0,1.2009657071041804e-05,2.1708955197275124,2.5935091342095422e-05,24_25DHVITD2tm
24_25DHVITD3t_pos,306.0,3.6197823930798668e-06,2.478821322282651,9.800658135242048e-06,24_25DHVITD3t
24_25DHVITD3tm_pos,307.0,3.102209052989918e-06,2.4566407903718015,8.917080360078326e-06,24_25DHVITD3tm
24_25VITD2Hm_pos,298.0,1.2009657071041804e-05,2.1708955197275124,2.5935091342095422e-05,24_25VITD2Hm
24_25VITD3Hm_pos,307.0,3.102209052989918e-06,2.4566407903718015,8.917080360078326e-06,24_25VITD3Hm
25HVITD3c_pos,306.0,3.6197823930798668e-06,2.478821322282651,9.800658135242048e-06,25HVITD3c
2AMACHYD_pos,261.0,0.0013767069406343286,1.3572135937378407,0.0019173385378967033,2AMACHYD
2AMACSULT_pos,317.0,6.283575377477422e-07,3.342049594117763,4.3467150550791615e-06,2AMACSULT
2AMADPTm_pos,320.0,3.818334157281001e-07,3.9127118941157386,4.3272878361187095e-06,2AMADPTm
2DR1PP_pos,295.0,1.852998601250972e-05,1.9665692186311987,3.768861452302057e-05,2DR1PP
2HBO_neg,320.0,3.818334157281001e-07,3.3162911287341346,4.3272878361187095e-06,2HBO
2HBO_pos,294.0,2.13704144601066e-05,1.8621521345650172,4.2842916887379315e-05,2HBO
2HBt2_neg,318.0,5.327479067501192e-07,2.4012134827757277,4.3272878361187095e-06,2HBt2
2HBt2_pos,318.0,5.327479067501192e-07,2.4012134827757277,4.3272878361187095e-06,2HBt2
2HCO3_NAt_neg,287.0,5.6440346457884884e-05,1.9151504217795434,0.00010008224815560152,2HCO3_NAt
2HCO3_NAt_pos,287.0,5.6440346457884884e-05,1.9151504217795434,0.00010008224815560152,2HCO3_NAt
2MB2COAc_pos,315.0,8.71565594594538e-07,2.7408341430205385,4.534301998324477e-06,2MB2COAc
2MCITt_pos,320.0,3.818334157281001e-07,2.7730324223267293,4.3272878361187095e-06,2MCITt
2OXOADOXm_pos,320.0,3.818334157281001e-07,3.739940618397773,4.3272878361187095e-06,2OXOADOXm
2OXOADPTm_neg,320.0,3.818334157281001e-07,3.9127118941157386,4.3272878361187095e-06,2OXOADPTm
2OXOADPTm_pos,305.0,4.219587632352974e-06,1.9951210872172394,1.1067626727359155e-05,2OXOADPTm
34DHOXPEGOX_pos,320.0,3.818334157281001e-07,3.707298521798318,4.3272878361187095e-06,34DHOXPEGOX
34DHOXPEGt_pos,320.0,3.818334157281001e-07,3.707298521798318,4.3272878361187095e-06,34DHOXPEGt
